Stopping power dEdx from Ionisation for Al27[0.0] Z = 13 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	55.7639
0.00100577	55.9247
0.00101158	56.0859
0.00101742	56.2475
0.00102329	56.4096
0.0010292	56.5722
0.00103514	56.7353
0.00104112	56.8988
0.00104713	57.0628
0.00105317	57.2273
0.00105925	57.3923
0.00106537	57.5577
0.00107152	57.7236
0.00107771	57.89
0.00108393	58.0568
0.00109018	58.2242
0.00109648	58.392
0.00110281	58.5603
0.00110917	58.7291
0.00111558	58.8984
0.00112202	59.0682
0.0011285	59.2384
0.00113501	59.4092
0.00114156	59.5804
0.00114815	59.7521
0.00115478	59.9244
0.00116145	60.0971
0.00116815	60.2703
0.0011749	60.444
0.00118168	60.6183
0.0011885	60.793
0.00119536	60.9682
0.00120226	61.1439
0.00120921	61.3202
0.00121619	61.4969
0.00122321	61.6742
0.00123027	61.852
0.00123737	62.0302
0.00124451	62.209
0.0012517	62.3883
0.00125893	62.5682
0.00126619	62.7485
0.0012735	62.9294
0.00128086	63.1108
0.00128825	63.2927
0.00129569	63.4751
0.00130317	63.6581
0.00131069	63.8415
0.00131826	64.0256
0.00132587	64.2101
0.00133352	64.3952
0.00134122	64.5808
0.00134896	64.7669
0.00135675	64.9536
0.00136458	65.1408
0.00137246	65.3286
0.00138038	65.5169
0.00138835	65.7058
0.00139637	65.8951
0.00140443	66.0851
0.00141254	66.2756
0.00142069	66.4666
0.00142889	66.6582
0.00143714	66.8503
0.00144544	67.043
0.00145378	67.2362
0.00146218	67.43
0.00147062	67.6244
0.00147911	67.8193
0.00148765	68.0148
0.00149624	68.2108
0.00150487	68.4075
0.00151356	68.6046
0.0015223	68.8024
0.00153109	69.0007
0.00153993	69.1996
0.00154882	69.399
0.00155776	69.5991
0.00156675	69.7997
0.0015758	70.0009
0.00158489	70.2026
0.00159404	70.405
0.00160325	70.6079
0.0016125	70.8114
0.00162181	71.0155
0.00163117	71.2202
0.00164059	71.4255
0.00165006	71.6314
0.00165959	71.8379
0.00166917	72.0449
0.0016788	72.2526
0.0016885	72.4608
0.00169824	72.6697
0.00170805	72.8792
0.00171791	73.0892
0.00172783	73.2999
0.0017378	73.5112
0.00174783	73.7231
0.00175792	73.9356
0.00176807	74.1487
0.00177828	74.3624
0.00178855	74.5767
0.00179887	74.7917
0.00180926	75.0073
0.0018197	75.2235
0.00183021	75.4403
0.00184077	75.6577
0.0018514	75.8758
0.00186209	76.0945
0.00187284	76.3139
0.00188365	76.5338
0.00189452	76.7544
0.00190546	76.9757
0.00191646	77.1975
0.00192752	77.42
0.00193865	77.6432
0.00194984	77.867
0.0019611	78.0914
0.00197242	78.3165
0.00198381	78.5423
0.00199526	78.7687
0.00200678	78.9957
0.00201837	79.2234
0.00203002	79.4517
0.00204174	79.6807
0.00205353	79.9104
0.00206538	80.1408
0.0020773	80.3717
0.0020893	80.6034
0.00210136	80.8357
0.00211349	81.0687
0.00212569	81.3024
0.00213796	81.5368
0.0021503	81.7718
0.00216272	82.0075
0.0021752	82.2438
0.00218776	82.4809
0.00220039	82.7186
0.00221309	82.9571
0.00222587	83.1962
0.00223872	83.436
0.00225165	83.6765
0.00226464	83.9177
0.00227772	84.1595
0.00229087	84.4021
0.00230409	84.6454
0.00231739	84.8894
0.00233077	85.1341
0.00234423	85.3795
0.00235776	85.6256
0.00237137	85.8724
0.00238506	86.1199
0.00239883	86.3681
0.00241268	86.6171
0.00242661	86.8667
0.00244062	87.1171
0.00245471	87.3682
0.00246888	87.62
0.00248313	87.8726
0.00249747	88.1259
0.00251189	88.3799
0.00252639	88.6346
0.00254097	88.8901
0.00255564	89.1463
0.0025704	89.4033
0.00258523	89.661
0.00260016	89.9194
0.00261517	90.1786
0.00263027	90.4385
0.00264545	90.6992
0.00266073	90.9606
0.00267609	91.2228
0.00269153	91.4857
0.00270707	91.7494
0.0027227	92.0139
0.00273842	92.2791
0.00275423	92.5451
0.00277013	92.8118
0.00278612	93.0794
0.00280221	93.3477
0.00281838	93.6167
0.00283465	93.8866
0.00285102	94.1572
0.00286748	94.4286
0.00288403	94.7007
0.00290068	94.9737
0.00291743	95.2475
0.00293427	95.522
0.00295121	95.7973
0.00296825	96.0735
0.00298538	96.3504
0.00300262	96.6281
0.00301995	96.9066
0.00303739	97.1859
0.00305492	97.4661
0.00307256	97.747
0.0030903	98.0287
0.00310814	98.3113
0.00312608	98.5947
0.00314413	98.8788
0.00316228	99.1639
