Stopping power dEdx from Ionisation for Ar40[0.0] Z = 18 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	31.3497
0.00100577	31.4408
0.00101158	31.5321
0.00101742	31.6238
0.00102329	31.7156
0.0010292	31.8078
0.00103514	31.9002
0.00104112	31.9928
0.00104713	32.0858
0.00105317	32.179
0.00105925	32.2724
0.00106537	32.3662
0.00107152	32.4602
0.00107771	32.5545
0.00108393	32.649
0.00109018	32.7439
0.00109648	32.839
0.00110281	32.9343
0.00110917	33.03
0.00111558	33.1259
0.00112202	33.2221
0.0011285	33.3186
0.00113501	33.4153
0.00114156	33.5124
0.00114815	33.6097
0.00115478	33.7073
0.00116145	33.8052
0.00116815	33.9033
0.0011749	34.0018
0.00118168	34.1005
0.0011885	34.1995
0.00119536	34.2988
0.00120226	34.3984
0.00120921	34.4982
0.00121619	34.5984
0.00122321	34.6988
0.00123027	34.7996
0.00123737	34.9006
0.00124451	35.0019
0.0012517	35.1035
0.00125893	35.2054
0.00126619	35.3076
0.0012735	35.4101
0.00128086	35.5129
0.00128825	35.616
0.00129569	35.7194
0.00130317	35.823
0.00131069	35.927
0.00131826	36.0313
0.00132587	36.1359
0.00133352	36.2407
0.00134122	36.3459
0.00134896	36.4514
0.00135675	36.5572
0.00136458	36.6633
0.00137246	36.7697
0.00138038	36.8764
0.00138835	36.9834
0.00139637	37.0907
0.00140443	37.1983
0.00141254	37.3063
0.00142069	37.4145
0.00142889	37.5231
0.00143714	37.632
0.00144544	37.7411
0.00145378	37.8506
0.00146218	37.9605
0.00147062	38.0706
0.00147911	38.1811
0.00148765	38.2918
0.00149624	38.4029
0.00150487	38.5143
0.00151356	38.6261
0.0015223	38.7381
0.00153109	38.8505
0.00153993	38.9632
0.00154882	39.0762
0.00155776	39.1896
0.00156675	39.3033
0.0015758	39.4173
0.00158489	39.5316
0.00159404	39.6463
0.00160325	39.7613
0.0016125	39.8766
0.00162181	39.9922
0.00163117	40.1082
0.00164059	40.2246
0.00165006	40.3412
0.00165959	40.4582
0.00166917	40.5756
0.0016788	40.6932
0.0016885	40.8112
0.00169824	40.9296
0.00170805	41.0483
0.00171791	41.1673
0.00172783	41.2867
0.0017378	41.4064
0.00174783	41.5265
0.00175792	41.6469
0.00176807	41.7677
0.00177828	41.8888
0.00178855	42.0102
0.00179887	42.132
0.00180926	42.2542
0.0018197	42.3767
0.00183021	42.4996
0.00184077	42.6228
0.0018514	42.7464
0.00186209	42.8703
0.00187284	42.9946
0.00188365	43.1192
0.00189452	43.2442
0.00190546	43.3696
0.00191646	43.4953
0.00192752	43.6214
0.00193865	43.7479
0.00194984	43.8747
0.0019611	44.0019
0.00197242	44.1294
0.00198381	44.2574
0.00199526	44.3856
0.00200678	44.5143
0.00201837	44.6433
0.00203002	44.7727
0.00204174	44.9025
0.00205353	45.0326
0.00206538	45.1632
0.0020773	45.2941
0.0020893	45.4253
0.00210136	45.557
0.00211349	45.689
0.00212569	45.8214
0.00213796	45.9542
0.0021503	46.0874
0.00216272	46.221
0.0021752	46.3549
0.00218776	46.4892
0.00220039	46.624
0.00221309	46.7591
0.00222587	46.8946
0.00223872	47.0304
0.00225165	47.1667
0.00226464	47.3034
0.00227772	47.4405
0.00229087	47.5779
0.00230409	47.7158
0.00231739	47.854
0.00233077	47.9927
0.00234423	48.1317
0.00235776	48.2712
0.00237137	48.411
0.00238506	48.5513
0.00239883	48.692
0.00241268	48.833
0.00242661	48.9745
0.00244062	49.1164
0.00245471	49.2587
0.00246888	49.4014
0.00248313	49.5445
0.00249747	49.688
0.00251189	49.832
0.00252639	49.9763
0.00254097	50.1211
0.00255564	50.2663
0.0025704	50.4119
0.00258523	50.5579
0.00260016	50.7044
0.00261517	50.8512
0.00263027	50.9985
0.00264545	51.1462
0.00266073	51.2944
0.00267609	51.4429
0.00269153	51.5919
0.00270707	51.7414
0.0027227	51.8912
0.00273842	52.0415
0.00275423	52.1922
0.00277013	52.3434
0.00278612	52.495
0.00280221	52.647
0.00281838	52.7995
0.00283465	52.9524
0.00285102	53.1057
