Stopping power dEdx from Ionisation for Ar40[0.0] Z = 18 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	60.4723
0.00100577	60.6466
0.00101158	60.8214
0.00101742	60.9967
0.00102329	61.1725
0.0010292	61.3488
0.00103514	61.5256
0.00104112	61.703
0.00104713	61.8808
0.00105317	62.0592
0.00105925	62.2381
0.00106537	62.4175
0.00107152	62.5974
0.00107771	62.7778
0.00108393	62.9588
0.00109018	63.1402
0.00109648	63.3222
0.00110281	63.5047
0.00110917	63.6878
0.00111558	63.8714
0.00112202	64.0555
0.0011285	64.2401
0.00113501	64.4253
0.00114156	64.611
0.00114815	64.7972
0.00115478	64.984
0.00116145	65.1713
0.00116815	65.3591
0.0011749	65.5475
0.00118168	65.7364
0.0011885	65.9259
0.00119536	66.1159
0.00120226	66.3065
0.00120921	66.4976
0.00121619	66.6893
0.00122321	66.8815
0.00123027	67.0743
0.00123737	67.2676
0.00124451	67.4615
0.0012517	67.656
0.00125893	67.851
0.00126619	68.0466
0.0012735	68.2427
0.00128086	68.4394
0.00128825	68.6367
0.00129569	68.8345
0.00130317	69.0329
0.00131069	69.2319
0.00131826	69.4314
0.00132587	69.6316
0.00133352	69.8323
0.00134122	70.0336
0.00134896	70.2354
0.00135675	70.4379
0.00136458	70.6409
0.00137246	70.8445
0.00138038	71.0487
0.00138835	71.2535
0.00139637	71.4589
0.00140443	71.6648
0.00141254	71.8714
0.00142069	72.0786
0.00142889	72.2863
0.00143714	72.4947
0.00144544	72.7036
0.00145378	72.9132
0.00146218	73.1234
0.00147062	73.3341
0.00147911	73.5455
0.00148765	73.7575
0.00149624	73.9701
0.00150487	74.1833
0.00151356	74.3971
0.0015223	74.6116
0.00153109	74.8266
0.00153993	75.0423
0.00154882	75.2586
0.00155776	75.4755
0.00156675	75.6931
0.0015758	75.9113
0.00158489	76.1301
0.00159404	76.3495
0.00160325	76.5696
0.0016125	76.7903
0.00162181	77.0116
0.00163117	77.2336
0.00164059	77.4562
0.00165006	77.6795
0.00165959	77.9034
0.00166917	78.1279
0.0016788	78.3531
0.0016885	78.5789
0.00169824	78.8054
0.00170805	79.0326
0.00171791	79.2604
0.00172783	79.4888
0.0017378	79.718
0.00174783	79.9477
0.00175792	80.1782
0.00176807	80.4093
0.00177828	80.6411
0.00178855	80.8735
0.00179887	81.1066
0.00180926	81.3404
0.0018197	81.5748
0.00183021	81.81
0.00184077	82.0458
0.0018514	82.2823
0.00186209	82.5194
0.00187284	82.7573
0.00188365	82.9958
0.00189452	83.235
0.00190546	83.475
0.00191646	83.7156
0.00192752	83.9569
0.00193865	84.1989
0.00194984	84.4415
0.0019611	84.6849
0.00197242	84.929
0.00198381	85.1738
0.00199526	85.4193
0.00200678	85.6655
0.00201837	85.9125
0.00203002	86.1601
0.00204174	86.4084
0.00205353	86.6575
0.00206538	86.9073
0.0020773	87.1578
0.0020893	87.409
0.00210136	87.661
0.00211349	87.9136
0.00212569	88.167
0.00213796	88.4212
0.0021503	88.676
0.00216272	88.9316
0.0021752	89.188
0.00218776	89.445
0.00220039	89.7028
0.00221309	89.9614
0.00222587	90.2207
0.00223872	90.4807
0.00225165	90.7415
0.00226464	91.0031
0.00227772	91.2654
0.00229087	91.5285
0.00230409	91.7923
0.00231739	92.0569
0.00233077	92.3222
0.00234423	92.5883
0.00235776	92.8552
0.00237137	93.1228
0.00238506	93.3913
0.00239883	93.6604
0.00241268	93.9304
0.00242661	94.2011
0.00244062	94.4727
0.00245471	94.745
0.00246888	95.0181
0.00248313	95.2919
0.00249747	95.5666
0.00251189	95.8421
0.00252639	96.1183
0.00254097	96.3954
0.00255564	96.6732
0.0025704	96.9519
0.00258523	97.2313
0.00260016	97.5116
0.00261517	97.7926
0.00263027	98.0745
0.00264545	98.3572
0.00266073	98.6407
0.00267609	98.925
0.00269153	99.2102
0.00270707	99.4961
0.0027227	99.7829
0.00273842	100.071
0.00275423	100.359
0.00277013	100.648
0.00278612	100.938
0.00280221	101.229
0.00281838	101.521
0.00283465	101.814
0.00285102	102.107
0.00286748	102.401
0.00288403	102.697
0.00290068	102.993
0.00291743	103.29
0.00293427	103.587
0.00295121	103.886
0.00296825	104.185
