Stopping power dEdx from Ionisation for Ar40[0.0] Z = 18 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	21.6095
0.00100577	21.6721
0.00101158	21.7349
0.00101742	21.7979
0.00102329	21.8611
0.0010292	21.9244
0.00103514	21.988
0.00104112	22.0517
0.00104713	22.1156
0.00105317	22.1797
0.00105925	22.2439
0.00106537	22.3084
0.00107152	22.373
0.00107771	22.4379
0.00108393	22.5029
0.00109018	22.5681
0.00109648	22.6335
0.00110281	22.699
0.00110917	22.7648
0.00111558	22.8308
0.00112202	22.8969
0.0011285	22.9632
0.00113501	23.0298
0.00114156	23.0965
0.00114815	23.1634
0.00115478	23.2305
0.00116145	23.2978
0.00116815	23.3653
0.0011749	23.433
0.00118168	23.5009
0.0011885	23.569
0.00119536	23.6372
0.00120226	23.7057
0.00120921	23.7744
0.00121619	23.8432
0.00122321	23.9123
0.00123027	23.9816
0.00123737	24.051
0.00124451	24.1207
0.0012517	24.1906
0.00125893	24.2606
0.00126619	24.3309
0.0012735	24.4014
0.00128086	24.472
0.00128825	24.5429
0.00129569	24.614
0.00130317	24.6853
0.00131069	24.7568
0.00131826	24.8285
0.00132587	24.9004
0.00133352	24.9725
0.00134122	25.0448
0.00134896	25.1173
0.00135675	25.1901
0.00136458	25.263
0.00137246	25.3362
0.00138038	25.4096
0.00138835	25.4831
0.00139637	25.5569
0.00140443	25.6309
0.00141254	25.7052
0.00142069	25.7796
0.00142889	25.8542
0.00143714	25.9291
0.00144544	26.0042
0.00145378	26.0795
0.00146218	26.155
0.00147062	26.2307
0.00147911	26.3067
0.00148765	26.3828
0.00149624	26.4592
0.00150487	26.5358
0.00151356	26.6126
0.0015223	26.6897
0.00153109	26.767
0.00153993	26.8444
0.00154882	26.9222
0.00155776	27.0001
0.00156675	27.0783
0.0015758	27.1567
0.00158489	27.2353
0.00159404	27.3141
0.00160325	27.3932
0.0016125	27.4725
0.00162181	27.552
0.00163117	27.6318
0.00164059	27.7117
0.00165006	27.792
0.00165959	27.8724
0.00166917	27.9531
0.0016788	28.034
0.0016885	28.1151
0.00169824	28.1965
0.00170805	28.2781
0.00171791	28.36
0.00172783	28.4421
0.0017378	28.5244
0.00174783	28.607
0.00175792	28.6897
0.00176807	28.7728
0.00177828	28.8561
0.00178855	28.9396
0.00179887	29.0233
0.00180926	29.1073
0.0018197	29.1916
0.00183021	29.276
0.00184077	29.3608
0.0018514	29.4457
0.00186209	29.5309
0.00187284	29.6164
0.00188365	29.7021
0.00189452	29.7881
0.00190546	29.8743
0.00191646	29.9607
0.00192752	30.0474
0.00193865	30.1344
0.00194984	30.2216
0.0019611	30.309
0.00197242	30.3967
0.00198381	30.4847
0.00199526	30.5729
0.00200678	30.6613
0.00201837	30.7501
0.00203002	30.839
0.00204174	30.9283
0.00205353	31.0177
0.00206538	31.1075
0.0020773	31.1975
