Stopping power dEdx from Ionisation for B11[0.0] Z = 5 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	30.2298
0.00100577	30.3176
0.00101158	30.4057
0.00101742	30.494
0.00102329	30.5825
0.0010292	30.6714
0.00103514	30.7604
0.00104112	30.8498
0.00104713	30.9394
0.00105317	31.0292
0.00105925	31.1193
0.00106537	31.2097
0.00107152	31.3003
0.00107771	31.3912
0.00108393	31.4823
0.00109018	31.5738
0.00109648	31.6654
0.00110281	31.7574
0.00110917	31.8496
0.00111558	31.942
0.00112202	32.0348
0.0011285	32.1278
0.00113501	32.2211
0.00114156	32.3146
0.00114815	32.4084
0.00115478	32.5025
0.00116145	32.5969
0.00116815	32.6915
0.0011749	32.7864
0.00118168	32.8815
0.0011885	32.977
0.00119536	33.0727
0.00120226	33.1687
0.00120921	33.265
0.00121619	33.3615
0.00122321	33.4584
0.00123027	33.5555
0.00123737	33.6529
0.00124451	33.7505
0.0012517	33.8485
0.00125893	33.9467
0.00126619	34.0452
0.0012735	34.144
0.00128086	34.2431
0.00128825	34.3425
0.00129569	34.4421
0.00130317	34.5421
0.00131069	34.6423
0.00131826	34.7428
0.00132587	34.8436
0.00133352	34.9447
0.00134122	35.0461
0.00134896	35.1478
0.00135675	35.2498
0.00136458	35.3521
0.00137246	35.4546
0.00138038	35.5575
0.00138835	35.6607
0.00139637	35.7641
0.00140443	35.8679
0.00141254	35.9719
0.00142069	36.0763
0.00142889	36.1809
0.00143714	36.2859
0.00144544	36.3912
0.00145378	36.4967
0.00146218	36.6026
0.00147062	36.7087
0.00147911	36.8152
0.00148765	36.922
0.00149624	37.0291
0.00150487	37.1365
0.00151356	37.2442
0.0015223	37.3522
0.00153109	37.4606
0.00153993	37.5692
0.00154882	37.6782
0.00155776	37.7874
0.00156675	37.897
0.0015758	38.0069
0.00158489	38.1171
0.00159404	38.2277
0.00160325	38.3385
0.0016125	38.4497
0.00162181	38.5612
0.00163117	38.673
0.00164059	38.7852
0.00165006	38.8976
0.00165959	39.0104
0.00166917	39.1235
0.0016788	39.237
0.0016885	39.3507
0.00169824	39.4648
0.00170805	39.5792
0.00171791	39.694
0.00172783	39.8091
0.0017378	39.9245
0.00174783	40.0402
0.00175792	40.1563
0.00176807	40.2727
0.00177828	40.3895
0.00178855	40.5066
0.00179887	40.624
0.00180926	40.7417
0.0018197	40.8598
0.00183021	40.9783
0.00184077	41.0971
0.0018514	41.2162
0.00186209	41.3357
0.00187284	41.4555
0.00188365	41.5756
0.00189452	41.6961
0.00190546	41.817
0.00191646	41.9382
0.00192752	42.0598
0.00193865	42.1817
0.00194984	42.3039
0.0019611	42.4265
0.00197242	42.5495
0.00198381	42.6728
0.00199526	42.7964
0.00200678	42.9205
0.00201837	43.0449
0.00203002	43.1696
0.00204174	43.2947
0.00205353	43.4202
0.00206538	43.546
0.0020773	43.6722
0.0020893	43.7987
0.00210136	43.9256
0.00211349	44.0529
0.00212569	44.1805
0.00213796	44.3086
0.0021503	44.4369
0.00216272	44.5657
0.0021752	44.6948
0.00218776	44.8243
0.00220039	44.9542
0.00221309	45.0844
0.00222587	45.215
0.00223872	45.346
0.00225165	45.4774
0.00226464	45.6092
0.00227772	45.7413
0.00229087	45.8738
0.00230409	46.0067
0.00231739	46.14
0.00233077	46.2736
0.00234423	46.4077
0.00235776	46.5421
0.00237137	46.6769
0.00238506	46.8122
0.00239883	46.9478
0.00241268	47.0837
0.00242661	47.2201
0.00244062	47.3569
0.00245471	47.4941
0.00246888	47.6316
0.00248313	47.7696
0.00249747	47.908
0.00251189	48.0467
0.00252639	48.1859
0.00254097	48.3254
0.00255564	48.4654
0.0025704	48.6057
0.00258523	48.7465
0.00260016	48.8877
0.00261517	49.0293
0.00263027	49.1713
0.00264545	49.3137
0.00266073	49.4565
0.00267609	49.5997
0.00269153	49.7433
0.00270707	49.8874
0.0027227	50.0318
0.00273842	50.1767
0.00275423	50.322
0.00277013	50.4677
0.00278612	50.6139
0.00280221	50.7604
0.00281838	50.9074
0.00283465	51.0548
0.00285102	51.2026
0.00286748	51.3509
0.00288403	51.4996
0.00290068	51.6487
0.00291743	51.7982
0.00293427	51.9482
0.00295121	52.0986
0.00296825	52.2494
0.00298538	52.4007
0.00300262	52.5524
0.00301995	52.7045
0.00303739	52.8571
0.00305492	53.0102
0.00307256	53.1636
0.0030903	53.3175
0.00310814	53.4719
0.00312608	53.6267
0.00314413	53.7819
0.00316228	53.9376
0.00318053	54.0937
0.0031989	54.2503
0.00321736	54.4074
0.00323594	54.5649
0.00325462	54.7228
0.00327341	54.8812
0.0032923	55.0401
0.00331131	55.1994
0.00333043	55.3591
0.00334965	55.5194
0.00336899	55.6801
0.00338844	55.8412
0.003408	56.0029
0.00342768	56.1649
0.00344747	56.3275
0.00346737	56.4905
0.00348739	56.654
0.00350752	56.818
0.00352777	56.9824
0.00354813	57.1473
0.00356862	57.3127
0.00358922	57.4786
0.00360994	57.6449
0.00363078	57.8118
0.00365174	57.9791
0.00367282	58.1469
0.00369403	58.3151
0.00371535	58.4839
0.0037368	58.6531
0.00375837	58.8229
0.00378007	58.9931
0.00380189	59.1638
0.00382384	59.335
0.00384592	59.5067
0.00386812	59.6789
0.00389045	59.8516
0.00391291	60.0247
0.0039355	60.1984
0.00395822	60.3726
0.00398107	60.5473
0.00400405	60.7225
0.00402717	60.8982
0.00405042	61.0744
0.0040738	61.2511
0.00409732	61.4283
0.00412098	61.606
0.00414477	61.7843
0.00416869	61.963
0.00419276	62.1423
0.00421697	62.3221
0.00424131	62.5024
0.0042658	62.6832
0.00429042	62.8645
0.00431519	63.0464
0.0043401	63.2288
0.00436516	63.4117
0.00439036	63.5952
0.0044157	63.7791
0.0044412	63.9636
0.00446684	64.1487
