Stopping power dEdx from Ionisation for Be9[0.0] Z = 4 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	29.1433
0.00100577	29.228
0.00101158	29.3128
0.00101742	29.3979
0.00102329	29.4833
0.0010292	29.5689
0.00103514	29.6548
0.00104112	29.7408
0.00104713	29.8272
0.00105317	29.9138
0.00105925	30.0006
0.00106537	30.0877
0.00107152	30.1751
0.00107771	30.2627
0.00108393	30.3505
0.00109018	30.4386
0.00109648	30.527
0.00110281	30.6156
0.00110917	30.7045
0.00111558	30.7936
0.00112202	30.883
0.0011285	30.9726
0.00113501	31.0625
0.00114156	31.1526
0.00114815	31.2431
0.00115478	31.3337
0.00116145	31.4247
0.00116815	31.5159
0.0011749	31.6073
0.00118168	31.6991
0.0011885	31.791
0.00119536	31.8833
0.00120226	31.9758
0.00120921	32.0686
0.00121619	32.1617
0.00122321	32.255
0.00123027	32.3486
0.00123737	32.4424
0.00124451	32.5366
0.0012517	32.631
0.00125893	32.7257
0.00126619	32.8206
0.0012735	32.9158
0.00128086	33.0113
0.00128825	33.1071
0.00129569	33.2031
0.00130317	33.2995
0.00131069	33.3961
0.00131826	33.493
0.00132587	33.5901
0.00133352	33.6876
0.00134122	33.7853
0.00134896	33.8833
0.00135675	33.9816
0.00136458	34.0801
0.00137246	34.179
0.00138038	34.2781
0.00138835	34.3775
0.00139637	34.4773
0.00140443	34.5773
0.00141254	34.6775
0.00142069	34.7781
0.00142889	34.879
0.00143714	34.9801
0.00144544	35.0816
0.00145378	35.1833
0.00146218	35.2854
0.00147062	35.3877
0.00147911	35.4903
0.00148765	35.5932
0.00149624	35.6964
0.00150487	35.7999
0.00151356	35.9038
0.0015223	36.0079
0.00153109	36.1123
0.00153993	36.217
0.00154882	36.322
0.00155776	36.4273
0.00156675	36.5329
0.0015758	36.6389
0.00158489	36.7451
0.00159404	36.8516
0.00160325	36.9585
0.0016125	37.0656
0.00162181	37.1731
0.00163117	37.2808
0.00164059	37.3889
0.00165006	37.4973
0.00165959	37.606
0.00166917	37.715
0.0016788	37.8244
0.0016885	37.934
0.00169824	38.044
0.00170805	38.1542
0.00171791	38.2648
0.00172783	38.3757
0.0017378	38.487
0.00174783	38.5985
0.00175792	38.7104
0.00176807	38.8226
0.00177828	38.9351
0.00178855	39.048
0.00179887	39.1612
0.00180926	39.2747
0.0018197	39.3885
0.00183021	39.5026
0.00184077	39.6171
0.0018514	39.7319
0.00186209	39.8471
0.00187284	39.9625
0.00188365	40.0784
0.00189452	40.1945
0.00190546	40.311
0.00191646	40.4278
0.00192752	40.5449
0.00193865	40.6624
0.00194984	40.7802
0.0019611	40.8984
0.00197242	41.0169
0.00198381	41.1358
0.00199526	41.255
0.00200678	41.3745
0.00201837	41.4944
0.00203002	41.6146
0.00204174	41.7352
0.00205353	41.8561
0.00206538	41.9773
0.0020773	42.099
0.0020893	42.2209
0.00210136	42.3432
0.00211349	42.4659
0.00212569	42.5889
0.00213796	42.7123
0.0021503	42.8361
0.00216272	42.9601
0.0021752	43.0846
0.00218776	43.2094
0.00220039	43.3346
0.00221309	43.4601
0.00222587	43.586
0.00223872	43.7122
0.00225165	43.8388
0.00226464	43.9658
0.00227772	44.0932
0.00229087	44.2209
0.00230409	44.349
0.00231739	44.4774
0.00233077	44.6062
0.00234423	44.7354
0.00235776	44.865
0.00237137	44.9949
0.00238506	45.1253
0.00239883	45.2559
0.00241268	45.387
0.00242661	45.5185
0.00244062	45.6503
0.00245471	45.7825
0.00246888	45.9151
0.00248313	46.048
0.00249747	46.1814
0.00251189	46.3151
0.00252639	46.4492
0.00254097	46.5837
0.00255564	46.7186
0.0025704	46.8539
0.00258523	46.9896
0.00260016	47.1256
0.00261517	47.2621
0.00263027	47.399
0.00264545	47.5362
0.00266073	47.6738
0.00267609	47.8119
0.00269153	47.9503
0.00270707	48.0891
0.0027227	48.2284
0.00273842	48.368
0.00275423	48.508
0.00277013	48.6485
0.00278612	48.7893
0.00280221	48.9306
0.00281838	49.0722
0.00283465	49.2143
0.00285102	49.3568
0.00286748	49.4997
0.00288403	49.643
0.00290068	49.7867
0.00291743	49.9308
0.00293427	50.0753
0.00295121	50.2203
0.00296825	50.3657
0.00298538	50.5115
0.00300262	50.6577
0.00301995	50.8043
0.00303739	50.9514
0.00305492	51.0988
0.00307256	51.2467
0.0030903	51.3951
0.00310814	51.5438
0.00312608	51.693
0.00314413	51.8427
0.00316228	51.9927
0.00318053	52.1432
0.0031989	52.2941
0.00321736	52.4455
0.00323594	52.5972
0.00325462	52.7495
0.00327341	52.9021
0.0032923	53.0552
0.00331131	53.2088
0.00333043	53.3628
0.00334965	53.5172
0.00336899	53.6721
0.00338844	53.8274
0.003408	53.9832
0.00342768	54.1394
0.00344747	54.2961
0.00346737	54.4532
0.00348739	54.6108
0.00350752	54.7688
0.00352777	54.9273
0.00354813	55.0862
0.00356862	55.2456
0.00358922	55.4055
0.00360994	55.5658
0.00363078	55.7266
0.00365174	55.8878
0.00367282	56.0496
0.00369403	56.2117
0.00371535	56.3744
0.0037368	56.5375
0.00375837	56.7011
0.00378007	56.8651
0.00380189	57.0297
0.00382384	57.1947
0.00384592	57.3601
0.00386812	57.5261
0.00389045	57.6925
0.00391291	57.8594
0.0039355	58.0268
0.00395822	58.1947
0.00398107	58.3631
0.00400405	58.5319
0.00402717	58.7012
0.00405042	58.8711
0.0040738	59.0414
0.00409732	59.2122
0.00412098	59.3835
0.00414477	59.5553
0.00416869	59.7275
0.00419276	59.9003
0.00421697	60.0736
0.00424131	60.2474
0.0042658	60.4216
0.00429042	60.5964
0.00431519	60.7717
0.0043401	60.9475
0.00436516	61.1238
0.00439036	61.3006
0.0044157	61.4779
0.0044412	61.6557
0.00446684	61.8341
0.00449262	62.0129
0.00451856	62.1923
0.00454465	62.3722
0.00457088	62.5526
0.00459727	62.7335
0.00462381	62.9149
0.0046505	63.0969
0.00467735	63.2794
0.00470435	63.4624
0.00473151	63.6459
0.00475883	63.83
0.0047863	64.0146
0.00481393	64.1998
0.00484172	64.3854
0.00486968	64.5716
0.00489779	64.7584
0.00492606	64.9457
0.0049545	65.1335
0.0049831	65.3218
0.00501187	65.5107
0.00504081	65.7002
0.00506991	65.8902
0.00509918	66.0807
0.00512861	66.2718
0.00515822	66.4634
0.005188	66.6556
0.00521795	66.8484
0.00524807	67.0417
0.00527837	67.2356
0.00530884	67.43
0.00533949	67.625
0.00537032	67.8205
0.00540132	68.0166
0.0054325	68.2133
0.00546387	68.4105
0.00549541	68.6083
0.00552713	68.8067
0.00555904	69.0056
0.00559114	69.2052
0.00562341	69.4053
0.00565588	69.6059
0.00568853	69.8072
0.00572137	70.009
0.0057544	70.2114
0.00578762	70.4144
0.00582103	70.618
0.00585464	70.8222
0.00588844	71.0269
0.00592243	71.2323
0.00595662	71.4382
0.00599101	71.6448
0.0060256	71.8519
0.00606038	72.0596
0.00609537	72.2679
0.00613056	72.4769
0.00616595	72.6864
0.00620155	72.8965
0.00623735	73.1072
0.00627336	73.3186
0.00630957	73.5305
0.006346	73.7431
0.00638263	73.9563
0.00641948	74.1701
0.00645654	74.3845
0.00649382	74.5995
0.00653131	74.8152
0.00656901	75.0314
0.00660693	75.2483
0.00664508	75.4658
0.00668344	75.684
0.00672202	75.9027
0.00676083	76.1221
0.00679986	76.3422
0.00683912	76.5628
0.0068786	76.7841
0.00691831	77.0061
0.00695825	77.2287
0.00699842	77.4519
0.00703882	77.6758
0.00707946	77.9003
0.00712033	78.1254
0.00716143	78.3512
0.00720278	78.5777
0.00724436	78.8048
0.00728618	79.0326
0.00732825	79.261
0.00737055	79.4901
0.0074131	79.7198
0.0074559	79.9502
0.00749894	80.1813
0.00754223	80.413
0.00758578	80.6454
0.00762957	80.8785
0.00767361	81.1122
0.00771792	81.3467
0.00776247	81.5818
0.00780728	81.8175
0.00785236	82.054
0.00789769	82.2911
0.00794328	82.5289
0.00798914	82.7674
0.00803526	83.0066
0.00808165	83.2465
0.00812831	83.4871
0.00817523	83.7283
0.00822243	83.9703
0.0082699	84.2129
0.00831764	84.4563
0.00836566	84.7003
0.00841395	84.9451
0.00846253	85.1906
0.00851138	85.4367
0.00856052	85.6836
0.00860994	85.9312
0.00865964	86.395
0.00870964	86.644
0.00875992	86.8938
0.00881049	87.1442
0.00886135	87.3954
0.00891251	87.6473
0.00896396	87.9
0.00901571	88.1533
0.00906776	88.4074
0.00912011	88.6622
0.00917276	88.9178
0.00922571	89.1741
0.00927897	89.4311
0.00933254	89.6889
0.00938642	89.9474
0.00944061	90.2067
0.00949511	90.4667
0.00954993	90.7274
0.00960506	90.9889
0.00966051	91.2512
0.00971628	91.5142
0.00977237	91.778
0.00982879	92.0426
0.00988553	92.3079
0.0099426	92.5739
0.01	92.8408
0.0100577	93.1084
0.0101158	93.3767
0.0101742	93.6459
0.0102329	93.9158
0.010292	94.1865
0.0103514	94.458
0.0104112	94.7302
0.0104713	95.0033
0.0105317	95.2771
0.0105925	95.5517
0.0106537	95.8272
0.0107152	96.1034
0.0107771	96.3804
0.0108393	96.6582
0.0109018	96.9368
0.0109648	97.2162
0.0110281	97.4964
0.0110917	97.7774
0.0111558	98.0593
0.0112202	98.3419
0.011285	98.6254
0.0113501	98.9096
0.0114156	99.1947
0.0114815	99.4807
0.0115478	99.7674
0.0116145	100.055
0.0116815	100.343
0.011749	100.633
0.0118168	100.923
0.011885	101.214
0.0119536	101.505
0.0120226	101.798
0.0120921	102.091
0.0121619	102.386
0.0122321	102.681
0.0123027	102.977
0.0123737	103.273
0.0124451	103.571
0.012517	103.87
0.0125893	104.169
0.0126619	104.469
0.012735	104.77
0.0128086	105.072
0.0128825	105.375
0.0129569	105.679
0.0130317	105.984
0.0131069	106.289
0.0131826	106.595
0.0132587	106.903
0.0133352	107.211
0.0134122	107.52
0.0134896	107.83
0.0135675	108.141
0.0136458	108.452
0.0137246	108.765
0.0138038	109.078
0.0138835	109.393
0.0139637	109.708
0.0140443	110.024
0.0141254	110.341
0.0142069	110.659
0.0142889	110.978
0.0143714	111.298
0.0144544	111.619
0.0145378	111.941
0.0146218	112.264
0.0147062	112.587
0.0147911	112.912
0.0148765	113.237
0.0149624	113.563
0.0150487	113.891
0.0151356	114.219
0.015223	114.548
0.0153109	114.878
0.0153993	115.21
0.0154882	115.542
0.0155776	115.875
0.0156675	116.209
0.015758	116.544
0.0158489	116.88
0.0159404	117.216
0.0160325	117.554
0.016125	117.893
0.0162181	118.233
0.0163117	118.574
0.0164059	118.916
0.0165006	119.258
0.0165959	119.602
0.0166917	119.947
0.016788	120.293
0.016885	120.639
0.0169824	120.987
0.0170805	121.336
0.0171791	121.685
0.0172783	122.036
0.017378	122.388
0.0174783	122.741
0.0175792	123.094
0.0176807	123.449
0.0177828	123.805
0.0178855	124.162
0.0179887	124.52
0.0180926	124.879
0.018197	125.239
0.0183021	125.6
0.0184077	125.962
0.018514	126.325
0.0186209	126.689
0.0187284	127.054
0.0188365	127.42
0.0189452	127.788
0.0190546	128.156
0.0191646	128.525
0.0192752	128.896
0.0193865	129.267
0.0194984	129.64
0.019611	130.014
0.0197242	130.388
0.0198381	130.764
0.0199526	131.141
0.0200678	131.519
0.0201837	131.898
0.0203002	132.278
0.0204174	132.66
0.0205353	133.042
0.0206538	133.425
0.020773	133.81
0.020893	134.196
0.0210136	134.583
0.0211349	134.97
0.0212569	135.359
0.0213796	135.75
0.021503	136.141
0.0216272	136.533
0.021752	136.927
0.0218776	137.322
0.0220039	137.717
0.0221309	138.114
0.0222587	138.512
0.0223872	138.912
0.0225165	139.312
0.0226464	139.714
0.0227772	140.116
0.0229087	140.52
0.0230409	140.925
0.0231739	141.331
0.0233077	141.739
0.0234423	142.147
0.0235776	142.557
0.0237137	142.968
0.0238506	143.38
0.0239883	143.793
0.0241268	144.208
0.0242661	144.623
0.0244062	145.04
0.0245471	145.458
0.0246888	145.878
0.0248313	146.298
0.0249747	146.72
0.0251189	147.143
0.0252639	147.567
0.0254097	147.992
0.0255564	148.419
0.025704	148.847
0.0258523	149.276
0.0260016	149.706
0.0261517	150.137
0.0263027	150.57
0.0264545	151.004
0.0266073	151.439
0.0267609	151.876
0.0269153	152.314
0.0270707	152.753
0.027227	153.193
0.0273842	153.634
0.0275423	154.077
0.0277013	154.521
0.0278612	154.967
0.0280221	155.413
0.0281838	155.861
0.0283465	156.311
0.0285102	156.761
0.0286748	157.213
0.0288403	157.666
0.0290068	158.121
0.0291743	158.576
0.0293427	159.034
0.0295121	159.492
0.0296825	159.952
0.0298538	160.413
0.0300262	160.875
0.0301995	161.339
0.0303739	161.804
0.0305492	162.27
0.0307256	162.738
0.030903	163.207
0.0310814	163.677
0.0312608	164.149
0.0314413	164.622
0.0316228	165.097
0.0318053	165.573
0.031989	166.05
0.0321736	166.529
0.0323594	167.009
0.0325462	167.49
0.0327341	167.973
0.032923	168.457
0.0331131	168.942
0.0333043	169.429
0.0334965	169.918
0.0336899	170.407
0.0338844	170.899
0.03408	171.391
0.0342768	171.885
0.0344747	172.381
0.0346737	172.878
0.0348739	173.376
0.0350752	173.876
0.0352777	174.377
0.0354813	174.879
0.0356862	175.383
0.0358922	175.889
0.0360994	176.396
0.0363078	176.904
0.0365174	177.414
0.0367282	177.926
0.0369403	178.439
0.0371535	178.953
0.037368	179.469
0.0375837	179.986
0.0378007	180.505
0.0380189	181.025
0.0382384	181.547
0.0384592	182.07
0.0386812	182.595
0.0389045	183.121
0.0391291	183.649
0.039355	184.178
0.0395822	184.709
0.0398107	185.242
0.0400405	185.776
0.0402717	186.311
0.0405042	186.848
0.040738	187.387
0.0409732	187.927
0.0412098	188.468
0.0414477	189.012
0.0416869	189.556
0.0419276	190.103
0.0421697	190.651
0.0424131	191.2
0.042658	191.751
0.0429042	192.304
0.0431519	192.858
0.043401	193.414
0.0436516	193.972
0.0439036	194.531
0.044157	195.092
0.044412	195.654
0.0446684	196.218
0.0449262	196.783
0.0451856	197.351
0.0454465	197.92
0.0457088	198.49
0.0459727	199.062
0.0462381	199.636
0.046505	200.211
0.0467735	200.788
0.0470435	201.367
0.0473151	201.948
0.0475883	202.53
0.047863	203.113
0.0481393	203.699
0.0484172	204.286
0.0486968	204.875
0.0489779	205.465
0.0492606	206.058
0.049545	206.652
0.049831	207.247
0.0501187	207.845
0.0504081	208.444
0.0506991	209.044
0.0509918	209.647
0.0512861	210.251
0.0515822	210.857
0.05188	211.465
0.0521795	212.075
0.0524807	212.686
0.0527837	213.299
0.0530884	213.914
0.0533949	214.53
0.0537032	215.149
0.0540132	215.769
0.054325	216.391
0.0546387	217.014
0.0549541	217.64
0.0552713	218.267
0.0555904	218.896
0.0559114	219.527
0.0562341	220.16
0.0565588	220.795
0.0568853	221.431
0.0572137	222.069
0.057544	222.709
0.0578762	223.351
0.0582103	223.995
0.0585464	224.641
0.0588844	225.288
0.0592243	225.938
0.0595662	226.589
0.0599101	227.242
0.060256	227.897
0.0606038	228.554
0.0609537	229.213
0.0613056	229.873
0.0616595	230.536
0.0620155	231.2
0.0623735	231.867
0.0627336	232.535
0.0630957	233.205
0.06346	233.878
0.0638263	234.552
0.0641948	235.228
0.0645654	235.906
0.0649382	236.586
0.0653131	237.268
0.0656901	237.952
0.0660693	238.637
0.0664508	239.325
0.0668344	240.015
0.0672202	240.707
0.0676083	241.401
0.0679986	242.097
0.0683912	242.794
0.068786	243.494
0.0691831	244.196
0.0695825	244.9
0.0699842	245.606
0.0703882	246.314
0.0707946	247.024
0.0712033	247.736
0.0716143	248.45
0.0720278	249.166
0.0724436	249.884
0.0728618	250.604
0.0732825	251.327
0.0737055	252.051
0.074131	252.778
0.074559	253.506
0.0749894	254.237
0.0754223	254.97
0.0758578	255.705
0.0762957	256.442
0.0767361	257.181
0.0771792	257.922
0.0776247	258.666
0.0780728	259.411
0.0785236	260.159
0.0789769	260.909
0.0794328	261.661
0.0798914	262.415
0.0803526	263.171
0.0808165	263.93
0.0812831	264.691
0.0817523	265.454
0.0822243	266.219
0.082699	266.986
0.0831764	267.756
0.0836566	268.527
0.0841395	269.301
0.0846253	270.078
0.0851138	270.856
0.0856052	271.637
0.0860994	272.42
0.0865964	273.205
0.0870964	273.992
