Stopping power dEdx from Ionisation for Be9[0.0] Z = 4 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	21.9723
0.00100577	22.036
0.00101158	22.0998
0.00101742	22.1639
0.00102329	22.2281
0.0010292	22.2925
0.00103514	22.3572
0.00104112	22.4219
0.00104713	22.4869
0.00105317	22.5521
0.00105925	22.6174
0.00106537	22.683
0.00107152	22.7487
0.00107771	22.8146
0.00108393	22.8808
0.00109018	22.9471
0.00109648	23.0136
0.00110281	23.0802
0.00110917	23.1471
0.00111558	23.2142
0.00112202	23.2815
0.0011285	23.3489
0.00113501	23.4166
0.00114156	23.4844
0.00114815	23.5525
0.00115478	23.6207
0.00116145	23.6891
0.00116815	23.7578
0.0011749	23.8266
0.00118168	23.8956
0.0011885	23.9648
0.00119536	24.0343
0.00120226	24.1039
0.00120921	24.1737
0.00121619	24.2438
0.00122321	24.314
0.00123027	24.3844
0.00123737	24.4551
0.00124451	24.5259
0.0012517	24.5969
0.00125893	24.6682
0.00126619	24.7397
0.0012735	24.8113
0.00128086	24.8832
0.00128825	24.9553
0.00129569	25.0275
0.00130317	25.1
0.00131069	25.1727
0.00131826	25.2456
0.00132587	25.3188
0.00133352	25.3921
0.00134122	25.4656
0.00134896	25.5394
0.00135675	25.6133
0.00136458	25.6875
0.00137246	25.7619
0.00138038	25.8365
0.00138835	25.9113
0.00139637	25.9864
0.00140443	26.0616
0.00141254	26.1371
0.00142069	26.2128
0.00142889	26.2887
0.00143714	26.3648
0.00144544	26.4412
0.00145378	26.5177
0.00146218	26.5945
0.00147062	26.6715
0.00147911	26.7488
0.00148765	26.8262
0.00149624	26.9039
0.00150487	26.9818
0.00151356	27.0599
0.0015223	27.1383
0.00153109	27.2168
0.00153993	27.2956
0.00154882	27.3747
0.00155776	27.4539
0.00156675	27.5334
0.0015758	27.6131
0.00158489	27.6931
0.00159404	27.7732
0.00160325	27.8536
0.0016125	27.9343
0.00162181	28.0151
0.00163117	28.0963
0.00164059	28.1776
0.00165006	28.2592
0.00165959	28.341
0.00166917	28.423
0.0016788	28.5053
0.0016885	28.5878
0.00169824	28.6705
0.00170805	28.7535
0.00171791	28.8368
0.00172783	28.9202
0.0017378	29.004
0.00174783	29.0879
0.00175792	29.1721
0.00176807	29.2565
0.00177828	29.3412
0.00178855	29.4261
0.00179887	29.5113
0.00180926	29.5967
0.0018197	29.6824
0.00183021	29.7683
0.00184077	29.8544
0.0018514	29.9408
0.00186209	30.0275
0.00187284	30.1144
0.00188365	30.2016
0.00189452	30.289
0.00190546	30.3766
0.00191646	30.4645
0.00192752	30.5527
0.00193865	30.6411
0.00194984	30.7298
0.0019611	30.8187
0.00197242	30.9079
0.00198381	30.9973
0.00199526	31.087
0.00200678	31.177
0.00201837	31.2672
0.00203002	31.3577
0.00204174	31.4484
0.00205353	31.5394
0.00206538	31.6307
0.0020773	31.7222
0.0020893	31.814
0.00210136	31.906
0.00211349	31.9983
0.00212569	32.0909
0.00213796	32.1838
0.0021503	32.2769
0.00216272	32.3703
0.0021752	32.4639
0.00218776	32.5579
0.00220039	32.6521
0.00221309	32.7465
0.00222587	32.8413
0.00223872	32.9363
0.00225165	33.0316
0.00226464	33.1271
0.00227772	33.223
0.00229087	33.3191
0.00230409	33.4155
0.00231739	33.5121
0.00233077	33.6091
0.00234423	33.7063
0.00235776	33.8038
0.00237137	33.9016
0.00238506	33.9997
0.00239883	34.098
0.00241268	34.1967
0.00242661	34.2956
0.00244062	34.3948
0.00245471	34.4943
0.00246888	34.594
0.00248313	34.6941
0.00249747	34.7945
0.00251189	34.8951
0.00252639	34.996
0.00254097	35.0973
0.00255564	35.1988
0.0025704	35.3006
0.00258523	35.4027
0.00260016	35.5051
0.00261517	35.6078
0.00263027	35.7108
0.00264545	35.814
0.00266073	35.9176
0.00267609	36.0215
0.00269153	36.1257
0.00270707	36.2302
0.0027227	36.3349
0.00273842	36.44
0.00275423	36.5454
0.00277013	36.6511
0.00278612	36.7571
0.00280221	36.8634
0.00281838	36.97
0.00283465	37.0769
0.00285102	37.1841
0.00286748	37.2917
0.00288403	37.3995
0.00290068	37.5077
0.00291743	37.6161
0.00293427	37.7249
0.00295121	37.834
0.00296825	37.9434
0.00298538	38.0531
0.00300262	38.1631
0.00301995	38.2735
0.00303739	38.3842
0.00305492	38.4952
0.00307256	38.6065
0.0030903	38.7181
0.00310814	38.83
0.00312608	38.9423
0.00314413	39.0549
0.00316228	39.1678
0.00318053	39.2811
0.0031989	39.3947
0.00321736	39.5086
0.00323594	39.6228
0.00325462	39.7374
0.00327341	39.8522
0.0032923	39.9675
0.00331131	40.083
0.00333043	40.1989
0.00334965	40.3151
0.00336899	40.4317
0.00338844	40.5486
0.003408	40.6658
0.00342768	40.7834
0.00344747	40.9013
0.00346737	41.0195
0.00348739	41.1381
0.00350752	41.257
0.00352777	41.3763
0.00354813	41.4959
0.00356862	41.6159
0.00358922	41.7362
0.00360994	41.8568
0.00363078	41.9778
0.00365174	42.0992
0.00367282	42.2209
0.00369403	42.3429
0.00371535	42.4653
0.0037368	42.5881
0.00375837	42.7112
0.00378007	42.8346
0.00380189	42.9585
0.00382384	43.0826
0.00384592	43.2072
0.00386812	43.3321
0.00389045	43.4573
0.00391291	43.5829
0.0039355	43.7089
0.00395822	43.8352
0.00398107	43.9619
0.00400405	44.089
0.00402717	44.2164
0.00405042	44.3442
0.0040738	44.4724
0.00409732	44.6009
0.00412098	44.7298
0.00414477	44.8591
0.00416869	44.9888
0.00419276	45.1188
0.00421697	45.2492
0.00424131	45.38
0.0042658	45.5111
0.00429042	45.6427
0.00431519	45.7746
0.0043401	45.9069
0.00436516	46.0395
0.00439036	46.1726
0.0044157	46.306
0.0044412	46.4399
0.00446684	46.5741
0.00449262	46.7087
0.00451856	46.8437
0.00454465	46.979
0.00457088	47.1148
0.00459727	47.2509
0.00462381	47.3875
0.0046505	47.5244
0.00467735	47.6618
0.00470435	47.7995
0.00473151	47.9376
0.00475883	48.0761
0.0047863	48.2151
0.00481393	48.3544
0.00484172	48.4941
0.00486968	48.6343
0.00489779	48.8968
0.00492606	49.0378
0.0049545	49.1791
0.0049831	49.3209
0.00501187	49.463
0.00504081	49.6056
0.00506991	49.7486
0.00509918	49.892
0.00512861	50.0358
0.00515822	50.18
0.005188	50.3246
0.00521795	50.4697
0.00524807	50.6152
0.00527837	50.7611
0.00530884	50.9074
0.00533949	51.0541
0.00537032	51.2013
0.00540132	51.3488
0.0054325	51.4969
0.00546387	51.6453
0.00549541	51.7942
0.00552713	51.9434
0.00555904	52.0932
0.00559114	52.2433
0.00562341	52.3939
0.00565588	52.5449
0.00568853	52.6964
0.00572137	52.8483
0.0057544	53.0006
0.00578762	53.1534
0.00582103	53.3066
0.00585464	53.4602
0.00588844	53.6143
0.00592243	53.7688
0.00595662	53.9238
0.00599101	54.0793
0.0060256	54.2351
0.00606038	54.3915
0.00609537	54.5482
0.00613056	54.7055
0.00616595	54.8631
0.00620155	55.0213
0.00623735	55.1799
0.00627336	55.3389
0.00630957	55.4984
0.006346	55.6584
0.00638263	55.8188
0.00641948	55.9797
0.00645654	56.1411
0.00649382	56.3029
0.00653131	56.4652
0.00656901	56.6279
0.00660693	56.7912
0.00664508	56.9549
0.00668344	57.119
0.00672202	57.2837
0.00676083	57.4488
0.00679986	57.6144
0.00683912	57.7804
0.0068786	57.947
0.00691831	58.114
0.00695825	58.2815
0.00699842	58.4495
0.00703882	58.618
0.00707946	58.7869
0.00712033	58.9564
0.00716143	59.1263
0.00720278	59.2967
0.00724436	59.4676
0.00728618	59.639
0.00732825	59.811
0.00737055	59.9833
0.0074131	60.1562
0.0074559	60.3296
0.00749894	60.5035
0.00754223	60.6779
0.00758578	60.8528
0.00762957	61.0282
0.00767361	61.2041
0.00771792	61.3805
0.00776247	61.5575
0.00780728	61.7349
0.00785236	61.9128
0.00789769	62.0913
0.00794328	62.2703
0.00798914	62.4498
0.00803526	62.6298
0.00808165	62.8103
0.00812831	62.9913
0.00817523	63.1729
0.00822243	63.355
0.0082699	63.5376
0.00831764	63.7207
0.00836566	63.9044
0.00841395	64.0886
0.00846253	64.2733
0.00851138	64.4586
