Stopping power dEdx from Ionisation for C12[0.0] Z = 6 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.0877
0.00100577	32.1809
0.00101158	32.2744
0.00101742	32.3682
0.00102329	32.4623
0.0010292	32.5566
0.00103514	32.6512
0.00104112	32.7461
0.00104713	32.8412
0.00105317	32.9366
0.00105925	33.0323
0.00106537	33.1283
0.00107152	33.2245
0.00107771	33.321
0.00108393	33.4178
0.00109018	33.5149
0.00109648	33.6123
0.00110281	33.7099
0.00110917	33.8078
0.00111558	33.906
0.00112202	34.0045
0.0011285	34.1033
0.00113501	34.2023
0.00114156	34.3017
0.00114815	34.4013
0.00115478	34.5012
0.00116145	34.6014
0.00116815	34.7019
0.0011749	34.8027
0.00118168	34.9037
0.0011885	35.0051
0.00119536	35.1067
0.00120226	35.2087
0.00120921	35.3109
0.00121619	35.4135
0.00122321	35.5163
0.00123027	35.6194
0.00123737	35.7228
0.00124451	35.8266
0.0012517	35.9306
0.00125893	36.0349
0.00126619	36.1395
0.0012735	36.2444
0.00128086	36.3497
0.00128825	36.4552
0.00129569	36.561
0.00130317	36.6672
0.00131069	36.7736
0.00131826	36.8803
0.00132587	36.9874
0.00133352	37.0948
0.00134122	37.2024
0.00134896	37.3104
0.00135675	37.4187
0.00136458	37.5273
0.00137246	37.6363
0.00138038	37.7455
0.00138835	37.855
0.00139637	37.9649
0.00140443	38.0751
0.00141254	38.1856
0.00142069	38.2964
0.00142889	38.4076
0.00143714	38.519
0.00144544	38.6308
0.00145378	38.7429
0.00146218	38.8553
0.00147062	38.9681
0.00147911	39.0811
0.00148765	39.1945
0.00149624	39.3083
0.00150487	39.4223
0.00151356	39.5367
0.0015223	39.6514
0.00153109	39.7665
0.00153993	39.8818
0.00154882	39.9976
0.00155776	40.1136
0.00156675	40.23
0.0015758	40.3467
0.00158489	40.4637
0.00159404	40.5811
0.00160325	40.6988
0.0016125	40.8169
0.00162181	40.9353
0.00163117	41.0541
0.00164059	41.1731
0.00165006	41.2926
0.00165959	41.4123
0.00166917	41.5325
0.0016788	41.6529
0.0016885	41.7737
0.00169824	41.8949
0.00170805	42.0164
0.00171791	42.1383
0.00172783	42.2605
0.0017378	42.3831
0.00174783	42.506
0.00175792	42.6293
0.00176807	42.7529
0.00177828	42.8769
0.00178855	43.0012
0.00179887	43.1259
0.00180926	43.251
0.0018197	43.3764
0.00183021	43.5022
0.00184077	43.6283
0.0018514	43.7548
0.00186209	43.8817
0.00187284	44.0089
0.00188365	44.1365
0.00189452	44.2645
0.00190546	44.3928
0.00191646	44.5216
0.00192752	44.6506
0.00193865	44.7801
0.00194984	44.9099
0.0019611	45.0401
0.00197242	45.1707
0.00198381	45.3016
0.00199526	45.433
0.00200678	45.5647
0.00201837	45.6968
0.00203002	45.8292
0.00204174	45.9621
0.00205353	46.0953
0.00206538	46.229
0.0020773	46.363
0.0020893	46.4973
0.00210136	46.6321
0.00211349	46.7673
0.00212569	46.9028
0.00213796	47.0388
0.0021503	47.1751
0.00216272	47.3119
0.0021752	47.449
0.00218776	47.5865
0.00220039	47.7244
0.00221309	47.8627
0.00222587	48.0014
0.00223872	48.1406
0.00225165	48.2801
0.00226464	48.42
0.00227772	48.5603
0.00229087	48.701
0.00230409	48.8422
0.00231739	48.9837
0.00233077	49.1256
0.00234423	49.268
0.00235776	49.4107
0.00237137	49.5539
0.00238506	49.6975
0.00239883	49.8415
0.00241268	49.9859
0.00242661	50.1308
0.00244062	50.276
0.00245471	50.4217
0.00246888	50.5678
0.00248313	50.7143
0.00249747	50.8612
0.00251189	51.0086
0.00252639	51.1563
0.00254097	51.3045
0.00255564	51.4532
0.0025704	51.6022
0.00258523	51.7517
0.00260016	51.9017
0.00261517	52.052
0.00263027	52.2028
0.00264545	52.354
0.00266073	52.5057
0.00267609	52.6578
0.00269153	52.8103
0.00270707	52.9633
0.0027227	53.1167
0.00273842	53.2706
0.00275423	53.4249
0.00277013	53.5796
0.00278612	53.7348
0.00280221	53.8904
0.00281838	54.0465
0.00283465	54.203
0.00285102	54.36
0.00286748	54.5175
0.00288403	54.6754
0.00290068	54.8337
0.00291743	54.9925
0.00293427	55.1518
0.00295121	55.3115
0.00296825	55.4717
0.00298538	55.6323
0.00300262	55.7934
0.00301995	55.955
0.00303739	56.1171
0.00305492	56.2796
0.00307256	56.4425
0.0030903	56.606
0.00310814	56.7699
0.00312608	56.9343
0.00314413	57.0991
0.00316228	57.2645
0.00318053	57.4303
0.0031989	57.5966
0.00321736	57.7633
0.00323594	57.9306
0.00325462	58.0983
0.00327341	58.2665
0.0032923	58.4352
0.00331131	58.6044
0.00333043	58.7741
0.00334965	58.9443
0.00336899	59.1149
0.00338844	59.2861
0.003408	59.4577
0.00342768	59.6298
0.00344747	59.8025
0.00346737	59.9756
0.00348739	60.1492
0.00350752	60.3233
0.00352777	60.498
0.00354813	60.6731
0.00356862	60.8487
0.00358922	61.0249
0.00360994	61.2015
0.00363078	61.3787
0.00365174	61.5564
0.00367282	61.7346
0.00369403	61.9132
0.00371535	62.0925
0.0037368	62.2722
0.00375837	62.4524
0.00378007	62.6332
0.00380189	62.8145
0.00382384	62.9963
0.00384592	63.1786
0.00386812	63.3615
0.00389045	63.5449
0.00391291	63.7288
0.0039355	63.9132
0.00395822	64.0982
0.00398107	64.2837
0.00400405	64.4698
0.00402717	64.6563
0.00405042	64.8435
0.0040738	65.0311
0.00409732	65.2193
0.00412098	65.4081
0.00414477	65.5973
0.00416869	65.7872
0.00419276	65.9775
0.00421697	66.1685
0.00424131	66.36
0.0042658	66.552
0.00429042	66.7446
0.00431519	66.9377
0.0043401	67.1314
0.00436516	67.3256
0.00439036	67.5205
0.0044157	67.7158
0.0044412	67.9118
0.00446684	68.1083
0.00449262	68.3053
0.00451856	68.503
0.00454465	68.7012
0.00457088	68.9
0.00459727	69.0993
0.00462381	69.2992
0.0046505	69.4997
0.00467735	69.7008
0.00470435	69.9025
0.00473151	70.1047
0.00475883	70.3075
0.0047863	70.5109
0.00481393	70.7149
0.00484172	70.9195
0.00486968	71.1247
0.00489779	71.3304
0.00492606	71.5368
0.0049545	71.7437
0.0049831	71.9513
0.00501187	72.1594
0.00504081	72.3682
0.00506991	72.5775
0.00509918	72.7875
0.00512861	72.998
0.00515822	73.2092
0.005188	73.421
0.00521795	73.6333
0.00524807	73.8463
0.00527837	74.0599
0.00530884	74.2742
0.00533949	74.489
0.00537032	74.7045
0.00540132	74.9206
0.0054325	75.1373
0.00546387	75.3546
0.00549541	75.5725
0.00552713	75.7911
0.00555904	76.0103
0.00559114	76.2302
0.00562341	76.4507
0.00565588	76.6718
0.00568853	76.8935
0.00572137	77.1159
0.0057544	77.3389
0.00578762	77.5626
0.00582103	77.7869
0.00585464	78.0119
0.00588844	78.2375
0.00592243	78.4638
0.00595662	78.6907
0.00599101	78.9183
0.0060256	79.1465
0.00606038	79.3754
0.00609537	79.6049
