Stopping power dEdx from Ionisation for Ca40[0.0] Z = 20 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.3963
0.00100577	23.4641
0.00101158	23.5321
0.00101742	23.6004
0.00102329	23.6688
0.0010292	23.7374
0.00103514	23.8062
0.00104112	23.8752
0.00104713	23.9445
0.00105317	24.0139
0.00105925	24.0835
0.00106537	24.1533
0.00107152	24.2233
0.00107771	24.2935
0.00108393	24.364
0.00109018	24.4346
0.00109648	24.5054
0.00110281	24.5765
0.00110917	24.6477
0.00111558	24.7191
0.00112202	24.7908
0.0011285	24.8626
0.00113501	24.9347
0.00114156	25.007
0.00114815	25.0795
0.00115478	25.1521
0.00116145	25.225
0.00116815	25.2981
0.0011749	25.3715
0.00118168	25.445
0.0011885	25.5187
0.00119536	25.5927
0.00120226	25.6669
0.00120921	25.7412
0.00121619	25.8158
0.00122321	25.8906
0.00123027	25.9657
0.00123737	26.0409
0.00124451	26.1164
0.0012517	26.192
0.00125893	26.2679
0.00126619	26.344
0.0012735	26.4204
0.00128086	26.4969
0.00128825	26.5737
0.00129569	26.6507
0.00130317	26.7279
0.00131069	26.8054
0.00131826	26.883
0.00132587	26.9609
0.00133352	27.039
0.00134122	27.1174
0.00134896	27.1959
0.00135675	27.2747
0.00136458	27.3537
0.00137246	27.433
0.00138038	27.5124
0.00138835	27.5921
0.00139637	27.6721
0.00140443	27.7522
0.00141254	27.8326
0.00142069	27.9132
0.00142889	27.9941
0.00143714	28.0752
0.00144544	28.1565
0.00145378	28.2381
0.00146218	28.3199
0.00147062	28.4019
0.00147911	28.4841
0.00148765	28.5666
0.00149624	28.6494
0.00150487	28.7324
0.00151356	28.8156
0.0015223	28.899
0.00153109	28.9827
0.00153993	29.0667
0.00154882	29.1509
0.00155776	29.2353
0.00156675	29.3199
0.0015758	29.4048
0.00158489	29.49
0.00159404	29.5754
0.00160325	29.6611
0.0016125	29.7469
0.00162181	29.8331
0.00163117	29.9195
0.00164059	30.0061
0.00165006	30.093
0.00165959	30.1801
0.00166917	30.2675
0.0016788	30.3552
0.0016885	30.4431
0.00169824	30.5312
0.00170805	30.6196
0.00171791	30.7083
0.00172783	30.7972
0.0017378	30.8864
0.00174783	30.9758
0.00175792	31.0655
0.00176807	31.1554
0.00177828	31.2456
0.00178855	31.3361
0.00179887	31.4268
0.00180926	31.5178
0.0018197	31.609
0.00183021	31.7005
0.00184077	31.7923
0.0018514	31.8843
0.00186209	31.9766
0.00187284	32.0692
0.00188365	32.162
0.00189452	32.2551
0.00190546	32.3485
0.00191646	32.4421
0.00192752	32.5361
0.00193865	32.6302
0.00194984	32.7247
0.0019611	32.8194
0.00197242	32.9144
0.00198381	33.0097
0.00199526	33.1052
0.00200678	33.201
0.00201837	33.2971
0.00203002	33.3935
0.00204174	33.4902
0.00205353	33.5871
0.00206538	33.6843
0.0020773	33.7818
0.0020893	33.8796
0.00210136	33.9776
0.00211349	34.076
0.00212569	34.1746
0.00213796	34.2735
0.0021503	34.3727
0.00216272	34.4721
0.0021752	34.5719
0.00218776	34.672
0.00220039	34.7723
0.00221309	34.8729
0.00222587	34.9738
0.00223872	35.075
0.00225165	35.1765
0.00226464	35.2783
0.00227772	35.3804
0.00229087	35.4828
0.00230409	35.5855
0.00231739	35.6884
0.00233077	35.7917
0.00234423	35.8953
0.00235776	35.9991
0.00237137	36.1033
0.00238506	36.2078
0.00239883	36.3125
0.00241268	36.4176
0.00242661	36.523
0.00244062	36.6286
0.00245471	36.7346
0.00246888	36.8409
0.00248313	36.9475
0.00249747	37.0544
0.00251189	37.1616
0.00252639	37.2691
0.00254097	37.3769
0.00255564	37.485
0.0025704	37.5935
0.00258523	37.7022
0.00260016	37.8113
0.00261517	37.9207
0.00263027	38.0304
0.00264545	38.1404
0.00266073	38.2508
0.00267609	38.3614
0.00269153	38.4724
0.00270707	38.5837
0.0027227	38.6953
0.00273842	38.8072
0.00275423	38.9195
0.00277013	39.032
0.00278612	39.145
0.00280221	39.2582
0.00281838	39.3717
0.00283465	39.4856
0.00285102	39.5998
0.00286748	39.7144
0.00288403	39.8292
0.00290068	39.9444
0.00291743	40.06
0.00293427	40.1758
0.00295121	40.292
0.00296825	40.4086
0.00298538	40.5255
0.00300262	40.6427
0.00301995	40.7602
0.00303739	40.8781
0.00305492	40.9963
0.00307256	41.1149
0.0030903	41.2338
0.00310814	41.353
