Stopping power dEdx from Ionisation for Cl35[0.0] Z = 17 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.5978
0.00100577	32.6925
0.00101158	32.7875
0.00101742	32.8828
0.00102329	32.9784
0.0010292	33.0742
0.00103514	33.1703
0.00104112	33.2667
0.00104713	33.3634
0.00105317	33.4603
0.00105925	33.5575
0.00106537	33.655
0.00107152	33.7528
0.00107771	33.8509
0.00108393	33.9492
0.00109018	34.0479
0.00109648	34.1468
0.00110281	34.246
0.00110917	34.3455
0.00111558	34.4452
0.00112202	34.5453
0.0011285	34.6457
0.00113501	34.7463
0.00114156	34.8472
0.00114815	34.9484
0.00115478	35.05
0.00116145	35.1518
0.00116815	35.2539
0.0011749	35.3563
0.00118168	35.4589
0.0011885	35.5619
0.00119536	35.6652
0.00120226	35.7688
0.00120921	35.8727
0.00121619	35.9768
0.00122321	36.0813
0.00123027	36.1861
0.00123737	36.2912
0.00124451	36.3966
0.0012517	36.5023
0.00125893	36.6082
0.00126619	36.7145
0.0012735	36.8211
0.00128086	36.9281
0.00128825	37.0353
0.00129569	37.1428
0.00130317	37.2506
0.00131069	37.3588
0.00131826	37.4673
0.00132587	37.576
0.00133352	37.6851
0.00134122	37.7945
0.00134896	37.9042
0.00135675	38.0143
0.00136458	38.1246
0.00137246	38.2353
0.00138038	38.3463
0.00138835	38.4576
0.00139637	38.5692
0.00140443	38.6812
0.00141254	38.7934
0.00142069	38.906
0.00142889	39.0189
0.00143714	39.1322
0.00144544	39.2458
0.00145378	39.3597
0.00146218	39.4739
0.00147062	39.5884
0.00147911	39.7033
0.00148765	39.8185
0.00149624	39.9341
0.00150487	40.05
0.00151356	40.1662
0.0015223	40.2828
0.00153109	40.3996
0.00153993	40.5169
0.00154882	40.6344
0.00155776	40.7523
0.00156675	40.8706
0.0015758	40.9892
0.00158489	41.1081
0.00159404	41.2274
0.00160325	41.347
0.0016125	41.4669
0.00162181	41.5872
0.00163117	41.7079
0.00164059	41.8289
0.00165006	41.9502
0.00165959	42.0719
0.00166917	42.1939
0.0016788	42.3163
0.0016885	42.4391
0.00169824	42.5622
0.00170805	42.6857
0.00171791	42.8095
0.00172783	42.9336
0.0017378	43.0582
0.00174783	43.1831
0.00175792	43.3083
0.00176807	43.4339
0.00177828	43.5599
0.00178855	43.6862
0.00179887	43.8129
0.00180926	43.94
0.0018197	44.0674
0.00183021	44.1952
0.00184077	44.3234
0.0018514	44.4519
0.00186209	44.5808
0.00187284	44.7101
0.00188365	44.8398
0.00189452	44.9698
0.00190546	45.1002
0.00191646	45.2309
0.00192752	45.3621
0.00193865	45.4936
0.00194984	45.6255
0.0019611	45.7578
0.00197242	45.8905
0.00198381	46.0235
0.00199526	46.157
0.00200678	46.2908
0.00201837	46.425
0.00203002	46.5596
0.00204174	46.6946
0.00205353	46.83
0.00206538	46.9657
0.0020773	47.1019
0.0020893	47.2384
0.00210136	47.3753
0.00211349	47.5127
0.00212569	47.6504
0.00213796	47.7885
0.0021503	47.9271
0.00216272	48.066
0.0021752	48.2053
0.00218776	48.345
0.00220039	48.4851
0.00221309	48.6257
0.00222587	48.7666
0.00223872	48.908
0.00225165	49.0497
0.00226464	49.1919
0.00227772	49.3344
0.00229087	49.4774
0.00230409	49.6208
0.00231739	49.7646
0.00233077	49.9088
0.00234423	50.0535
0.00235776	50.1985
0.00237137	50.344
0.00238506	50.4899
0.00239883	50.6362
0.00241268	50.7829
0.00242661	50.9301
0.00244062	51.0776
0.00245471	51.2256
0.00246888	51.3741
0.00248313	51.5229
0.00249747	51.6722
0.00251189	51.8219
0.00252639	51.9721
0.00254097	52.1227
0.00255564	52.2737
0.0025704	52.4251
0.00258523	52.577
0.00260016	52.7293
0.00261517	52.8821
0.00263027	53.0353
0.00264545	53.189
0.00266073	53.3431
0.00267609	53.4976
0.00269153	53.6526
0.00270707	53.808
0.0027227	53.9639
0.00273842	54.1202
0.00275423	54.277
0.00277013	54.4342
0.00278612	54.5919
0.00280221	54.75
0.00281838	54.9086
0.00283465	55.0676
0.00285102	55.2271
0.00286748	55.3871
0.00288403	55.5475
0.00290068	55.7084
0.00291743	55.8698
0.00293427	56.0316
0.00295121	56.1939
0.00296825	56.3566
0.00298538	56.5198
0.00300262	56.6835
0.00301995	56.8477
0.00303739	57.0123
0.00305492	57.1774
0.00307256	57.343
0.0030903	57.5091
0.00310814	57.6756
0.00312608	57.8426
0.00314413	58.0101
0.00316228	58.1781
0.00318053	58.3466
0.0031989	58.5156
0.00321736	58.685
0.00323594	58.8549
0.00325462	59.0253
0.00327341	59.1963
0.0032923	59.3677
0.00331131	59.5396
0.00333043	59.712
0.00334965	59.8848
0.00336899	60.0582
0.00338844	60.2321
0.003408	60.4065
0.00342768	60.5814
0.00344747	60.7568
0.00346737	60.9327
0.00348739	61.1091
0.00350752	61.286
0.00352777	61.4635
0.00354813	61.6414
0.00356862	61.8199
0.00358922	61.9988
0.00360994	62.1783
0.00363078	62.3583
0.00365174	62.5388
0.00367282	62.7199
0.00369403	62.9014
0.00371535	63.0835
0.0037368	63.2661
0.00375837	63.4492
0.00378007	63.6329
0.00380189	63.8171
0.00382384	64.0018
0.00384592	64.1871
0.00386812	64.3729
0.00389045	64.5592
0.00391291	64.7461
0.0039355	64.9335
0.00395822	65.1214
0.00398107	65.3099
0.00400405	65.4989
0.00402717	65.6885
0.00405042	65.8786
0.0040738	66.0693
0.00409732	66.2605
0.00412098	66.4522
0.00414477	66.6446
0.00416869	66.8374
0.00419276	67.0309
0.00421697	67.2249
0.00424131	67.4194
0.0042658	67.6145
0.00429042	67.8102
0.00431519	68.0064
0.0043401	68.2032
0.00436516	68.4006
0.00439036	68.5985
0.0044157	68.797
0.0044412	68.9961
0.00446684	69.1957
0.00449262	69.396
0.00451856	69.5968
0.00454465	69.7982
0.00457088	70.0001
0.00459727	70.2027
0.00462381	70.4058
0.0046505	70.6095
0.00467735	70.8138
0.00470435	71.0187
0.00473151	71.2242
0.00475883	71.4303
0.0047863	71.6369
0.00481393	71.8442
0.00484172	72.052
0.00486968	72.2605
0.00489779	72.4696
0.00492606	72.6792
0.0049545	72.8895
0.0049831	73.1004
0.00501187	73.3119
0.00504081	73.5239
0.00506991	73.7366
0.00509918	73.95
0.00512861	74.1639
0.00515822	74.3784
0.005188	74.5936
0.00521795	74.8094
0.00524807	75.0258
0.00527837	75.2428
0.00530884	75.4605
0.00533949	75.6788
0.00537032	75.8977
0.00540132	76.1172
0.0054325	76.3374
0.00546387	76.5582
0.00549541	76.7797
0.00552713	77.0017
0.00555904	77.2245
0.00559114	77.4478
0.00562341	77.6719
0.00565588	77.8965
0.00568853	78.1218
0.00572137	78.3478
0.0057544	78.5744
0.00578762	78.8016
0.00582103	79.0296
0.00585464	79.2581
0.00588844	79.4874
0.00592243	79.7172
0.00595662	79.9478
0.00599101	80.179
0.0060256	80.4109
0.00606038	80.6435
0.00609537	80.8767
0.00613056	81.1106
0.00616595	81.3451
0.00620155	81.5804
0.00623735	81.8163
0.00627336	82.0529
0.00630957	82.2902
0.006346	82.5282
0.00638263	82.7668
0.00641948	83.0062
0.00645654	83.2462
0.00649382	83.4869
0.00653131	83.7284
0.00656901	83.9705
0.00660693	84.2133
0.00664508	84.4568
0.00668344	84.701
0.00672202	84.9459
0.00676083	85.1915
0.00679986	85.4379
0.00683912	85.6849
0.0068786	85.9327
0.00691831	86.1811
0.00695825	86.4303
0.00699842	86.6802
0.00703882	86.9309
0.00707946	87.1822
0.00712033	87.4343
0.00716143	87.6871
0.00720278	87.9406
0.00724436	88.1949
0.00728618	88.4498
0.00732825	88.7056
0.00737055	88.962
0.0074131	89.2192
0.0074559	89.4772
0.00749894	89.7359
0.00754223	89.9953
0.00758578	90.2555
0.00762957	90.5164
0.00767361	90.7781
0.00771792	91.0405
0.00776247	91.3037
0.00780728	91.5677
0.00785236	91.8324
0.00789769	92.0978
0.00794328	92.3641
0.00798914	92.6311
0.00803526	92.8989
0.00808165	93.1674
0.00812831	93.4367
0.00817523	93.7068
0.00822243	93.9777
0.0082699	94.2494
0.00831764	94.5218
0.00836566	94.795
0.00841395	95.069
0.00846253	95.3438
0.00851138	95.6194
0.00856052	95.8958
0.00860994	96.173
0.00865964	96.451
0.00870964	96.7298
0.00875992	97.0094
0.00881049	97.2898
0.00886135	97.571
0.00891251	97.853
0.00896396	98.1358
0.00901571	98.4195
0.00906776	98.7039
0.00912011	98.9892
0.00917276	99.2753
0.00922571	99.5622
0.00927897	99.85
0.00933254	100.139
0.00938642	100.428
0.00944061	100.718
0.00949511	101.009
0.00954993	101.301
0.00960506	101.594
0.00966051	101.888
0.00971628	102.182
0.00977237	102.477
0.00982879	102.774
0.00988553	103.071
0.0099426	103.368
0.01	103.667
0.0100577	103.967
0.0101158	104.267
0.0101742	104.569
0.0102329	104.871
0.010292	105.174
0.0103514	105.478
0.0104112	105.782
0.0104713	106.088
0.0105317	106.395
0.0105925	106.702
0.0106537	107.011
0.0107152	107.32
0.0107771	107.63
0.0108393	108.211
0.0109018	108.523
0.0109648	108.836
0.0110281	109.149
0.0110917	109.464
0.0111558	109.779
0.0112202	110.096
0.011285	110.413
0.0113501	110.731
0.0114156	111.051
0.0114815	111.371
0.0115478	111.692
0.0116145	112.014
0.0116815	112.337
0.011749	112.66
0.0118168	112.985
0.011885	113.311
0.0119536	113.637
0.0120226	113.965
0.0120921	114.293
0.0121619	114.623
0.0122321	114.953
0.0123027	115.285
0.0123737	115.617
0.0124451	115.95
0.012517	116.284
0.0125893	116.619
0.0126619	116.956
0.012735	117.293
0.0128086	117.631
0.0128825	117.97
0.0129569	118.31
0.0130317	118.651
0.0131069	118.993
0.0131826	119.336
0.0132587	119.68
