Stopping power dEdx from Ionisation for Cr52[0.0] Z = 24 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	30.2869
0.00100577	30.3749
0.00101158	30.4631
0.00101742	30.5516
0.00102329	30.6403
0.0010292	30.7293
0.00103514	30.8185
0.00104112	30.908
0.00104713	30.9978
0.00105317	31.0878
0.00105925	31.1781
0.00106537	31.2686
0.00107152	31.3594
0.00107771	31.4505
0.00108393	31.5418
0.00109018	31.6334
0.00109648	31.7252
0.00110281	31.8173
0.00110917	31.9097
0.00111558	32.0024
0.00112202	32.0953
0.0011285	32.1885
0.00113501	32.2819
0.00114156	32.3756
0.00114815	32.4696
0.00115478	32.5639
0.00116145	32.6584
0.00116815	32.7532
0.0011749	32.8483
0.00118168	32.9437
0.0011885	33.0393
0.00119536	33.1352
0.00120226	33.2314
0.00120921	33.3278
0.00121619	33.4246
0.00122321	33.5216
0.00123027	33.6189
0.00123737	33.7164
0.00124451	33.8143
0.0012517	33.9124
0.00125893	34.0109
0.00126619	34.1096
0.0012735	34.2085
0.00128086	34.3078
0.00128825	34.4074
0.00129569	34.5072
0.00130317	34.6074
0.00131069	34.7078
0.00131826	34.8085
0.00132587	34.9095
0.00133352	35.0108
0.00134122	35.1124
0.00134896	35.2143
0.00135675	35.3164
0.00136458	35.4189
0.00137246	35.5217
0.00138038	35.6247
0.00138835	35.7281
0.00139637	35.8317
0.00140443	35.9357
0.00141254	36.0399
0.00142069	36.1445
0.00142889	36.2493
0.00143714	36.3545
0.00144544	36.4599
0.00145378	36.5657
0.00146218	36.6718
0.00147062	36.7781
0.00147911	36.8848
0.00148765	36.9918
0.00149624	37.0991
0.00150487	37.2067
0.00151356	37.3146
0.0015223	37.4229
0.00153109	37.5314
0.00153993	37.6402
0.00154882	37.7494
0.00155776	37.8589
0.00156675	37.9687
0.0015758	38.0788
0.00158489	38.1892
0.00159404	38.3
0.00160325	38.411
0.0016125	38.5224
0.00162181	38.6341
0.00163117	38.7462
0.00164059	38.8585
0.00165006	38.9712
0.00165959	39.0842
0.00166917	39.1975
0.0016788	39.3112
0.0016885	39.4251
0.00169824	39.5395
0.00170805	39.6541
0.00171791	39.7691
0.00172783	39.8844
0.0017378	40
0.00174783	40.116
0.00175792	40.2323
0.00176807	40.3489
0.00177828	40.4659
0.00178855	40.5832
0.00179887	40.7008
0.00180926	40.8188
0.0018197	40.9371
0.00183021	41.0558
0.00184077	41.1748
0.0018514	41.2942
0.00186209	41.4139
0.00187284	41.5339
0.00188365	41.6543
0.00189452	41.775
0.00190546	41.8961
0.00191646	42.0175
0.00192752	42.1393
0.00193865	42.2615
0.00194984	42.3839
0.0019611	42.5068
0.00197242	42.63
0.00198381	42.7535
0.00199526	42.8774
0.00200678	43.0017
0.00201837	43.1263
0.00203002	43.2513
0.00204174	43.3766
0.00205353	43.5023
0.00206538	43.6284
0.0020773	43.7548
0.0020893	43.8816
0.00210136	44.0087
0.00211349	44.1363
0.00212569	44.2642
0.00213796	44.3924
0.0021503	44.521
0.00216272	44.65
0.0021752	44.7794
0.00218776	44.9091
0.00220039	45.0393
0.00221309	45.1698
0.00222587	45.3006
0.00223872	45.4319
0.00225165	45.5635
0.00226464	45.6955
0.00227772	45.8279
0.00229087	45.9606
0.00230409	46.0938
0.00231739	46.2273
0.00233077	46.3612
0.00234423	46.4955
0.00235776	46.6302
0.00237137	46.7653
0.00238506	46.9008
0.00239883	47.0366
0.00241268	47.1729
0.00242661	47.3095
0.00244062	47.4465
0.00245471	47.584
0.00246888	47.7218
0.00248313	47.86
0.00249747	47.9987
0.00251189	48.1377
0.00252639	48.2771
0.00254097	48.4169
0.00255564	48.5571
0.0025704	48.6978
0.00258523	48.8388
0.00260016	48.9803
0.00261517	49.1221
0.00263027	49.2644
0.00264545	49.407
0.00266073	49.5501
0.00267609	49.6936
0.00269153	49.8375
0.00270707	49.9818
0.0027227	50.1266
0.00273842	50.2717
0.00275423	50.4173
0.00277013	50.5633
0.00278612	50.7097
0.00280221	50.8565
0.00281838	51.0038
0.00283465	51.1515
0.00285102	51.2996
0.00286748	51.4481
0.00288403	51.5971
0.00290068	51.7465
0.00291743	51.8963
0.00293427	52.0466
0.00295121	52.1973
0.00296825	52.3484
0.00298538	52.4999
0.00300262	52.6519
0.00301995	52.8044
0.00303739	52.9572
0.00305492	53.1106
0.00307256	53.2643
0.0030903	53.4185
0.00310814	53.5732
0.00312608	53.7283
0.00314413	53.8838
0.00316228	54.0398
0.00318053	54.1962
0.0031989	54.3531
0.00321736	54.5104
0.00323594	54.6682
0.00325462	54.8265
0.00327341	54.9852
0.0032923	55.1443
0.00331131	55.3039
0.00333043	55.464
0.00334965	55.6246
0.00336899	55.7856
0.00338844	55.947
0.003408	56.109
0.00342768	56.2714
0.00344747	56.4342
0.00346737	56.5976
0.00348739	56.7614
0.00350752	56.9256
0.00352777	57.0904
0.00354813	57.2556
0.00356862	57.4213
0.00358922	57.5875
0.00360994	57.7542
0.00363078	57.9213
0.00365174	58.0889
0.00367282	58.257
0.00369403	58.4256
0.00371535	58.5947
0.0037368	58.7643
0.00375837	58.9343
0.00378007	59.1049
0.00380189	59.2759
0.00382384	59.4474
0.00384592	59.6194
0.00386812	59.792
0.00389045	59.965
0.00391291	60.1385
0.0039355	60.3125
0.00395822	60.487
0.00398107	60.662
0.00400405	60.8376
0.00402717	61.0136
0.00405042	61.1901
0.0040738	61.3672
0.00409732	61.5447
0.00412098	61.7228
0.00414477	61.9014
0.00416869	62.0805
0.00419276	62.2601
0.00421697	62.4402
0.00424131	62.6208
0.0042658	62.802
0.00429042	62.9837
0.00431519	63.1659
0.0043401	63.3487
0.00436516	63.5319
0.00439036	63.7157
0.0044157	63.9
0.0044412	64.0849
0.00446684	64.2703
0.00449262	64.4562
0.00451856	64.6427
0.00454465	64.8297
0.00457088	65.0172
0.00459727	65.2053
0.00462381	65.3939
0.0046505	65.583
0.00467735	65.7728
0.00470435	65.963
0.00473151	66.1538
0.00475883	66.3452
0.0047863	66.5371
0.00481393	66.7295
0.00484172	66.9225
0.00486968	67.1161
0.00489779	67.3102
0.00492606	67.5049
0.0049545	67.7002
0.0049831	67.896
0.00501187	68.0923
0.00504081	68.2893
0.00506991	68.4868
0.00509918	68.6849
0.00512861	68.8835
0.00515822	69.0827
0.005188	69.2825
0.00521795	69.4829
0.00524807	69.6838
0.00527837	69.8854
0.00530884	70.0875
0.00533949	70.2902
0.00537032	70.4934
0.00540132	70.6973
0.0054325	70.9017
0.00546387	71.1068
0.00549541	71.3124
0.00552713	71.5186
0.00555904	71.7254
0.00559114	71.9328
0.00562341	72.1409
0.00565588	72.3495
0.00568853	72.5587
0.00572137	72.7685
0.0057544	72.9789
0.00578762	73.1899
0.00582103	73.4016
0.00585464	73.6138
0.00588844	73.8267
