Stopping power dEdx from Ionisation for F19[0.0] Z = 9 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.191
0.00100577	23.2583
0.00101158	23.3257
0.00101742	23.3933
0.00102329	23.4612
0.0010292	23.5292
0.00103514	23.5974
0.00104112	23.6658
0.00104713	23.7344
0.00105317	23.8032
0.00105925	23.8722
0.00106537	23.9414
0.00107152	24.0108
0.00107771	24.0804
0.00108393	24.1502
0.00109018	24.2202
0.00109648	24.2904
0.00110281	24.3608
0.00110917	24.4314
0.00111558	24.5022
0.00112202	24.5733
0.0011285	24.6445
0.00113501	24.7159
0.00114156	24.7875
0.00114815	24.8594
0.00115478	24.9314
0.00116145	25.0037
0.00116815	25.0761
0.0011749	25.1488
0.00118168	25.2217
0.0011885	25.2948
0.00119536	25.3681
0.00120226	25.4416
0.00120921	25.5153
0.00121619	25.5893
0.00122321	25.6634
0.00123027	25.7378
0.00123737	25.8123
0.00124451	25.8871
0.0012517	25.9621
0.00125893	26.0374
0.00126619	26.1128
0.0012735	26.1885
0.00128086	26.2644
0.00128825	26.3404
0.00129569	26.4168
0.00130317	26.4933
0.00131069	26.5701
0.00131826	26.647
0.00132587	26.7242
0.00133352	26.8017
0.00134122	26.8793
0.00134896	26.9572
0.00135675	27.0353
0.00136458	27.1136
0.00137246	27.1921
0.00138038	27.2709
0.00138835	27.3499
0.00139637	27.4291
0.00140443	27.5086
0.00141254	27.5882
0.00142069	27.6682
0.00142889	27.7483
0.00143714	27.8287
0.00144544	27.9093
0.00145378	27.9901
0.00146218	28.0712
0.00147062	28.1525
0.00147911	28.234
0.00148765	28.3158
0.00149624	28.3978
0.00150487	28.4801
0.00151356	28.5625
0.0015223	28.6453
0.00153109	28.7282
0.00153993	28.8114
0.00154882	28.8949
0.00155776	28.9785
0.00156675	29.0624
0.0015758	29.1466
0.00158489	29.231
0.00159404	29.3157
0.00160325	29.4005
0.0016125	29.4857
0.00162181	29.5711
0.00163117	29.6567
0.00164059	29.7426
0.00165006	29.8287
0.00165959	29.9151
0.00166917	30.0017
0.0016788	30.0885
0.0016885	30.1757
0.00169824	30.263
0.00170805	30.3507
0.00171791	30.4385
0.00172783	30.5267
0.0017378	30.615
0.00174783	30.7037
0.00175792	30.7926
0.00176807	30.8817
0.00177828	30.9711
0.00178855	31.0608
0.00179887	31.1507
0.00180926	31.2409
0.0018197	31.3313
0.00183021	31.422
0.00184077	31.513
0.0018514	31.6042
0.00186209	31.6957
0.00187284	31.7874
0.00188365	31.8795
0.00189452	31.9717
0.00190546	32.0643
0.00191646	32.1571
0.00192752	32.2502
0.00193865	32.3435
0.00194984	32.4372
0.0019611	32.531
0.00197242	32.6252
0.00198381	32.7196
0.00199526	32.8143
0.00200678	32.9093
0.00201837	33.0046
0.00203002	33.1001
0.00204174	33.1959
0.00205353	33.292
0.00206538	33.3883
0.0020773	33.4849
0.0020893	33.5818
0.00210136	33.679
0.00211349	33.7765
0.00212569	33.8743
0.00213796	33.9723
0.0021503	34.0706
0.00216272	34.1692
0.0021752	34.2681
0.00218776	34.3672
0.00220039	34.4667
0.00221309	34.5664
0.00222587	34.6665
0.00223872	34.7668
0.00225165	34.8674
0.00226464	34.9683
0.00227772	35.0694
0.00229087	35.1709
0.00230409	35.2727
0.00231739	35.3748
0.00233077	35.4771
0.00234423	35.5798
0.00235776	35.6827
0.00237137	35.7859
0.00238506	35.8895
0.00239883	35.9933
0.00241268	36.0975
0.00242661	36.2019
0.00244062	36.3066
0.00245471	36.4117
0.00246888	36.517
0.00248313	36.6227
0.00249747	36.7286
0.00251189	36.8349
0.00252639	36.9415
0.00254097	37.0483
0.00255564	37.1555
0.0025704	37.263
0.00258523	37.3708
0.00260016	37.4789
0.00261517	37.5873
0.00263027	37.6961
0.00264545	37.8051
0.00266073	37.9145
0.00267609	38.0241
0.00269153	38.1341
0.00270707	38.2444
0.0027227	38.3551
0.00273842	38.466
0.00275423	38.5773
0.00277013	38.6889
0.00278612	38.8008
0.00280221	38.913
0.00281838	39.0256
0.00283465	39.1384
0.00285102	39.2516
0.00286748	39.3652
0.00288403	39.479
0.00290068	39.5932
0.00291743	39.7077
0.00293427	39.8226
0.00295121	39.9377
0.00296825	40.0533
0.00298538	40.1691
0.00300262	40.2853
0.00301995	40.4018
0.00303739	40.5186
0.00305492	40.6358
0.00307256	40.7533
0.0030903	40.8712
0.00310814	40.9894
0.00312608	41.1079
0.00314413	41.2268
0.00316228	41.346
0.00318053	41.4656
0.0031989	41.5855
0.00321736	41.7058
0.00323594	41.8264
0.00325462	41.9473
0.00327341	42.0686
0.0032923	42.1903
0.00331131	42.3123
0.00333043	42.4346
0.00334965	42.5573
0.00336899	42.6804
0.00338844	42.8038
0.003408	42.9276
0.00342768	43.0517
0.00344747	43.1762
0.00346737	43.301
0.00348739	43.4262
0.00350752	43.5518
0.00352777	43.6777
0.00354813	43.804
0.00356862	43.9306
0.00358922	44.0577
0.00360994	44.185
0.00363078	44.3128
0.00365174	44.4409
0.00367282	44.5694
0.00369403	44.6983
0.00371535	44.8275
0.0037368	44.9571
0.00375837	45.0871
0.00378007	45.2174
0.00380189	45.3481
0.00382384	45.4792
0.00384592	45.6107
0.00386812	45.7426
0.00389045	45.8748
0.00391291	46.0074
0.0039355	46.1404
0.00395822	46.2738
0.00398107	46.4076
0.00400405	46.5418
0.00402717	46.6763
0.00405042	46.8112
0.0040738	46.9465
0.00409732	47.0823
0.00412098	47.2184
0.00414477	47.3549
0.00416869	47.4917
0.00419276	47.629
0.00421697	47.7667
0.00424131	47.9048
0.0042658	48.0432
0.00429042	48.1821
0.00431519	48.3214
0.0043401	48.4611
0.00436516	48.6011
0.00439036	48.7416
0.0044157	48.8825
0.0044412	49.0238
0.00446684	49.1655
0.00449262	49.3076
0.00451856	49.4501
0.00454465	49.593
0.00457088	49.7364
0.00459727	49.8801
0.00462381	50.0243
0.0046505	50.1689
0.00467735	50.3139
0.00470435	50.4593
0.00473151	50.6051
0.00475883	50.7514
0.0047863	50.898
0.00481393	51.0451
0.00484172	51.1927
0.00486968	51.3406
0.00489779	51.489
0.00492606	51.6378
0.0049545	51.787
0.0049831	51.9367
0.00501187	52.0868
0.00504081	52.2373
0.00506991	52.3883
0.00509918	52.5397
0.00512861	52.6915
0.00515822	52.8438
0.005188	52.9965
0.00521795	53.1496
0.00524807	53.3032
0.00527837	53.4572
0.00530884	53.6117
0.00533949	53.7666
0.00537032	53.922
0.00540132	54.0778
0.0054325	54.2341
0.00546387	54.5268
0.00549541	54.684
0.00552713	54.8416
0.00555904	54.9997
0.00559114	55.1582
0.00562341	55.3172
0.00565588	55.4767
0.00568853	55.6366
0.00572137	55.7969
0.0057544	55.9578
0.00578762	56.1191
0.00582103	56.2808
0.00585464	56.443
0.00588844	56.6057
0.00592243	56.7689
0.00595662	56.9325
0.00599101	57.0966
0.0060256	57.2612
0.00606038	57.4262
0.00609537	57.5918
0.00613056	57.7578
0.00616595	57.9242
0.00620155	58.0912
0.00623735	58.2586
0.00627336	58.4266
0.00630957	58.595
0.006346	58.7639
0.00638263	58.9332
0.00641948	59.1031
0.00645654	59.2735
0.00649382	59.4443
0.00653131	59.6157
0.00656901	59.7875
0.00660693	59.9598
0.00664508	60.1326
0.00668344	60.306
0.00672202	60.4798
0.00676083	60.6541
0.00679986	60.829
0.00683912	61.0043
0.0068786	61.1801
0.00691831	61.3565
0.00695825	61.5333
0.00699842	61.7107
0.00703882	61.8886
0.00707946	62.0669
0.00712033	62.2458
0.00716143	62.4253
0.00720278	62.6052
0.00724436	62.7856
0.00728618	62.9666
0.00732825	63.1481
0.00737055	63.3301
0.0074131	63.5127
0.0074559	63.6957
0.00749894	63.8793
0.00754223	64.0635
0.00758578	64.2481
0.00762957	64.4333
0.00767361	64.619
0.00771792	64.8053
0.00776247	64.9921
0.00780728	65.1794
0.00785236	65.3673
0.00789769	65.5557
0.00794328	65.7446
0.00798914	65.9341
0.00803526	66.1242
0.00808165	66.3148
0.00812831	66.5059
0.00817523	66.6976
0.00822243	66.8899
0.0082699	67.0827
0.00831764	67.276
0.00836566	67.4699
0.00841395	67.6644
0.00846253	67.8594
0.00851138	68.055
0.00856052	68.2512
0.00860994	68.4479
0.00865964	68.6452
0.00870964	68.8431
0.00875992	69.0415
0.00881049	69.2405
0.00886135	69.4401
0.00891251	69.6403
0.00896396	69.841
0.00901571	70.0423
0.00906776	70.2442
0.00912011	70.4466
