Stopping power dEdx from Ionisation for Fe56[0.0] Z = 26 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	68.7155
0.00100577	68.9136
0.00101158	69.1122
0.00101742	69.3114
0.00102329	69.5112
0.0010292	69.7116
0.00103514	69.9125
0.00104112	70.114
0.00104713	70.3161
0.00105317	70.5188
0.00105925	70.722
0.00106537	70.9259
0.00107152	71.1303
0.00107771	71.3354
0.00108393	71.541
0.00109018	71.7472
0.00109648	71.954
0.00110281	72.1614
0.00110917	72.3694
0.00111558	72.578
0.00112202	72.7872
0.0011285	72.997
0.00113501	73.2074
0.00114156	73.4184
0.00114815	73.63
0.00115478	73.8422
0.00116145	74.0551
0.00116815	74.2685
0.0011749	74.4826
0.00118168	74.6973
0.0011885	74.9126
0.00119536	75.1285
0.00120226	75.3451
0.00120921	75.5622
0.00121619	75.78
0.00122321	75.9985
0.00123027	76.2175
0.00123737	76.4372
0.00124451	76.6575
0.0012517	76.8785
0.00125893	77.1001
0.00126619	77.3223
0.0012735	77.5452
0.00128086	77.7687
0.00128825	77.9929
0.00129569	78.2177
0.00130317	78.4431
0.00131069	78.6692
0.00131826	78.896
0.00132587	79.1234
0.00133352	79.3514
0.00134122	79.5802
0.00134896	79.8095
0.00135675	80.0396
0.00136458	80.2703
0.00137246	80.5017
0.00138038	80.7337
0.00138835	80.9664
0.00139637	81.1998
0.00140443	81.4338
0.00141254	81.6685
0.00142069	81.9039
0.00142889	82.14
0.00143714	82.3768
0.00144544	82.6142
0.00145378	82.8523
0.00146218	83.0912
0.00147062	83.3307
0.00147911	83.5708
0.00148765	83.8117
0.00149624	84.0533
0.00150487	84.2956
0.00151356	84.5386
0.0015223	84.7822
0.00153109	85.0266
0.00153993	85.2717
0.00154882	85.5175
0.00155776	85.764
0.00156675	86.0112
0.0015758	86.2591
0.00158489	86.5077
0.00159404	86.7571
0.00160325	87.0071
0.0016125	87.2579
0.00162181	87.5094
0.00163117	87.7617
0.00164059	88.0146
0.00165006	88.2683
0.00165959	88.5227
0.00166917	88.7779
0.0016788	89.0338
0.0016885	89.2904
0.00169824	89.5478
0.00170805	89.8059
0.00171791	90.0647
0.00172783	90.3243
0.0017378	90.5847
0.00174783	90.8458
0.00175792	91.1076
0.00176807	91.3702
0.00177828	91.6336
0.00178855	91.8977
0.00179887	92.1626
0.00180926	92.4283
0.0018197	92.6947
0.00183021	92.9619
0.00184077	93.2298
0.0018514	93.4985
0.00186209	93.768
0.00187284	94.0383
0.00188365	94.3094
0.00189452	94.5812
0.00190546	94.8538
0.00191646	95.1272
0.00192752	95.4014
0.00193865	95.6764
0.00194984	95.9522
0.0019611	96.2287
0.00197242	96.5061
0.00198381	96.7843
0.00199526	97.0632
0.00200678	97.343
0.00201837	97.6236
0.00203002	97.905
0.00204174	98.1872
0.00205353	98.4702
0.00206538	98.754
0.0020773	99.0387
0.0020893	99.3241
0.00210136	99.6104
0.00211349	99.8975
0.00212569	100.185
0.00213796	100.474
0.0021503	100.764
0.00216272	101.054
0.0021752	101.346
0.00218776	101.638
0.00220039	101.931
0.00221309	102.224
0.00222587	102.519
0.00223872	102.815
0.00225165	103.111
0.00226464	103.408
0.00227772	103.706
0.00229087	104.005
0.00230409	104.305
0.00231739	104.606
0.00233077	104.907
0.00234423	105.209
0.00235776	105.513
0.00237137	105.817
0.00238506	106.122
0.00239883	106.428
0.00241268	106.734
0.00242661	107.042
0.00244062	107.351
0.00245471	107.66
0.00246888	107.97
0.00248313	108.282
0.00249747	108.594
0.00251189	108.907
0.00252639	109.221
0.00254097	109.535
0.00255564	109.851
0.0025704	110.168
0.00258523	110.485
0.00260016	110.804
0.00261517	111.123
0.00263027	111.444
0.00264545	111.765
0.00266073	112.087
0.00267609	112.41
0.00269153	112.734
0.00270707	113.059
0.0027227	113.385
0.00273842	113.712
0.00275423	114.039
0.00277013	114.368
0.00278612	114.698
0.00280221	115.028
0.00281838	115.36
0.00283465	115.692
0.00285102	116.026
0.00286748	116.36
0.00288403	116.696
0.00290068	117.032
0.00291743	117.369
0.00293427	117.708
0.00295121	118.047
0.00296825	118.387
0.00298538	118.728
