Stopping power dEdx from Ionisation for Fe56[0.0] Z = 26 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	21.6738
0.00100577	21.7366
0.00101158	21.7996
0.00101742	21.8627
0.00102329	21.9261
0.0010292	21.9896
0.00103514	22.0534
0.00104112	22.1173
0.00104713	22.1814
0.00105317	22.2456
0.00105925	22.3101
0.00106537	22.3748
0.00107152	22.4396
0.00107771	22.5046
0.00108393	22.5698
0.00109018	22.6352
0.00109648	22.7008
0.00110281	22.7666
0.00110917	22.8325
0.00111558	22.8987
0.00112202	22.965
0.0011285	23.0316
0.00113501	23.0983
0.00114156	23.1652
0.00114815	23.2323
0.00115478	23.2996
0.00116145	23.3671
0.00116815	23.4348
0.0011749	23.5027
0.00118168	23.5708
0.0011885	23.6391
0.00119536	23.7076
0.00120226	23.7763
0.00120921	23.8451
0.00121619	23.9142
0.00122321	23.9835
0.00123027	24.0529
0.00123737	24.1226
0.00124451	24.1925
0.0012517	24.2626
0.00125893	24.3328
0.00126619	24.4033
0.0012735	24.474
0.00128086	24.5449
0.00128825	24.616
0.00129569	24.6873
0.00130317	24.7588
0.00131069	24.8305
0.00131826	24.9024
0.00132587	24.9745
0.00133352	25.0468
0.00134122	25.1194
0.00134896	25.1921
0.00135675	25.2651
0.00136458	25.3382
0.00137246	25.4116
0.00138038	25.4852
0.00138835	25.559
0.00139637	25.633
0.00140443	25.7072
0.00141254	25.7817
0.00142069	25.8563
0.00142889	25.9312
0.00143714	26.0063
0.00144544	26.0816
0.00145378	26.1571
0.00146218	26.2329
0.00147062	26.3088
0.00147911	26.385
0.00148765	26.4614
0.00149624	26.538
0.00150487	26.6148
0.00151356	26.6919
0.0015223	26.7692
0.00153109	26.8467
0.00153993	26.9244
0.00154882	27.0023
0.00155776	27.0805
0.00156675	27.1589
0.0015758	27.2375
0.00158489	27.3164
0.00159404	27.3955
0.00160325	27.4748
0.0016125	27.5543
0.00162181	27.6341
0.00163117	27.7141
0.00164059	27.7943
0.00165006	27.8747
0.00165959	27.9554
0.00166917	28.0363
0.0016788	28.1175
0.0016885	28.1989
0.00169824	28.2805
0.00170805	28.3624
0.00171791	28.4445
0.00172783	28.5268
0.0017378	28.6094
0.00174783	28.6922
0.00175792	28.7752
0.00176807	28.8585
0.00177828	28.942
0.00178855	29.0258
0.00179887	29.1098
0.00180926	29.194
0.0018197	29.2785
0.00183021	29.3633
0.00184077	29.4482
0.0018514	29.5335
0.00186209	29.6189
0.00187284	29.7046
0.00188365	29.7906
0.00189452	29.8768
0.00190546	29.9633
0.00191646	30.05
0.00192752	30.1369
0.00193865	30.2241
0.00194984	30.3116
0.0019611	30.3993
0.00197242	30.4873
0.00198381	30.5755
0.00199526	30.664
0.00200678	30.7527
0.00201837	30.8417
0.00203002	30.9309
0.00204174	31.0204
0.00205353	31.1102
0.00206538	31.2002
0.0020773	31.2905
0.0020893	31.381
0.00210136	31.4718
0.00211349	31.5628
0.00212569	31.6542
0.00213796	31.7457
0.0021503	31.8376
0.00216272	31.9297
0.0021752	32.0221
0.00218776	32.1147
0.00220039	32.2076
0.00221309	32.3008
0.00222587	32.3942
0.00223872	32.488
0.00225165	32.5819
0.00226464	32.6762
0.00227772	32.7707
0.00229087	32.8655
0.00230409	32.9606
0.00231739	33.0559
0.00233077	33.1516
0.00234423	33.2475
0.00235776	33.3436
0.00237137	33.4401
0.00238506	33.5368
0.00239883	33.6338
0.00241268	33.7311
0.00242661	33.8287
0.00244062	33.9265
0.00245471	34.0247
0.00246888	34.1231
0.00248313	34.2218
0.00249747	34.3208
0.00251189	34.42
0.00252639	34.5196
0.00254097	34.6194
0.00255564	34.7196
0.0025704	34.82
0.00258523	34.9207
0.00260016	35.0217
0.00261517	35.123
0.00263027	35.2245
0.00264545	35.3264
0.00266073	35.4286
0.00267609	35.531
0.00269153	35.6338
0.00270707	35.7368
0.0027227	35.8402
0.00273842	35.9438
0.00275423	36.0478
0.00277013	36.152
0.00278612	36.2566
0.00280221	36.3614
0.00281838	36.4666
0.00283465	36.572
0.00285102	36.6778
0.00286748	36.7838
0.00288403	36.8902
0.00290068	36.9969
0.00291743	37.1039
0.00293427	37.2112
0.00295121	37.3188
0.00296825	37.4267
0.00298538	37.5349
0.00300262	37.6434
0.00301995	37.7523
0.00303739	37.8614
0.00305492	37.9709
0.00307256	38.0807
0.0030903	38.1908
0.00310814	38.3012
0.00312608	38.412
0.00314413	38.523
0.00316228	38.6344
0.00318053	38.7461
0.0031989	38.8581
0.00321736	38.9705
0.00323594	39.0831
0.00325462	39.1961
0.00327341	39.3094
0.0032923	39.4231
0.00331131	39.5371
0.00333043	39.6514
0.00334965	39.766
0.00336899	39.881
0.00338844	39.9963
0.003408	40.1119
0.00342768	40.2278
0.00344747	40.3441
0.00346737	40.4608
0.00348739	40.5777
0.00350752	40.695
0.00352777	40.8127
0.00354813	40.9307
0.00356862	41.049
0.00358922	41.1676
0.00360994	41.2866
0.00363078	41.406
0.00365174	41.5257
0.00367282	41.6457
0.00369403	41.7661
0.00371535	41.8868
0.0037368	42.0079
0.00375837	42.1293
0.00378007	42.2511
0.00380189	42.3732
0.00382384	42.4957
0.00384592	42.6185
0.00386812	42.7417
0.00389045	42.8653
0.00391291	42.9892
0.0039355	43.1134
0.00395822	43.238
0.00398107	43.363
0.00400405	43.4883
0.00402717	43.614
0.00405042	43.7401
0.0040738	43.8665
0.00409732	43.9933
0.00412098	44.1204
0.00414477	44.2479
0.00416869	44.3758
0.00419276	44.5041
0.00421697	44.6327
0.00424131	44.7617
0.0042658	44.891
0.00429042	45.0208
0.00431519	45.1509
0.0043401	45.2814
0.00436516	45.4122
0.00439036	45.5435
0.0044157	45.6751
0.0044412	45.8071
0.00446684	45.9394
0.00449262	46.0722
0.00451856	46.2053
0.00454465	46.3389
0.00457088	46.4728
0.00459727	46.6071
0.00462381	46.7417
0.0046505	46.8768
0.00467735	47.0123
0.00470435	47.1481
0.00473151	47.2844
0.00475883	47.5397
0.0047863	47.6768
0.00481393	47.8142
0.00484172	47.952
0.00486968	48.0902
0.00489779	48.2288
0.00492606	48.3678
0.0049545	48.5073
0.0049831	48.6471
0.00501187	48.7873
0.00504081	48.9279
0.00506991	49.0689
0.00509918	49.2104
0.00512861	49.3522
0.00515822	49.4945
0.005188	49.6371
0.00521795	49.7802
0.00524807	49.9237
0.00527837	50.0676
0.00530884	50.2119
0.00533949	50.3566
0.00537032	50.5018
0.00540132	50.6473
0.0054325	50.7933
0.00546387	50.9397
0.00549541	51.0866
0.00552713	51.2338
0.00555904	51.3815
0.00559114	51.5296
0.00562341	51.6781
0.00565588	51.8271
0.00568853	51.9765
0.00572137	52.1263
0.0057544	52.2765
0.00578762	52.4272
0.00582103	52.5783
0.00585464	52.7299
0.00588844	52.8819
0.00592243	53.0343
0.00595662	53.1871
0.00599101	53.3405
0.0060256	53.4942
0.00606038	53.6484
0.00609537	53.803
0.00613056	53.9581
0.00616595	54.1136
0.00620155	54.2696
0.00623735	54.426
0.00627336	54.5829
0.00630957	54.7402
0.006346	54.898
0.00638263	55.0563
0.00641948	55.215
0.00645654	55.3741
0.00649382	55.5337
0.00653131	55.6938
0.00656901	55.8543
0.00660693	56.0153
0.00664508	56.1768
0.00668344	56.3387
0.00672202	56.5011
0.00676083	56.6639
0.00679986	56.8273
0.00683912	56.9911
0.0068786	57.1553
0.00691831	57.3201
0.00695825	57.4853
0.00699842	57.651
0.00703882	57.8172
0.00707946	57.9838
0.00712033	58.1509
0.00716143	58.3185
0.00720278	58.4866
0.00724436	58.6552
0.00728618	58.8243
0.00732825	58.9938
0.00737055	59.1639
0.0074131	59.3344
0.0074559	59.5054
0.00749894	59.677
0.00754223	59.849
0.00758578	60.0215
0.00762957	60.1945
0.00767361	60.368
0.00771792	60.542
0.00776247	60.7165
0.00780728	60.8915
0.00785236	61.067
0.00789769	61.243
0.00794328	61.4196
0.00798914	61.5966
0.00803526	61.7741
0.00808165	61.9522
0.00812831	62.1308
0.00817523	62.3098
0.00822243	62.4895
0.0082699	62.6696
0.00831764	62.8502
0.00836566	63.0314
0.00841395	63.213
0.00846253	63.3952
0.00851138	63.578
0.00856052	63.7612
0.00860994	63.945
0.00865964	64.1293
0.00870964	64.3142
0.00875992	64.4996
0.00881049	64.6855
0.00886135	64.8719
0.00891251	65.0589
0.00896396	65.2464
0.00901571	65.4345
0.00906776	65.6231
0.00912011	65.8122
0.00917276	66.0019
0.00922571	66.1922
0.00927897	66.383
0.00933254	66.5743
0.00938642	66.7662
0.00944061	66.9587
0.00949511	67.1517
0.00954993	67.3452
0.00960506	67.5393
0.00966051	67.734
0.00971628	67.9292
0.00977237	68.125
0.00982879	68.3214
0.00988553	68.5183
0.0099426	68.7158
0.01	68.9139
0.0100577	69.1125
0.0101158	69.3117
0.0101742	69.5115
0.0102329	69.7119
0.010292	69.9128
0.0103514	70.1143
0.0104112	70.3164
0.0104713	70.5191
0.0105317	70.7224
0.0105925	70.9262
0.0106537	71.1306
0.0107152	71.3357
0.0107771	71.5413
0.0108393	71.7475
0.0109018	71.9543
0.0109648	72.1617
0.0110281	72.3697
0.0110917	72.5783
0.0111558	72.7875
0.0112202	72.9973
0.011285	73.2077
0.0113501	73.4187
0.0114156	73.6303
0.0114815	73.8426
0.0115478	74.0554
0.0116145	74.2689
0.0116815	74.4829
0.011749	74.6976
0.0118168	74.9129
0.011885	75.1288
0.0119536	75.3454
0.0120226	75.5626
0.0120921	75.7804
0.0121619	75.9988
0.0122321	76.2179
0.0123027	76.4375
0.0123737	76.6579
0.0124451	76.8788
0.012517	77.1004
0.0125893	77.3226
0.0126619	77.5455
0.012735	77.769
0.0128086	77.9932
0.0128825	78.218
0.0129569	78.4435
0.0130317	78.6696
0.0131069	78.8963
0.0131826	79.1237
0.0132587	79.3518
0.0133352	79.5805
0.0134122	79.8099
0.0134896	80.0399
0.0135675	80.2706
0.0136458	80.502
0.0137246	80.734
0.0138038	80.9667
0.0138835	81.2001
0.0139637	81.4342
0.0140443	81.6689
0.0141254	81.9043
0.0142069	82.1404
0.0142889	82.3771
0.0143714	82.6146
0.0144544	82.8527
0.0145378	83.0915
0.0146218	83.331
0.0147062	83.5712
0.0147911	83.8121
