Stopping power dEdx from Ionisation for He3 Z = 2 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	13.1946
0.00100577	13.2461
0.00101158	13.2979
0.00101742	13.3501
0.00102329	13.4026
0.0010292	13.4554
0.00103514	13.5085
0.00104112	13.562
0.00104713	13.6158
0.00105317	13.6699
0.00105925	13.7243
0.00106537	13.7791
0.00107152	13.8342
0.00107771	13.8896
0.00108393	13.9453
0.00109018	14.0014
0.00109648	14.0578
0.00110281	14.1146
0.00110917	14.1716
0.00111558	14.229
0.00112202	14.2868
0.0011285	14.3448
0.00113501	14.3985
0.00114156	14.4507
0.00114815	14.5033
0.00115478	14.5562
0.00116145	14.6093
0.00116815	14.6628
0.0011749	14.7165
0.00118168	14.7706
0.0011885	14.825
0.00119536	14.8796
0.00120226	14.9346
0.00120921	14.9899
0.00121619	15.0454
0.00122321	15.1013
0.00123027	15.1575
0.00123737	15.2139
0.00124451	15.2707
0.0012517	15.3277
0.00125893	15.3851
0.00126619	15.4428
0.0012735	15.5007
0.00128086	15.559
0.00128825	15.6175
0.00129569	15.6764
0.00130317	15.7355
0.00131069	15.795
0.00131826	15.8547
0.00132587	15.9147
0.00133352	15.975
0.00134122	16.0356
0.00134896	16.0965
0.00135675	16.1577
0.00136458	16.2191
0.00137246	16.2809
0.00138038	16.3429
0.00138835	16.4052
0.00139637	16.4678
0.00140443	16.5307
0.00141254	16.5938
0.00142069	16.6572
0.00142889	16.7209
0.00143714	16.7849
0.00144544	16.8491
0.00145378	16.9136
0.00146218	16.9783
0.00147062	17.0433
0.00147911	17.1086
0.00148765	17.1741
0.00149624	17.2399
0.00150487	17.3059
0.00151356	17.3713
0.0015223	17.4367
0.00153109	17.5024
0.00153993	17.5683
0.00154882	17.6344
0.00155776	17.7008
0.00156675	17.7674
0.0015758	17.8343
0.00158489	17.9014
0.00159404	17.9687
0.00160325	18.0363
0.0016125	18.1042
0.00162181	18.1723
0.00163117	18.2406
0.00164059	18.3092
0.00165006	18.378
0.00165959	18.4471
0.00166917	18.5165
0.0016788	18.5861
0.0016885	18.6559
0.00169824	18.726
0.00170805	18.7964
0.00171791	18.867
0.00172783	18.9379
0.0017378	19.0091
0.00174783	19.0805
0.00175792	19.1522
0.00176807	19.2241
0.00177828	19.2963
0.00178855	19.3688
0.00179887	19.4416
0.00180926	19.5146
0.0018197	19.5879
0.00183021	19.6615
0.00184077	19.7354
0.0018514	19.8095
0.00186209	19.8839
0.00187284	19.9587
0.00188365	20.0337
0.00189452	20.1088
0.00190546	20.1843
0.00191646	20.2601
0.00192752	20.3361
0.00193865	20.4125
0.00194984	20.4891
0.0019611	20.566
0.00197242	20.6433
0.00198381	20.7208
0.00199526	20.7986
0.00200678	20.8767
