Stopping power dEdx from Ionisation for He3 Z = 2 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	13.5966
0.00100577	13.6367
0.00101158	13.6769
0.00101742	13.7172
0.00102329	13.7577
0.0010292	13.7983
0.00103514	13.839
0.00104112	13.8798
0.00104713	13.9207
0.00105317	13.9618
0.00105925	14.003
0.00106537	14.0443
0.00107152	14.0857
0.00107771	14.1273
0.00108393	14.1689
0.00109018	14.2108
0.00109648	14.2527
0.00110281	14.2947
0.00110917	14.3369
0.00111558	14.3792
0.00112202	14.4217
0.0011285	14.4642
0.00113501	14.5069
0.00114156	14.5498
0.00114815	14.5927
0.00115478	14.6358
0.00116145	14.679
0.00116815	14.7224
0.0011749	14.7658
0.00118168	14.8094
0.0011885	14.8532
0.00119536	14.897
0.00120226	14.941
0.00120921	14.9852
0.00121619	15.0294
0.00122321	15.0738
0.00123027	15.1183
0.00123737	15.163
0.00124451	15.2078
0.0012517	15.2527
0.00125893	15.2978
0.00126619	15.343
0.0012735	15.3883
0.00128086	15.4338
0.00128825	15.4794
0.00129569	15.5252
0.00130317	15.5711
0.00131069	15.6171
0.00131826	15.6632
0.00132587	15.7095
0.00133352	15.756
0.00134122	15.8026
0.00134896	15.8493
0.00135675	15.8962
0.00136458	15.9432
0.00137246	15.9903
0.00138038	16.0376
0.00138835	16.085
0.00139637	16.1326
0.00140443	16.1803
0.00141254	16.2282
0.00142069	16.2762
0.00142889	16.3243
0.00143714	16.3726
0.00144544	16.4211
0.00145378	16.4696
0.00146218	16.5184
0.00147062	16.5673
0.00147911	16.6163
0.00148765	16.6654
0.00149624	16.7148
0.00150487	16.7642
0.00151356	16.8139
0.0015223	16.8636
0.00153109	16.9136
0.00153993	16.9636
0.00154882	17.0138
0.00155776	17.0642
0.00156675	17.1147
0.0015758	17.1654
0.00158489	17.2162
0.00159404	17.2672
0.00160325	17.3184
0.0016125	17.3697
0.00162181	17.4211
0.00163117	17.4727
0.00164059	17.5245
0.00165006	17.5764
0.00165959	17.6284
0.00166917	17.6807
0.0016788	17.7331
0.0016885	17.7856
0.00169824	17.8383
0.00170805	17.8912
0.00171791	17.9442
0.00172783	17.9974
0.0017378	18.0507
0.00174783	18.1042
0.00175792	18.1579
0.00176807	18.2117
0.00177828	18.2657
0.00178855	18.3198
0.00179887	18.3741
0.00180926	18.4286
0.0018197	18.4833
0.00183021	18.5381
0.00184077	18.593
0.0018514	18.6482
0.00186209	18.7035
0.00187284	18.759
0.00188365	18.8146
0.00189452	18.8704
0.00190546	18.9264
0.00191646	18.9825
0.00192752	19.0389
0.00193865	19.0953
0.00194984	19.152
0.0019611	19.2088
0.00197242	19.2658
0.00198381	19.323
0.00199526	19.3803
0.00200678	19.4379
0.00201837	19.4956
0.00203002	19.5534
0.00204174	19.6115
0.00205353	19.6697
0.00206538	19.7281
0.0020773	19.7867
0.0020893	19.8454
0.00210136	19.9043
0.00211349	19.9634
0.00212569	20.0227
0.00213796	20.0822
0.0021503	20.1418
0.00216272	20.2016
0.0021752	20.2617
0.00218776	20.3218
0.00220039	20.3822
0.00221309	20.4428
0.00222587	20.5035
0.00223872	20.5644
0.00225165	20.6255
0.00226464	20.6868
0.00227772	20.7483
0.00229087	20.8099
0.00230409	20.8718
0.00231739	20.9338
0.00233077	20.996
0.00234423	21.0584
0.00235776	21.121
0.00237137	21.1838
0.00238506	21.2468
0.00239883	21.31
0.00241268	21.3733
0.00242661	21.4369
0.00244062	21.5006
0.00245471	21.5646
0.00246888	21.6287
0.00248313	21.693
0.00249747	21.7576
0.00251189	21.8223
0.00252639	21.8872
0.00254097	21.9523
0.00255564	22.0176
0.0025704	22.0831
0.00258523	22.1488
0.00260016	22.2147
0.00261517	22.2808
0.00263027	22.3471
0.00264545	22.4136
0.00266073	22.4803
0.00267609	22.5473
0.00269153	22.6144
0.00270707	22.6817
0.0027227	22.7492
0.00273842	22.8169
0.00275423	22.8849
0.00277013	22.953
0.00278612	23.0213
0.00280221	23.0899
0.00281838	23.1586
0.00283465	23.2276
0.00285102	23.2968
0.00286748	23.3662
0.00288403	23.4358
0.00290068	23.5056
0.00291743	23.5756
0.00293427	23.6458
0.00295121	23.7163
0.00296825	23.7869
0.00298538	23.8578
0.00300262	23.9289
0.00301995	23.985
0.00303739	24.0354
0.00305492	24.1072
0.00307256	24.1793
0.0030903	24.2516
0.00310814	24.3241
0.00312608	24.3968
0.00314413	24.4697
0.00316228	24.5428
0.00318053	24.6162
0.0031989	24.6898
0.00321736	24.7636
0.00323594	24.8376
0.00325462	24.9119
0.00327341	24.9864
0.0032923	25.0611
0.00331131	25.136
0.00333043	25.2112
0.00334965	25.2866
0.00336899	25.3622
0.00338844	25.438
0.003408	25.5141
0.00342768	25.5904
0.00344747	25.6669
0.00346737	25.7437
0.00348739	25.8207
0.00350752	25.8979
0.00352777	25.9754
0.00354813	26.053
0.00356862	26.131
0.00358922	26.2091
0.00360994	26.2875
0.00363078	26.3662
0.00365174	26.4451
0.00367282	26.5242
0.00369403	26.6035
0.00371535	26.6831
0.0037368	26.763
0.00375837	26.843
0.00378007	26.9234
0.00380189	27.0039
0.00382384	27.0847
0.00384592	27.1658
0.00386812	27.2471
0.00389045	27.3286
0.00391291	27.4104
0.0039355	27.4925
0.00395822	27.5747
0.00398107	27.6573
0.00400405	27.7401
0.00402717	27.8231
0.00405042	27.9064
0.0040738	27.99
0.00409732	28.0738
0.00412098	28.1578
0.00414477	28.2421
0.00416869	28.3267
0.00419276	28.4115
0.00421697	28.4966
0.00424131	28.5819
0.0042658	28.6675
0.00429042	28.7534
0.00431519	28.8395
0.0043401	28.9259
0.00436516	29.0125
0.00439036	29.0994
0.0044157	29.1866
0.0044412	29.2741
0.00446684	29.3618
0.00449262	29.4497
0.00451856	29.538
0.00454465	29.6265
0.00457088	29.7153
0.00459727	29.8043
0.00462381	29.8936
0.0046505	29.9832
0.00467735	30.0731
0.00470435	30.1632
0.00473151	30.2536
0.00475883	30.3443
0.0047863	30.4353
0.00481393	30.5265
0.00484172	30.618
0.00486968	30.7098
0.00489779	30.8019
0.00492606	30.8943
0.0049545	30.9869
0.0049831	31.0798
0.00501187	31.173
0.00504081	31.2665
0.00506991	31.3603
0.00509918	31.4543
0.00512861	31.5487
0.00515822	31.6433
0.005188	31.7382
0.00521795	31.8335
0.00524807	31.929
0.00527837	32.0248
0.00530884	32.1208
0.00533949	32.2172
0.00537032	32.3139
0.00540132	32.4109
0.0054325	32.5081
0.00546387	32.6057
0.00549541	32.7036
0.00552713	32.8017
0.00555904	32.9002
0.00559114	32.9989
0.00562341	33.098
0.00565588	33.1974
0.00568853	33.297
0.00572137	33.397
0.0057544	33.4973
0.00578762	33.5979
0.00582103	33.6987
0.00585464	33.7999
0.00588844	33.9015
0.00592243	34.0033
0.00595662	34.1054
0.00599101	34.2078
0.0060256	34.3106
0.00606038	34.4137
0.00609537	34.5171
0.00613056	34.6208
0.00616595	34.7248
0.00620155	34.8291
0.00623735	34.9338
0.00627336	35.0387
0.00630957	35.144
0.006346	35.2496
0.00638263	35.3556
0.00641948	35.4618
0.00645654	35.5684
0.00649382	35.6753
0.00653131	35.7826
0.00656901	35.8902
0.00660693	35.9981
0.00664508	36.1063
0.00668344	36.2148
0.00672202	36.3237
0.00676083	36.433
0.00679986	36.5425
0.00683912	36.6524
0.0068786	36.7627
0.00691831	36.8732
0.00695825	36.9841
0.00699842	37.0954
0.00703882	37.207
0.00707946	37.3189
0.00712033	37.4312
0.00716143	37.5438
0.00720278	37.6567
0.00724436	37.77
0.00728618	37.8837
0.00732825	37.9977
0.00737055	38.112
0.0074131	38.2267
0.0074559	38.3418
0.00749894	38.4572
0.00754223	38.573
0.00758578	38.6891
0.00762957	38.8055
0.00767361	38.9224
0.00771792	39.0395
0.00776247	39.1571
0.00780728	39.275
0.00785236	39.3932
0.00789769	39.5119
0.00794328	39.6308
0.00798914	39.7502
0.00803526	39.8699
0.00808165	39.99
0.00812831	40.1104
0.00817523	40.2313
0.00822243	40.3525
0.0082699	40.474
0.00831764	40.596
0.00836566	40.7183
0.00841395	40.8409
0.00846253	40.964
0.00851138	41.0874
0.00856052	41.2112
0.00860994	41.3354
0.00865964	41.46
0.00870964	41.585
0.00875992	41.7103
0.00881049	41.836
0.00886135	41.9621
0.00891251	42.0886
0.00896396	42.2155
0.00901571	42.3428
0.00906776	42.4705
0.00912011	42.5985
0.00917276	42.7269
0.00922571	42.8558
0.00927897	42.985
0.00933254	43.1146
0.00938642	43.2447
0.00944061	43.3751
0.00949511	43.5059
0.00954993	43.6372
0.00960506	43.7688
0.00966051	43.9008
0.00971628	44.0333
0.00977237	44.1661
0.00982879	44.2993
0.00988553	44.433
0.0099426	44.5671
0.01	44.7016
0.0100577	44.8364
0.0101158	44.9718
0.0101742	45.1075
0.0102329	45.2436
0.010292	45.3802
0.0103514	45.5171
0.0104112	45.6545
0.0104713	45.7923
0.0105317	45.9306
0.0105925	46.0692
0.0106537	46.2083
0.0107152	46.3478
0.0107771	46.4878
0.0108393	46.6281
0.0109018	46.7689
0.0109648	46.9102
0.0110281	47.0518
0.0110917	47.1939
0.0111558	47.3365
0.0112202	47.4794
0.011285	47.6228
0.0113501	47.7667
0.0114156	47.911
0.0114815	48.0557
0.0115478	48.2009
0.0116145	48.3465
0.0116815	48.4926
0.011749	48.6391
0.0118168	48.7861
0.011885	48.9335
0.0119536	49.0813
0.0120226	49.2297
0.0120921	49.3784
0.0121619	49.5277
0.0122321	49.6773
0.0123027	49.8275
0.0123737	49.9781
0.0124451	50.1292
0.012517	50.2807
0.0125893	50.4327
0.0126619	50.5852
0.012735	50.7381
0.0128086	50.8915
0.0128825	51.0454
0.0129569	51.1997
0.0130317	51.3545
0.0131069	51.5098
0.0131826	51.6656
0.0132587	51.8218
0.0133352	51.9785
0.0134122	52.1357
0.0134896	52.2934
0.0135675	52.4516
0.0136458	52.6102
0.0137246	52.7693
0.0138038	52.929
0.0138835	53.0891
0.0139637	53.2497
0.0140443	53.4108
0.0141254	53.5724
0.0142069	53.7344
0.0142889	53.897
0.0143714	54.0601
0.0144544	54.2237
0.0145378	54.3878
0.0146218	54.5523
0.0147062	54.7174
0.0147911	54.883
0.0148765	55.0491
0.0149624	55.2157
0.0150487	55.3828
0.0151356	55.5504
0.015223	55.7186
0.0153109	55.8872
0.0153993	56.0564
0.0154882	56.2261
0.0155776	56.3963
0.0156675	56.567
0.015758	56.7383
0.0158489	56.9101
0.0159404	57.0824
0.0160325	57.2552
0.016125	57.4285
0.0162181	57.6024
0.0163117	57.7769
0.0164059	57.9518
0.0165006	58.1273
0.0165959	58.3033
0.0166917	58.4799
0.016788	58.657
0.016885	58.8346
0.0169824	59.0128
0.0170805	59.1916
0.0171791	59.3708
0.0172783	59.5507
0.017378	59.731
0.0174783	59.912
0.0175792	60.0934
0.0176807	60.2755
0.0177828	60.4581
0.0178855	60.6412
