Stopping power dEdx from Ionisation for K39[0.0] Z = 19 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	29.3453
0.00100577	29.4305
0.00101158	29.516
0.00101742	29.6017
0.00102329	29.6876
0.0010292	29.7738
0.00103514	29.8603
0.00104112	29.947
0.00104713	30.0339
0.00105317	30.1211
0.00105925	30.2086
0.00106537	30.2963
0.00107152	30.3842
0.00107771	30.4724
0.00108393	30.5609
0.00109018	30.6496
0.00109648	30.7386
0.00110281	30.8278
0.00110917	30.9173
0.00111558	31.0071
0.00112202	31.0971
0.0011285	31.1873
0.00113501	31.2778
0.00114156	31.3686
0.00114815	31.4597
0.00115478	31.551
0.00116145	31.6426
0.00116815	31.7344
0.0011749	31.8265
0.00118168	31.9189
0.0011885	32.0115
0.00119536	32.1044
0.00120226	32.1976
0.00120921	32.291
0.00121619	32.3847
0.00122321	32.4787
0.00123027	32.5729
0.00123737	32.6674
0.00124451	32.7622
0.0012517	32.8573
0.00125893	32.9526
0.00126619	33.0482
0.0012735	33.1441
0.00128086	33.2403
0.00128825	33.3367
0.00129569	33.4334
0.00130317	33.5304
0.00131069	33.6277
0.00131826	33.7253
0.00132587	33.8231
0.00133352	33.9212
0.00134122	34.0196
0.00134896	34.1183
0.00135675	34.2173
0.00136458	34.3166
0.00137246	34.4161
0.00138038	34.5159
0.00138835	34.616
0.00139637	34.7164
0.00140443	34.8171
0.00141254	34.9181
0.00142069	35.0194
0.00142889	35.121
0.00143714	35.2228
0.00144544	35.325
0.00145378	35.4274
0.00146218	35.5302
0.00147062	35.6332
0.00147911	35.7366
0.00148765	35.8402
0.00149624	35.9441
0.00150487	36.0484
0.00151356	36.1529
0.0015223	36.2577
0.00153109	36.3629
0.00153993	36.4683
0.00154882	36.5741
0.00155776	36.6801
0.00156675	36.7865
0.0015758	36.8931
0.00158489	37.0001
0.00159404	37.1074
0.00160325	37.215
0.0016125	37.3229
0.00162181	37.4311
0.00163117	37.5396
0.00164059	37.6484
0.00165006	37.7576
0.00165959	37.867
0.00166917	37.9768
0.0016788	38.0869
0.0016885	38.1973
0.00169824	38.308
0.00170805	38.4191
0.00171791	38.5305
0.00172783	38.6422
0.0017378	38.7542
0.00174783	38.8665
0.00175792	38.9792
0.00176807	39.0921
0.00177828	39.2054
0.00178855	39.3191
0.00179887	39.433
0.00180926	39.5473
0.0018197	39.662
0.00183021	39.7769
0.00184077	39.8922
0.0018514	40.0078
0.00186209	40.1237
0.00187284	40.24
0.00188365	40.3566
0.00189452	40.4736
0.00190546	40.5909
0.00191646	40.7085
0.00192752	40.8265
0.00193865	40.9448
0.00194984	41.0634
0.0019611	41.1824
0.00197242	41.3018
0.00198381	41.4214
0.00199526	41.5415
0.00200678	41.6618
0.00201837	41.7825
0.00203002	41.9036
0.00204174	42.025
0.00205353	42.1468
0.00206538	42.2689
0.0020773	42.3914
0.0020893	42.5142
0.00210136	42.6374
0.00211349	42.7609
0.00212569	42.8848
0.00213796	43.009
0.0021503	43.1336
0.00216272	43.2586
0.0021752	43.3839
0.00218776	43.5096
0.00220039	43.6356
0.00221309	43.762
0.00222587	43.8888
0.00223872	44.0159
0.00225165	44.1434
0.00226464	44.2713
0.00227772	44.3995
0.00229087	44.5281
0.00230409	44.6571
0.00231739	44.7864
0.00233077	44.9162
0.00234423	45.0462
0.00235776	45.1767
0.00237137	45.3076
0.00238506	45.4388
0.00239883	45.5704
0.00241268	45.7024
0.00242661	45.8347
0.00244062	45.9675
0.00245471	46.1006
0.00246888	46.2341
0.00248313	46.368
0.00249747	46.5023
0.00251189	46.637
0.00252639	46.772
0.00254097	46.9074
0.00255564	47.0433
0.0025704	47.1795
0.00258523	47.3161
0.00260016	47.4531
0.00261517	47.5906
0.00263027	47.7284
0.00264545	47.8666
0.00266073	48.0052
0.00267609	48.1442
0.00269153	48.2836
0.00270707	48.4234
0.0027227	48.5636
0.00273842	48.7042
0.00275423	48.8452
0.00277013	48.9866
0.00278612	49.1284
0.00280221	49.2707
