Stopping power dEdx from Ionisation for K39[0.0] Z = 19 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.7957
0.00100577	22.8618
0.00101158	22.9281
0.00101742	22.9945
0.00102329	23.0612
0.0010292	23.128
0.00103514	23.1951
0.00104112	23.2623
0.00104713	23.3298
0.00105317	23.3974
0.00105925	23.4652
0.00106537	23.5332
0.00107152	23.6014
0.00107771	23.6698
0.00108393	23.7384
0.00109018	23.8072
0.00109648	23.8762
0.00110281	23.9454
0.00110917	24.0148
0.00111558	24.0844
0.00112202	24.1542
0.0011285	24.2242
0.00113501	24.2944
0.00114156	24.3648
0.00114815	24.4354
0.00115478	24.5063
0.00116145	24.5773
0.00116815	24.6485
0.0011749	24.7199
0.00118168	24.7915
0.0011885	24.8634
0.00119536	24.9354
0.00120226	25.0077
0.00120921	25.0801
0.00121619	25.1528
0.00122321	25.2257
0.00123027	25.2988
0.00123737	25.3721
0.00124451	25.4456
0.0012517	25.5193
0.00125893	25.5932
0.00126619	25.6674
0.0012735	25.7418
0.00128086	25.8163
0.00128825	25.8911
0.00129569	25.9661
0.00130317	26.0414
0.00131069	26.1168
0.00131826	26.1924
0.00132587	26.2683
0.00133352	26.3444
0.00134122	26.4207
0.00134896	26.4973
0.00135675	26.574
0.00136458	26.651
0.00137246	26.7282
0.00138038	26.8056
0.00138835	26.8833
0.00139637	26.9611
0.00140443	27.0392
0.00141254	27.1175
0.00142069	27.1961
0.00142889	27.2748
0.00143714	27.3538
0.00144544	27.4331
0.00145378	27.5125
0.00146218	27.5922
0.00147062	27.6721
0.00147911	27.7522
0.00148765	27.8326
0.00149624	27.9132
0.00150487	27.994
0.00151356	28.0751
0.0015223	28.1564
0.00153109	28.238
0.00153993	28.3197
0.00154882	28.4017
0.00155776	28.484
0.00156675	28.5665
0.0015758	28.6492
0.00158489	28.7321
0.00159404	28.8153
0.00160325	28.8988
0.0016125	28.9824
0.00162181	29.0664
0.00163117	29.1505
0.00164059	29.2349
0.00165006	29.3196
0.00165959	29.4044
0.00166917	29.4896
0.0016788	29.575
0.0016885	29.6606
0.00169824	29.7465
0.00170805	29.8326
0.00171791	29.9189
0.00172783	30.0056
0.0017378	30.0924
0.00174783	30.1795
0.00175792	30.2669
0.00176807	30.3545
0.00177828	30.4424
0.00178855	30.5305
0.00179887	30.6189
0.00180926	30.7075
0.0018197	30.7964
0.00183021	30.8856
0.00184077	30.975
0.0018514	31.0646
0.00186209	31.1546
0.00187284	31.2447
0.00188365	31.3352
0.00189452	31.4259
0.00190546	31.5168
0.00191646	31.6081
0.00192752	31.6995
0.00193865	31.7913
0.00194984	31.8833
0.0019611	31.9756
0.00197242	32.0681
0.00198381	32.1609
0.00199526	32.254
0.00200678	32.3474
0.00201837	32.441
0.00203002	32.5349
0.00204174	32.629
0.00205353	32.7234
0.00206538	32.8181
0.0020773	32.9131
0.0020893	33.0084
0.00210136	33.1039
0.00211349	33.1997
0.00212569	33.2958
0.00213796	33.3921
0.0021503	33.4887
0.00216272	33.5856
0.0021752	33.6828
0.00218776	33.7803
0.00220039	33.878
0.00221309	33.9761
0.00222587	34.0744
0.00223872	34.173
0.00225165	34.2718
0.00226464	34.371
0.00227772	34.4705
0.00229087	34.5702
0.00230409	34.6702
0.00231739	34.7705
0.00233077	34.8711
0.00234423	34.972
0.00235776	35.0732
0.00237137	35.1747
0.00238506	35.2764
0.00239883	35.3785
0.00241268	35.4809
0.00242661	35.5835
0.00244062	35.6864
0.00245471	35.7897
0.00246888	35.8932
0.00248313	35.9971
0.00249747	36.1012
0.00251189	36.2056
0.00252639	36.3104
0.00254097	36.4154
0.00255564	36.5208
0.0025704	36.6264
0.00258523	36.7323
0.00260016	36.8386
0.00261517	36.9452
0.00263027	37.052
0.00264545	37.1592
0.00266073	37.2667
0.00267609	37.3745
0.00269153	37.4826
0.00270707	37.591
0.0027227	37.6997
0.00273842	37.8088
0.00275423	37.9181
0.00277013	38.0278
0.00278612	38.1378
0.00280221	38.2481
0.00281838	38.3587
0.00283465	38.4697
0.00285102	38.5809
0.00286748	38.6925
0.00288403	38.8044
0.00290068	38.9167
0.00291743	39.0292
0.00293427	39.1421
0.00295121	39.2553
0.00296825	39.3688
0.00298538	39.4827
0.00300262	39.5969
0.00301995	39.7114
0.00303739	39.8262
0.00305492	39.9414
0.00307256	40.0569
