E [MeV]	dEdx [keV/microm]
0.001	30.1342
0.00100577	30.2211
0.00101158	30.3082
0.00101742	30.3955
0.00102329	30.4832
0.0010292	30.571
0.00103514	30.6591
0.00104112	30.7475
0.00104713	30.8361
0.00105317	30.925
0.00105925	31.0141
0.00106537	31.1035
0.00107152	31.1932
0.00107771	31.2831
0.00108393	31.3733
0.00109018	31.4637
0.00109648	31.5544
0.00110281	31.6453
0.00110917	31.7366
0.00111558	31.828
0.00112202	31.9198
0.0011285	32.0118
0.00113501	32.104
0.00114156	32.1966
0.00114815	32.2894
0.00115478	32.3825
0.00116145	32.4758
0.00116815	32.5694
0.0011749	32.6633
0.00118168	32.7574
0.0011885	32.8518
0.00119536	32.9465
0.00120226	33.0415
0.00120921	33.1367
0.00121619	33.2323
0.00122321	33.328
0.00123027	33.4241
0.00123737	33.5204
0.00124451	33.6171
0.0012517	33.714
0.00125893	33.8111
0.00126619	33.9086
0.0012735	34.0063
0.00128086	34.1044
0.00128825	34.2026
0.00129569	34.3012
0.00130317	34.4001
0.00131069	34.4993
0.00131826	34.5987
0.00132587	34.6984
0.00133352	34.7984
0.00134122	34.8988
0.00134896	34.9993
0.00135675	35.1002
0.00136458	35.2014
0.00137246	35.3028
0.00138038	35.4046
0.00138835	35.5067
0.00139637	35.609
0.00140443	35.7116
0.00141254	35.8146
0.00142069	35.9178
0.00142889	36.0213
0.00143714	36.1252
0.00144544	36.2293
0.00145378	36.3337
0.00146218	36.4384
0.00147062	36.5435
0.00147911	36.6488
0.00148765	36.7544
0.00149624	36.8604
0.00150487	36.9666
0.00151356	37.0732
0.0015223	37.18
0.00153109	37.2872
0.00153993	37.3947
0.00154882	37.5025
0.00155776	37.6106
0.00156675	37.719
0.0015758	37.8277
0.00158489	37.9367
0.00159404	38.0461
0.00160325	38.1557
0.0016125	38.2657
0.00162181	38.376
0.00163117	38.4866
0.00164059	38.5975
0.00165006	38.7088
0.00165959	38.8204
0.00166917	38.9323
0.0016788	39.0445
0.0016885	39.157
0.00169824	39.2699
0.00170805	39.3831
0.00171791	39.4966
0.00172783	39.6105
0.0017378	39.7246
0.00174783	39.8391
0.00175792	39.9536
0.00176807	40.0679
0.00177828	40.1827
0.00178855	40.2977
0.00179887	40.4131
0.00180926	40.5288
0.0018197	40.6448
0.00183021	40.7613
0.00184077	40.8779
0.0018514	40.995
0.00186209	41.1124
0.00187284	41.2301
0.00188365	41.3482
0.00189452	41.4666
0.00190546	41.5853
0.00191646	41.7044
0.00192752	41.8238
0.00193865	41.9436
0.00194984	42.0637
0.0019611	42.1842
0.00197242	42.305
0.00198381	42.4262
0.00199526	42.5477
0.00200678	42.6696
0.00201837	42.7918
0.00203002	42.9143
0.00204174	43.0372
0.00205353	43.1605
0.00206538	43.2842
0.0020773	43.4081
0.0020893	43.5324
0.00210136	43.6572
0.00211349	43.7822
0.00212569	43.9077
0.00213796	44.0334
0.0021503	44.1596
0.00216272	44.2861
0.0021752	44.4129
0.00218776	44.5402
0.00220039	44.6678
0.00221309	44.7958
0.00222587	44.9241
0.00223872	45.0528
0.00225165	45.1819
0.00226464	45.3103
0.00227772	45.4391
0.00229087	45.5682
0.00230409	45.6977
0.00231739	45.8276
0.00233077	45.9578
0.00234423	46.0885
0.00235776	46.2195
0.00237137	46.3509
0.00238506	46.4826
0.00239883	46.6148
0.00241268	46.7473
0.00242661	46.8803
0.00244062	47.0135
0.00245471	47.1472
0.00246888	47.2813
0.00248313	47.4157
0.00249747	47.5505
0.00251189	47.6857
0.00252639	47.8214
0.00254097	47.9573
0.00255564	48.0937
0.0025704	48.2306
0.00258523	48.3677
0.00260016	48.5053
