Stopping power dEdx from Ionisation for Mg24[0.0] Z = 12 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.9144
0.00100577	33.0101
0.00101158	33.106
0.00101742	33.2022
0.00102329	33.2987
0.0010292	33.3955
0.00103514	33.4925
0.00104112	33.5899
0.00104713	33.6875
0.00105317	33.7854
0.00105925	33.8836
0.00106537	33.982
0.00107152	34.0808
0.00107771	34.1798
0.00108393	34.2791
0.00109018	34.3787
0.00109648	34.4786
0.00110281	34.5788
0.00110917	34.6792
0.00111558	34.78
0.00112202	34.881
0.0011285	34.9823
0.00113501	35.084
0.00114156	35.1859
0.00114815	35.2881
0.00115478	35.3906
0.00116145	35.4934
0.00116815	35.5965
0.0011749	35.6999
0.00118168	35.8036
0.0011885	35.9076
0.00119536	36.0119
0.00120226	36.1165
0.00120921	36.2214
0.00121619	36.3266
0.00122321	36.4321
0.00123027	36.5379
0.00123737	36.644
0.00124451	36.7504
0.0012517	36.8571
0.00125893	36.9642
0.00126619	37.0715
0.0012735	37.1791
0.00128086	37.2871
0.00128825	37.3954
0.00129569	37.504
0.00130317	37.6128
0.00131069	37.7221
0.00131826	37.8316
0.00132587	37.9414
0.00133352	38.0516
0.00134122	38.162
0.00134896	38.2728
0.00135675	38.3839
0.00136458	38.4954
0.00137246	38.6071
0.00138038	38.7192
0.00138835	38.8316
0.00139637	38.9443
0.00140443	39.0574
0.00141254	39.1707
0.00142069	39.2844
0.00142889	39.3985
0.00143714	39.5128
0.00144544	39.6275
0.00145378	39.7425
0.00146218	39.8579
0.00147062	39.9735
0.00147911	40.0896
0.00148765	40.2059
0.00149624	40.3226
0.00150487	40.4396
0.00151356	40.557
0.0015223	40.6747
0.00153109	40.7927
0.00153993	40.9111
0.00154882	41.0298
0.00155776	41.1488
0.00156675	41.2682
0.0015758	41.388
0.00158489	41.5081
0.00159404	41.6285
0.00160325	41.7493
0.0016125	41.8704
0.00162181	41.9919
0.00163117	42.1137
0.00164059	42.2359
0.00165006	42.3584
0.00165959	42.4813
0.00166917	42.6046
0.0016788	42.7282
0.0016885	42.8521
0.00169824	42.9764
0.00170805	43.1011
0.00171791	43.2261
0.00172783	43.3515
0.0017378	43.4773
0.00174783	43.6034
0.00175792	43.7299
0.00176807	43.8567
0.00177828	43.9839
0.00178855	44.1115
0.00179887	44.2394
0.00180926	44.3677
0.0018197	44.4964
0.00183021	44.6254
0.00184077	44.7549
0.0018514	44.8847
0.00186209	45.0148
0.00187284	45.1454
0.00188365	45.2763
0.00189452	45.4076
0.00190546	45.5393
0.00191646	45.6713
0.00192752	45.8038
0.00193865	45.9366
0.00194984	46.0698
0.0019611	46.2034
0.00197242	46.3373
0.00198381	46.4717
0.00199526	46.6064
0.00200678	46.7416
0.00201837	46.8771
0.00203002	47.013
0.00204174	47.1493
0.00205353	47.286
0.00206538	47.4231
0.0020773	47.5606
0.0020893	47.6984
0.00210136	47.8367
0.00211349	47.9754
0.00212569	48.1145
0.00213796	48.254
0.0021503	48.3938
0.00216272	48.5341
0.0021752	48.6748
0.00218776	48.8159
0.00220039	48.9574
0.00221309	49.0993
0.00222587	49.2416
0.00223872	49.3843
0.00225165	49.5275
0.00226464	49.671
0.00227772	49.815
0.00229087	49.9594
0.00230409	50.1042
0.00231739	50.2494
0.00233077	50.395
0.00234423	50.5411
0.00235776	50.6875
0.00237137	50.8344
0.00238506	50.9818
0.00239883	51.1295
0.00241268	51.2777
0.00242661	51.4263
0.00244062	51.5753
0.00245471	51.7247
0.00246888	51.8746
0.00248313	52.0249
0.00249747	52.1757
0.00251189	52.3269
0.00252639	52.4785
0.00254097	52.6305
0.00255564	52.783
0.0025704	52.936
0.00258523	53.0894
0.00260016	53.2432
0.00261517	53.3974
0.00263027	53.5521
0.00264545	53.7073
0.00266073	53.8629
0.00267609	54.0189
0.00269153	54.1754
0.00270707	54.3324
0.0027227	54.4898
0.00273842	54.6476
0.00275423	54.8059
0.00277013	54.9647
0.00278612	55.1239
0.00280221	55.2836
0.00281838	55.4438
0.00283465	55.6044
0.00285102	55.7654
0.00286748	55.927
0.00288403	56.0889
0.00290068	56.2514
0.00291743	56.4143
0.00293427	56.5777
0.00295121	56.7416
0.00296825	56.906
0.00298538	57.0708
0.00300262	57.2361
0.00301995	57.4018
0.00303739	57.5681
0.00305492	57.7348
0.00307256	57.902
0.0030903	58.0697
0.00310814	58.2379
0.00312608	58.4065
0.00314413	58.5757
0.00316228	58.7453
0.00318053	58.9154
0.0031989	59.086
0.00321736	59.2572
0.00323594	59.4287
0.00325462	59.6008
0.00327341	59.7734
0.0032923	59.9465
0.00331131	60.1201
0.00333043	60.2942
0.00334965	60.4688
0.00336899	60.6438
0.00338844	60.8194
0.003408	60.9955
0.00342768	61.1721
0.00344747	61.3493
0.00346737	61.5269
0.00348739	61.705
0.00350752	61.8837
0.00352777	62.0628
0.00354813	62.2425
0.00356862	62.4227
0.00358922	62.6034
0.00360994	62.7847
0.00363078	62.9664
0.00365174	63.1487
0.00367282	63.3315
0.00369403	63.5149
0.00371535	63.6987
0.0037368	63.8831
0.00375837	64.0681
0.00378007	64.2535
0.00380189	64.4395
0.00382384	64.6261
0.00384592	64.8131
0.00386812	65.0007
0.00389045	65.1889
0.00391291	65.3776
0.0039355	65.5668
0.00395822	65.7566
0.00398107	65.9469
0.00400405	66.1378
0.00402717	66.3292
0.00405042	66.5212
0.0040738	66.7138
0.00409732	66.9068
0.00412098	67.1005
0.00414477	67.2947
0.00416869	67.4894
0.00419276	67.6848
0.00421697	67.8807
0.00424131	68.0771
0.0042658	68.2741
0.00429042	68.4717
0.00431519	68.6699
0.0043401	68.8686
0.00436516	69.0679
0.00439036	69.2678
0.0044157	69.4682
0.0044412	69.6692
0.00446684	69.8709
0.00449262	70.073
0.00451856	70.2758
0.00454465	70.4792
0.00457088	70.6831
0.00459727	70.8876
0.00462381	71.0928
0.0046505	71.2985
0.00467735	71.5048
0.00470435	71.7117
0.00473151	71.9192
0.00475883	72.1273
0.0047863	72.3359
0.00481393	72.5452
0.00484172	72.7551
0.00486968	72.9656
0.00489779	73.1767
0.00492606	73.3885
0.0049545	73.6008
0.0049831	73.8137
0.00501187	74.0273
0.00504081	74.2414
0.00506991	74.4562
0.00509918	74.6716
0.00512861	74.8877
0.00515822	75.1043
0.005188	75.3216
0.00521795	75.5395
0.00524807	75.758
0.00527837	75.9772
0.00530884	76.197
0.00533949	76.4174
0.00537032	76.6384
0.00540132	76.8601
0.0054325	77.0825
0.00546387	77.3054
0.00549541	77.5291
0.00552713	77.7533
0.00555904	77.9782
0.00559114	78.2038
0.00562341	78.43
0.00565588	78.6568
0.00568853	78.8844
0.00572137	79.1125
0.0057544	79.3414
0.00578762	79.5708
0.00582103	79.801
0.00585464	80.0318
0.00588844	80.2633
0.00592243	80.4954
0.00595662	80.7282
0.00599101	80.9617
0.0060256	81.1959
0.00606038	81.4307
0.00609537	81.6662
0.00613056	81.9024
0.00616595	82.1393
0.00620155	82.3768
0.00623735	82.615
0.00627336	82.854
0.00630957	83.0936
0.006346	83.3339
0.00638263	83.5749
0.00641948	83.8166
0.00645654	84.0589
0.00649382	84.302
0.00653131	84.5458
0.00656901	84.7903
0.00660693	85.0355
0.00664508	85.2814
0.00668344	85.528
0.00672202	85.7753
0.00676083	86.0233
0.00679986	86.2721
0.00683912	86.5216
0.0068786	86.7717
0.00691831	87.0226
0.00695825	87.2743
0.00699842	87.5266
0.00703882	87.7797
0.00707946	88.0335
0.00712033	88.288
0.00716143	88.5433
0.00720278	88.7993
0.00724436	89.0561
0.00728618	89.3136
0.00732825	89.5718
0.00737055	89.8308
0.0074131	90.0905
0.0074559	90.3509
0.00749894	90.6122
0.00754223	90.8741
0.00758578	91.1369
0.00762957	91.4003
0.00767361	91.6646
0.00771792	91.9296
0.00776247	92.1954
0.00780728	92.4619
0.00785236	92.7292
0.00789769	92.9973
0.00794328	93.2661
0.00798914	93.5358
0.00803526	93.8061
0.00808165	94.0773
0.00812831	94.3493
0.00817523	94.622
0.00822243	94.8956
0.0082699	95.1699
0.00831764	95.445
0.00836566	95.7209
0.00841395	95.9976
0.00846253	96.2751
0.00851138	96.5534
0.00856052	96.8325
0.00860994	97.1124
0.00865964	97.3931
0.00870964	97.6746
0.00875992	97.9569
0.00881049	98.2401
0.00886135	98.524
0.00891251	98.8088
0.00896396	99.0944
0.00901571	99.3808
0.00906776	99.6681
0.00912011	99.9562
0.00917276	100.245
0.00922571	100.535
0.00927897	100.825
0.00933254	101.117
0.00938642	101.409
0.00944061	101.702
0.00949511	101.996
0.00954993	102.291
0.00960506	102.586
0.00966051	102.883
0.00971628	103.18
0.00977237	103.479
0.00982879	103.778
0.00988553	104.077
0.0099426	104.378
0.01	104.68
0.0100577	104.982
0.0101158	105.286
0.0101742	105.59
0.0102329	105.895
0.010292	106.201
0.0103514	106.508
0.0104112	106.816
0.0104713	107.125
0.0105317	107.434
0.0105925	107.745
0.0106537	108.056
0.0107152	108.368
0.0107771	108.681
0.0108393	108.995
0.0109018	109.31
0.0109648	109.626
0.0110281	110.218
0.0110917	110.536
0.0111558	110.855
0.0112202	111.174
0.011285	111.495
0.0113501	111.816
0.0114156	112.138
0.0114815	112.462
0.0115478	112.786
0.0116145	113.111
0.0116815	113.437
0.011749	113.764
0.0118168	114.092
0.011885	114.421
0.0119536	114.75
0.0120226	115.081
0.0120921	115.413
0.0121619	115.746
0.0122321	116.079
0.0123027	116.414
0.0123737	116.749
0.0124451	117.086
0.012517	117.423
0.0125893	117.762
0.0126619	118.101
0.012735	118.442
0.0128086	118.783
0.0128825	119.125
0.0129569	119.469
0.0130317	119.813
0.0131069	120.158
0.0131826	120.505
0.0132587	120.852
0.0133352	121.201
0.0134122	121.55
0.0134896	121.9
0.0135675	122.252
0.0136458	122.604
0.0137246	122.957
0.0138038	123.312
0.0138835	123.667
0.0139637	124.024
0.0140443	124.381
0.0141254	124.74
0.0142069	125.099
0.0142889	125.46
0.0143714	125.821
0.0144544	126.184
0.0145378	126.548
0.0146218	126.913
0.0147062	127.278
0.0147911	127.645
0.0148765	128.013
0.0149624	128.382
0.0150487	128.752
0.0151356	129.123
0.015223	129.495
0.0153109	129.869
0.0153993	130.243
0.0154882	130.618
0.0155776	130.995
0.0156675	131.372
0.015758	131.751
0.0158489	132.131
0.0159404	132.512
0.0160325	132.894
0.016125	133.277
0.0162181	133.661
0.0163117	134.046
0.0164059	134.433
0.0165006	134.82
0.0165959	135.209
0.0166917	135.598
0.016788	135.989
0.016885	136.381
0.0169824	136.774
0.0170805	137.169
0.0171791	137.564
0.0172783	137.96
0.017378	138.358
0.0174783	138.757
0.0175792	139.157
0.0176807	139.558
0.0177828	139.96
0.0178855	140.364
0.0179887	140.768
0.0180926	141.174
0.018197	141.581
0.0183021	141.989
0.0184077	142.398
0.018514	142.809
0.0186209	143.22
0.0187284	143.633
0.0188365	144.047
0.0189452	144.462
0.0190546	144.879
0.0191646	145.296
0.0192752	145.715
0.0193865	146.135
0.0194984	146.556
0.019611	146.979
0.0197242	147.402
0.0198381	147.827
0.0199526	148.253
0.0200678	148.681
0.0201837	149.109
0.0203002	149.539
0.0204174	149.97
0.0205353	150.402
0.0206538	150.836
