Stopping power dEdx from Ionisation for Mn55[0.0] Z = 25 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.5828
0.00100577	23.6512
0.00101158	23.7198
0.00101742	23.7886
0.00102329	23.8575
0.0010292	23.9267
0.00103514	23.9961
0.00104112	24.0656
0.00104713	24.1354
0.00105317	24.2054
0.00105925	24.2756
0.00106537	24.3459
0.00107152	24.4165
0.00107771	24.4873
0.00108393	24.5583
0.00109018	24.6295
0.00109648	24.7009
0.00110281	24.7725
0.00110917	24.8443
0.00111558	24.9163
0.00112202	24.9885
0.0011285	25.061
0.00113501	25.1336
0.00114156	25.2065
0.00114815	25.2795
0.00115478	25.3528
0.00116145	25.4263
0.00116815	25.5
0.0011749	25.5739
0.00118168	25.648
0.0011885	25.7223
0.00119536	25.7969
0.00120226	25.8716
0.00120921	25.9466
0.00121619	26.0218
0.00122321	26.0972
0.00123027	26.1728
0.00123737	26.2487
0.00124451	26.3248
0.0012517	26.401
0.00125893	26.4775
0.00126619	26.5543
0.0012735	26.6312
0.00128086	26.7084
0.00128825	26.7858
0.00129569	26.8634
0.00130317	26.9412
0.00131069	27.0193
0.00131826	27.0976
0.00132587	27.1761
0.00133352	27.2548
0.00134122	27.3338
0.00134896	27.413
0.00135675	27.4924
0.00136458	27.572
0.00137246	27.6519
0.00138038	27.732
0.00138835	27.8124
0.00139637	27.8929
0.00140443	27.9737
0.00141254	28.0548
0.00142069	28.136
0.00142889	28.2175
0.00143714	28.2993
0.00144544	28.3813
0.00145378	28.4635
0.00146218	28.5459
0.00147062	28.6286
0.00147911	28.7115
0.00148765	28.7947
0.00149624	28.8781
0.00150487	28.9617
0.00151356	29.0456
0.0015223	29.1297
0.00153109	29.2141
0.00153993	29.2987
0.00154882	29.3836
0.00155776	29.4687
0.00156675	29.554
0.0015758	29.6396
0.00158489	29.7255
0.00159404	29.8115
0.00160325	29.8979
0.0016125	29.9845
0.00162181	30.0713
0.00163117	30.1584
0.00164059	30.2457
0.00165006	30.3333
0.00165959	30.4211
0.00166917	30.5092
0.0016788	30.5976
0.0016885	30.6862
0.00169824	30.775
0.00170805	30.8641
0.00171791	30.9535
0.00172783	31.0431
0.0017378	31.133
0.00174783	31.2231
0.00175792	31.3135
0.00176807	31.4042
0.00177828	31.4951
0.00178855	31.5863
0.00179887	31.6778
0.00180926	31.7695
0.0018197	31.8615
0.00183021	31.9537
0.00184077	32.0462
0.0018514	32.139
0.00186209	32.232
0.00187284	32.3253
0.00188365	32.4189
0.00189452	32.5128
0.00190546	32.6069
0.00191646	32.7013
0.00192752	32.7959
0.00193865	32.8909
0.00194984	32.9861
0.0019611	33.0816
0.00197242	33.1773
0.00198381	33.2734
0.00199526	33.3697
0.00200678	33.4663
0.00201837	33.5631
0.00203002	33.6603
0.00204174	33.7577
0.00205353	33.8554
0.00206538	33.9534
0.0020773	34.0517
0.0020893	34.1502
0.00210136	34.2491
0.00211349	34.3482
0.00212569	34.4476
0.00213796	34.5473
0.0021503	34.6473
0.00216272	34.7476
0.0021752	34.8481
0.00218776	34.949
0.00220039	35.0501
0.00221309	35.1515
0.00222587	35.2533
0.00223872	35.3553
0.00225165	35.4576
0.00226464	35.5602
0.00227772	35.6631
0.00229087	35.7663
0.00230409	35.8698
0.00231739	35.9736
0.00233077	36.0777
0.00234423	36.1821
0.00235776	36.2868
0.00237137	36.3918
0.00238506	36.4971
0.00239883	36.6027
0.00241268	36.7086
0.00242661	36.8148
0.00244062	36.9213
0.00245471	37.0282
0.00246888	37.1353
0.00248313	37.2427
0.00249747	37.3505
0.00251189	37.4586
0.00252639	37.5669
0.00254097	37.6756
0.00255564	37.7846
0.0025704	37.8939
0.00258523	38.0036
0.00260016	38.1135
0.00261517	38.2238
0.00263027	38.3344
0.00264545	38.4453
0.00266073	38.5565
0.00267609	38.668
0.00269153	38.7799
0.00270707	38.8921
0.0027227	39.0046
0.00273842	39.1174
0.00275423	39.2306
0.00277013	39.344
0.00278612	39.4579
0.00280221	39.572
0.00281838	39.6865
0.00283465	39.8013
0.00285102	39.9164
0.00286748	40.0318
0.00288403	40.1476
0.00290068	40.2638
0.00291743	40.3802
0.00293427	40.497
0.00295121	40.6142
0.00296825	40.7316
0.00298538	40.8494
0.00300262	40.9676
0.00301995	41.0861
0.00303739	41.2049
0.00305492	41.3241
0.00307256	41.4436
0.0030903	41.5635
0.00310814	41.6837
0.00312608	41.8042
0.00314413	41.9251
0.00316228	42.0464
0.00318053	42.168
0.0031989	42.2899
0.00321736	42.4122
0.00323594	42.5349
0.00325462	42.6579
0.00327341	42.7812
0.0032923	42.905
0.00331131	43.029
0.00333043	43.1535
0.00334965	43.2782
0.00336899	43.4034
0.00338844	43.5289
0.003408	43.6548
0.00342768	43.781
0.00344747	43.9076
0.00346737	44.0346
0.00348739	44.1619
0.00350752	44.2896
0.00352777	44.4177
0.00354813	44.5461
0.00356862	44.6749
0.00358922	44.8041
0.00360994	44.9336
0.00363078	45.0636
0.00365174	45.1939
0.00367282	45.3245
0.00369403	45.4556
0.00371535	45.587
0.0037368	45.7188
0.00375837	45.851
0.00378007	45.9835
0.00380189	46.1165
0.00382384	46.2498
0.00384592	46.3835
0.00386812	46.5176
0.00389045	46.6521
0.00391291	46.787
0.0039355	46.9223
0.00395822	47.0579
0.00398107	47.194
0.00400405	47.3304
0.00402717	47.4672
