Stopping power dEdx from Ionisation for N14[0.0] Z = 7 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.2566
0.00100577	32.3503
0.00101158	32.4443
0.00101742	32.5386
0.00102329	32.6331
0.0010292	32.728
0.00103514	32.8231
0.00104112	32.9184
0.00104713	33.0141
0.00105317	33.11
0.00105925	33.2062
0.00106537	33.3027
0.00107152	33.3994
0.00107771	33.4964
0.00108393	33.5938
0.00109018	33.6913
0.00109648	33.7892
0.00110281	33.8874
0.00110917	33.9858
0.00111558	34.0845
0.00112202	34.1835
0.0011285	34.2828
0.00113501	34.3824
0.00114156	34.4823
0.00114815	34.5824
0.00115478	34.6829
0.00116145	34.7836
0.00116815	34.8846
0.0011749	34.9859
0.00118168	35.0875
0.0011885	35.1894
0.00119536	35.2916
0.00120226	35.3941
0.00120921	35.4969
0.00121619	35.6
0.00122321	35.7034
0.00123027	35.807
0.00123737	35.911
0.00124451	36.0153
0.0012517	36.1198
0.00125893	36.2247
0.00126619	36.3299
0.0012735	36.4354
0.00128086	36.5412
0.00128825	36.6472
0.00129569	36.7536
0.00130317	36.8603
0.00131069	36.9673
0.00131826	37.0747
0.00132587	37.1823
0.00133352	37.2902
0.00134122	37.3985
0.00134896	37.507
0.00135675	37.6159
0.00136458	37.7251
0.00137246	37.8346
0.00138038	37.9444
0.00138835	38.0545
0.00139637	38.165
0.00140443	38.2757
0.00141254	38.3868
0.00142069	38.4982
0.00142889	38.61
0.00143714	38.722
0.00144544	38.8344
0.00145378	38.9471
0.00146218	39.0601
0.00147062	39.1735
0.00147911	39.2871
0.00148765	39.4011
0.00149624	39.5155
0.00150487	39.6301
0.00151356	39.7451
0.0015223	39.8604
0.00153109	39.9761
0.00153993	40.0921
0.00154882	40.2084
0.00155776	40.3251
0.00156675	40.4421
0.0015758	40.5594
0.00158489	40.6771
0.00159404	40.7951
0.00160325	40.9134
0.0016125	41.0321
0.00162181	41.1511
0.00163117	41.2705
0.00164059	41.3902
0.00165006	41.5103
0.00165959	41.6307
0.00166917	41.7515
0.0016788	41.8726
0.0016885	41.994
0.00169824	42.1158
0.00170805	42.238
0.00171791	42.3605
0.00172783	42.4834
0.0017378	42.6066
0.00174783	42.7301
0.00175792	42.8541
0.00176807	42.9784
0.00177828	43.103
0.00178855	43.228
0.00179887	43.3534
0.00180926	43.4791
0.0018197	43.6052
0.00183021	43.7316
0.00184077	43.8584
0.0018514	43.9856
0.00186209	44.1132
0.00187284	44.2411
0.00188365	44.3693
0.00189452	44.498
0.00190546	44.627
0.00191646	44.7564
0.00192752	44.8862
0.00193865	45.0163
0.00194984	45.1468
0.0019611	45.2777
0.00197242	45.409
0.00198381	45.5406
0.00199526	45.6727
0.00200678	45.8051
0.00201837	45.9379
0.00203002	46.071
0.00204174	46.2046
0.00205353	46.3385
0.00206538	46.4729
0.0020773	46.6076
0.0020893	46.7427
0.00210136	46.8782
0.00211349	47.0141
0.00212569	47.1503
0.00213796	47.287
0.0021503	47.4241
0.00216272	47.5615
0.0021752	47.6994
0.00218776	47.8376
0.00220039	47.9763
0.00221309	48.1153
0.00222587	48.2548
0.00223872	48.3946
0.00225165	48.5349
0.00226464	48.6755
0.00227772	48.8166
0.00229087	48.9581
0.00230409	49.0999
0.00231739	49.2422
0.00233077	49.3849
0.00234423	49.528
0.00235776	49.6716
0.00237137	49.8155
0.00238506	49.9598
0.00239883	50.1046
0.00241268	50.2498
0.00242661	50.3954
0.00244062	50.5414
0.00245471	50.6878
0.00246888	50.8347
0.00248313	50.982
0.00249747	51.1297
0.00251189	51.2778
0.00252639	51.4264
0.00254097	51.5754
0.00255564	51.7248
0.0025704	51.8747
0.00258523	52.025
0.00260016	52.1757
0.00261517	52.3268
0.00263027	52.4784
0.00264545	52.6304
0.00266073	52.7829
0.00267609	52.9358
0.00269153	53.0892
0.00270707	53.2429
0.0027227	53.3972
0.00273842	53.5518
0.00275423	53.707
0.00277013	53.8625
0.00278612	54.0185
0.00280221	54.175
0.00281838	54.3319
0.00283465	54.4893
0.00285102	54.6471
0.00286748	54.8054
0.00288403	54.9641
0.00290068	55.1233
0.00291743	55.2829
0.00293427	55.4431
0.00295121	55.6036
0.00296825	55.7647
0.00298538	55.9262
0.00300262	56.0881
0.00301995	56.2505
0.00303739	56.4134
0.00305492	56.5768
0.00307256	56.7407
0.0030903	56.905
0.00310814	57.0697
0.00312608	57.235
0.00314413	57.4007
0.00316228	57.567
0.00318053	57.7336
0.0031989	57.9008
0.00321736	58.0685
0.00323594	58.2366
0.00325462	58.4052
0.00327341	58.5743
0.0032923	58.7439
0.00331131	58.914
0.00333043	59.0846
0.00334965	59.2557
0.00336899	59.4272
0.00338844	59.5993
0.003408	59.7718
0.00342768	59.9449
0.00344747	60.1184
0.00346737	60.2925
0.00348739	60.467
0.00350752	60.6421
0.00352777	60.8176
0.00354813	60.9937
0.00356862	61.1702
0.00358922	61.3473
0.00360994	61.5249
0.00363078	61.703
0.00365174	61.8816
0.00367282	62.0608
0.00369403	62.2404
0.00371535	62.4206
0.0037368	62.6012
0.00375837	62.7824
0.00378007	62.9642
0.00380189	63.1464
0.00382384	63.3292
0.00384592	63.5125
0.00386812	63.6963
0.00389045	63.8807
0.00391291	64.0656
0.0039355	64.251
0.00395822	64.437
0.00398107	64.6234
0.00400405	64.8105
0.00402717	64.998
0.00405042	65.1862
0.0040738	65.3748
0.00409732	65.564
0.00412098	65.7537
0.00414477	65.944
0.00416869	66.1349
0.00419276	66.3263
0.00421697	66.5182
0.00424131	66.7107
0.0042658	66.9037
0.00429042	67.0973
0.00431519	67.2915
0.0043401	67.4862
0.00436516	67.6815
0.00439036	67.8774
0.0044157	68.0738
0.0044412	68.2707
0.00446684	68.4683
0.00449262	68.6664
0.00451856	68.8651
0.00454465	69.0643
0.00457088	69.2642
0.00459727	69.4646
0.00462381	69.6656
0.0046505	69.8671
0.00467735	70.0693
0.00470435	70.272
0.00473151	70.4753
0.00475883	70.6792
0.0047863	70.8837
0.00481393	71.0888
0.00484172	71.2944
0.00486968	71.5007
0.00489779	71.7076
0.00492606	71.915
0.0049545	72.1231
0.0049831	72.3317
0.00501187	72.541
0.00504081	72.7508
0.00506991	72.9613
0.00509918	73.1723
0.00512861	73.384
0.00515822	73.5963
0.005188	73.8092
0.00521795	74.0227
0.00524807	74.2368
0.00527837	74.4516
0.00530884	74.6669
0.00533949	74.8829
0.00537032	75.0995
0.00540132	75.3167
0.0054325	75.5346
0.00546387	75.7531
0.00549541	75.9722
0.00552713	76.1919
0.00555904	76.4123
0.00559114	76.6333
0.00562341	76.8549
0.00565588	77.0772
0.00568853	77.3002
0.00572137	77.5237
0.0057544	77.7479
0.00578762	77.9728
0.00582103	78.1983
0.00585464	78.4245
0.00588844	78.6513
0.00592243	78.8788
0.00595662	79.1069
0.00599101	79.3357
0.0060256	79.5651
0.00606038	79.7952
0.00609537	80.0259
0.00613056	80.2574
0.00616595	80.4895
0.00620155	80.7222
0.00623735	80.9557
0.00627336	81.1898
0.00630957	81.4246
0.006346	81.66
0.00638263	81.8962
0.00641948	82.133
0.00645654	82.3705
0.00649382	82.6087
0.00653131	82.8475
0.00656901	83.0871
0.00660693	83.3273
0.00664508	83.5683
0.00668344	83.8099
0.00672202	84.0523
0.00676083	84.2953
0.00679986	84.539
0.00683912	84.7835
0.0068786	85.0286
0.00691831	85.2744
0.00695825	85.521
0.00699842	85.7683
0.00703882	86.0162
0.00707946	86.2649
0.00712033	86.5143
0.00716143	86.7645
0.00720278	87.0153
0.00724436	87.2669
0.00728618	87.5192
0.00732825	87.7722
0.00737055	88.026
0.0074131	88.2805
0.0074559	88.5357
0.00749894	88.7916
0.00754223	89.0483
0.00758578	89.3058
0.00762957	89.5639
0.00767361	89.8229
0.00771792	90.0825
0.00776247	90.3429
0.00780728	90.6041
0.00785236	90.866
0.00789769	91.1287
0.00794328	91.3921
0.00798914	91.6563
0.00803526	91.9213
0.00808165	92.187
0.00812831	92.4534
0.00817523	92.7207
0.00822243	92.9887
0.0082699	93.2575
0.00831764	93.5271
0.00836566	93.7974
0.00841395	94.0685
0.00846253	94.3404
0.00851138	94.6131
0.00856052	94.8866
0.00860994	95.1609
0.00865964	95.4359
0.00870964	95.7118
0.00875992	95.9884
0.00881049	96.2658
0.00886135	96.5441
0.00891251	96.8231
0.00896396	97.103
0.00901571	97.3836
0.00906776	97.6651
0.00912011	97.9473
0.00917276	98.2304
0.00922571	98.5143
0.00927897	98.799
0.00933254	99.0846
0.00938642	99.3709
0.00944061	99.6581
0.00949511	99.9461
0.00954993	100.235
0.00960506	100.525
0.00966051	100.815
0.00971628	101.107
0.00977237	101.399
0.00982879	101.692
0.00988553	101.986
0.0099426	102.28
0.01	102.576
0.0100577	102.872
0.0101158	103.17
0.0101742	103.468
0.0102329	103.767
0.010292	104.067
0.0103514	104.367
0.0104112	104.669
0.0104713	104.971
0.0105317	105.275
0.0105925	105.843
0.0106537	106.148
0.0107152	106.454
0.0107771	106.761
0.0108393	107.069
0.0109018	107.378
0.0109648	107.687
0.0110281	107.997
0.0110917	108.309
0.0111558	108.621
0.0112202	108.934
0.011285	109.248
0.0113501	109.563
0.0114156	109.879
0.0114815	110.195
0.0115478	110.513
0.0116145	110.832
0.0116815	111.151
0.011749	111.471
0.0118168	111.793
0.011885	112.115
0.0119536	112.438
0.0120226	112.762
0.0120921	113.087
0.0121619	113.413
0.0122321	113.74
0.0123027	114.068
0.0123737	114.397
0.0124451	114.726
0.012517	115.057
0.0125893	115.389
0.0126619	115.721
0.012735	116.055
0.0128086	116.389
0.0128825	116.725
0.0129569	117.061
0.0130317	117.399
0.0131069	117.737
0.0131826	118.076
0.0132587	118.417
0.0133352	118.758
0.0134122	119.1
0.0134896	119.444
0.0135675	119.788
0.0136458	120.133
0.0137246	120.48
0.0138038	120.827
0.0138835	121.175
0.0139637	121.524
0.0140443	121.875
0.0141254	122.226
0.0142069	122.578
0.0142889	122.932
0.0143714	123.286
0.0144544	123.641
0.0145378	123.998
0.0146218	124.355
0.0147062	124.713
0.0147911	125.073
0.0148765	125.433
0.0149624	125.795
0.0150487	126.158
0.0151356	126.521
0.015223	126.886
0.0153109	127.252
0.0153993	127.618
0.0154882	127.986
0.0155776	128.355
0.0156675	128.725
0.015758	129.096
0.0158489	129.468
0.0159404	129.841
0.0160325	130.216
0.016125	130.591
0.0162181	130.967
0.0163117	131.345
0.0164059	131.724
0.0165006	132.103
0.0165959	132.484
0.0166917	132.866
0.016788	133.249
0.016885	133.633
0.0169824	134.018
0.0170805	134.404
0.0171791	134.792
0.0172783	135.18
0.017378	135.57
0.0174783	135.961
0.0175792	136.353
0.0176807	136.746
0.0177828	137.14
0.0178855	137.535
0.0179887	137.931
0.0180926	138.329
0.018197	138.728
0.0183021	139.128
0.0184077	139.529
0.018514	139.931
0.0186209	140.334
0.0187284	140.739
0.0188365	141.144
0.0189452	141.551
0.0190546	141.959
0.0191646	142.368
0.0192752	142.779
0.0193865	143.19
0.0194984	143.603
0.019611	144.017
0.0197242	144.432
0.0198381	144.848
0.0199526	145.266
0.0200678	145.685
0.0201837	146.104
0.0203002	146.526
0.0204174	146.948
0.0205353	147.371
0.0206538	147.796
0.020773	148.222
0.020893	148.649
0.0210136	149.078
0.0211349	149.508
0.0212569	149.939
0.0213796	150.371
0.021503	150.804
0.0216272	151.239
0.021752	151.675
0.0218776	152.112
0.0220039	152.55
0.0221309	152.99
0.0222587	153.431
0.0223872	153.873
0.0225165	154.317
0.0226464	154.762
0.0227772	155.208
0.0229087	155.655
0.0230409	156.104
0.0231739	156.554
0.0233077	157.005
0.0234423	157.458
0.0235776	157.911
0.0237137	158.367
0.0238506	158.823
0.0239883	159.281
0.0241268	159.74
0.0242661	160.2
0.0244062	160.662
0.0245471	161.125
0.0246888	161.59
0.0248313	162.055
0.0249747	162.522
0.0251189	162.991
0.0252639	163.461
0.0254097	163.932
0.0255564	164.404
0.025704	164.878
0.0258523	165.353
0.0260016	165.83
0.0261517	166.308
0.0263027	166.787
0.0264545	167.268
0.0266073	167.75
0.0267609	168.234
0.0269153	168.719
0.0270707	169.205
0.027227	169.693
0.0273842	170.182
0.0275423	170.672
0.0277013	171.164
0.0278612	171.658
0.0280221	172.153
0.0281838	172.649
0.0283465	173.146
0.0285102	173.645
0.0286748	174.146
0.0288403	174.648
0.0290068	175.151
0.0291743	175.656
0.0293427	176.162
0.0295121	176.67
0.0296825	177.179
0.0298538	177.69
0.0300262	178.202
0.0301995	178.716
0.0303739	179.231
0.0305492	179.748
0.0307256	180.266
0.030903	180.785
0.0310814	181.306
0.0312608	181.829
0.0314413	182.353
0.0316228	182.879
0.0318053	183.406
0.031989	183.935
0.0321736	184.465
0.0323594	184.996
0.0325462	185.53
0.0327341	186.064
0.032923	186.601
0.0331131	187.139
0.0333043	187.678
0.0334965	188.219
0.0336899	188.761
0.0338844	189.306
0.03408	189.851
0.0342768	190.398
0.0344747	190.947
0.0346737	191.498
0.0348739	192.05
0.0350752	192.603
0.0352777	193.158
0.0354813	193.715
0.0356862	194.273
0.0358922	194.833
0.0360994	195.395
0.0363078	195.958
0.0365174	196.523
0.0367282	197.089
0.0369403	197.658
0.0371535	198.227
0.037368	198.799
0.0375837	199.372
0.0378007	199.946
0.0380189	200.523
0.0382384	201.101
0.0384592	201.68
0.0386812	202.262
0.0389045	202.845
0.0391291	203.429
0.039355	204.016
0.0395822	204.604
0.0398107	205.193
0.0400405	205.785
0.0402717	206.378
0.0405042	206.973
0.040738	207.569
0.0409732	208.168
0.0412098	208.768
0.0414477	209.369
0.0416869	209.973
0.0419276	210.578
0.0421697	211.185
0.0424131	211.794
0.042658	212.404
0.0429042	213.017
0.0431519	213.631
0.043401	214.246
0.0436516	214.864
0.0439036	215.483
0.044157	216.104
0.044412	216.727
0.0446684	217.352
0.0449262	217.978
0.0451856	218.607
0.0454465	219.237
0.0457088	219.869
0.0459727	220.502
0.0462381	221.138
0.046505	221.775
0.0467735	222.415
0.0470435	223.056
0.0473151	223.699
0.0475883	224.343
0.047863	224.99
0.0481393	225.639
0.0484172	226.289
0.0486968	226.941
0.0489779	227.595
0.0492606	228.251
0.049545	228.909
0.049831	229.569
0.0501187	230.231
0.0504081	230.894
0.0506991	231.56
0.0509918	232.227
0.0512861	232.897
0.0515822	233.568
0.05188	234.241
0.0521795	234.916
0.0524807	235.594
0.0527837	236.273
0.0530884	236.954
0.0533949	237.637
0.0537032	238.322
0.0540132	239.009
0.054325	239.697
0.0546387	240.388
0.0549541	241.081
0.0552713	241.776
0.0555904	242.473
0.0559114	243.172
0.0562341	243.873
0.0565588	244.576
0.0568853	245.281
0.0572137	245.988
0.057544	246.697
0.0578762	247.408
0.0582103	248.121
0.0585464	248.836
0.0588844	249.553
0.0592243	250.273
0.0595662	250.994
0.0599101	251.717
0.060256	252.443
0.0606038	253.171
0.0609537	253.9
0.0613056	254.632
0.0616595	255.366
0.0620155	256.102
0.0623735	256.84
0.0627336	257.581
0.0630957	258.323
0.06346	259.068
0.0638263	259.814
0.0641948	260.563
0.0645654	261.314
0.0649382	262.068
0.0653131	262.823
0.0656901	263.581
0.0660693	264.34
0.0664508	265.102
0.0668344	265.866
0.0672202	266.633
0.0676083	267.401
0.0679986	268.172
0.0683912	268.945
0.068786	269.72
0.0691831	270.498
0.0695825	271.277
0.0699842	272.059
0.0703882	272.843
0.0707946	273.63
0.0712033	274.418
0.0716143	275.209
0.0720278	276.003
0.0724436	276.798
0.0728618	277.596
0.0732825	278.396
0.0737055	279.199
0.074131	280.003
0.074559	280.811
0.0749894	281.62
0.0754223	282.432
0.0758578	283.246
0.0762957	284.062
0.0767361	284.881
0.0771792	285.702
0.0776247	286.526
0.0780728	287.351
0.0785236	288.18
0.0789769	289.01
0.0794328	289.843
0.0798914	290.679
0.0803526	291.517
0.0808165	292.357
0.0812831	293.2
0.0817523	294.045
0.0822243	294.892
0.082699	295.742
0.0831764	296.595
0.0836566	297.45
0.0841395	298.307
0.0846253	299.167
0.0851138	300.029
0.0856052	300.894
0.0860994	301.761
0.0865964	302.631
0.0870964	303.503
0.0875992	304.378
0.0881049	305.255
0.0886135	306.135
0.0891251	307.018
0.0896396	307.903
0.0901571	308.79
0.0906776	309.68
0.0912011	310.573
0.0917276	311.468
0.0922571	312.366
0.0927897	313.266
0.0933254	314.169
0.0938642	315.075
0.0944061	315.983
0.0949511	316.894
0.0954993	317.807
0.0960506	318.723
0.0966051	319.642
0.0971628	320.563
0.0977237	321.487
0.0982879	322.414
0.0988553	323.343
0.099426	324.275
0.1	325.21
0.100577	326.147
0.101158	327.087
0.101742	328.03
0.102329	328.975
0.10292	329.924
0.103514	330.875
0.104112	331.828
0.104713	332.785
0.105317	333.744
0.105925	334.706
0.106537	335.671
0.107152	336.638
0.107771	337.608
0.108393	338.582
0.109018	339.558
0.109648	340.536
0.110281	341.518
0.110917	342.502
0.111558	343.489
0.112202	344.479
0.11285	345.472
0.113501	346.468
0.114156	347.467
0.114815	348.468
0.115478	349.473
0.116145	350.48
0.116815	351.49
0.11749	352.503
0.118168	353.519
0.11885	354.538
0.119536	355.56
0.120226	356.585
0.120921	357.613
0.121619	358.644
0.122321	359.678
0.123027	360.714
0.123737	361.754
0.124451	362.797
0.12517	363.842
0.125893	364.891
0.126619	365.943
0.12735	366.998
0.128086	368.056
0.128825	369.116
0.129569	370.18
0.130317	371.247
0.131069	372.317
0.131826	373.391
0.132587	374.467
0.133352	375.546
0.134122	376.629
0.134896	377.714
0.135675	378.803
0.136458	379.895
0.137246	380.99
0.138038	382.088
0.138835	383.189
0.139637	384.294
0.140443	385.401
0.141254	386.512
0.142069	387.626
0.142889	388.744
0.143714	389.864
0.144544	390.988
0.145378	392.115
0.146218	393.245
0.147062	394.379
0.147911	395.515
0.148765	396.655
0.149624	397.799
0.150487	398.945
0.151356	400.095
0.15223	401.248
0.153109	402.405
0.153993	403.565
0.154882	404.728
0.155776	405.895
0.156675	407.065
0.15758	408.238
0.158489	409.415
0.159404	410.595
0.160325	411.778
0.16125	412.965
0.162181	414.155
0.163117	415.349
0.164059	416.546
0.165006	417.747
0.165959	418.951
0.166917	420.159
0.16788	421.37
0.16885	422.584
0.169824	423.802
0.170805	425.024
0.171791	426.249
0.172783	427.478
0.17378	428.71
0.174783	429.945
0.175792	431.185
0.176807	432.428
0.177828	433.674
0.178855	434.924
0.179887	436.178
0.180926	437.435
0.18197	438.696
0.183021	439.96
0.184077	441.228
0.18514	442.5
0.186209	443.776
0.187284	445.055
0.188365	446.337
0.189452	447.624
0.190546	448.914
0.191646	450.208
0.192752	451.506
0.193865	452.807
0.194984	454.112
0.19611	455.421
0.197242	456.734
0.198381	458.051
0.199526	459.371
0.200678	460.695
0.201837	462.023
0.203002	463.354
0.204174	464.69
0.205353	466.029
0.206538	467.373
0.20773	468.72
0.20893	470.071
0.210136	471.426
0.211349	472.785
0.212569	474.147
0.213796	475.514
0.21503	476.885
0.216272	478.259
0.21752	479.638
0.218776	481.02
0.220039	482.407
0.221309	483.797
0.222587	485.192
0.223872	486.59
0.225165	487.993
0.226464	489.399
0.227772	490.81
0.229087	492.225
0.230409	493.643
0.231739	495.066
0.233077	496.493
0.234423	497.924
0.235776	499.36
0.237137	500.799
0.238506	502.242
0.239883	503.69
0.241268	505.142
0.242661	506.598
0.244062	508.058
0.245471	509.522
0.246888	510.991
0.248313	512.464
0.249747	513.941
0.251189	515.422
0.252639	516.908
0.254097	518.398
0.255564	519.892
0.25704	521.391
0.258523	522.894
0.260016	524.401
0.261517	525.912
0.263027	527.428
0.264545	528.948
0.266073	530.473
0.267609	532.002
0.269153	533.536
0.270707	535.073
0.27227	536.616
0.273842	538.162
0.275423	539.714
0.277013	541.269
0.278612	542.829
0.280221	544.394
0.281838	545.963
0.283465	547.537
0.285102	549.115
0.286748	550.698
0.288403	552.285
0.290068	553.877
0.291743	555.474
0.293427	557.075
0.295121	558.68
0.296825	560.291
0.298538	561.906
0.300262	563.525
0.301995	565.15
0.303739	566.778
0.305492	568.412
0.307256	570.051
0.30903	571.694
0.310814	573.341
0.312608	574.994
0.314413	576.651
0.316228	578.314
0.318053	579.98
0.31989	581.652
0.321736	583.329
0.323594	585.01
0.325462	586.696
0.327341	588.387
0.32923	590.083
0.331131	591.784
0.333043	593.49
0.334965	595.201
0.336899	596.916
0.338844	598.637
0.3408	600.362
0.342768	602.093
0.344747	603.828
0.346737	605.569
0.348739	607.314
0.350752	609.174
0.352777	611.227
0.354813	613.293
0.356862	615.371
0.358922	617.463
0.360994	619.567
0.363078	621.683
0.365174	623.813
0.367282	625.955
0.369403	628.11
0.371535	630.278
0.37368	632.458
0.375837	634.652
0.378007	636.858
0.380189	639.078
0.382384	641.31
0.384592	643.555
0.386812	645.814
0.389045	648.085
0.391291	650.369
0.39355	652.666
0.395822	654.977
0.398107	657.3
0.400405	659.636
0.402717	661.985
0.405042	664.348
0.40738	666.723
0.409732	669.111
0.412098	671.512
0.414477	673.927
0.416869	676.354
0.419276	678.794
0.421697	681.188
0.424131	683.568
0.42658	685.961
0.429042	688.367
0.431519	690.785
0.43401	693.215
0.436516	695.657
0.439036	698.111
0.44157	700.578
0.44412	703.057
0.446684	705.548
0.449262	708.051
0.451856	710.566
0.454465	713.093
0.457088	715.632
0.459727	718.182
0.462381	720.745
0.46505	723.319
0.467735	725.904
0.470435	728.501
0.473151	731.11
0.475883	733.729
0.47863	736.36
0.481393	739.002
0.484172	741.655
0.486968	744.319
0.489779	746.994
0.492606	749.679
0.49545	752.375
0.49831	755.082
0.501187	757.798
0.504081	760.525
0.506991	763.262
0.509918	766.008
0.512861	768.765
0.515822	771.53
0.5188	774.306
0.521795	777.09
0.524807	779.883
0.527837	782.686
0.530884	785.496
0.533949	788.316
0.537032	791.143
0.540132	793.978
0.54325	796.822
0.546387	799.672
0.549541	802.531
0.552713	805.396
0.555904	808.268
0.559114	811.146
0.562341	814.015
0.565588	816.883
0.568853	819.756
0.572137	822.636
0.57544	825.521
0.578762	828.412
0.582103	831.308
0.585464	834.209
0.588844	837.115
0.592243	840.026
0.595662	842.941
0.599101	845.861
0.60256	848.786
0.606038	851.714
0.609537	854.647
0.613056	857.583
0.616595	860.523
0.620155	863.466
0.623735	866.412
0.627336	869.362
0.630957	872.314
0.6346	875.269
0.638263	878.226
0.641948	881.185
0.645654	884.146
0.649382	887.109
0.653131	890.073
0.656901	893.039
0.660693	896.005
0.664508	898.972
0.668344	901.94
0.672202	904.908
0.676083	907.875
0.679986	910.843
0.683912	913.809
0.68786	916.775
0.691831	919.739
0.695825	922.702
0.699842	925.663
0.703882	928.62
0.707946	931.574
0.712033	934.526
