Stopping power dEdx from Ionisation for N14[0.0] Z = 7 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	43.5121
0.00100577	43.6375
0.00101158	43.7633
0.00101742	43.8894
0.00102329	44.0159
0.0010292	44.1428
0.00103514	44.27
0.00104112	44.3976
0.00104713	44.5256
0.00105317	44.6539
0.00105925	44.7826
0.00106537	44.9117
0.00107152	45.0412
0.00107771	45.171
0.00108393	45.3012
0.00109018	45.4318
0.00109648	45.5627
0.00110281	45.6941
0.00110917	45.8258
0.00111558	45.9579
0.00112202	46.0903
0.0011285	46.2232
0.00113501	46.3564
0.00114156	46.49
0.00114815	46.624
0.00115478	46.7584
0.00116145	46.8932
0.00116815	47.0284
0.0011749	47.1639
0.00118168	47.2999
0.0011885	47.4362
0.00119536	47.5729
0.00120226	47.71
0.00120921	47.8476
0.00121619	47.9855
0.00122321	48.1238
0.00123027	48.2625
0.00123737	48.4016
0.00124451	48.5411
0.0012517	48.681
0.00125893	48.8213
0.00126619	48.9621
0.0012735	49.1032
0.00128086	49.2447
0.00128825	49.3867
0.00129569	49.529
0.00130317	49.6718
0.00131069	49.815
0.00131826	49.9585
0.00132587	50.1025
0.00133352	50.247
0.00134122	50.3918
0.00134896	50.537
0.00135675	50.6827
0.00136458	50.8288
0.00137246	50.9753
0.00138038	51.1222
0.00138835	51.2696
0.00139637	51.4174
0.00140443	51.5656
0.00141254	51.7142
0.00142069	51.8633
0.00142889	52.0127
0.00143714	52.1627
0.00144544	52.313
0.00145378	52.4638
0.00146218	52.615
0.00147062	52.7667
0.00147911	52.9188
0.00148765	53.0713
0.00149624	53.2243
0.00150487	53.3777
0.00151356	53.5315
0.0015223	53.6858
0.00153109	53.8406
0.00153993	53.9958
0.00154882	54.1514
0.00155776	54.3075
0.00156675	54.464
0.0015758	54.621
0.00158489	54.7785
0.00159404	54.9363
0.00160325	55.0947
0.0016125	55.2535
0.00162181	55.4128
0.00163117	55.5725
0.00164059	55.7327
0.00165006	55.8933
0.00165959	56.0544
0.00166917	56.216
0.0016788	56.378
0.0016885	56.5405
0.00169824	56.7035
0.00170805	56.8669
0.00171791	57.0308
0.00172783	57.1952
0.0017378	57.3601
0.00174783	57.5254
0.00175792	57.6912
0.00176807	57.8575
0.00177828	58.0243
0.00178855	58.1915
0.00179887	58.3593
0.00180926	58.5275
0.0018197	58.6962
