Stopping power dEdx from Ionisation for N14[0.0] Z = 7 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	24.1877
0.00100577	24.2578
0.00101158	24.3282
0.00101742	24.3987
0.00102329	24.4695
0.0010292	24.5404
0.00103514	24.6116
0.00104112	24.683
0.00104713	24.7545
0.00105317	24.8263
0.00105925	24.8983
0.00106537	24.9705
0.00107152	25.0429
0.00107771	25.1155
0.00108393	25.1883
0.00109018	25.2613
0.00109648	25.3346
0.00110281	25.408
0.00110917	25.4817
0.00111558	25.5556
0.00112202	25.6297
0.0011285	25.704
0.00113501	25.7785
0.00114156	25.8532
0.00114815	25.9281
0.00115478	26.0033
0.00116145	26.0787
0.00116815	26.1543
0.0011749	26.2301
0.00118168	26.3061
0.0011885	26.3824
0.00119536	26.4588
0.00120226	26.5355
0.00120921	26.6125
0.00121619	26.6896
0.00122321	26.7669
0.00123027	26.8445
0.00123737	26.9223
0.00124451	27.0004
0.0012517	27.0786
0.00125893	27.1571
0.00126619	27.2358
0.0012735	27.3147
0.00128086	27.3939
0.00128825	27.4733
0.00129569	27.5529
0.00130317	27.6327
0.00131069	27.7128
0.00131826	27.7931
0.00132587	27.8736
0.00133352	27.9544
0.00134122	28.0354
0.00134896	28.1166
0.00135675	28.1981
0.00136458	28.2798
0.00137246	28.3618
0.00138038	28.4439
0.00138835	28.5263
0.00139637	28.609
0.00140443	28.6919
0.00141254	28.775
0.00142069	28.8584
0.00142889	28.942
0.00143714	29.0258
0.00144544	29.1099
0.00145378	29.1943
0.00146218	29.2788
0.00147062	29.3637
0.00147911	29.4487
0.00148765	29.534
0.00149624	29.6196
0.00150487	29.7054
0.00151356	29.7914
0.0015223	29.8777
0.00153109	29.9643
0.00153993	30.0511
0.00154882	30.1381
0.00155776	30.2254
0.00156675	30.313
0.0015758	30.4008
0.00158489	30.4888
0.00159404	30.5771
0.00160325	30.6657
0.0016125	30.7545
0.00162181	30.8436
0.00163117	30.9329
0.00164059	31.0225
0.00165006	31.1123
0.00165959	31.2024
0.00166917	31.2928
0.0016788	31.3834
0.0016885	31.4743
0.00169824	31.5655
0.00170805	31.6569
0.00171791	31.7485
0.00172783	31.8405
0.0017378	31.9327
0.00174783	32.0252
0.00175792	32.1179
0.00176807	32.2109
0.00177828	32.3042
0.00178855	32.3977
0.00179887	32.4915
0.00180926	32.5856
0.0018197	32.6799
0.00183021	32.7746
0.00184077	32.8695
0.0018514	32.9646
0.00186209	33.0601
0.00187284	33.1558
0.00188365	33.2518
0.00189452	33.3481
0.00190546	33.4446
0.00191646	33.5414
0.00192752	33.6385
0.00193865	33.7359
0.00194984	33.8336
0.0019611	33.9315
0.00197242	34.0298
0.00198381	34.1283
0.00199526	34.2271
0.00200678	34.3262
0.00201837	34.4255
0.00203002	34.5252
0.00204174	34.6251
0.00205353	34.7253
0.00206538	34.8259
0.0020773	34.9267
0.0020893	35.0278
0.00210136	35.1292
0.00211349	35.2308
0.00212569	35.3328
0.00213796	35.4351
0.0021503	35.5377
0.00216272	35.6405
0.0021752	35.7437
0.00218776	35.8471
0.00220039	35.9509
0.00221309	36.0549
0.00222587	36.1593
0.00223872	36.2639
0.00225165	36.3689
0.00226464	36.4741
0.00227772	36.5797
0.00229087	36.6856
0.00230409	36.7917
0.00231739	36.8982
0.00233077	37.005
0.00234423	37.1121
0.00235776	37.2195
0.00237137	37.3272
0.00238506	37.4352
0.00239883	37.5435
0.00241268	37.6522
0.00242661	37.7611
0.00244062	37.8704
0.00245471	37.98
0.00246888	38.0899
0.00248313	38.2001
0.00249747	38.3106
0.00251189	38.4215
0.00252639	38.5326
0.00254097	38.6441
0.00255564	38.756
0.0025704	38.8681
0.00258523	38.9805
0.00260016	39.0933
0.00261517	39.2064
0.00263027	39.3199
0.00264545	39.4336
0.00266073	39.5477
0.00267609	39.6621
0.00269153	39.7769
0.00270707	39.892
0.0027227	40.0074
0.00273842	40.1231
0.00275423	40.2392
0.00277013	40.3556
0.00278612	40.4724
0.00280221	40.5894
0.00281838	40.7069
0.00283465	40.8246
0.00285102	40.9427
0.00286748	41.0612
0.00288403	41.1799
0.00290068	41.2991
0.00291743	41.4185
0.00293427	41.5383
0.00295121	41.6585
0.00296825	41.779
0.00298538	41.8998
0.00300262	42.021
0.00301995	42.1426
0.00303739	42.2645
0.00305492	42.3867
0.00307256	42.5093
0.0030903	42.6323
0.00310814	42.7556
0.00312608	42.8793
0.00314413	43.0033
0.00316228	43.1277
0.00318053	43.2524
0.0031989	43.3775
0.00321736	43.503
0.00323594	43.6288
0.00325462	43.755
0.00327341	43.8815
0.0032923	44.0084
0.00331131	44.1357
0.00333043	44.2633
0.00334965	44.3913
0.00336899	44.5197
0.00338844	44.6485
0.003408	44.7776
0.00342768	44.9071
0.00344747	45.037
0.00346737	45.1672
0.00348739	45.2978
0.00350752	45.4288
0.00352777	45.5602
0.00354813	45.6919
0.00356862	45.824
0.00358922	45.9566
0.00360994	46.0894
0.00363078	46.2227
0.00365174	46.3564
0.00367282	46.4904
0.00369403	46.6249
0.00371535	46.7597
0.0037368	46.8949
0.00375837	47.0305
0.00378007	47.1665
0.00380189	47.3028
0.00382384	47.4396
0.00384592	47.5768
0.00386812	47.7143
0.00389045	47.8523
0.00391291	47.9906
0.0039355	48.1294
0.00395822	48.2686
0.00398107	48.4081
0.00400405	48.5481
0.00402717	48.6884
0.00405042	48.8292
0.0040738	48.9704
0.00409732	49.1119
