Stopping power dEdx from Ionisation for Na23[0.0] Z = 11 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	52.0541
0.00100577	52.2041
0.00101158	52.3546
0.00101742	52.5055
0.00102329	52.6568
0.0010292	52.8086
0.00103514	52.9608
0.00104112	53.1135
0.00104713	53.2666
0.00105317	53.4201
0.00105925	53.5741
0.00106537	53.7285
0.00107152	53.8834
0.00107771	54.0387
0.00108393	54.1945
0.00109018	54.3507
0.00109648	54.5073
0.00110281	54.6644
0.00110917	54.822
0.00111558	54.98
0.00112202	55.1385
0.0011285	55.2974
0.00113501	55.4568
0.00114156	55.6167
0.00114815	55.777
0.00115478	55.9377
0.00116145	56.099
0.00116815	56.2607
0.0011749	56.4228
0.00118168	56.5855
0.0011885	56.7486
0.00119536	56.9121
0.00120226	57.0762
0.00120921	57.2407
0.00121619	57.4057
0.00122321	57.5711
0.00123027	57.7371
0.00123737	57.9035
0.00124451	58.0704
0.0012517	58.2378
0.00125893	58.4057
0.00126619	58.574
0.0012735	58.7428
0.00128086	58.9122
0.00128825	59.082
0.00129569	59.2523
0.00130317	59.423
0.00131069	59.5943
0.00131826	59.7661
0.00132587	59.9384
0.00133352	60.1111
0.00134122	60.2844
0.00134896	60.4582
0.00135675	60.6324
0.00136458	60.8072
0.00137246	60.9825
0.00138038	61.1582
0.00138835	61.3345
0.00139637	61.5113
0.00140443	61.6886
0.00141254	61.8664
0.00142069	62.0447
0.00142889	62.2236
0.00143714	62.4029
0.00144544	62.5828
0.00145378	62.7632
0.00146218	62.9441
0.00147062	63.1255
0.00147911	63.3075
0.00148765	63.4899
0.00149624	63.6729
0.00150487	63.8565
0.00151356	64.0405
0.0015223	64.2251
0.00153109	64.4102
0.00153993	64.5959
0.00154882	64.7821
0.00155776	64.9688
0.00156675	65.1561
0.0015758	65.3439
0.00158489	65.5322
0.00159404	65.7211
0.00160325	65.9105
0.0016125	66.1005
0.00162181	66.291
0.00163117	66.4821
0.00164059	66.6737
0.00165006	66.8659
0.00165959	67.0587
0.00166917	67.2519
0.0016788	67.4458
0.0016885	67.6402
0.00169824	67.8352
0.00170805	68.0307
0.00171791	68.2268
0.00172783	68.4234
0.0017378	68.6207
0.00174783	68.8184
0.00175792	69.0168
0.00176807	69.2157
0.00177828	69.4152
0.00178855	69.6153
0.00179887	69.816
0.00180926	70.0172
0.0018197	70.219
0.00183021	70.4214
0.00184077	70.6244
0.0018514	70.828
0.00186209	71.0321
0.00187284	71.2369
0.00188365	71.4422
0.00189452	71.6481
0.00190546	71.8546
0.00191646	72.0618
0.00192752	72.2695
0.00193865	72.4778
0.00194984	72.6867
0.0019611	72.8962
0.00197242	73.1063
0.00198381	73.317
0.00199526	73.5284
0.00200678	73.7403
0.00201837	73.9528
0.00203002	74.166
0.00204174	74.3798
0.00205353	74.5942
0.00206538	74.8092
0.0020773	75.0248
0.0020893	75.2411
0.00210136	75.4579
0.00211349	75.6754
0.00212569	75.8936
0.00213796	76.1123
0.0021503	76.3317
0.00216272	76.5517
0.0021752	76.7724
0.00218776	76.9936
0.00220039	77.2156
0.00221309	77.4381
0.00222587	77.6613
0.00223872	77.8852
0.00225165	78.1097
0.00226464	78.3348
0.00227772	78.5606
0.00229087	78.7871
0.00230409	79.0142
0.00231739	79.2419
0.00233077	79.4703
0.00234423	79.6994
0.00235776	79.9291
0.00237137	80.1595
0.00238506	80.3905
0.00239883	80.6222
0.00241268	80.8546
0.00242661	81.0877
0.00244062	81.3214
0.00245471	81.5558
0.00246888	81.7909
0.00248313	82.0266
0.00249747	82.2631
0.00251189	82.5002
0.00252639	82.738
0.00254097	82.9765
0.00255564	83.2156
0.0025704	83.4555
0.00258523	83.696
0.00260016	83.9373
0.00261517	84.1792
0.00263027	84.4219
0.00264545	84.6652
0.00266073	84.9092
0.00267609	85.154
0.00269153	85.3994
0.00270707	85.6456
0.0027227	85.8924
0.00273842	86.14
0.00275423	86.3883
0.00277013	86.6373
0.00278612	86.887
0.00280221	87.1375
0.00281838	87.3886
0.00283465	87.6405
0.00285102	87.8931
0.00286748	88.1465
0.00288403	88.4005
0.00290068	88.6553
0.00291743	88.9109
0.00293427	89.1671
0.00295121	89.4242
0.00296825	89.6819
0.00298538	89.9404
0.00300262	90.1997
0.00301995	90.4596
0.00303739	90.7204
0.00305492	90.9819
0.00307256	91.2441
0.0030903	91.5071
0.00310814	91.7709
0.00312608	92.0354
0.00314413	92.3007
0.00316228	92.5667
0.00318053	92.8335
0.0031989	93.1011
0.00321736	93.3695
0.00323594	93.6386
0.00325462	93.9085
0.00327341	94.1792
0.0032923	94.4506
0.00331131	94.7229
0.00333043	94.9959
0.00334965	95.2697
0.00336899	95.5443
0.00338844	95.8197
0.003408	96.0959
0.00342768	96.3729
0.00344747	96.6507
0.00346737	96.9293
0.00348739	97.2086
0.00350752	97.4888
0.00352777	97.7698
0.00354813	98.0516
0.00356862	98.3343
0.00358922	98.6177
0.00360994	98.902
0.00363078	99.187
0.00365174	99.4729
0.00367282	99.7596
0.00369403	100.047
0.00371535	100.336
0.0037368	100.625
0.00375837	100.915
0.00378007	101.206
0.00380189	101.497
0.00382384	101.79
0.00384592	102.083
0.00386812	102.378
0.00389045	102.673
0.00391291	102.969
0.0039355	103.265
0.00395822	103.563
0.00398107	103.862
0.00400405	104.161
0.00402717	104.461
0.00405042	104.762
0.0040738	105.064
0.00409732	105.367
0.00412098	105.671
0.00414477	105.975
0.00416869	106.281
0.00419276	106.587
0.00421697	106.894
0.00424131	107.202
0.0042658	107.511
0.00429042	107.821
0.00431519	108.132
0.0043401	108.444
0.00436516	108.756
0.00439036	109.07
0.0044157	109.384
0.0044412	109.7
0.00446684	110.016
0.00449262	110.333
0.00451856	110.651
0.00454465	110.97
0.00457088	111.29
0.00459727	111.61
0.00462381	111.932
0.0046505	112.255
0.00467735	112.578
0.00470435	112.903
0.00473151	113.228
0.00475883	113.555
0.0047863	113.882
0.00481393	114.21
0.00484172	114.539
0.00486968	114.87
0.00489779	115.201
0.00492606	115.533
0.0049545	115.866
0.0049831	116.2
0.00501187	116.535
0.00504081	116.87
0.00506991	117.207
0.00509918	117.545
0.00512861	117.884
0.00515822	118.224
0.005188	118.565
0.00521795	118.906
0.00524807	119.249
0.00527837	119.593
0.00530884	119.937
0.00533949	120.283
0.00537032	120.63
0.00540132	120.978
0.0054325	121.326
0.00546387	121.676
0.00549541	122.027
0.00552713	122.378
0.00555904	122.731
0.00559114	123.085
0.00562341	123.44
0.00565588	123.796
0.00568853	124.152
0.00572137	124.51
0.0057544	124.866
0.00578762	125.217
0.00582103	125.57
0.00585464	125.923
0.00588844	126.277
0.00592243	126.632
0.00595662	126.989
0.00599101	127.346
0.0060256	127.704
0.00606038	128.064
0.00609537	128.424
0.00613056	128.786
0.00616595	129.148
0.00620155	129.512
0.00623735	129.876
0.00627336	130.242
0.00630957	130.609
0.006346	130.976
0.00638263	131.345
0.00641948	131.715
0.00645654	132.086
0.00649382	132.458
0.00653131	132.831
0.00656901	133.205
0.00660693	133.58
0.00664508	133.957
0.00668344	134.334
0.00672202	134.712
0.00676083	135.092
0.00679986	135.473
0.00683912	135.854
0.0068786	136.237
0.00691831	136.621
0.00695825	137.006
0.00699842	137.393
0.00703882	137.78
0.00707946	138.168
0.00712033	138.558
0.00716143	138.948
0.00720278	139.34
0.00724436	139.733
0.00728618	140.127
0.00732825	140.522
0.00737055	140.919
0.0074131	141.316
0.0074559	141.715
0.00749894	142.115
0.00754223	142.515
0.00758578	142.918
0.00762957	143.321
0.00767361	143.725
0.00771792	144.131
0.00776247	144.537
0.00780728	144.945
0.00785236	145.355
0.00789769	145.765
0.00794328	146.176
0.00798914	146.589
0.00803526	147.003
0.00808165	147.418
0.00812831	147.834
0.00817523	148.251
0.00822243	148.67
0.0082699	149.09
0.00831764	149.511
0.00836566	149.933
0.00841395	150.357
0.00846253	150.782
0.00851138	151.208
0.00856052	151.635
0.00860994	152.063
0.00865964	152.493
0.00870964	152.924
0.00875992	153.356
0.00881049	153.789
0.00886135	154.224
0.00891251	154.66
0.00896396	155.097
0.00901571	155.536
0.00906776	155.975
0.00912011	156.416
0.00917276	156.858
0.00922571	157.302
0.00927897	157.747
0.00933254	158.193
0.00938642	158.64
0.00944061	159.089
0.00949511	159.539
0.00954993	159.99
0.00960506	160.443
0.00966051	160.897
0.00971628	161.352
0.00977237	161.809
0.00982879	162.267
0.00988553	162.726
0.0099426	163.186
0.01	163.648
0.0100577	164.111
0.0101158	164.576
0.0101742	165.042
0.0102329	165.509
0.010292	165.978
0.0103514	166.448
0.0104112	166.919
0.0104713	167.392
0.0105317	167.866
0.0105925	168.341
0.0106537	168.818
0.0107152	169.296
0.0107771	169.776
0.0108393	170.257
0.0109018	170.739
0.0109648	171.223
0.0110281	171.708
0.0110917	172.195
0.0111558	172.683
0.0112202	173.172
0.011285	173.663
0.0113501	174.155
0.0114156	174.649
0.0114815	175.144
0.0115478	175.64
0.0116145	176.138
0.0116815	176.638
0.011749	177.139
0.0118168	177.641
0.011885	178.145
0.0119536	178.65
0.0120226	179.157
0.0120921	179.665
0.0121619	180.175
0.0122321	180.686
0.0123027	181.199
0.0123737	181.713
0.0124451	182.228
0.012517	182.745
0.0125893	183.264
0.0126619	183.784
0.012735	184.306
0.0128086	184.829
0.0128825	185.354
0.0129569	185.88
0.0130317	186.408
0.0131069	186.937
0.0131826	187.468
0.0132587	188
0.0133352	188.534
0.0134122	189.069
0.0134896	189.606
0.0135675	190.145
0.0136458	190.685
0.0137246	191.227
0.0138038	191.77
0.0138835	192.315
0.0139637	192.862
0.0140443	193.41
0.0141254	193.959
0.0142069	194.51
0.0142889	195.063
0.0143714	195.618
0.0144544	196.174
0.0145378	196.732
0.0146218	197.291
0.0147062	197.852
0.0147911	198.414
0.0148765	198.979
0.0149624	199.544
0.0150487	200.112
0.0151356	200.681
0.015223	201.252
0.0153109	201.824
0.0153993	202.399
0.0154882	202.974
0.0155776	203.552
0.0156675	204.131
0.015758	204.712
0.0158489	205.294
0.0159404	205.879
0.0160325	206.465
0.016125	207.052
0.0162181	207.642
0.0163117	208.233
0.0164059	208.826
0.0165006	209.42
0.0165959	210.017
0.0166917	210.615
0.016788	211.214
0.016885	211.816
0.0169824	212.419
0.0170805	213.024
0.0171791	213.631
0.0172783	214.24
0.017378	214.85
0.0174783	215.462
0.0175792	216.076
0.0176807	216.692
0.0177828	217.309
0.0178855	217.929
0.0179887	218.55
0.0180926	219.173
0.018197	219.797
0.0183021	220.424
0.0184077	221.052
0.018514	221.683
0.0186209	222.315
0.0187284	222.949
0.0188365	223.584
0.0189452	224.222
0.0190546	224.862
0.0191646	225.503
0.0192752	226.146
0.0193865	226.791
0.0194984	227.438
0.019611	228.087
0.0197242	228.738
0.0198381	229.391
0.0199526	230.045
0.0200678	230.702
0.0201837	231.36
0.0203002	232.021
0.0204174	232.683
0.0205353	233.347
0.0206538	234.013
0.020773	234.681
0.020893	235.352
0.0210136	236.024
0.0211349	236.698
0.0212569	237.374
0.0213796	238.052
0.021503	238.731
0.0216272	239.413
0.021752	240.097
0.0218776	240.783
0.0220039	241.471
0.0221309	242.161
0.0222587	242.853
0.0223872	243.547
0.0225165	244.243
0.0226464	244.941
0.0227772	245.641
0.0229087	246.343
0.0230409	246.814
0.0231739	246.978
0.0233077	247.143
0.0234423	247.311
0.0235776	247.48
0.0237137	247.651
0.0238506	247.824
0.0239883	247.998
