Stopping power dEdx from Ionisation for Na23[0.0] Z = 11 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.6316
0.00100577	22.6972
0.00101158	22.763
0.00101742	22.829
0.00102329	22.8952
0.0010292	22.9615
0.00103514	23.0281
0.00104112	23.0948
0.00104713	23.1618
0.00105317	23.2289
0.00105925	23.2962
0.00106537	23.3638
0.00107152	23.4315
0.00107771	23.4994
0.00108393	23.5675
0.00109018	23.6358
0.00109648	23.7043
0.00110281	23.773
0.00110917	23.8419
0.00111558	23.911
0.00112202	23.9803
0.0011285	24.0498
0.00113501	24.1195
0.00114156	24.1894
0.00114815	24.2595
0.00115478	24.3298
0.00116145	24.4003
0.00116815	24.471
0.0011749	24.5419
0.00118168	24.613
0.0011885	24.6843
0.00119536	24.7558
0.00120226	24.8276
0.00120921	24.8995
0.00121619	24.9716
0.00122321	25.044
0.00123027	25.1165
0.00123737	25.1893
0.00124451	25.2623
0.0012517	25.3355
0.00125893	25.4089
0.00126619	25.4825
0.0012735	25.5563
0.00128086	25.6304
0.00128825	25.7046
0.00129569	25.7791
0.00130317	25.8537
0.00131069	25.9286
0.00131826	26.0037
0.00132587	26.0791
0.00133352	26.1546
0.00134122	26.2304
0.00134896	26.3064
0.00135675	26.3826
0.00136458	26.459
0.00137246	26.5356
0.00138038	26.6125
0.00138835	26.6896
0.00139637	26.7669
0.00140443	26.8444
0.00141254	26.9221
0.00142069	27.0001
0.00142889	27.0783
0.00143714	27.1567
0.00144544	27.2354
0.00145378	27.3142
0.00146218	27.3934
0.00147062	27.4727
0.00147911	27.5522
0.00148765	27.632
0.00149624	27.7121
0.00150487	27.7923
0.00151356	27.8728
0.0015223	27.9535
0.00153109	28.0344
0.00153993	28.1156
0.00154882	28.197
0.00155776	28.2787
0.00156675	28.3606
0.0015758	28.4427
0.00158489	28.525
0.00159404	28.6076
0.00160325	28.6905
0.0016125	28.7735
0.00162181	28.8568
0.00163117	28.9404
0.00164059	29.0242
0.00165006	29.1082
0.00165959	29.1925
0.00166917	29.277
0.0016788	29.3618
0.0016885	29.4468
0.00169824	29.532
0.00170805	29.6175
0.00171791	29.7033
0.00172783	29.7893
0.0017378	29.8755
0.00174783	29.962
0.00175792	30.0487
0.00176807	30.1357
0.00177828	30.2229
0.00178855	30.3104
0.00179887	30.3982
0.00180926	30.4861
0.0018197	30.5744
0.00183021	30.6629
0.00184077	30.7516
0.0018514	30.8407
0.00186209	30.9299
0.00187284	31.0195
0.00188365	31.1092
0.00189452	31.1993
0.00190546	31.2896
0.00191646	31.3801
0.00192752	31.471
0.00193865	31.562
0.00194984	31.6534
0.0019611	31.745
0.00197242	31.8369
0.00198381	31.929
0.00199526	32.0214
0.00200678	32.1141
0.00201837	32.207
0.00203002	32.3002
0.00204174	32.3937
0.00205353	32.4875
0.00206538	32.5815
0.0020773	32.6758
0.0020893	32.7703
0.00210136	32.8651
0.00211349	32.9602
0.00212569	33.0556
0.00213796	33.1513
0.0021503	33.2472
0.00216272	33.3434
0.0021752	33.4399
0.00218776	33.5367
0.00220039	33.6337
0.00221309	33.731
0.00222587	33.8286
0.00223872	33.9265
0.00225165	34.0246
0.00226464	34.1231
0.00227772	34.2218
0.00229087	34.3208
0.00230409	34.4201
0.00231739	34.5197
0.00233077	34.6196
0.00234423	34.7198
0.00235776	34.8202
0.00237137	34.9209
0.00238506	35.022
0.00239883	35.1233
0.00241268	35.2249
0.00242661	35.3268
0.00244062	35.429
0.00245471	35.5315
0.00246888	35.6343
0.00248313	35.7374
0.00249747	35.8408
0.00251189	35.9444
0.00252639	36.0484
0.00254097	36.1527
0.00255564	36.2573
0.0025704	36.3621
0.00258523	36.4673
0.00260016	36.5728
0.00261517	36.6786
0.00263027	36.7847
0.00264545	36.8911
0.00266073	36.9978
0.00267609	37.1048
0.00269153	37.2121
0.00270707	37.3198
0.0027227	37.4277
0.00273842	37.536
0.00275423	37.6445
0.00277013	37.7534
0.00278612	37.8626
0.00280221	37.9721
0.00281838	38.0819
0.00283465	38.1921
0.00285102	38.3025
0.00286748	38.4133
0.00288403	38.5244
0.00290068	38.6358
0.00291743	38.7476
0.00293427	38.8596
0.00295121	38.972
0.00296825	39.0847
0.00298538	39.1977
0.00300262	39.3111
0.00301995	39.4248
0.00303739	39.5388
0.00305492	39.6531
0.00307256	39.7678
0.0030903	39.8828
0.00310814	39.9981
0.00312608	40.1138
0.00314413	40.2298
0.00316228	40.3461
0.00318053	40.4628
0.0031989	40.5798
0.00321736	40.6971
0.00323594	40.8148
0.00325462	40.9328
0.00327341	41.0512
0.0032923	41.1699
0.00331131	41.2889
0.00333043	41.4083
0.00334965	41.528
0.00336899	41.6481
0.00338844	41.7685
0.003408	41.8893
0.00342768	42.0104
0.00344747	42.1319
0.00346737	42.2537
0.00348739	42.3758
0.00350752	42.4984
0.00352777	42.6212
0.00354813	42.7445
0.00356862	42.868
0.00358922	42.992
0.00360994	43.1163
0.00363078	43.2409
0.00365174	43.3659
0.00367282	43.4913
0.00369403	43.617
0.00371535	43.7431
0.0037368	43.8696
0.00375837	43.9964
0.00378007	44.1236
0.00380189	44.2511
0.00382384	44.3791
0.00384592	44.5073
0.00386812	44.636
0.00389045	44.765
0.00391291	44.8944
0.0039355	45.0242
0.00395822	45.1544
0.00398107	45.2849
0.00400405	45.4158
0.00402717	45.5471
0.00405042	45.6787
0.0040738	45.8108
0.00409732	45.9432
0.00412098	46.076
0.00414477	46.2092
0.00416869	46.3427
0.00419276	46.4767
0.00421697	46.611
0.00424131	46.7457
0.0042658	46.8809
0.00429042	47.0164
0.00431519	47.1522
0.0043401	47.2885
0.00436516	47.4252
0.00439036	47.5623
0.0044157	47.6997
0.0044412	47.8376
0.00446684	47.9759
0.00449262	48.1145
0.00451856	48.2536
0.00454465	48.393
0.00457088	48.5329
0.00459727	48.6732
0.00462381	48.8138
0.0046505	48.9549
0.00467735	49.0964
0.00470435	49.2383
0.00473151	49.3806
0.00475883	49.5233
0.0047863	49.6664
0.00481393	49.8099
0.00484172	49.9539
0.00486968	50.0982
0.00489779	50.243
0.00492606	50.3882
0.0049545	50.5338
0.0049831	50.6798
0.00501187	50.8263
0.00504081	50.9732
0.00506991	51.1205
0.00509918	51.2682
0.00512861	51.4163
0.00515822	51.5649
0.005188	51.8434
0.00521795	51.9929
0.00524807	52.1427
0.00527837	52.293
0.00530884	52.4437
0.00533949	52.5949
0.00537032	52.7465
0.00540132	52.8985
0.0054325	53.051
0.00546387	53.2039
0.00549541	53.3573
0.00552713	53.5111
0.00555904	53.6653
0.00559114	53.82
0.00562341	53.9751
0.00565588	54.1307
0.00568853	54.2867
0.00572137	54.4432
0.0057544	54.6001
0.00578762	54.7575
0.00582103	54.9153
0.00585464	55.0736
0.00588844	55.2324
0.00592243	55.3916
0.00595662	55.5512
0.00599101	55.7114
0.0060256	55.8719
0.00606038	56.033
0.00609537	56.1945
0.00613056	56.3565
0.00616595	56.5189
0.00620155	56.6818
0.00623735	56.8452
0.00627336	57.009
0.00630957	57.1734
0.006346	57.3382
0.00638263	57.5034
0.00641948	57.6692
0.00645654	57.8354
0.00649382	58.0021
0.00653131	58.1693
0.00656901	58.3369
0.00660693	58.5051
0.00664508	58.6737
0.00668344	58.8428
0.00672202	59.0125
0.00676083	59.1826
0.00679986	59.3531
0.00683912	59.5242
0.0068786	59.6958
0.00691831	59.8679
0.00695825	60.0404
0.00699842	60.2135
0.00703882	60.387
0.00707946	60.5611
0.00712033	60.7357
0.00716143	60.9107
0.00720278	61.0863
0.00724436	61.2624
0.00728618	61.4389
0.00732825	61.616
0.00737055	61.7936
0.0074131	61.9717
0.0074559	62.1504
0.00749894	62.3295
0.00754223	62.5092
0.00758578	62.6893
0.00762957	62.87
0.00767361	63.0512
0.00771792	63.233
0.00776247	63.4152
0.00780728	63.598
0.00785236	63.7813
0.00789769	63.9652
0.00794328	64.1496
0.00798914	64.3345
0.00803526	64.5199
0.00808165	64.7059
0.00812831	64.8924
0.00817523	65.0794
0.00822243	65.267
0.0082699	65.4551
0.00831764	65.6438
0.00836566	65.833
0.00841395	66.0228
0.00846253	66.2131
0.00851138	66.4039
0.00856052	66.5953
0.00860994	66.7873
0.00865964	66.9798
0.00870964	67.1728
0.00875992	67.3665
0.00881049	67.5606
0.00886135	67.7554
0.00891251	67.9507
0.00896396	68.1465
0.00901571	68.3429
0.00906776	68.5399
0.00912011	68.7375
0.00917276	68.9356
0.00922571	69.1343
0.00927897	69.3336
0.00933254	69.5334
0.00938642	69.7339
0.00944061	69.9349
0.00949511	70.1364
0.00954993	70.3386
0.00960506	70.5413
0.00966051	70.7447
0.00971628	70.9486
0.00977237	71.1531
0.00982879	71.3582
0.00988553	71.5638
0.0099426	71.7701
0.01	71.977
0.0100577	72.1845
0.0101158	72.3925
0.0101742	72.6012
0.0102329	72.8104
0.010292	73.0203
0.0103514	73.2308
0.0104112	73.4419
0.0104713	73.6536
0.0105317	73.8658
0.0105925	74.0788
0.0106537	74.2923
0.0107152	74.5064
0.0107771	74.7212
0.0108393	74.9366
0.0109018	75.1525
0.0109648	75.3692
0.0110281	75.5864
0.0110917	75.8043
0.0111558	76.0228
0.0112202	76.2419
0.011285	76.4617
0.0113501	76.682
0.0114156	76.9031
0.0114815	77.1247
0.0115478	77.347
0.0116145	77.57
0.0116815	77.7936
0.011749	78.0178
0.0118168	78.2427
0.011885	78.4682
0.0119536	78.6944
0.0120226	78.9212
0.0120921	79.1487
0.0121619	79.3768
0.0122321	79.6056
0.0123027	79.8351
0.0123737	80.0652
0.0124451	80.296
0.012517	80.5274
0.0125893	80.7595
0.0126619	80.9923
0.012735	81.2257
0.0128086	81.4599
0.0128825	81.6947
0.0129569	81.9301
0.0130317	82.1663
0.0131069	82.4031
0.0131826	82.6406
0.0132587	82.8788
0.0133352	83.1177
0.0134122	83.3573
0.0134896	83.5976
0.0135675	83.8385
0.0136458	84.0802
0.0137246	84.3225
0.0138038	84.5656
0.0138835	84.8093
0.0139637	85.0538
0.0140443	85.299
0.0141254	85.5448
0.0142069	85.7914
0.0142889	86.0387
0.0143714	86.2867
0.0144544	86.5354
0.0145378	86.7848
0.0146218	87.035
0.0147062	87.2858
0.0147911	87.5374
0.0148765	87.7897
0.0149624	88.0428
0.0150487	88.2965
0.0151356	88.551
0.015223	88.8063
0.0153109	89.0623
0.0153993	89.319
0.0154882	89.5764
0.0155776	89.8346
0.0156675	90.0935
0.015758	90.3532
0.0158489	90.6137
0.0159404	90.8748
0.0160325	91.1368
0.016125	91.3995
0.0162181	91.6629
0.0163117	91.9271
0.0164059	92.1921
0.0165006	92.4578
0.0165959	92.7243
0.0166917	92.9916
0.016788	93.2596
0.016885	93.5284
0.0169824	93.798
0.0170805	94.0684
0.0171791	94.3395
0.0172783	94.6114
0.017378	94.8842
0.0174783	95.1576
0.0175792	95.4319
0.0176807	95.707
0.0177828	95.9829
0.0178855	96.2595
0.0179887	96.537
0.0180926	96.8152
0.018197	97.0943
0.0183021	97.3742
0.0184077	97.6548
0.018514	97.9363
0.0186209	98.2186
0.0187284	98.5017
0.0188365	98.7856
0.0189452	99.0703
0.0190546	99.3559
0.0191646	99.6423
0.0192752	99.9295
0.0193865	100.218
0.0194984	100.506
0.019611	100.796
0.0197242	101.087
0.0198381	101.378
0.0199526	101.67
0.0200678	101.963
0.0201837	102.257
0.0203002	102.552
0.0204174	102.847
0.0205353	103.144
0.0206538	103.441
0.020773	103.739
0.020893	104.038
0.0210136	104.338
0.0211349	104.639
0.0212569	104.941
0.0213796	105.243
0.021503	105.546
0.0216272	105.851
0.021752	106.156
0.0218776	106.462
0.0220039	106.769
0.0221309	107.076
0.0222587	107.385
0.0223872	107.695
0.0225165	108.005
0.0226464	108.316
0.0227772	108.628
0.0229087	108.942
0.0230409	109.256
0.0231739	109.571
0.0233077	109.886
0.0234423	110.203
0.0235776	110.521
0.0237137	110.839
0.0238506	111.159
0.0239883	111.479
0.0241268	111.8
0.0242661	112.123
0.0244062	112.446
0.0245471	112.77
0.0246888	113.095
0.0248313	113.421
0.0249747	113.748
0.0251189	114.076
0.0252639	114.405
0.0254097	114.734
0.0255564	115.065
0.025704	115.397
0.0258523	115.729
0.0260016	116.063
0.0261517	116.398
0.0263027	116.733
0.0264545	117.069
0.0266073	117.407
0.0267609	117.745
0.0269153	118.085
0.0270707	118.425
0.027227	118.766
0.0273842	119.109
0.0275423	119.452
0.0277013	119.796
0.0278612	120.142
0.0280221	120.488
0.0281838	120.835
0.0283465	121.184
0.0285102	121.533
0.0286748	121.883
0.0288403	122.234
0.0290068	122.587
0.0291743	122.94
0.0293427	123.294
0.0295121	123.65
0.0296825	124.006
0.0298538	124.364
0.0300262	124.722
0.0301995	125.082
0.0303739	125.442
0.0305492	125.804
0.0307256	126.166
0.030903	126.53
0.0310814	126.895
0.0312608	127.261
0.0314413	127.627
0.0316228	127.995
0.0318053	128.364
0.031989	128.734
0.0321736	129.105
0.0323594	129.477
0.0325462	129.851
0.0327341	130.225
0.032923	130.6
0.0331131	130.977
0.0333043	131.354
0.0334965	131.733
0.0336899	132.112
0.0338844	132.493
0.03408	132.875
0.0342768	133.258
0.0344747	133.642
0.0346737	134.027
0.0348739	134.414
0.0350752	134.801
0.0352777	135.19
0.0354813	135.579
0.0356862	135.97
0.0358922	136.362
0.0360994	136.755
0.0363078	137.149
0.0365174	137.545
0.0367282	137.941
0.0369403	138.339
0.0371535	138.737
0.037368	139.137
0.0375837	139.538
0.0378007	139.941
0.0380189	140.344
0.0382384	140.748
0.0384592	141.154
0.0386812	141.561
0.0389045	141.969
0.0391291	142.378
0.039355	142.789
0.0395822	143.2
0.0398107	143.613
0.0400405	144.027
0.0402717	144.442
0.0405042	144.858
0.040738	145.276
0.0409732	145.695
0.0412098	146.115
0.0414477	146.536
0.0416869	146.958
0.0419276	147.382
0.0421697	147.807
0.0424131	148.233
0.042658	148.66
0.0429042	149.088
0.0431519	149.518
0.043401	149.949
0.0436516	150.381
0.0439036	150.815
0.044157	151.249
0.044412	151.685
0.0446684	152.123
0.0449262	152.561
0.0451856	153.001
0.0454465	153.442
0.0457088	153.884
0.0459727	154.328
0.0462381	154.772
0.046505	155.219
0.0467735	155.666
0.0470435	156.115
0.0473151	156.565
