Stopping power dEdx from Ionisation for Ne20[0.0] Z = 10 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.8817
0.00100577	32.9773
0.00101158	33.0731
0.00101742	33.1692
0.00102329	33.2656
0.0010292	33.3623
0.00103514	33.4593
0.00104112	33.5565
0.00104713	33.654
0.00105317	33.7518
0.00105925	33.8499
0.00106537	33.9483
0.00107152	34.0469
0.00107771	34.1458
0.00108393	34.245
0.00109018	34.3445
0.00109648	34.4443
0.00110281	34.5444
0.00110917	34.6448
0.00111558	34.7454
0.00112202	34.8464
0.0011285	34.9476
0.00113501	35.0491
0.00114156	35.1509
0.00114815	35.253
0.00115478	35.3554
0.00116145	35.4581
0.00116815	35.5611
0.0011749	35.6644
0.00118168	35.768
0.0011885	35.8719
0.00119536	35.9761
0.00120226	36.0806
0.00120921	36.1854
0.00121619	36.2905
0.00122321	36.3959
0.00123027	36.5016
0.00123737	36.6076
0.00124451	36.7139
0.0012517	36.8205
0.00125893	36.9274
0.00126619	37.0347
0.0012735	37.1422
0.00128086	37.25
0.00128825	37.3582
0.00129569	37.4667
0.00130317	37.5755
0.00131069	37.6846
0.00131826	37.794
0.00132587	37.9037
0.00133352	38.0137
0.00134122	38.1241
0.00134896	38.2348
0.00135675	38.3458
0.00136458	38.4571
0.00137246	38.5687
0.00138038	38.6807
0.00138835	38.793
0.00139637	38.9056
0.00140443	39.0185
0.00141254	39.1318
0.00142069	39.2454
0.00142889	39.3593
0.00143714	39.4735
0.00144544	39.5881
0.00145378	39.703
0.00146218	39.8182
0.00147062	39.9338
0.00147911	40.0497
0.00148765	40.1659
0.00149624	40.2825
0.00150487	40.3994
0.00151356	40.5166
0.0015223	40.6342
0.00153109	40.7521
0.00153993	40.8704
0.00154882	40.989
0.00155776	41.1079
0.00156675	41.2272
0.0015758	41.3468
0.00158489	41.4668
0.00159404	41.5871
0.00160325	41.7078
0.0016125	41.8288
0.00162181	41.9501
0.00163117	42.0718
0.00164059	42.1939
0.00165006	42.3163
0.00165959	42.4391
0.00166917	42.5622
0.0016788	42.6857
0.0016885	42.8095
0.00169824	42.9337
0.00170805	43.0582
0.00171791	43.1831
0.00172783	43.3084
0.0017378	43.434
0.00174783	43.56
0.00175792	43.6863
0.00176807	43.8131
0.00177828	43.9401
0.00178855	44.0676
0.00179887	44.1954
0.00180926	44.3236
0.0018197	44.4521
0.00183021	44.581
0.00184077	44.7103
0.0018514	44.84
0.00186209	44.97
0.00187284	45.1004
0.00188365	45.2312
0.00189452	45.3624
0.00190546	45.4939
0.00191646	45.6259
0.00192752	45.7582
0.00193865	45.8908
0.00194984	46.0239
0.0019611	46.1574
0.00197242	46.2912
0.00198381	46.4254
0.00199526	46.56
0.00200678	46.695
0.00201837	46.8304
0.00203002	46.9662
0.00204174	47.1024
0.00205353	47.2389
0.00206538	47.3759
0.0020773	47.5132
0.0020893	47.651
0.00210136	47.7891
0.00211349	47.9276
0.00212569	48.0666
0.00213796	48.2059
0.0021503	48.3456
0.00216272	48.4858
0.0021752	48.6263
0.00218776	48.7673
0.00220039	48.9086
0.00221309	49.0504
0.00222587	49.1926
0.00223872	49.3352
0.00225165	49.4782
0.00226464	49.6216
0.00227772	49.7654
0.00229087	49.9096
0.00230409	50.0543
0.00231739	50.1993
0.00233077	50.3448
0.00234423	50.4907
0.00235776	50.6371
0.00237137	50.7838
0.00238506	50.931
0.00239883	51.0786
0.00241268	51.2266
0.00242661	51.375
0.00244062	51.5239
0.00245471	51.6732
0.00246888	51.823
0.00248313	51.9731
0.00249747	52.1237
0.00251189	52.2747
0.00252639	52.4262
0.00254097	52.5781
0.00255564	52.7305
0.0025704	52.8832
0.00258523	53.0365
0.00260016	53.1901
0.00261517	53.3442
0.00263027	53.4988
0.00264545	53.6538
0.00266073	53.8092
0.00267609	53.9651
0.00269153	54.1215
0.00270707	54.2782
0.0027227	54.4355
0.00273842	54.5932
0.00275423	54.7513
0.00277013	54.9099
0.00278612	55.069
0.00280221	55.2285
0.00281838	55.3885
0.00283465	55.549
0.00285102	55.7099
0.00286748	55.8712
0.00288403	56.0331
0.00290068	56.1954
0.00291743	56.3581
0.00293427	56.5214
0.00295121	56.6851
0.00296825	56.8493
0.00298538	57.0139
0.00300262	57.179
0.00301995	57.3446
0.00303739	57.5107
0.00305492	57.6773
0.00307256	57.8443
0.0030903	58.0118
0.00310814	58.1798
0.00312608	58.3483
0.00314413	58.5173
0.00316228	58.6868
0.00318053	58.8567
0.0031989	59.0272
0.00321736	59.1981
0.00323594	59.3695
0.00325462	59.5414
0.00327341	59.7138
0.0032923	59.8868
0.00331131	60.0602
0.00333043	60.2341
0.00334965	60.4085
0.00336899	60.5834
0.00338844	60.7588
0.003408	60.9347
0.00342768	61.1112
0.00344747	61.2881
0.00346737	61.4655
0.00348739	61.6435
0.00350752	61.822
0.00352777	62.001
0.00354813	62.1805
0.00356862	62.3605
0.00358922	62.541
0.00360994	62.7221
0.00363078	62.9037
0.00365174	63.0858
0.00367282	63.2684
0.00369403	63.4516
0.00371535	63.6352
0.0037368	63.8194
0.00375837	64.0042
0.00378007	64.1895
0.00380189	64.3753
0.00382384	64.5616
0.00384592	64.7485
0.00386812	64.9359
0.00389045	65.1239
0.00391291	65.3124
0.0039355	65.5014
0.00395822	65.691
0.00398107	65.8812
0.00400405	66.0719
0.00402717	66.2631
0.00405042	66.4549
0.0040738	66.6472
0.00409732	66.8401
0.00412098	67.0336
0.00414477	67.2276
0.00416869	67.4221
0.00419276	67.6173
0.00421697	67.813
0.00424131	68.0092
0.0042658	68.206
0.00429042	68.4034
0.00431519	68.6014
0.0043401	68.7999
0.00436516	68.999
0.00439036	69.1987
0.0044157	69.3989
0.0044412	69.5998
0.00446684	69.8012
0.00449262	70.0031
0.00451856	70.2057
0.00454465	70.4089
0.00457088	70.6126
0.00459727	70.8169
0.00462381	71.0218
0.0046505	71.2273
0.00467735	71.4334
0.00470435	71.6401
0.00473151	71.8474
0.00475883	72.0553
0.0047863	72.2638
0.00481393	72.4729
0.00484172	72.6826
0.00486968	72.8928
0.00489779	73.1037
0.00492606	73.3152
0.0049545	73.5274
0.0049831	73.7401
0.00501187	73.9534
0.00504081	74.1674
0.00506991	74.382
0.00509918	74.5971
0.00512861	74.813
0.00515822	75.0294
0.005188	75.2464
0.00521795	75.4641
0.00524807	75.6824
0.00527837	75.9014
0.00530884	76.1209
0.00533949	76.3411
0.00537032	76.562
0.00540132	76.7834
0.0054325	77.0056
0.00546387	77.2283
0.00549541	77.4517
0.00552713	77.6757
0.00555904	77.9004
0.00559114	78.1257
0.00562341	78.3517
0.00565588	78.5784
0.00568853	78.8056
0.00572137	79.0336
0.0057544	79.2622
0.00578762	79.4914
0.00582103	79.7214
0.00585464	79.9519
0.00588844	80.1832
0.00592243	80.4151
0.00595662	80.6477
0.00599101	80.8809
0.0060256	81.1148
0.00606038	81.3494
0.00609537	81.5847
0.00613056	81.8207
0.00616595	82.0573
0.00620155	82.2946
0.00623735	82.5326
0.00627336	82.7713
0.00630957	83.0106
0.006346	83.2507
0.00638263	83.4915
0.00641948	83.7329
0.00645654	83.975
0.00649382	84.2179
0.00653131	84.4614
0.00656901	84.7057
0.00660693	84.9506
0.00664508	85.1963
0.00668344	85.4426
0.00672202	85.6897
0.00676083	85.9375
0.00679986	86.186
0.00683912	86.4352
0.0068786	86.6851
0.00691831	86.9358
0.00695825	87.1871
0.00699842	87.4392
0.00703882	87.6921
0.00707946	87.9456
0.00712033	88.1999
0.00716143	88.4549
0.00720278	88.7107
0.00724436	88.9672
0.00728618	89.2244
0.00732825	89.4824
0.00737055	89.7411
0.0074131	90.0005
0.0074559	90.2607
0.00749894	90.5217
0.00754223	90.7834
0.00758578	91.0459
0.00762957	91.3091
0.00767361	91.5731
0.00771792	91.8378
0.00776247	92.1033
0.00780728	92.3696
0.00785236	92.6366
0.00789769	92.9044
0.00794328	93.173
0.00798914	93.4424
