Stopping power dEdx from Ionisation for O16[0.0] Z = 8 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.5125
0.00100577	32.6069
0.00101158	32.7017
0.00101742	32.7967
0.00102329	32.892
0.0010292	32.9876
0.00103514	33.0835
0.00104112	33.1796
0.00104713	33.276
0.00105317	33.3727
0.00105925	33.4697
0.00106537	33.5669
0.00107152	33.6645
0.00107771	33.7623
0.00108393	33.8604
0.00109018	33.9587
0.00109648	34.0574
0.00110281	34.1563
0.00110917	34.2555
0.00111558	34.3551
0.00112202	34.4549
0.0011285	34.5549
0.00113501	34.6553
0.00114156	34.756
0.00114815	34.8569
0.00115478	34.9582
0.00116145	35.0597
0.00116815	35.1616
0.0011749	35.2637
0.00118168	35.3661
0.0011885	35.4688
0.00119536	35.5718
0.00120226	35.6751
0.00120921	35.7787
0.00121619	35.8826
0.00122321	35.9868
0.00123027	36.0913
0.00123737	36.1961
0.00124451	36.3012
0.0012517	36.4066
0.00125893	36.5124
0.00126619	36.6184
0.0012735	36.7247
0.00128086	36.8313
0.00128825	36.9383
0.00129569	37.0455
0.00130317	37.1531
0.00131069	37.2609
0.00131826	37.3691
0.00132587	37.4776
0.00133352	37.5864
0.00134122	37.6955
0.00134896	37.8049
0.00135675	37.9147
0.00136458	38.0247
0.00137246	38.1351
0.00138038	38.2458
0.00138835	38.3568
0.00139637	38.4681
0.00140443	38.5798
0.00141254	38.6918
0.00142069	38.8041
0.00142889	38.9167
0.00143714	39.0296
0.00144544	39.1429
0.00145378	39.2565
0.00146218	39.3704
0.00147062	39.4847
0.00147911	39.5993
0.00148765	39.7142
0.00149624	39.8294
0.00150487	39.945
0.00151356	40.0609
0.0015223	40.1772
0.00153109	40.2937
0.00153993	40.4107
0.00154882	40.5279
0.00155776	40.6455
0.00156675	40.7634
0.0015758	40.8817
0.00158489	41.0003
0.00159404	41.1193
0.00160325	41.2386
0.0016125	41.3582
0.00162181	41.4782
0.00163117	41.5985
0.00164059	41.7192
0.00165006	41.8402
0.00165959	41.9616
0.00166917	42.0833
0.0016788	42.2054
0.0016885	42.3278
0.00169824	42.4506
0.00170805	42.5737
0.00171791	42.6972
0.00172783	42.8211
0.0017378	42.9453
0.00174783	43.0698
0.00175792	43.1947
0.00176807	43.32
0.00177828	43.4457
0.00178855	43.5717
0.00179887	43.698
0.00180926	43.8248
0.0018197	43.9518
0.00183021	44.0793
0.00184077	44.2071
0.0018514	44.3353
0.00186209	44.4639
0.00187284	44.5928
0.00188365	44.7221
0.00189452	44.8518
0.00190546	44.9819
0.00191646	45.1123
0.00192752	45.2431
0.00193865	45.3743
0.00194984	45.5059
0.0019611	45.6378
0.00197242	45.7701
0.00198381	45.9028
0.00199526	46.0359
0.00200678	46.1694
0.00201837	46.3032
0.00203002	46.4375
0.00204174	46.5721
0.00205353	46.7071
0.00206538	46.8425
0.0020773	46.9783
0.0020893	47.1145
0.00210136	47.251
0.00211349	47.388
0.00212569	47.5254
0.00213796	47.6631
0.0021503	47.8013
0.00216272	47.9399
0.0021752	48.0788
0.00218776	48.2182
0.00220039	48.3579
0.00221309	48.4981
0.00222587	48.6386
0.00223872	48.7796
0.00225165	48.921
0.00226464	49.0628
0.00227772	49.205
0.00229087	49.3476
0.00230409	49.4906
0.00231739	49.634
0.00233077	49.7778
0.00234423	49.9221
0.00235776	50.0668
0.00237137	50.2118
0.00238506	50.3574
0.00239883	50.5033
0.00241268	50.6496
0.00242661	50.7964
0.00244062	50.9436
0.00245471	51.0912
0.00246888	51.2392
0.00248313	51.3877
0.00249747	51.5366
0.00251189	51.6859
0.00252639	51.8357
0.00254097	51.9858
0.00255564	52.1365
0.0025704	52.2875
0.00258523	52.439
0.00260016	52.5909
0.00261517	52.7433
0.00263027	52.8961
0.00264545	53.0493
0.00266073	53.203
0.00267609	53.3571
0.00269153	53.5117
0.00270707	53.6667
0.0027227	53.8222
0.00273842	53.9781
0.00275423	54.1344
0.00277013	54.2913
