Stopping power dEdx from Ionisation for O16[0.0] Z = 8 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	24.122
0.00100577	24.1919
0.00101158	24.2621
0.00101742	24.3324
0.00102329	24.403
0.0010292	24.4738
0.00103514	24.5447
0.00104112	24.6159
0.00104713	24.6873
0.00105317	24.7588
0.00105925	24.8306
0.00106537	24.9026
0.00107152	24.9748
0.00107771	25.0472
0.00108393	25.1199
0.00109018	25.1927
0.00109648	25.2657
0.00110281	25.339
0.00110917	25.4124
0.00111558	25.4861
0.00112202	25.56
0.0011285	25.6341
0.00113501	25.7084
0.00114156	25.7829
0.00114815	25.8577
0.00115478	25.9326
0.00116145	26.0078
0.00116815	26.0832
0.0011749	26.1588
0.00118168	26.2346
0.0011885	26.3107
0.00119536	26.3869
0.00120226	26.4634
0.00120921	26.5401
0.00121619	26.617
0.00122321	26.6942
0.00123027	26.7716
0.00123737	26.8491
0.00124451	26.927
0.0012517	27.005
0.00125893	27.0833
0.00126619	27.1617
0.0012735	27.2405
0.00128086	27.3194
0.00128825	27.3986
0.00129569	27.478
0.00130317	27.5576
0.00131069	27.6375
0.00131826	27.7175
0.00132587	27.7979
0.00133352	27.8784
0.00134122	27.9592
0.00134896	28.0402
0.00135675	28.1214
0.00136458	28.2029
0.00137246	28.2846
0.00138038	28.3666
0.00138835	28.4488
0.00139637	28.5312
0.00140443	28.6139
0.00141254	28.6968
0.00142069	28.7799
0.00142889	28.8633
0.00143714	28.9469
0.00144544	29.0308
0.00145378	29.1149
0.00146218	29.1992
0.00147062	29.2838
0.00147911	29.3686
0.00148765	29.4537
0.00149624	29.539
0.00150487	29.6246
0.00151356	29.7104
0.0015223	29.7965
0.00153109	29.8828
0.00153993	29.9693
0.00154882	30.0561
0.00155776	30.1432
0.00156675	30.2305
0.0015758	30.3181
0.00158489	30.4059
0.00159404	30.4939
0.00160325	30.5823
0.0016125	30.6708
0.00162181	30.7597
0.00163117	30.8488
0.00164059	30.9381
0.00165006	31.0277
0.00165959	31.1176
0.00166917	31.2077
0.0016788	31.298
0.0016885	31.3887
0.00169824	31.4796
0.00170805	31.5707
0.00171791	31.6622
0.00172783	31.7539
0.0017378	31.8458
0.00174783	31.938
0.00175792	32.0305
0.00176807	32.1233
0.00177828	32.2163
0.00178855	32.3096
0.00179887	32.4031
0.00180926	32.4969
0.0018197	32.591
0.00183021	32.6854
0.00184077	32.78
0.0018514	32.8749
0.00186209	32.9701
0.00187284	33.0656
0.00188365	33.1613
0.00189452	33.2573
0.00190546	33.3536
0.00191646	33.4502
0.00192752	33.547
0.00193865	33.6441
0.00194984	33.7415
0.0019611	33.8392
0.00197242	33.9372
0.00198381	34.0354
0.00199526	34.1339
0.00200678	34.2327
0.00201837	34.3318
0.00203002	34.4312
0.00204174	34.5309
0.00205353	34.6308
0.00206538	34.7311
0.0020773	34.8316
0.0020893	34.9324
0.00210136	35.0336
0.00211349	35.135
0.00212569	35.2367
0.00213796	35.3386
0.0021503	35.4409
0.00216272	35.5435
0.0021752	35.6464
0.00218776	35.7495
0.00220039	35.853
0.00221309	35.9568
0.00222587	36.0608
0.00223872	36.1652
0.00225165	36.2699
0.00226464	36.3748
0.00227772	36.4801
0.00229087	36.5857
0.00230409	36.6916
0.00231739	36.7978
0.00233077	36.9042
0.00234423	37.011
0.00235776	37.1181
0.00237137	37.2256
0.00238506	37.3333
0.00239883	37.4413
0.00241268	37.5497
0.00242661	37.6583
0.00244062	37.7673
0.00245471	37.8766
0.00246888	37.9862
0.00248313	38.0961
0.00249747	38.2063
0.00251189	38.3169
0.00252639	38.4277
0.00254097	38.5389
0.00255564	38.6504
0.0025704	38.7623
0.00258523	38.8744
0.00260016	38.9869
0.00261517	39.0997
0.00263027	39.2128
0.00264545	39.3263
0.00266073	39.44
0.00267609	39.5541
0.00269153	39.6686
0.00270707	39.7833
0.0027227	39.8984
0.00273842	40.0139
0.00275423	40.1296
0.00277013	40.2457
0.00278612	40.3621
0.00280221	40.4789
0.00281838	40.596
0.00283465	40.7134
0.00285102	40.8312
0.00286748	40.9493
0.00288403	41.0678
0.00290068	41.1866
0.00291743	41.3057
0.00293427	41.4252
0.00295121	41.545
0.00296825	41.6652
0.00298538	41.7857
0.00300262	41.9066
0.00301995	42.0278
0.00303739	42.1494
0.00305492	42.2713
0.00307256	42.3936
0.0030903	42.5162
0.00310814	42.6391
0.00312608	42.7625
0.00314413	42.8862
0.00316228	43.0102
0.00318053	43.1346
0.0031989	43.2593
0.00321736	43.3845
0.00323594	43.5099
0.00325462	43.6358
0.00327341	43.762
0.0032923	43.8885
0.00331131	44.0155
0.00333043	44.1428
0.00334965	44.2704
0.00336899	44.3984
0.00338844	44.5268
0.003408	44.6556
0.00342768	44.7847
0.00344747	44.9143
0.00346737	45.0441
0.00348739	45.1744
0.00350752	45.305
0.00352777	45.436
0.00354813	45.5674
0.00356862	45.6992
0.00358922	45.8313
0.00360994	45.9639
0.00363078	46.0968
0.00365174	46.2301
0.00367282	46.3638
0.00369403	46.4978
0.00371535	46.6323
0.0037368	46.7671
