Stopping power dEdx from Ionisation for P31[0.0] Z = 15 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	58.9157
0.00100577	59.0855
0.00101158	59.2558
0.00101742	59.4266
0.00102329	59.5979
0.0010292	59.7697
0.00103514	59.942
0.00104112	60.1148
0.00104713	60.288
0.00105317	60.4618
0.00105925	60.6361
0.00106537	60.8109
0.00107152	60.9861
0.00107771	61.1619
0.00108393	61.3382
0.00109018	61.515
0.00109648	61.6923
0.00110281	61.8701
0.00110917	62.0485
0.00111558	62.2273
0.00112202	62.4067
0.0011285	62.5866
0.00113501	62.767
0.00114156	62.9479
0.00114815	63.1293
0.00115478	63.3113
0.00116145	63.4938
0.00116815	63.6768
0.0011749	63.8603
0.00118168	64.0444
0.0011885	64.229
0.00119536	64.4141
0.00120226	64.5998
0.00120921	64.786
0.00121619	64.9727
0.00122321	65.16
0.00123027	65.3478
0.00123737	65.5362
0.00124451	65.7251
0.0012517	65.9145
0.00125893	66.1045
0.00126619	66.2951
0.0012735	66.4861
0.00128086	66.6778
0.00128825	66.87
0.00129569	67.0627
0.00130317	67.256
0.00131069	67.4499
0.00131826	67.6443
0.00132587	67.8393
0.00133352	68.0348
0.00134122	68.2309
0.00134896	68.4276
0.00135675	68.6248
0.00136458	68.8226
0.00137246	69.021
0.00138038	69.2199
0.00138835	69.4194
0.00139637	69.6195
0.00140443	69.8202
0.00141254	70.0215
0.00142069	70.2233
0.00142889	70.4257
0.00143714	70.6287
0.00144544	70.8323
0.00145378	71.0364
0.00146218	71.2412
0.00147062	71.4465
0.00147911	71.6525
0.00148765	71.859
0.00149624	72.0661
0.00150487	72.2738
0.00151356	72.4822
0.0015223	72.6911
0.00153109	72.9006
0.00153993	73.1107
0.00154882	73.3215
0.00155776	73.5328
0.00156675	73.7448
0.0015758	73.9573
0.00158489	74.1705
0.00159404	74.3843
0.00160325	74.5987
0.0016125	74.8137
0.00162181	75.0293
0.00163117	75.2456
0.00164059	75.4625
0.00165006	75.68
0.00165959	75.8981
0.00166917	76.1169
0.0016788	76.3363
0.0016885	76.5563
0.00169824	76.777
0.00170805	76.9983
0.00171791	77.2202
0.00172783	77.4428
0.0017378	77.666
0.00174783	77.8899
0.00175792	78.1144
0.00176807	78.3396
0.00177828	78.5654
0.00178855	78.7918
0.00179887	79.0189
0.00180926	79.2467
0.0018197	79.4751
0.00183021	79.7042
0.00184077	79.9339
0.0018514	80.1643
0.00186209	80.3954
0.00187284	80.6271
0.00188365	80.8595
0.00189452	81.0926
0.00190546	81.3263
0.00191646	81.5607
0.00192752	81.7958
0.00193865	82.0316
0.00194984	82.268
0.0019611	82.5052
0.00197242	82.743
0.00198381	82.9815
0.00199526	83.2207
0.00200678	83.4605
0.00201837	83.7011
0.00203002	83.9423
0.00204174	84.1843
0.00205353	84.427
0.00206538	84.6703
0.0020773	84.9144
0.0020893	85.1591
0.00210136	85.4046
0.00211349	85.6507
0.00212569	85.8976
0.00213796	86.1452
0.0021503	86.3935
0.00216272	86.6425
0.0021752	86.8923
0.00218776	87.1427
0.00220039	87.3939
0.00221309	87.6458
0.00222587	87.8984
0.00223872	88.1518
0.00225165	88.4059
0.00226464	88.6607
0.00227772	88.9162
0.00229087	89.1725
0.00230409	89.4296
0.00231739	89.6873
0.00233077	89.9458
0.00234423	90.2051
0.00235776	90.4651
0.00237137	90.7259
0.00238506	90.9874
0.00239883	91.2496
0.00241268	91.5126
0.00242661	91.7764
0.00244062	92.041
0.00245471	92.3063
0.00246888	92.5723
0.00248313	92.8391
0.00249747	93.1067
0.00251189	93.3751
0.00252639	93.6443
0.00254097	93.9142
0.00255564	94.1849
0.0025704	94.4563
0.00258523	94.7286
0.00260016	95.0016
0.00261517	95.2755
0.00263027	95.5501
0.00264545	95.8255
0.00266073	96.1017
0.00267609	96.3787
0.00269153	96.6565
0.00270707	96.9351
0.0027227	97.2145
0.00273842	97.4947
0.00275423	97.7757
0.00277013	98.0576
0.00278612	98.3402
0.00280221	98.6237
0.00281838	98.9079
0.00283465	99.193
0.00285102	99.4789
