Stopping power dEdx from Ionisation for P31[0.0] Z = 15 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.4655
0.00100577	22.5307
0.00101158	22.596
0.00101742	22.6615
0.00102329	22.7272
0.0010292	22.793
0.00103514	22.8591
0.00104112	22.9254
0.00104713	22.9918
0.00105317	23.0584
0.00105925	23.1253
0.00106537	23.1923
0.00107152	23.2595
0.00107771	23.3269
0.00108393	23.3945
0.00109018	23.4623
0.00109648	23.5303
0.00110281	23.5985
0.00110917	23.6669
0.00111558	23.7355
0.00112202	23.8043
0.0011285	23.8733
0.00113501	23.9424
0.00114156	24.0118
0.00114815	24.0814
0.00115478	24.1512
0.00116145	24.2212
0.00116815	24.2913
0.0011749	24.3617
0.00118168	24.4323
0.0011885	24.5031
0.00119536	24.5741
0.00120226	24.6453
0.00120921	24.7167
0.00121619	24.7883
0.00122321	24.8601
0.00123027	24.9322
0.00123737	25.0044
0.00124451	25.0768
0.0012517	25.1495
0.00125893	25.2223
0.00126619	25.2954
0.0012735	25.3687
0.00128086	25.4422
0.00128825	25.5159
0.00129569	25.5898
0.00130317	25.6639
0.00131069	25.7382
0.00131826	25.8128
0.00132587	25.8876
0.00133352	25.9626
0.00134122	26.0378
0.00134896	26.1132
0.00135675	26.1888
0.00136458	26.2647
0.00137246	26.3407
0.00138038	26.417
0.00138835	26.4935
0.00139637	26.5703
0.00140443	26.6472
0.00141254	26.7244
0.00142069	26.8018
0.00142889	26.8794
0.00143714	26.9573
0.00144544	27.0353
0.00145378	27.1136
0.00146218	27.1922
0.00147062	27.2709
0.00147911	27.3499
0.00148765	27.4291
0.00149624	27.5085
0.00150487	27.5882
0.00151356	27.668
0.0015223	27.7482
0.00153109	27.8285
0.00153993	27.9091
0.00154882	27.9899
0.00155776	28.0709
0.00156675	28.1522
0.0015758	28.2337
0.00158489	28.3155
0.00159404	28.3975
0.00160325	28.4797
0.0016125	28.5622
0.00162181	28.6448
0.00163117	28.7278
0.00164059	28.8109
0.00165006	28.8944
0.00165959	28.978
0.00166917	29.0619
0.0016788	29.146
0.0016885	29.2304
0.00169824	29.315
0.00170805	29.3999
0.00171791	29.485
0.00172783	29.5704
0.0017378	29.656
0.00174783	29.7418
0.00175792	29.8279
0.00176807	29.9143
0.00177828	30.0008
0.00178855	30.0877
0.00179887	30.1748
0.00180926	30.2621
0.0018197	30.3497
0.00183021	30.4376
0.00184077	30.5257
0.0018514	30.614
0.00186209	30.7026
0.00187284	30.7915
0.00188365	30.8806
0.00189452	30.97
0.00190546	31.0596
