Stopping power dEdx from Ionisation for S32[0.0] Z = 16 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	61.2606
0.00100577	61.4372
0.00101158	61.6143
0.00101742	61.7919
0.00102329	61.97
0.0010292	62.1486
0.00103514	62.3277
0.00104112	62.5074
0.00104713	62.6875
0.00105317	62.8682
0.00105925	63.0494
0.00106537	63.2312
0.00107152	63.4134
0.00107771	63.5962
0.00108393	63.7795
0.00109018	63.9634
0.00109648	64.1477
0.00110281	64.3326
0.00110917	64.5181
0.00111558	64.704
0.00112202	64.8905
0.0011285	65.0776
0.00113501	65.2651
0.00114156	65.4533
0.00114815	65.6419
0.00115478	65.8311
0.00116145	66.0209
0.00116815	66.2112
0.0011749	66.402
0.00118168	66.5934
0.0011885	66.7854
0.00119536	66.9779
0.00120226	67.1709
0.00120921	67.3645
0.00121619	67.5587
0.00122321	67.7534
0.00123027	67.9487
0.00123737	68.1446
0.00124451	68.341
0.0012517	68.538
0.00125893	68.7355
0.00126619	68.9337
0.0012735	69.1323
0.00128086	69.3316
0.00128825	69.5314
0.00129569	69.7319
0.00130317	69.9329
0.00131069	70.1344
0.00131826	70.3366
0.00132587	70.5393
0.00133352	70.7426
0.00134122	70.9466
0.00134896	71.151
0.00135675	71.3561
0.00136458	71.5618
0.00137246	71.7681
0.00138038	71.9749
0.00138835	72.1824
0.00139637	72.3905
0.00140443	72.5991
0.00141254	72.8084
0.00142069	73.0182
0.00142889	73.2287
0.00143714	73.4398
0.00144544	73.6514
0.00145378	73.8637
0.00146218	74.0766
0.00147062	74.2902
0.00147911	74.5043
0.00148765	74.719
0.00149624	74.9344
0.00150487	75.1504
0.00151356	75.367
0.0015223	75.5842
0.00153109	75.8021
0.00153993	76.0206
0.00154882	76.2397
0.00155776	76.4595
0.00156675	76.6799
0.0015758	76.9009
0.00158489	77.1225
0.00159404	77.3448
0.00160325	77.5678
0.0016125	77.7913
0.00162181	78.0156
0.00163117	78.2404
0.00164059	78.466
0.00165006	78.6921
0.00165959	78.9189
0.00166917	79.1464
0.0016788	79.3746
0.0016885	79.6033
0.00169824	79.8328
0.00170805	80.0629
0.00171791	80.2937
0.00172783	80.5251
0.0017378	80.7572
0.00174783	80.99
0.00175792	81.2234
0.00176807	81.4575
0.00177828	81.6923
0.00178855	81.9278
0.00179887	82.1639
0.00180926	82.4008
0.0018197	82.6383
0.00183021	82.8765
0.00184077	83.1154
0.0018514	83.3549
0.00186209	83.5952
0.00187284	83.8361
0.00188365	84.0778
0.00189452	84.3201
0.00190546	84.5632
0.00191646	84.8069
0.00192752	85.0514
0.00193865	85.2965
0.00194984	85.5424
0.0019611	85.7889
0.00197242	86.0362
0.00198381	86.2842
0.00199526	86.5329
0.00200678	86.7823
0.00201837	87.0325
0.00203002	87.2833
0.00204174	87.5349
0.00205353	87.7872
0.00206538	88.0403
0.0020773	88.294
0.0020893	88.5485
0.00210136	88.8037
0.00211349	89.0597
0.00212569	89.3164
0.00213796	89.5739
0.0021503	89.832
0.00216272	90.091
0.0021752	90.3507
0.00218776	90.6111
0.00220039	90.8723
0.00221309	91.1342
0.00222587	91.3969
0.00223872	91.6603
0.00225165	91.9245
0.00226464	92.1895
0.00227772	92.4552
0.00229087	92.7217
0.00230409	92.9889
0.00231739	93.257
0.00233077	93.5258
0.00234423	93.7953
0.00235776	94.0657
0.00237137	94.3368
0.00238506	94.6087
0.00239883	94.8814
0.00241268	95.1549
0.00242661	95.4292
0.00244062	95.7043
0.00245471	95.9801
0.00246888	96.2568
0.00248313	96.5342
0.00249747	96.8125
0.00251189	97.0915
0.00252639	97.3714
0.00254097	97.652
0.00255564	97.9335
0.0025704	98.2158
0.00258523	98.4989
0.00260016	98.7828
0.00261517	99.0675
0.00263027	99.3531
0.00264545	99.6394
0.00266073	99.9266
0.00267609	100.215
0.00269153	100.504
0.00270707	100.793
0.0027227	101.084
0.00273842	101.375
0.00275423	101.667
0.00277013	101.96
0.00278612	102.254
0.00280221	102.549
0.00281838	102.845
0.00283465	103.141
0.00285102	103.438
0.00286748	103.736
0.00288403	104.035
0.00290068	104.335
0.00291743	104.636
0.00293427	104.938
0.00295121	105.24
0.00296825	105.543
0.00298538	105.848
0.00300262	106.153
0.00301995	106.459
0.00303739	106.766
0.00305492	107.073
0.00307256	107.382
0.0030903	107.691
0.00310814	108.002
0.00312608	108.313
0.00314413	108.625
0.00316228	108.938
0.00318053	109.252
0.0031989	109.567
0.00321736	109.883
0.00323594	110.2
0.00325462	110.518
0.00327341	110.836
