Stopping power dEdx from Ionisation for Sc45[0.0] Z = 21 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	64.6805
0.00100577	64.867
0.00101158	65.0539
0.00101742	65.2415
0.00102329	65.4295
0.0010292	65.6181
0.00103514	65.8072
0.00104112	65.9969
0.00104713	66.1871
0.00105317	66.3779
0.00105925	66.5692
0.00106537	66.7611
0.00107152	66.9536
0.00107771	67.1465
0.00108393	67.3401
0.00109018	67.5342
0.00109648	67.7288
0.00110281	67.9241
0.00110917	68.1198
0.00111558	68.3162
0.00112202	68.5131
0.0011285	68.7106
0.00113501	68.9086
0.00114156	69.1073
0.00114815	69.3064
0.00115478	69.5062
0.00116145	69.7066
0.00116815	69.9075
0.0011749	70.109
0.00118168	70.3111
0.0011885	70.5137
0.00119536	70.717
0.00120226	70.9208
0.00120921	71.1252
0.00121619	71.3302
0.00122321	71.5358
0.00123027	71.742
0.00123737	71.9488
0.00124451	72.1562
0.0012517	72.3642
0.00125893	72.5728
0.00126619	72.7819
0.0012735	72.9917
0.00128086	73.2021
0.00128825	73.4131
0.00129569	73.6247
0.00130317	73.8369
0.00131069	74.0498
0.00131826	74.2632
0.00132587	74.4773
0.00133352	74.6919
0.00134122	74.9072
0.00134896	75.1231
0.00135675	75.3397
0.00136458	75.5568
0.00137246	75.7746
0.00138038	75.993
0.00138835	76.2121
0.00139637	76.4317
0.00140443	76.652
0.00141254	76.873
0.00142069	77.0945
0.00142889	77.3168
0.00143714	77.5396
0.00144544	77.7631
0.00145378	77.9873
0.00146218	78.212
0.00147062	78.4375
0.00147911	78.6636
0.00148765	78.8903
0.00149624	79.1177
0.00150487	79.3457
0.00151356	79.5744
0.0015223	79.8038
0.00153109	80.0338
0.00153993	80.2645
0.00154882	80.4959
0.00155776	80.7279
0.00156675	80.9606
0.0015758	81.1939
0.00158489	81.428
0.00159404	81.6627
0.00160325	81.8981
0.0016125	82.1341
0.00162181	82.3709
0.00163117	82.6083
0.00164059	82.8464
0.00165006	83.0852
0.00165959	83.3247
0.00166917	83.5649
0.0016788	83.8057
0.0016885	84.0473
0.00169824	84.2895
0.00170805	84.5325
0.00171791	84.7761
0.00172783	85.0205
0.0017378	85.2656
0.00174783	85.5113
0.00175792	85.7578
0.00176807	86.005
0.00177828	86.2529
0.00178855	86.5015
0.00179887	86.7508
0.00180926	87.0009
0.0018197	87.2516
0.00183021	87.5031
0.00184077	87.7554
0.0018514	88.0083
0.00186209	88.262
0.00187284	88.5164
0.00188365	88.7715
0.00189452	89.0274
0.00190546	89.284
0.00191646	89.5414
0.00192752	89.7994
0.00193865	90.0583
0.00194984	90.3179
0.0019611	90.5782
0.00197242	90.8393
0.00198381	91.1011
0.00199526	91.3637
0.00200678	91.627
0.00201837	91.8911
0.00203002	92.156
0.00204174	92.4216
0.00205353	92.688
0.00206538	92.9552
0.0020773	93.2231
0.0020893	93.4918
0.00210136	93.7613
0.00211349	94.0316
0.00212569	94.3026
0.00213796	94.5744
0.0021503	94.847
0.00216272	95.1204
0.0021752	95.3946
0.00218776	95.6695
0.00220039	95.9453
0.00221309	96.2218
0.00222587	96.4992
0.00223872	96.7773
0.00225165	97.0563
0.00226464	97.336
0.00227772	97.6166
0.00229087	97.898
0.00230409	98.1801
0.00231739	98.4631
0.00233077	98.7469
0.00234423	99.0316
0.00235776	99.317
0.00237137	99.6033
0.00238506	99.8904
0.00239883	100.178
0.00241268	100.467
0.00242661	100.757
0.00244062	101.047
0.00245471	101.338
0.00246888	101.63
0.00248313	101.923
0.00249747	102.217
0.00251189	102.512
0.00252639	102.807
0.00254097	103.104
0.00255564	103.401
0.0025704	103.699
0.00258523	103.998
0.00260016	104.297
0.00261517	104.598
0.00263027	104.9
0.00264545	105.202
0.00266073	105.505
0.00267609	105.809
0.00269153	106.114
0.00270707	106.42
0.0027227	106.727
0.00273842	107.034
0.00275423	107.343
0.00277013	107.652
0.00278612	107.963
0.00280221	108.274
0.00281838	108.586
0.00283465	108.899
0.00285102	109.213
0.00286748	109.528
0.00288403	109.843
0.00290068	110.16
0.00291743	110.477
0.00293427	110.796
0.00295121	111.115
0.00296825	111.436
0.00298538	111.757
0.00300262	112.079
0.00301995	112.402
0.00303739	112.726
0.00305492	113.051
0.00307256	113.377
0.0030903	113.703
0.00310814	114.031
0.00312608	114.36
0.00314413	114.689
0.00316228	115.02
0.00318053	115.352
0.0031989	115.684
0.00321736	116.018
0.00323594	116.352
0.00325462	116.687
