Stopping power dEdx from Ionisation for Si28[0.0] Z = 14 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.7564
0.00100577	22.8224
0.00101158	22.8885
0.00101742	22.9549
0.00102329	23.0214
0.0010292	23.0882
0.00103514	23.1551
0.00104112	23.2222
0.00104713	23.2895
0.00105317	23.357
0.00105925	23.4247
0.00106537	23.4926
0.00107152	23.5607
0.00107771	23.629
0.00108393	23.6975
0.00109018	23.7662
0.00109648	23.8351
0.00110281	23.9041
0.00110917	23.9734
0.00111558	24.0429
0.00112202	24.1126
0.0011285	24.1825
0.00113501	24.2525
0.00114156	24.3228
0.00114815	24.3933
0.00115478	24.464
0.00116145	24.5349
0.00116815	24.606
0.0011749	24.6773
0.00118168	24.7488
0.0011885	24.8205
0.00119536	24.8924
0.00120226	24.9645
0.00120921	25.0369
0.00121619	25.1094
0.00122321	25.1822
0.00123027	25.2551
0.00123737	25.3283
0.00124451	25.4017
0.0012517	25.4753
0.00125893	25.5491
0.00126619	25.6231
0.0012735	25.6973
0.00128086	25.7718
0.00128825	25.8465
0.00129569	25.9213
0.00130317	25.9964
0.00131069	26.0717
0.00131826	26.1473
0.00132587	26.223
0.00133352	26.299
0.00134122	26.3751
0.00134896	26.4515
0.00135675	26.5282
0.00136458	26.605
0.00137246	26.6821
0.00138038	26.7594
0.00138835	26.8369
0.00139637	26.9146
0.00140443	26.9925
0.00141254	27.0707
0.00142069	27.1491
0.00142889	27.2278
0.00143714	27.3066
0.00144544	27.3857
0.00145378	27.465
0.00146218	27.5446
0.00147062	27.6243
0.00147911	27.7043
0.00148765	27.7846
0.00149624	27.865
0.00150487	27.9457
0.00151356	28.0267
0.0015223	28.1078
0.00153109	28.1892
0.00153993	28.2708
0.00154882	28.3527
0.00155776	28.4348
0.00156675	28.5171
0.0015758	28.5997
0.00158489	28.6825
0.00159404	28.7656
0.00160325	28.8489
0.0016125	28.9324
0.00162181	29.0162
0.00163117	29.1002
0.00164059	29.1844
0.00165006	29.2689
0.00165959	29.3537
0.00166917	29.4387
0.0016788	29.5239
0.0016885	29.6094
0.00169824	29.6951
0.00170805	29.7811
0.00171791	29.8673
0.00172783	29.9538
0.0017378	30.0405
0.00174783	30.1274
0.00175792	30.2147
0.00176807	30.3021
0.00177828	30.3898
0.00178855	30.4778
0.00179887	30.566
0.00180926	30.6545
0.0018197	30.7433
0.00183021	30.8322
0.00184077	30.9215
0.0018514	31.011
0.00186209	31.1008
0.00187284	31.1908
0.00188365	31.2811
0.00189452	31.3716
0.00190546	31.4624
0.00191646	31.5535
0.00192752	31.6448
0.00193865	31.7364
0.00194984	31.8282
0.0019611	31.9204
0.00197242	32.0127
0.00198381	32.1054
0.00199526	32.1983
0.00200678	32.2915
0.00201837	32.3849
0.00203002	32.4787
0.00204174	32.5727
0.00205353	32.6669
0.00206538	32.7615
0.0020773	32.8563
0.0020893	32.9514
0.00210136	33.0467
0.00211349	33.1423
0.00212569	33.2382
0.00213796	33.3344
0.0021503	33.4309
0.00216272	33.5276
0.0021752	33.6246
0.00218776	33.7219
0.00220039	33.8195
0.00221309	33.9174
0.00222587	34.0155
0.00223872	34.1139
0.00225165	34.2126
0.00226464	34.3116
0.00227772	34.4109
0.00229087	34.5105
0.00230409	34.6103
0.00231739	34.7105
0.00233077	34.8109
0.00234423	34.9116
0.00235776	35.0126
0.00237137	35.1139
0.00238506	35.2155
0.00239883	35.3174
0.00241268	35.4196
0.00242661	35.522
0.00244062	35.6248
0.00245471	35.7279
0.00246888	35.8312
0.00248313	35.9349
0.00249747	36.0388
0.00251189	36.1431
0.00252639	36.2476
0.00254097	36.3525
0.00255564	36.4576
0.0025704	36.5631
0.00258523	36.6689
0.00260016	36.7749
0.00261517	36.8813
0.00263027	36.988
0.00264545	37.095
0.00266073	37.2023
0.00267609	37.3099
0.00269153	37.4178
0.00270707	37.5261
0.0027227	37.6346
0.00273842	37.7435
0.00275423	37.8526
0.00277013	37.9621
0.00278612	38.0719
0.00280221	38.182
0.00281838	38.2924
0.00283465	38.4032
0.00285102	38.5143
0.00286748	38.6257
0.00288403	38.7374
0.00290068	38.8494
0.00291743	38.9618
0.00293427	39.0744
0.00295121	39.1874
0.00296825	39.3008
0.00298538	39.4144
0.00300262	39.5284
0.00301995	39.6427
0.00303739	39.7574
0.00305492	39.8723
0.00307256	39.9877
0.0030903	40.1033
0.00310814	40.2193
0.00312608	40.3356
0.00314413	40.4522
0.00316228	40.5692
0.00318053	40.6865
0.0031989	40.8041
0.00321736	40.9221
0.00323594	41.0405
0.00325462	41.1591
0.00327341	41.2781
0.0032923	41.3975
0.00331131	41.5172
0.00333043	41.6373
0.00334965	41.7576
0.00336899	41.8784
0.00338844	41.9995
0.003408	42.1209
0.00342768	42.2427
0.00344747	42.3648
0.00346737	42.4873
0.00348739	42.6102
0.00350752	42.7334
0.00352777	42.8569
0.00354813	42.9808
0.00356862	43.1051
0.00358922	43.2297
0.00360994	43.3547
0.00363078	43.48
0.00365174	43.6057
0.00367282	43.7318
0.00369403	43.8582
0.00371535	43.985
0.0037368	44.1122
0.00375837	44.2397
0.00378007	44.3676
0.00380189	44.4959
0.00382384	44.6245
0.00384592	44.7535
0.00386812	44.8829
0.00389045	45.0126
0.00391291	45.1427
0.0039355	45.2732
0.00395822	45.4041
0.00398107	45.5353
0.00400405	45.667
0.00402717	45.799
0.00405042	45.9314
0.0040738	46.0641
0.00409732	46.1973
0.00412098	46.3308
0.00414477	46.4647
0.00416869	46.5991
0.00419276	46.7337
0.00421697	46.8688
0.00424131	47.0043
0.0042658	47.1402
0.00429042	47.2764
0.00431519	47.4131
0.0043401	47.5501
0.00436516	47.6875
0.00439036	47.8254
0.0044157	47.9636
0.0044412	48.1022
0.00446684	48.2412
0.00449262	48.3807
0.00451856	48.5205
0.00454465	48.6607
0.00457088	48.8014
0.00459727	48.9424
0.00462381	49.0839
0.0046505	49.2257
0.00467735	49.368
0.00470435	49.5107
0.00473151	49.6537
0.00475883	49.7972
0.0047863	49.9411
0.00481393	50.0855
0.00484172	50.2302
0.00486968	50.3754
0.00489779	50.521
0.00492606	50.667
0.0049545	50.8134
0.0049831	50.9602
0.00501187	51.1075
0.00504081	51.2552
0.00506991	51.4033
0.00509918	51.5518
0.00512861	51.7008
0.00515822	51.8502
0.005188	52
0.00521795	52.1503
0.00524807	52.4319
0.00527837	52.5831
0.00530884	52.7346
0.00533949	52.8866
0.00537032	53.0391
0.00540132	53.1919
0.0054325	53.3453
0.00546387	53.499
0.00549541	53.6532
0.00552713	53.8079
0.00555904	53.963
0.00559114	54.1185
0.00562341	54.2745
0.00565588	54.4309
0.00568853	54.5878
0.00572137	54.7452
0.0057544	54.903
0.00578762	55.0612
0.00582103	55.2199
0.00585464	55.3791
0.00588844	55.5387
0.00592243	55.6988
0.00595662	55.8593
0.00599101	56.0204
0.0060256	56.1818
0.00606038	56.3438
0.00609537	56.5062
0.00613056	56.669
0.00616595	56.8324
0.00620155	56.9962
0.00623735	57.1605
0.00627336	57.3252
0.00630957	57.4905
0.006346	57.6562
0.00638263	57.8224
0.00641948	57.989
0.00645654	58.1562
0.00649382	58.3238
0.00653131	58.4919
0.00656901	58.6605
0.00660693	58.8296
0.00664508	58.9992
0.00668344	59.1692
0.00672202	59.3398
0.00676083	59.5108
0.00679986	59.6823
0.00683912	59.8544
0.0068786	60.0269
0.00691831	60.1999
0.00695825	60.3734
0.00699842	60.5474
0.00703882	60.722
0.00707946	60.897
0.00712033	61.0725
0.00716143	61.2486
0.00720278	61.4251
0.00724436	61.6021
0.00728618	61.7797
0.00732825	61.9578
0.00737055	62.1364
0.0074131	62.3155
0.0074559	62.4951
0.00749894	62.6752
0.00754223	62.8559
0.00758578	63.037
0.00762957	63.2187
0.00767361	63.401
0.00771792	63.5837
0.00776247	63.767
0.00780728	63.9508
0.00785236	64.1351
0.00789769	64.32
0.00794328	64.5054
0.00798914	64.6913
0.00803526	64.8778
0.00808165	65.0648
0.00812831	65.2523
0.00817523	65.4404
0.00822243	65.629
0.0082699	65.8182
0.00831764	66.0079
0.00836566	66.1982
0.00841395	66.389
0.00846253	66.5803
0.00851138	66.7722
0.00856052	66.9647
0.00860994	67.1577
0.00865964	67.3513
0.00870964	67.5454
0.00875992	67.7401
0.00881049	67.9354
0.00886135	68.1312
0.00891251	68.3276
0.00896396	68.5245
0.00901571	68.722
0.00906776	68.9201
0.00912011	69.1187
0.00917276	69.318
0.00922571	69.5178
0.00927897	69.7182
0.00933254	69.9191
0.00938642	70.1206
0.00944061	70.3228
0.00949511	70.5254
0.00954993	70.7287
0.00960506	70.9326
0.00966051	71.1371
0.00971628	71.3421
0.00977237	71.5477
0.00982879	71.754
0.00988553	71.9608
0.0099426	72.1682
0.01	72.3762
0.0100577	72.5848
0.0101158	72.794
0.0101742	73.0039
0.0102329	73.2143
0.010292	73.4253
0.0103514	73.637
0.0104112	73.8492
0.0104713	74.0621
0.0105317	74.2755
0.0105925	74.4896
0.0106537	74.7043
0.0107152	74.9197
0.0107771	75.1356
0.0108393	75.3522
0.0109018	75.5694
0.0109648	75.7872
0.0110281	76.0056
0.0110917	76.2247
0.0111558	76.4444
