Stopping power dEdx from Ionisation for Ti48[0.0] Z = 22 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	65.0201
0.00100577	65.2075
0.00101158	65.3955
0.00101742	65.584
0.00102329	65.773
0.0010292	65.9626
0.00103514	66.1527
0.00104112	66.3434
0.00104713	66.5346
0.00105317	66.7264
0.00105925	66.9188
0.00106537	67.1116
0.00107152	67.3051
0.00107771	67.4991
0.00108393	67.6936
0.00109018	67.8888
0.00109648	68.0844
0.00110281	68.2807
0.00110917	68.4775
0.00111558	68.6749
0.00112202	68.8728
0.0011285	69.0713
0.00113501	69.2704
0.00114156	69.4701
0.00114815	69.6703
0.00115478	69.8711
0.00116145	70.0725
0.00116815	70.2745
0.0011749	70.4771
0.00118168	70.6802
0.0011885	70.8839
0.00119536	71.0883
0.00120226	71.2932
0.00120921	71.4986
0.00121619	71.7047
0.00122321	71.9114
0.00123027	72.1187
0.00123737	72.3266
0.00124451	72.535
0.0012517	72.7441
0.00125893	72.9538
0.00126619	73.1641
0.0012735	73.375
0.00128086	73.5864
0.00128825	73.7985
0.00129569	74.0113
0.00130317	74.2246
0.00131069	74.4385
0.00131826	74.6531
0.00132587	74.8683
0.00133352	75.0841
0.00134122	75.3005
0.00134896	75.5175
0.00135675	75.7352
0.00136458	75.9535
0.00137246	76.1724
0.00138038	76.392
0.00138835	76.6122
0.00139637	76.833
0.00140443	77.0545
0.00141254	77.2766
0.00142069	77.4993
0.00142889	77.7227
0.00143714	77.9467
0.00144544	78.1714
0.00145378	78.3967
0.00146218	78.6227
0.00147062	78.8493
0.00147911	79.0766
0.00148765	79.3045
0.00149624	79.5331
0.00150487	79.7623
0.00151356	79.9922
0.0015223	80.2228
0.00153109	80.454
0.00153993	80.6859
0.00154882	80.9185
0.00155776	81.1517
0.00156675	81.3856
0.0015758	81.6202
0.00158489	81.8555
0.00159404	82.0914
0.00160325	82.328
0.0016125	82.5654
0.00162181	82.8033
0.00163117	83.042
0.00164059	83.2814
0.00165006	83.5214
0.00165959	83.7622
0.00166917	84.0036
0.0016788	84.2457
0.0016885	84.4885
0.00169824	84.7321
0.00170805	84.9763
0.00171791	85.2212
0.00172783	85.4669
0.0017378	85.7132
0.00174783	85.9603
0.00175792	86.2081
0.00176807	86.4565
0.00177828	86.7057
0.00178855	86.9557
0.00179887	87.2063
0.00180926	87.4577
0.0018197	87.7097
0.00183021	87.9626
0.00184077	88.2161
0.0018514	88.4704
