Stopping power dEdx from Ionisation for V51[0.0] Z = 23 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	65.361
0.00100577	65.5494
0.00101158	65.7384
0.00101742	65.9278
0.00102329	66.1179
0.0010292	66.3085
0.00103514	66.4996
0.00104112	66.6913
0.00104713	66.8835
0.00105317	67.0763
0.00105925	67.2696
0.00106537	67.4635
0.00107152	67.658
0.00107771	67.853
0.00108393	68.0486
0.00109018	68.2447
0.00109648	68.4414
0.00110281	68.6387
0.00110917	68.8365
0.00111558	69.0349
0.00112202	69.2339
0.0011285	69.4335
0.00113501	69.6336
0.00114156	69.8343
0.00114815	70.0356
0.00115478	70.2375
0.00116145	70.4399
0.00116815	70.643
0.0011749	70.8466
0.00118168	71.0508
0.0011885	71.2556
0.00119536	71.461
0.00120226	71.6669
0.00120921	71.8735
0.00121619	72.0807
0.00122321	72.2884
0.00123027	72.4968
0.00123737	72.7058
0.00124451	72.9153
0.0012517	73.1255
0.00125893	73.3363
0.00126619	73.5477
0.0012735	73.7597
0.00128086	73.9723
0.00128825	74.1855
0.00129569	74.3993
0.00130317	74.6138
0.00131069	74.8288
0.00131826	75.0445
0.00132587	75.2608
0.00133352	75.4777
0.00134122	75.6953
0.00134896	75.9135
0.00135675	76.1323
0.00136458	76.3517
0.00137246	76.5718
0.00138038	76.7925
0.00138835	77.0139
0.00139637	77.2358
0.00140443	77.4585
0.00141254	77.6817
0.00142069	77.9056
0.00142889	78.1302
0.00143714	78.3554
0.00144544	78.5812
0.00145378	78.8077
0.00146218	79.0349
0.00147062	79.2627
0.00147911	79.4912
0.00148765	79.7203
0.00149624	79.9501
0.00150487	80.1805
0.00151356	80.4116
0.0015223	80.6434
0.00153109	80.8759
0.00153993	81.109
0.00154882	81.3428
0.00155776	81.5772
0.00156675	81.8124
0.0015758	82.0482
0.00158489	82.2847
0.00159404	82.5218
0.00160325	82.7597
0.0016125	82.9982
0.00162181	83.2375
0.00163117	83.4774
0.00164059	83.718
0.00165006	83.9593
0.00165959	84.2013
0.00166917	84.444
