E [MeV]	dEdx [keV/microm]
0.001	32.4214
0.00100577	32.5156
0.00101158	32.6101
0.00101742	32.7049
0.00102329	32.7999
0.0010292	32.8952
0.00103514	32.9908
0.00104112	33.0867
0.00104713	33.1828
0.00105317	33.2792
0.00105925	33.3759
0.00106537	33.4729
0.00107152	33.5701
0.00107771	33.6677
0.00108393	33.7655
0.00109018	33.8636
0.00109648	33.9619
0.00110281	34.0606
0.00110917	34.1596
0.00111558	34.2588
0.00112202	34.3583
0.0011285	34.4581
0.00113501	34.5582
0.00114156	34.6586
0.00114815	34.7593
0.00115478	34.8602
0.00116145	34.9615
0.00116815	35.063
0.0011749	35.1648
0.00118168	35.267
0.0011885	35.3694
0.00119536	35.4721
0.00120226	35.5751
0.00120921	35.6785
0.00121619	35.7821
0.00122321	35.886
0.00123027	35.9902
0.00123737	36.0947
0.00124451	36.1995
0.0012517	36.3046
0.00125893	36.41
0.00126619	36.5157
0.0012735	36.6217
0.00128086	36.7281
0.00128825	36.8347
0.00129569	36.9417
0.00130317	37.0489
0.00131069	37.1565
0.00131826	37.2643
0.00132587	37.3725
0.00133352	37.481
0.00134122	37.5898
0.00134896	37.6989
0.00135675	37.8083
0.00136458	37.9181
0.00137246	38.0282
0.00138038	38.1385
0.00138835	38.2493
0.00139637	38.3603
0.00140443	38.4716
0.00141254	38.5833
0.00142069	38.6953
0.00142889	38.8076
0.00143714	38.9202
0.00144544	39.0331
0.00145378	39.1464
0.00146218	39.26
0.00147062	39.3739
0.00147911	39.4882
0.00148765	39.6028
0.00149624	39.7177
0.00150487	39.833
0.00151356	39.9486
0.0015223	40.0645
0.00153109	40.1807
0.00153993	40.2973
0.00154882	40.4143
0.00155776	40.5315
0.00156675	40.6491
0.0015758	40.767
0.00158489	40.8853
0.00159404	41.0039
0.00160325	41.1229
0.0016125	41.2422
0.00162181	41.3618
0.00163117	41.4818
0.00164059	41.6022
0.00165006	41.7228
0.00165959	41.8439
0.00166917	41.9653
0.0016788	42.087
0.0016885	42.2091
0.00169824	42.3315
0.00170805	42.4543
0.00171791	42.5774
0.00172783	42.7009
0.0017378	42.8248
0.00174783	42.949
0.00175792	43.0735
0.00176807	43.1985
0.00177828	43.3238
0.00178855	43.4494
0.00179887	43.5754
0.00180926	43.7018
0.0018197	43.8285
0.00183021	43.9556
0.00184077	44.0831
0.0018514	44.2109
0.00186209	44.3391
0.00187284	44.4677
0.00188365	44.5966
0.00189452	44.7259
0.00190546	44.8556
0.00191646	44.9857
0.00192752	45.1161
0.00193865	45.2469
0.00194984	45.3781
0.0019611	45.5097
0.00197242	45.6416
0.00198381	45.7739
0.00199526	45.9067
0.00200678	46.0398
0.00201837	46.1732
0.00203002	46.3071
0.00204174	46.4414
0.00205353	46.576
0.00206538	46.711
0.0020773	46.8464
0.0020893	46.9822
0.00210136	47.1184
0.00211349	47.255
0.00212569	47.392
0.00213796	47.5293
0.0021503	47.6671
0.00216272	47.8052
0.0021752	47.9438
0.00218776	48.0828
0.00220039	48.2221
0.00221309	48.3619
0.00222587	48.5021
0.00223872	48.6426
0.00225165	48.7836
0.00226464	48.925
0.00227772	49.0668
0.00229087	49.209
0.00230409	49.3516
0.00231739	49.4946
0.00233077	49.6381
0.00234423	49.7819
0.00235776	49.9261
0.00237137	50.0708
0.00238506	50.2159
0.00239883	50.3615
0.00241268	50.5074
0.00242661	50.6537
0.00244062	50.8005
0.00245471	50.9477
0.00246888	51.0953
0.00248313	51.2433
0.00249747	51.3918
0.00251189	51.5407
0.00252639	51.6901
0.00254097	51.8398
0.00255564	51.99
0.0025704	52.1406
0.00258523	52.2917
0.00260016	52.4432
0.00261517	52.5951
0.00263027	52.7475
0.00264545	52.9003
0.00266073	53.0535
0.00267609	53.2072
0.00269153	53.3614
0.00270707	53.516
0.0027227	53.671
0.00273842	53.8264
0.00275423	53.9824
0.00277013	54.1387
0.00278612	54.2955
0.00280221	54.4528
0.00281838	54.6106
0.00283465	54.7687
0.00285102	54.9274
0.00286748	55.0865
0.00288403	55.246
0.00290068	55.406
0.00291743	55.5665
0.00293427	55.7274
0.00295121	55.8888
0.00296825	56.0507
0.00298538	56.213
0.00300262	56.3758
0.00301995	56.539
0.00303739	56.7028
0.00305492	56.867
0.00307256	57.0317
0.0030903	57.1968
0.00310814	57.3625
0.00312608	57.5286
0.00314413	57.6952
0.00316228	57.8622
0.00318053	58.0298
0.0031989	58.1978
0.00321736	58.3663
0.00323594	58.5353
0.00325462	58.7048
0.00327341	58.8748
0.0032923	59.0453
0.00331131	59.2163
0.00333043	59.3877
0.00334965	59.5597
0.00336899	59.7321
0.00338844	59.9051
0.003408	60.0785
0.00342768	60.2524
0.00344747	60.4269
0.00346737	60.6018
0.00348739	60.7772
0.00350752	60.9532
0.00352777	61.1297
0.00354813	61.3066
0.00356862	61.4841
0.00358922	61.6621
0.00360994	61.8406
0.00363078	62.0196
0.00365174	62.1992
0.00367282	62.3792
0.00369403	62.5598
0.00371535	62.7409
0.0037368	62.9225
0.00375837	63.1046
0.00378007	63.2873
0.00380189	63.4705
0.00382384	63.6542
0.00384592	63.8384
0.00386812	64.0232
0.00389045	64.2085
0.00391291	64.3944
0.0039355	64.5807
0.00395822	64.7676
0.00398107	64.9551
0.00400405	65.1431
0.00402717	65.3317
0.00405042	65.5207
0.0040738	65.7104
0.00409732	65.9005
0.00412098	66.0913
0.00414477	66.2825
0.00416869	66.4743
0.00419276	66.6667
0.00421697	66.8597
0.00424131	67.0531
0.0042658	67.2471
0.00429042	67.4418
0.00431519	67.6369
0.0043401	67.8327
0.00436516	68.0289
0.00439036	68.2258
0.0044157	68.4232
0.0044412	68.6212
0.00446684	68.8198
0.00449262	69.0189
0.00451856	69.2186
0.00454465	69.4189
0.00457088	69.6198
0.00459727	69.8212
0.00462381	70.0232
0.0046505	70.2258
0.00467735	70.429
0.00470435	70.6328
0.00473151	70.8372
0.00475883	71.0421
0.0047863	71.2476
0.00481393	71.4538
0.00484172	71.6605
0.00486968	71.8678
0.00489779	72.0757
0.00492606	72.2843
0.0049545	72.4934
0.0049831	72.7031
0.00501187	72.9134
0.00504081	73.1244
0.00506991	73.3359
0.00509918	73.5481
0.00512861	73.7608
0.00515822	73.9742
0.005188	74.1882
0.00521795	74.4028
0.00524807	74.618
0.00527837	74.8339
0.00530884	75.0504
0.00533949	75.2674
0.00537032	75.4852
0.00540132	75.7035
0.0054325	75.9225
0.00546387	76.1421
0.00549541	76.3623
0.00552713	76.5832
0.00555904	76.8047
0.00559114	77.0269
0.00562341	77.2497
0.00565588	77.4731
0.00568853	77.6972
0.00572137	77.9219
0.0057544	78.1473
0.00578762	78.3733
0.00582103	78.6
0.00585464	78.8273
0.00588844	79.0553
0.00592243	79.2839
0.00595662	79.5132
0.00599101	79.7432
0.0060256	79.9738
0.00606038	80.2051
0.00609537	80.437
0.00613056	80.6696
0.00616595	80.9029
0.00620155	81.1369
0.00623735	81.3715
0.00627336	81.6068
0.00630957	81.8428
0.006346	82.0795
0.00638263	82.3169
0.00641948	82.5549
0.00645654	82.7936
0.00649382	83.033
0.00653131	83.2731
0.00656901	83.5139
0.00660693	83.7554
0.00664508	83.9976
0.00668344	84.2405
0.00672202	84.484
0.00676083	84.7284
0.00679986	84.9733
0.00683912	85.219
0.0068786	85.4654
0.00691831	85.7126
0.00695825	85.9604
0.00699842	86.2089
0.00703882	86.4582
0.00707946	86.7082
0.00712033	86.9588
0.00716143	87.2103
0.00720278	87.4624
0.00724436	87.7153
0.00728618	87.9689
0.00732825	88.2232
0.00737055	88.4783
0.0074131	88.7341
0.0074559	88.9906
0.00749894	89.2479
0.00754223	89.5059
0.00758578	89.7647
0.00762957	90.0241
0.00767361	90.2844
0.00771792	90.5454
0.00776247	90.8072
0.00780728	91.0697
0.00785236	91.3329
0.00789769	91.597
0.00794328	91.8618
0.00798914	92.1273
0.00803526	92.3936
0.00808165	92.6607
0.00812831	92.9286
0.00817523	93.1972
0.00822243	93.4666
0.0082699	93.7368
0.00831764	94.0077
0.00836566	94.2794
0.00841395	94.552
0.00846253	94.8253
0.00851138	95.0994
0.00856052	95.3743
0.00860994	95.6499
0.00865964	95.9264
0.00870964	96.2037
0.00875992	96.4817
0.00881049	96.7606
0.00886135	97.0403
0.00891251	97.3207
0.00896396	97.602
0.00901571	97.8841
0.00906776	98.167
0.00912011	98.4508
0.00917276	98.7353
0.00922571	99.0206
0.00927897	99.3068
0.00933254	99.5939
0.00938642	99.8817
0.00944061	100.17
0.00949511	100.46
0.00954993	100.75
0.00960506	101.041
0.00966051	101.333
0.00971628	101.626
0.00977237	101.92
0.00982879	102.215
0.00988553	102.51
0.0099426	102.806
0.01	103.103
0.0100577	103.401
0.0101158	103.7
0.0101742	104
0.0102329	104.3
0.010292	104.653
0.0103514	104.955
0.0104112	105.258
0.0104713	105.562
0.0105317	105.92
0.0105925	106.226
0.0106537	106.585
0.0107152	106.893
0.0107771	107.201
0.0108393	107.511
0.0109018	107.821
0.0109648	108.132
0.0110281	108.554
0.0110917	108.867
0.0111558	109.181
0.0112202	109.495
0.011285	109.811
0.0113501	110.127
0.0114156	110.445
0.0114815	110.763
0.0115478	111.083
0.0116145	111.403
0.0116815	111.724
0.011749	112.046
0.0118168	112.369
0.011885	112.693
0.0119536	113.018
0.0120226	113.343
0.0120921	113.67
0.0121619	113.998
0.0122321	114.326
0.0123027	114.656
0.0123737	114.986
0.0124451	115.318
0.012517	115.65
0.0125893	115.983
0.0126619	116.318
0.012735	116.653
0.0128086	116.989
0.0128825	117.326
0.0129569	117.665
0.0130317	118.004
0.0131069	118.344
0.0131826	118.685
0.0132587	119.027
0.0133352	119.37
0.0134122	119.714
0.0134896	120.059
0.0135675	120.406
0.0136458	120.752
0.0137246	121.1
0.0138038	121.449
0.0138835	121.8
0.0139637	122.151
0.0140443	122.503
0.0141254	122.856
0.0142069	123.21
0.0142889	123.565
0.0143714	123.921
0.0144544	124.279
0.0145378	124.637
0.0146218	124.996
0.0147062	125.356
0.0147911	125.718
0.0148765	126.08
0.0149624	126.443
0.0150487	126.808
0.0151356	127.173
0.015223	127.54
0.0153109	127.908
0.0153993	128.276
0.0154882	128.646
0.0155776	129.017
0.0156675	129.389
0.015758	129.761
0.0158489	130.136
0.0159404	130.511
0.0160325	130.887
0.016125	131.264
0.0162181	131.643
0.0163117	132.022
0.0164059	132.403
0.0165006	132.784
0.0165959	133.167
0.0166917	133.551
0.016788	133.936
0.016885	134.322
0.0169824	134.709
0.0170805	135.097
0.0171791	135.487
0.0172783	135.877
0.017378	136.269
0.0174783	136.662
0.0175792	137.055
0.0176807	137.451
0.0177828	137.847
0.0178855	138.244
0.0179887	138.642
0.0180926	139.042
0.018197	139.443
0.0183021	139.845
0.0184077	140.248
0.018514	140.652
0.0186209	141.057
0.0187284	141.464
0.0188365	141.872
0.0189452	142.281
0.0190546	142.691
0.0191646	143.102
0.0192752	143.515
0.0193865	143.928
0.0194984	144.343
0.019611	144.759
0.0197242	145.176
0.0198381	145.595
0.0199526	146.014
0.0200678	146.435
0.0201837	146.857
0.0203002	147.281
0.0204174	147.705
0.0205353	148.131
0.0206538	148.558
0.020773	148.986
0.020893	149.416
0.0210136	149.847
0.0211349	150.278
0.0212569	150.711
0.0213796	151.146
0.021503	151.581
0.0216272	152.018
0.021752	152.456
0.0218776	152.896
0.0220039	153.337
0.0221309	153.779
0.0222587	154.222
0.0223872	154.666
0.0225165	155.112
0.0226464	155.559
0.0227772	156.008
0.0229087	156.457
0.0230409	156.908
0.0231739	157.36
0.0233077	157.814
0.0234423	158.269
0.0235776	158.725
0.0237137	159.183
0.0238506	159.642
0.0239883	160.102
0.0241268	160.563
0.0242661	161.026
0.0244062	161.49
0.0245471	161.956
0.0246888	162.422
0.0248313	162.891
0.0249747	163.36
0.0251189	163.831
0.0252639	164.303
0.0254097	164.777
0.0255564	165.252
0.025704	165.728
0.0258523	166.206
0.0260016	166.685
0.0261517	167.165
0.0263027	167.647
0.0264545	168.13
0.0266073	168.615
0.0267609	169.101
0.0269153	169.589
0.0270707	170.077
0.027227	170.567
0.0273842	171.059
0.0275423	171.552
0.0277013	172.047
0.0278612	172.543
0.0280221	173.04
0.0281838	173.539
0.0283465	174.039
0.0285102	174.54
0.0286748	175.043
0.0288403	175.548
0.0290068	176.054
0.0291743	176.562
0.0293427	177.07
0.0295121	177.581
0.0296825	178.092
0.0298538	178.606
0.0300262	179.121
0.0301995	179.637
0.0303739	180.155
0.0305492	180.674
0.0307256	181.195
0.030903	181.717
0.0310814	182.241
0.0312608	182.767
0.0314413	183.293
0.0316228	183.821
0.0318053	184.351
0.031989	184.882
0.0321736	185.416
0.0323594	185.95
0.0325462	186.486
0.0327341	187.024
0.032923	187.562
0.0331131	188.103
0.0333043	188.645
0.0334965	189.189
0.0336899	189.735
0.0338844	190.281
0.03408	190.83
0.0342768	191.38
0.0344747	191.931
0.0346737	192.485
0.0348739	193.039
0.0350752	193.596
0.0352777	194.154
0.0354813	194.713
0.0356862	195.275
0.0358922	195.838
0.0360994	196.402
0.0363078	196.968
0.0365174	197.536
0.0367282	198.105
0.0369403	198.677
0.0371535	199.249
0.037368	199.823
0.0375837	200.399
0.0378007	200.977
0.0380189	201.556
0.0382384	202.137
0.0384592	202.72
0.0386812	203.304
0.0389045	203.89
0.0391291	204.478
0.039355	205.067
0.0395822	205.658
0.0398107	206.251
0.0400405	206.846
0.0402717	207.441
0.0405042	208.04
0.040738	208.639
0.0409732	209.241
0.0412098	209.844
0.0414477	210.448
0.0416869	211.055
0.0419276	211.663
0.0421697	212.274
0.0424131	212.886
0.042658	213.499
0.0429042	214.115
0.0431519	214.732
0.043401	215.351
0.0436516	215.971
0.0439036	216.594
0.044157	217.218
0.044412	217.844
0.0446684	218.472
0.0449262	219.102
0.0451856	219.733
0.0454465	220.367
