Stopping power dEdx from Ionisation for alpha Z = 2 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	11.0256
0.00100577	11.0631
0.00101158	11.1009
0.00101742	11.1389
0.00102329	11.1772
0.0010292	11.2157
0.00103514	11.2545
0.00104112	11.2935
0.00104713	11.3328
0.00105317	11.3724
0.00105925	11.4122
0.00106537	11.4523
0.00107152	11.4927
0.00107771	11.5333
0.00108393	11.5742
0.00109018	11.6153
0.00109648	11.6568
0.00110281	11.6985
0.00110917	11.7405
0.00111558	11.7827
0.00112202	11.8252
0.0011285	11.8681
0.00113501	11.9111
0.00114156	11.9545
0.00114815	11.9982
0.00115478	12.0421
0.00116145	12.0863
0.00116815	12.1308
0.0011749	12.1756
0.00118168	12.2207
0.0011885	12.2661
0.00119536	12.3118
0.00120226	12.3578
0.00120921	12.404
0.00121619	12.4506
0.00122321	12.4974
0.00123027	12.5446
0.00123737	12.592
0.00124451	12.6398
0.0012517	12.6879
0.00125893	12.7362
0.00126619	12.7849
0.0012735	12.8339
0.00128086	12.8831
0.00128825	12.9327
0.00129569	12.9826
0.00130317	13.0329
0.00131069	13.0834
0.00131826	13.1342
0.00132587	13.1854
0.00133352	13.2369
0.00134122	13.2887
0.00134896	13.3408
0.00135675	13.3932
0.00136458	13.446
0.00137246	13.499
0.00138038	13.5524
0.00138835	13.6062
0.00139637	13.6602
0.00140443	13.7146
0.00141254	13.7693
0.00142069	13.8243
0.00142889	13.8797
0.00143714	13.9354
0.00144544	13.9914
0.00145378	14.0477
0.00146218	14.1044
0.00147062	14.1614
0.00147911	14.2188
0.00148765	14.2764
0.00149624	14.3345
0.00150487	14.3892
0.00151356	14.4414
0.0015223	14.4939
0.00153109	14.5467
0.00153993	14.5998
0.00154882	14.6532
0.00155776	14.7069
0.00156675	14.7609
0.0015758	14.8152
0.00158489	14.8699
0.00159404	14.9248
0.00160325	14.98
0.0016125	15.0355
0.00162181	15.0913
0.00163117	15.1474
0.00164059	15.2038
0.00165006	15.2605
0.00165959	15.3175
0.00166917	15.3749
0.0016788	15.4325
0.0016885	15.4904
