Stopping power dEdx from Ionisation for deuteron Z = 1 in G4_TISSUE_SOFT_ICRP, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	12.2188
0.00100577	12.254
0.00101158	12.2893
0.00101742	12.3247
0.00102329	12.3602
0.0010292	12.3959
0.00103514	12.4316
0.00104112	12.4674
0.00104713	12.5034
0.00105317	12.5394
0.00105925	12.5755
0.00106537	12.6118
0.00107152	12.6481
0.00107771	12.6846
0.00108393	12.7212
0.00109018	12.7578
0.00109648	12.7946
0.00110281	12.8315
0.00110917	12.8685
0.00111558	12.9056
0.00112202	12.9428
0.0011285	12.9801
0.00113501	13.0175
0.00114156	13.055
0.00114815	13.0926
0.00115478	13.1304
0.00116145	13.1682
0.00116815	13.2062
0.0011749	13.2442
0.00118168	13.2824
0.0011885	13.3207
0.00119536	13.3591
0.00120226	13.3976
0.00120921	13.4362
0.00121619	13.4749
0.00122321	13.5138
0.00123027	13.5527
0.00123737	13.5918
0.00124451	13.631
0.0012517	13.6703
0.00125893	13.7097
0.00126619	13.7492
0.0012735	13.7888
0.00128086	13.8286
0.00128825	13.8684
0.00129569	13.9084
0.00130317	13.9485
0.00131069	13.9887
0.00131826	14.029
0.00132587	14.0694
0.00133352	14.11
0.00134122	14.1507
0.00134896	14.1915
0.00135675	14.2324
0.00136458	14.2734
0.00137246	14.3145
0.00138038	14.3558
0.00138835	14.3972
0.00139637	14.4387
0.00140443	14.4803
0.00141254	14.522
0.00142069	14.5639
0.00142889	14.6058
0.00143714	14.6479
0.00144544	14.6902
0.00145378	14.7325
0.00146218	14.775
0.00147062	14.8176
0.00147911	14.8603
0.00148765	14.9031
0.00149624	14.9461
0.00150487	14.9891
0.00151356	15.0323
0.0015223	15.0757
0.00153109	15.1191
0.00153993	15.1627
0.00154882	15.2064
0.00155776	15.2502
0.00156675	15.2942
0.0015758	15.3383
0.00158489	15.3825
0.00159404	15.4268
0.00160325	15.4713
0.0016125	15.5159
0.00162181	15.5606
0.00163117	15.6055
0.00164059	15.6504
0.00165006	15.6956
0.00165959	15.7408
0.00166917	15.7862
0.0016788	15.8317
0.0016885	15.8773
0.00169824	15.9231
0.00170805	15.969
0.00171791	16.015
0.00172783	16.0612
0.0017378	16.1075
0.00174783	16.1539
0.00175792	16.2004
0.00176807	16.2471
0.00177828	16.294
0.00178855	16.3409
0.00179887	16.388
0.00180926	16.4353
0.0018197	16.4826
0.00183021	16.5302
0.00184077	16.5778
0.0018514	16.6256
0.00186209	16.6735
0.00187284	16.7216
0.00188365	16.7698
0.00189452	16.8181
0.00190546	16.8666
0.00191646	16.9152
0.00192752	16.9639
0.00193865	17.0128
0.00194984	17.0619
0.0019611	17.1111
0.00197242	17.1604
0.00198381	17.2098
0.00199526	17.2594
0.00200678	17.3092
0.00201837	17.3591
0.00203002	17.4091
0.00204174	17.4593
0.00205353	17.5096
0.00206538	17.5601
0.0020773	17.6107
0.0020893	17.6615
0.00210136	17.7124
0.00211349	17.7634
0.00212569	17.8146
0.00213796	17.866
0.0021503	17.9175
0.00216272	17.9691
0.0021752	18.0209
0.00218776	18.0729
0.00220039	18.1249
0.00221309	18.1772
0.00222587	18.2296
0.00223872	18.2821
0.00225165	18.3348
0.00226464	18.3877
0.00227772	18.4407
0.00229087	18.4938
0.00230409	18.5471
0.00231739	18.6006
0.00233077	18.6542
0.00234423	18.708
0.00235776	18.7619
0.00237137	18.816
0.00238506	18.8702
0.00239883	18.9246
0.00241268	18.9792
0.00242661	19.0339
0.00244062	19.0887
0.00245471	19.1437
0.00246888	19.1989
0.00248313	19.2543
0.00249747	19.3098
0.00251189	19.3654
0.00252639	19.4212
0.00254097	19.4772
0.00255564	19.5334
0.0025704	19.5897
0.00258523	19.6461
0.00260016	19.7027
0.00261517	19.7595
0.00263027	19.8165
0.00264545	19.8736
0.00266073	19.9309
0.00267609	19.9883
0.00269153	20.046
0.00270707	20.1037
0.0027227	20.1617
0.00273842	20.2198
0.00275423	20.2781
0.00277013	20.3365
0.00278612	20.3951
0.00280221	20.4539
0.00281838	20.5129
0.00283465	20.572
0.00285102	20.6313
0.00286748	20.6908
0.00288403	20.7504
0.00290068	20.8102
0.00291743	20.8702
0.00293427	20.9304
0.00295121	20.9907
0.00296825	21.0512
0.00298538	21.1119
0.00300262	21.1727
0.00301995	21.2338
0.00303739	21.295
0.00305492	21.3563
0.00307256	21.4179
0.0030903	21.4796
0.00310814	21.5415
0.00312608	21.6036
0.00314413	21.6659
0.00316228	21.7284
0.00318053	21.791
0.0031989	21.8538
0.00321736	21.9168
0.00323594	21.98
0.00325462	22.0433
0.00327341	22.1068
0.0032923	22.1706
0.00331131	22.2345
0.00333043	22.2986
0.00334965	22.3628
0.00336899	22.4273
0.00338844	22.4919
0.003408	22.5568
0.00342768	22.6218
0.00344747	22.687
0.00346737	22.7524
0.00348739	22.818
0.00350752	22.8837
0.00352777	22.9497
0.00354813	23.0158
0.00356862	23.0822
0.00358922	23.1487
0.00360994	23.2154
0.00363078	23.2823
0.00365174	23.3495
0.00367282	23.4168
0.00369403	23.4843
0.00371535	23.5519
0.0037368	23.6198
0.00375837	23.6879
0.00378007	23.7562
0.00380189	23.8247
0.00382384	23.8933
0.00384592	23.9622
0.00386812	24.0313
0.00389045	24.1005
0.00391291	24.17
0.0039355	24.2397
0.00395822	24.3095
0.00398107	24.3796
0.00400405	24.4499
0.00402717	24.5204
0.00405042	24.591
0.0040738	24.6619
0.00409732	24.733
0.00412098	24.8043
0.00414477	24.8758
0.00416869	24.9475
0.00419276	25.0194
0.00421697	25.0915
0.00424131	25.1638
0.0042658	25.2364
0.00429042	25.3091
0.00431519	25.3821
0.0043401	25.4552
0.00436516	25.5286
0.00439036	25.6022
0.0044157	25.676
0.0044412	25.75
0.00446684	25.8242
0.00449262	25.8986
0.00451856	25.9733
0.00454465	26.0481
0.00457088	26.1232
0.00459727	26.1985
0.00462381	26.274
0.0046505	26.3498
0.00467735	26.4257
0.00470435	26.5019
0.00473151	26.5783
0.00475883	26.6549
0.0047863	26.7317
0.00481393	26.8088
0.00484172	26.886
0.00486968	26.9635
0.00489779	27.0413
0.00492606	27.1192
0.0049545	27.1974
0.0049831	27.2758
0.00501187	27.3544
0.00504081	27.4332
0.00506991	27.5123
0.00509918	27.5916
0.00512861	27.6711
0.00515822	27.7509
0.005188	27.8309
0.00521795	27.9111
0.00524807	27.9915
0.00527837	28.0722
0.00530884	28.1531
0.00533949	28.2343
0.00537032	28.3157
0.00540132	28.3973
0.0054325	28.4791
0.00546387	28.5612
0.00549541	28.6435
0.00552713	28.7261
0.00555904	28.8089
0.00559114	28.8919
0.00562341	28.9752
0.00565588	29.0587
0.00568853	29.1425
0.00572137	29.2265
0.0057544	29.3107
0.00578762	29.3952
0.00582103	29.48
0.00585464	29.5649
0.00588844	29.6501
0.00592243	29.7356
0.00595662	29.8213
0.00599101	29.9073
