Stopping power dEdx from Ionisation for deuteron Z = 1 in Water, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	12.1542
0.00100577	12.1892
0.00101158	12.2244
0.00101742	12.2596
0.00102329	12.295
0.0010292	12.3304
0.00103514	12.3659
0.00104112	12.4016
0.00104713	12.4373
0.00105317	12.4732
0.00105925	12.5091
0.00106537	12.5452
0.00107152	12.5813
0.00107771	12.6176
0.00108393	12.654
0.00109018	12.6904
0.00109648	12.727
0.00110281	12.7637
0.00110917	12.8005
0.00111558	12.8374
0.00112202	12.8744
0.0011285	12.9115
0.00113501	12.9487
0.00114156	12.986
0.00114815	13.0235
0.00115478	13.061
0.00116145	13.0987
0.00116815	13.1364
0.0011749	13.1743
0.00118168	13.2123
0.0011885	13.2503
0.00119536	13.2885
0.00120226	13.3268
0.00120921	13.3652
0.00121619	13.4038
0.00122321	13.4424
0.00123027	13.4811
0.00123737	13.52
0.00124451	13.559
0.0012517	13.5981
0.00125893	13.6373
0.00126619	13.6766
0.0012735	13.716
0.00128086	13.7555
0.00128825	13.7952
0.00129569	13.8349
0.00130317	13.8748
0.00131069	13.9148
0.00131826	13.9549
0.00132587	13.9951
0.00133352	14.0355
0.00134122	14.0759
0.00134896	14.1165
0.00135675	14.1572
0.00136458	14.198
0.00137246	14.2389
0.00138038	14.28
0.00138835	14.3211
0.00139637	14.3624
0.00140443	14.4038
0.00141254	14.4453
0.00142069	14.4869
0.00142889	14.5287
0.00143714	14.5706
0.00144544	14.6126
0.00145378	14.6547
0.00146218	14.6969
0.00147062	14.7393
0.00147911	14.7818
0.00148765	14.8244
0.00149624	14.8671
0.00150487	14.91
0.00151356	14.9529
0.0015223	14.996
0.00153109	15.0393
0.00153993	15.0826
0.00154882	15.1261
0.00155776	15.1697
0.00156675	15.2134
0.0015758	15.2573
0.00158489	15.3012
0.00159404	15.3454
0.00160325	15.3896
0.0016125	15.4339
0.00162181	15.4784
0.00163117	15.523
0.00164059	15.5678
0.00165006	15.6127
0.00165959	15.6577
0.00166917	15.7028
0.0016788	15.7481
0.0016885	15.7934
0.00169824	15.839
0.00170805	15.8846
0.00171791	15.9304
0.00172783	15.9763
0.0017378	16.0224
0.00174783	16.0686
0.00175792	16.1149
0.00176807	16.1613
0.00177828	16.2079
0.00178855	16.2546
0.00179887	16.3015
0.00180926	16.3485
0.0018197	16.3956
0.00183021	16.4428
0.00184077	16.4902
0.0018514	16.5378
0.00186209	16.5854
0.00187284	16.6332
0.00188365	16.6812
0.00189452	16.7293
0.00190546	16.7775
0.00191646	16.8258
0.00192752	16.8743
0.00193865	16.923
0.00194984	16.9718
0.0019611	17.0207
0.00197242	17.0697
0.00198381	17.1189
0.00199526	17.1683
0.00200678	17.2178
0.00201837	17.2674
0.00203002	17.3172
0.00204174	17.3671
0.00205353	17.4171
0.00206538	17.4673
0.0020773	17.5177
0.0020893	17.5682
0.00210136	17.6188
0.00211349	17.6696
0.00212569	17.7205
0.00213796	17.7716
0.0021503	17.8228
0.00216272	17.8742
0.0021752	17.9257
0.00218776	17.9774
0.00220039	18.0292
0.00221309	18.0812
0.00222587	18.1333
0.00223872	18.1856
0.00225165	18.238
0.00226464	18.2906
0.00227772	18.3433
0.00229087	18.3961
0.00230409	18.4492
0.00231739	18.5023
0.00233077	18.5557
0.00234423	18.6092
0.00235776	18.6628
0.00237137	18.7166
0.00238506	18.7705
0.00239883	18.8246
0.00241268	18.8789
0.00242661	18.9333
0.00244062	18.9879
0.00245471	19.0426
0.00246888	19.0975
0.00248313	19.1526
0.00249747	19.2078
0.00251189	19.2631
0.00252639	19.3187
0.00254097	19.3743
0.00255564	19.4302
0.0025704	19.4862
0.00258523	19.5424
0.00260016	19.5987
0.00261517	19.6552
0.00263027	19.7118
0.00264545	19.7686
0.00266073	19.8256
0.00267609	19.8828
0.00269153	19.9401
0.00270707	19.9976
0.0027227	20.0552
0.00273842	20.113
0.00275423	20.171
0.00277013	20.2291
0.00278612	20.2874
0.00280221	20.3459
0.00281838	20.4045
0.00283465	20.4634
0.00285102	20.5223
0.00286748	20.5815
0.00288403	20.6408
0.00290068	20.7003
0.00291743	20.76
0.00293427	20.8198
0.00295121	20.8798
0.00296825	20.94
0.00298538	21.0004
0.00300262	21.0609
0.00301995	21.1216
0.00303739	21.1825
0.00305492	21.2435
0.00307256	21.3048
0.0030903	21.3662
0.00310814	21.4278
0.00312608	21.4895
0.00314413	21.5515
0.00316228	21.6136
0.00318053	21.6759
0.0031989	21.7384
0.00321736	21.801
0.00323594	21.8639
0.00325462	21.9269
0.00327341	21.9901
0.0032923	22.0535
0.00331131	22.117
0.00333043	22.1808
0.00334965	22.2447
0.00336899	22.3088
0.00338844	22.3731
0.003408	22.4376
0.00342768	22.5023
0.00344747	22.5672
0.00346737	22.6322
0.00348739	22.6974
0.00350752	22.7629
0.00352777	22.8285
0.00354813	22.8943
0.00356862	22.9603
0.00358922	23.0264
0.00360994	23.0928
0.00363078	23.1594
0.00365174	23.2261
0.00367282	23.2931
0.00369403	23.3602
0.00371535	23.4275
0.0037368	23.4951
0.00375837	23.5628
0.00378007	23.6307
0.00380189	23.6988
0.00382384	23.7671
0.00384592	23.8356
0.00386812	23.9043
0.00389045	23.9732
0.00391291	24.0423
0.0039355	24.1116
0.00395822	24.1811
0.00398107	24.2508
0.00400405	24.3207
0.00402717	24.3908
0.00405042	24.4611
