Stopping power dEdx from Ionisation for e+ Z = 0 in G4_Si, process name: eIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.3238
0.00100577	22.2481
0.00101158	22.1726
0.00101742	22.0971
0.00102329	22.0218
0.0010292	21.9466
0.00103514	21.8716
0.00104112	21.7967
0.00104713	21.722
0.00105317	21.6474
0.00105925	21.5729
0.00106537	21.4986
0.00107152	21.4245
0.00107771	21.3504
0.00108393	21.2766
0.00109018	21.2028
0.00109648	21.1293
0.00110281	21.0558
0.00110917	20.9825
0.00111558	20.9094
0.00112202	20.8364
0.0011285	20.7636
0.00113501	20.6909
0.00114156	20.6184
0.00114815	20.546
0.00115478	20.4738
0.00116145	20.4017
0.00116815	20.3298
0.0011749	20.2581
0.00118168	20.1865
0.0011885	20.1151
0.00119536	20.0438
0.00120226	19.9726
0.00120921	19.9017
0.00121619	19.8309
0.00122321	19.7602
0.00123027	19.6897
0.00123737	19.6194
0.00124451	19.5493
0.0012517	19.4793
0.00125893	19.4094
0.00126619	19.3397
0.0012735	19.2702
0.00128086	19.2009
0.00128825	19.1317
0.00129569	19.0627
0.00130317	18.9938
0.00131069	18.9251
0.00131826	18.8566
0.00132587	18.7882
0.00133352	18.72
0.00134122	18.652
0.00134896	18.5842
0.00135675	18.5165
0.00136458	18.4489
0.00137246	18.3816
0.00138038	18.3144
0.00138835	18.2474
0.00139637	18.1805
0.00140443	18.1138
0.00141254	18.0473
0.00142069	17.981
0.00142889	17.9148
0.00143714	17.8488
0.00144544	17.783
0.00145378	17.7173
0.00146218	17.6518
0.00147062	17.5865
0.00147911	17.5213
0.00148765	17.4563
0.00149624	17.3915
0.00150487	17.3269
0.00151356	17.2624
0.0015223	17.1981
0.00153109	17.134
0.00153993	17.0701
0.00154882	17.0063
0.00155776	16.9427
0.00156675	16.8792
0.0015758	16.816
0.00158489	16.7529
0.00159404	16.69
0.00160325	16.6272
0.0016125	16.5647
0.00162181	16.5023
0.00163117	16.4401
0.00164059	16.378
0.00165006	16.3161
0.00165959	16.2544
0.00166917	16.1929
0.0016788	16.1316
0.0016885	16.0704
0.00169824	16.0094
0.00170805	15.9486
0.00171791	15.8879
0.00172783	15.8274
0.0017378	15.7671
0.00174783	15.707
0.00175792	15.647
0.00176807	15.5872
0.00177828	15.5276
0.00178855	15.4682
0.00179887	15.4089
0.00180926	15.3498
0.0018197	15.2909
0.00183021	15.2321
0.00184077	15.1736
0.0018514	15.1152
0.00186209	15.0569
0.00187284	14.9989
0.00188365	14.941
0.00189452	14.8833
0.00190546	14.8258
0.00191646	14.7684
0.00192752	14.7112
0.00193865	14.6542
0.00194984	14.5974
0.0019611	14.5407
0.00197242	14.4842
0.00198381	14.4279
0.00199526	14.3717
0.00200678	14.3158
0.00201837	14.26
0.00203002	14.2043
0.00204174	14.1489
0.00205353	14.0936
0.00206538	14.0385
0.0020773	13.9835
0.0020893	13.9287
0.00210136	13.8741
0.00211349	13.8197
0.00212569	13.7654
0.00213796	13.7113
0.0021503	13.6574
0.00216272	13.6037
0.0021752	13.5501
0.00218776	13.4967
0.00220039	13.4434
0.00221309	13.3904
0.00222587	13.3375
0.00223872	13.2847
0.00225165	13.2322
0.00226464	13.1798
0.00227772	13.1275
0.00229087	13.0755
0.00230409	13.0236
0.00231739	12.9719
0.00233077	12.9203
0.00234423	12.8689
0.00235776	12.8177
0.00237137	12.7667
0.00238506	12.7158
0.00239883	12.6651
0.00241268	12.6145
0.00242661	12.5641
0.00244062	12.5139
0.00245471	12.4639
0.00246888	12.414
0.00248313	12.3643
0.00249747	12.3147
0.00251189	12.2653
0.00252639	12.2161
0.00254097	12.167
0.00255564	12.1181
0.0025704	12.0694
0.00258523	12.0208
0.00260016	11.9724
0.00261517	11.9242
0.00263027	11.8761
0.00264545	11.8282
0.00266073	11.7804
0.00267609	11.7328
0.00269153	11.6854
0.00270707	11.6381
0.0027227	11.591
0.00273842	11.544
0.00275423	11.4972
0.00277013	11.4506
0.00278612	11.4041
0.00280221	11.3578
0.00281838	11.3117
