Stopping power dEdx from Ionisation for e+ Z = 0 in Water, process name: eIoni
E [MeV]	dEdx [MeV/mm]
0.001	14.3201
0.00100577	14.2631
0.00101158	14.2062
0.00101742	14.1495
0.00102329	14.0929
0.0010292	14.0366
0.00103514	13.9804
0.00104112	13.9245
0.00104713	13.8687
0.00105317	13.8131
0.00105925	13.7577
0.00106537	13.7024
0.00107152	13.6474
0.00107771	13.5925
0.00108393	13.5378
0.00109018	13.4833
0.00109648	13.4289
0.00110281	13.3748
0.00110917	13.3208
0.00111558	13.267
0.00112202	13.2134
0.0011285	13.16
0.00113501	13.1068
0.00114156	13.0537
0.00114815	13.0008
0.00115478	12.9481
0.00116145	12.8956
0.00116815	12.8432
0.0011749	12.791
0.00118168	12.739
0.0011885	12.6872
0.00119536	12.6356
0.00120226	12.5841
0.00120921	12.5328
0.00121619	12.4817
0.00122321	12.4307
0.00123027	12.38
0.00123737	12.3294
0.00124451	12.279
0.0012517	12.2287
0.00125893	12.1786
0.00126619	12.1288
0.0012735	12.079
0.00128086	12.0295
0.00128825	11.9801
0.00129569	11.9309
0.00130317	11.8819
0.00131069	11.833
0.00131826	11.7843
0.00132587	11.7358
0.00133352	11.6874
0.00134122	11.6393
0.00134896	11.5913
0.00135675	11.5434
0.00136458	11.4957
0.00137246	11.4482
0.00138038	11.4009
0.00138835	11.3537
0.00139637	11.3067
0.00140443	11.2599
0.00141254	11.2132
0.00142069	11.1667
0.00142889	11.1204
0.00143714	11.0742
0.00144544	11.0282
0.00145378	10.9824
0.00146218	10.9367
0.00147062	10.8912
0.00147911	10.8459
0.00148765	10.8007
0.00149624	10.7557
0.00150487	10.7108
0.00151356	10.6661
0.0015223	10.6216
0.00153109	10.5772
0.00153993	10.533
0.00154882	10.489
0.00155776	10.4451
0.00156675	10.4014
0.0015758	10.3578
0.00158489	10.3144
0.00159404	10.2711
0.00160325	10.228
0.0016125	10.1851
0.00162181	10.1423
0.00163117	10.0997
0.00164059	10.0572
0.00165006	10.0149
0.00165959	9.97279
0.00166917	9.9308
0.0016788	9.88896
0.0016885	9.84727
0.00169824	9.80575
0.00170805	9.76437
0.00171791	9.72315
0.00172783	9.68208
0.0017378	9.64117
0.00174783	9.6004
0.00175792	9.55979
