Stopping power dEdx from Ionisation for e- Z = 0 in G4_Si, process name: eIoni
E [MeV]	dEdx [MeV/mm]
0.001	17.4224
0.00100577	17.3749
0.00101158	17.3274
0.00101742	17.2799
0.00102329	17.2323
0.0010292	17.1847
0.00103514	17.1371
0.00104112	17.0895
0.00104713	17.0419
0.00105317	16.9943
0.00105925	16.9466
0.00106537	16.8989
0.00107152	16.8513
0.00107771	16.8036
0.00108393	16.7559
0.00109018	16.7082
0.00109648	16.6606
0.00110281	16.6129
0.00110917	16.5652
0.00111558	16.5175
0.00112202	16.4698
0.0011285	16.4222
0.00113501	16.3745
0.00114156	16.3268
0.00114815	16.2792
0.00115478	16.2316
0.00116145	16.184
0.00116815	16.1363
0.0011749	16.0888
0.00118168	16.0412
0.0011885	15.9936
0.00119536	15.9461
0.00120226	15.8986
0.00120921	15.8511
0.00121619	15.8037
0.00122321	15.7562
0.00123027	15.7088
0.00123737	15.6615
0.00124451	15.6141
0.0012517	15.5668
0.00125893	15.5195
0.00126619	15.4723
0.0012735	15.425
0.00128086	15.3779
0.00128825	15.3307
0.00129569	15.2836
0.00130317	15.2365
0.00131069	15.1895
0.00131826	15.1425
0.00132587	15.0956
0.00133352	15.0487
0.00134122	15.0018
0.00134896	14.955
0.00135675	14.9082
0.00136458	14.8615
0.00137246	14.8148
0.00138038	14.7682
0.00138835	14.7216
0.00139637	14.6751
0.00140443	14.6287
0.00141254	14.5822
0.00142069	14.5359
0.00142889	14.4896
0.00143714	14.4433
0.00144544	14.3971
0.00145378	14.351
0.00146218	14.3049
0.00147062	14.2589
0.00147911	14.213
0.00148765	14.1671
0.00149624	14.1212
0.00150487	14.0755
0.00151356	14.0297
0.0015223	13.9841
0.00153109	13.9385
0.00153993	13.893
0.00154882	13.8476
0.00155776	13.8022
0.00156675	13.7569
0.0015758	13.7116
0.00158489	13.6665
0.00159404	13.6214
0.00160325	13.5763
0.0016125	13.5314
0.00162181	13.4865
0.00163117	13.4417
0.00164059	13.3969
0.00165006	13.3523
0.00165959	13.3077
0.00166917	13.2632
0.0016788	13.2187
0.0016885	13.1744
0.00169824	13.1301
0.00170805	13.0859
0.00171791	13.0417
0.00172783	12.9977
0.0017378	12.9537
0.00174783	12.9098
0.00175792	12.866
0.00176807	12.8223
0.00177828	12.7786
0.00178855	12.7351
0.00179887	12.6916
0.00180926	12.6482
0.0018197	12.6049
0.00183021	12.5616
0.00184077	12.5185
0.0018514	12.4754
0.00186209	12.4325
0.00187284	12.3896
0.00188365	12.3468
0.00189452	12.304
0.00190546	12.2614
0.00191646	12.2189
0.00192752	12.1764
0.00193865	12.134
0.00194984	12.0918
0.0019611	12.0496
0.00197242	12.0075
0.00198381	11.9655
0.00199526	11.9235
0.00200678	11.8817
0.00201837	11.84
0.00203002	11.7983
0.00204174	11.7568
0.00205353	11.7153
0.00206538	11.6739
0.0020773	11.6327
0.0020893	11.5915
0.00210136	11.5504
0.00211349	11.5094
0.00212569	11.4685
0.00213796	11.4277
0.0021503	11.3869
0.00216272	11.3463
0.0021752	11.3058
0.00218776	11.2654
0.00220039	11.225
0.00221309	11.1848
0.00222587	11.1446
0.00223872	11.1046
0.00225165	11.0646
0.00226464	11.0248
0.00227772	10.985
0.00229087	10.9454
0.00230409	10.9058
0.00231739	10.8663
0.00233077	10.827
0.00234423	10.7877
0.00235776	10.7485
0.00237137	10.7094
0.00238506	10.6704
0.00239883	10.6316
0.00241268	10.5928
0.00242661	10.5541
0.00244062	10.5155
0.00245471	10.477
0.00246888	10.4386
0.00248313	10.4004
0.00249747	10.3622
0.00251189	10.3241
0.00252639	10.2861
0.00254097	10.2482
0.00255564	10.2104
0.0025704	10.1727
0.00258523	10.1351
0.00260016	10.0976
0.00261517	10.0603
0.00263027	10.023
0.00264545	9.98578
0.00266073	9.94869
0.00267609	9.9117
0.00269153	9.87482
0.00270707	9.83803
0.0027227	9.80135
0.00273842	9.76476
0.00275423	9.72828
0.00277013	9.6919
0.00278612	9.65562
0.00280221	9.61944
0.00281838	9.58336
0.00283465	9.54738
0.00285102	9.51151
0.00286748	9.47573
0.00288403	9.44006
0.00290068	9.40449
0.00291743	9.36901
0.00293427	9.33364
0.00295121	9.29838
0.00296825	9.26321
0.00298538	9.22814
0.00300262	9.19318
0.00301995	9.15831
0.00303739	9.12355
0.00305492	9.08889
0.00307256	9.05433
0.0030903	9.01987
0.00310814	8.98552
0.00312608	8.95126
0.00314413	8.91711
0.00316228	8.88305
0.00318053	8.8491
0.0031989	8.81525
0.00321736	8.7815
0.00323594	8.74785
0.00325462	8.7143
0.00327341	8.68086
0.0032923	8.64751
0.00331131	8.61427
0.00333043	8.58112
0.00334965	8.54808
0.00336899	8.51513
0.00338844	8.48229
0.003408	8.44955
0.00342768	8.41691
0.00344747	8.38437
0.00346737	8.35193
0.00348739	8.31959
0.00350752	8.28735
0.00352777	8.25521
0.00354813	8.22317
0.00356862	8.19123
0.00358922	8.15939
0.00360994	8.12765
0.00363078	8.09601
0.00365174	8.06446
0.00367282	8.03302
0.00369403	8.00168
0.00371535	7.97044
0.0037368	7.93929
0.00375837	7.90825
0.00378007	7.8773
0.00380189	7.84646
0.00382384	7.81571
0.00384592	7.78506
0.00386812	7.75451
0.00389045	7.72406
0.00391291	7.6937
0.0039355	7.66344
0.00395822	7.63329
0.00398107	7.60323
0.00400405	7.57326
0.00402717	7.5434
0.00405042	7.51363
0.0040738	7.48396
0.00409732	7.45439
0.00412098	7.42492
0.00414477	7.39554
0.00416869	7.36626
0.00419276	7.33707
0.00421697	7.30798
0.00424131	7.27899
0.0042658	7.2501
0.00429042	7.2213
0.00431519	7.1926
0.0043401	7.16399
0.00436516	7.13548
0.00439036	7.10706
0.0044157	7.07874
0.0044412	7.05052
0.00446684	7.02239
0.00449262	6.99435
0.00451856	6.96641
0.00454465	6.93857
0.00457088	6.91082
0.00459727	6.88316
0.00462381	6.8556
0.0046505	6.82813
0.00467735	6.80075
0.00470435	6.77347
0.00473151	6.74629
0.00475883	6.71919
0.0047863	6.69219
0.00481393	6.66528
0.00484172	6.63847
0.00486968	6.61174
0.00489779	6.58511
0.00492606	6.55858
0.0049545	6.53213
0.0049831	6.50578
0.00501187	6.47951
0.00504081	6.45334
0.00506991	6.42727
0.00509918	6.40128
0.00512861	6.37538
0.00515822	6.34957
0.005188	6.32386
0.00521795	6.29823
0.00524807	6.2727
0.00527837	6.24726
0.00530884	6.2219
0.00533949	6.19664
0.00537032	6.17146
0.00540132	6.14637
0.0054325	6.12138
0.00546387	6.09647
0.00549541	6.07165
0.00552713	6.04692
0.00555904	6.02228
0.00559114	5.99772
0.00562341	5.97326
0.00565588	5.94888
0.00568853	5.92459
0.00572137	5.90039
0.0057544	5.87627
0.00578762	5.85224
0.00582103	5.8283
0.00585464	5.80444
0.00588844	5.78067
0.00592243	5.75699
0.00595662	5.73339
0.00599101	5.70988
0.0060256	5.68646
0.00606038	5.66312
0.00609537	5.63986
0.00613056	5.61669
0.00616595	5.59361
0.00620155	5.57061
0.00623735	5.54769
0.00627336	5.52486
0.00630957	5.50211
0.006346	5.47945
0.00638263	5.45687
0.00641948	5.43437
0.00645654	5.41195
0.00649382	5.38962
0.00653131	5.36738
0.00656901	5.34521
0.00660693	5.32313
0.00664508	5.30112
0.00668344	5.2792
0.00672202	5.25737
0.00676083	5.23561
0.00679986	5.21393
0.00683912	5.19234
0.0068786	5.17083
0.00691831	5.14939
0.00695825	5.12804
0.00699842	5.10677
0.00703882	5.08558
0.00707946	5.06446
0.00712033	5.04343
0.00716143	5.02248
0.00720278	5.0016
0.00724436	4.98081
0.00728618	4.96009
0.00732825	4.93945
0.00737055	4.91889
0.0074131	4.89841
0.0074559	4.87801
0.00749894	4.85768
0.00754223	4.83743
0.00758578	4.81726
0.00762957	4.79717
0.00767361	4.77715
0.00771792	4.75721
0.00776247	4.73734
0.00780728	4.71755
0.00785236	4.69784
0.00789769	4.6782
0.00794328	4.65864
0.00798914	4.63916
0.00803526	4.61975
0.00808165	4.60041
0.00812831	4.58115
0.00817523	4.56196
0.00822243	4.54285
0.0082699	4.52381
0.00831764	4.50484
0.00836566	4.48595
0.00841395	4.46713
0.00846253	4.44839
0.00851138	4.42972
0.00856052	4.41112
0.00860994	4.39259
0.00865964	4.37414
0.00870964	4.35575
0.00875992	4.33744
0.00881049	4.3192
0.00886135	4.30104
0.00891251	4.28294
0.00896396	4.26491
0.00901571	4.24696
0.00906776	4.22908
0.00912011	4.21126
0.00917276	4.19352
0.00922571	4.17584
0.00927897	4.15824
0.00933254	4.14071
0.00938642	4.12324
0.00944061	4.10585
0.00949511	4.08852
0.00954993	4.07126
0.00960506	4.05407
0.00966051	4.03695
0.00971628	4.0199
0.00977237	4.00291
0.00982879	3.98599
0.00988553	3.96914
0.0099426	3.95236
0.01	3.93564
0.0100577	3.91899
0.0101158	3.90241
0.0101742	3.88589
0.0102329	3.86944
0.010292	3.85306
0.0103514	3.83674
0.0104112	3.82048
0.0104713	3.8043
0.0105317	3.78817
0.0105925	3.77211
0.0106537	3.75612
0.0107152	3.74019
0.0107771	3.72433
0.0108393	3.70853
0.0109018	3.69279
0.0109648	3.67712
0.0110281	3.66151
0.0110917	3.64596
0.0111558	3.63048
0.0112202	3.61506
0.011285	3.5997
0.0113501	3.5844
0.0114156	3.56917
0.0114815	3.554
0.0115478	3.53889
0.0116145	3.52384
0.0116815	3.50885
0.011749	3.49393
0.0118168	3.47906
0.011885	3.46426
0.0119536	3.44952
0.0120226	3.43483
0.0120921	3.42021
0.0121619	3.40565
0.0122321	3.39114
0.0123027	3.3767
0.0123737	3.36232
0.0124451	3.34799
0.012517	3.33373
0.0125893	3.31952
0.0126619	3.30537
0.012735	3.29128
0.0128086	3.27725
0.0128825	3.26328
0.0129569	3.24936
0.0130317	3.2355
0.0131069	3.2217
0.0131826	3.20796
0.0132587	3.19427
0.0133352	3.18064
0.0134122	3.16706
0.0134896	3.15355
0.0135675	3.14009
0.0136458	3.12668
0.0137246	3.11333
0.0138038	3.10004
0.0138835	3.0868
0.0139637	3.07362
0.0140443	3.06049
0.0141254	3.04742
0.0142069	3.0344
0.0142889	3.02144
0.0143714	3.00853
0.0144544	2.99567
0.0145378	2.98287
0.0146218	2.97012
0.0147062	2.95743
0.0147911	2.94479
0.0148765	2.9322
0.0149624	2.91966
0.0150487	2.90718
0.0151356	2.89475
0.015223	2.88238
0.0153109	2.87005
0.0153993	2.85778
0.0154882	2.84556
0.0155776	2.83339
0.0156675	2.82127
0.015758	2.80921
0.0158489	2.79719
0.0159404	2.78523
0.0160325	2.77331
0.016125	2.76145
0.0162181	2.74964
0.0163117	2.73787
0.0164059	2.72616
0.0165006	2.7145
0.0165959	2.70289
0.0166917	2.69132
0.016788	2.67981
0.016885	2.66834
0.0169824	2.65693
0.0170805	2.64556
0.0171791	2.63424
0.0172783	2.62297
0.017378	2.61175
0.0174783	2.60057
0.0175792	2.58945
0.0176807	2.57837
0.0177828	2.56734
0.0178855	2.55636
0.0179887	2.54542
0.0180926	2.53453
0.018197	2.52369
0.0183021	2.51289
0.0184077	2.50214
0.018514	2.49144
0.0186209	2.48078
0.0187284	2.47017
0.0188365	2.45961
0.0189452	2.44909
0.0190546	2.43861
0.0191646	2.42818
0.0192752	2.4178
0.0193865	2.40746
0.0194984	2.39717
0.019611	2.38692
0.0197242	2.37671
0.0198381	2.36655
0.0199526	2.35644
0.0200678	2.34636
0.0201837	2.33633
0.0203002	2.32635
0.0204174	2.31641
0.0205353	2.30651
0.0206538	2.29665
0.020773	2.28684
0.020893	2.27707
0.0210136	2.26735
0.0211349	2.25766
0.0212569	2.24802
0.0213796	2.23842
0.021503	2.22886
0.0216272	2.21935
0.021752	2.20987
0.0218776	2.20044
0.0220039	2.19105
0.0221309	2.1817
0.0222587	2.17239
0.0223872	2.16312
0.0225165	2.15389
0.0226464	2.14471
0.0227772	2.13556
0.0229087	2.12645
0.0230409	2.11739
0.0231739	2.10836
0.0233077	2.09938
0.0234423	2.09043
0.0235776	2.08152
0.0237137	2.07266
0.0238506	2.06383
0.0239883	2.05504
0.0241268	2.04629
0.0242661	2.03758
0.0244062	2.0289
0.0245471	2.02027
0.0246888	2.01167
0.0248313	2.00311
0.0249747	1.99459
0.0251189	1.98611
0.0252639	1.97767
0.0254097	1.96926
0.0255564	1.96089
0.025704	1.95256
0.0258523	1.94426
0.0260016	1.936
0.0261517	1.92778
0.0263027	1.9196
0.0264545	1.91145
0.0266073	1.90334
0.0267609	1.89526
0.0269153	1.88722
0.0270707	1.87922
0.027227	1.87125
0.0273842	1.86332
0.0275423	1.85542
0.0277013	1.84756
0.0278612	1.83973
0.0280221	1.83194
0.0281838	1.82419
0.0283465	1.81647
0.0285102	1.80878
0.0286748	1.80113
0.0288403	1.79351
0.0290068	1.78593
0.0291743	1.77838
0.0293427	1.77087
0.0295121	1.76339
0.0296825	1.75594
0.0298538	1.74853
0.0300262	1.74115
0.0301995	1.7338
0.0303739	1.72649
0.0305492	1.71921
0.0307256	1.71196
0.030903	1.70475
0.0310814	1.69756
0.0312608	1.69042
0.0314413	1.6833
0.0316228	1.67621
0.0318053	1.66916
0.031989	1.66214
0.0321736	1.65515
0.0323594	1.6482
0.0325462	1.64127
0.0327341	1.63438
0.032923	1.62752
0.0331131	1.62069
0.0333043	1.61389
0.0334965	1.60712
0.0336899	1.60038
0.0338844	1.59368
0.03408	1.587
0.0342768	1.58036
0.0344747	1.57374
0.0346737	1.56716
0.0348739	1.5606
0.0350752	1.55408
0.0352777	1.54758
0.0354813	1.54112
0.0356862	1.53468
0.0358922	1.52828
0.0360994	1.5219
0.0363078	1.51556
0.0365174	1.50924
0.0367282	1.50295
0.0369403	1.49669
0.0371535	1.49046
0.037368	1.48426
0.0375837	1.47809
0.0378007	1.47194
0.0380189	1.46582
0.0382384	1.45974
