Stopping power dEdx from Ionisation for kaon+ Z = 0 in Water, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	23.6907
0.00100577	23.7589
0.00101158	23.8274
0.00101742	23.8961
0.00102329	23.965
0.0010292	24.0341
0.00103514	24.1033
0.00104112	24.1728
0.00104713	24.2425
0.00105317	24.3124
0.00105925	24.3824
0.00106537	24.4527
0.00107152	24.5232
0.00107771	24.5939
0.00108393	24.6648
0.00109018	24.7359
0.00109648	24.8072
0.00110281	24.8787
0.00110917	24.9504
0.00111558	25.0223
0.00112202	25.0944
0.0011285	25.1667
0.00113501	25.2393
0.00114156	25.312
0.00114815	25.385
0.00115478	25.4582
0.00116145	25.5315
0.00116815	25.6051
0.0011749	25.6789
0.00118168	25.753
0.0011885	25.8272
0.00119536	25.9016
0.00120226	25.9763
0.00120921	26.0512
0.00121619	26.1262
0.00122321	26.2016
0.00123027	26.2771
0.00123737	26.3528
0.00124451	26.4288
0.0012517	26.505
0.00125893	26.5813
0.00126619	26.658
0.0012735	26.7348
0.00128086	26.8119
0.00128825	26.8891
0.00129569	26.9667
0.00130317	27.0444
0.00131069	27.1223
0.00131826	27.2005
0.00132587	27.2789
0.00133352	27.3575
0.00134122	27.4364
0.00134896	27.5155
0.00135675	27.5948
0.00136458	27.6743
0.00137246	27.7541
0.00138038	27.8341
0.00138835	27.9143
0.00139637	27.9948
0.00140443	28.0755
0.00141254	28.1564
0.00142069	28.2375
0.00142889	28.3189
0.00143714	28.4006
0.00144544	28.4824
0.00145378	28.5645
0.00146218	28.6469
0.00147062	28.7294
0.00147911	28.8122
0.00148765	28.8953
0.00149624	28.9786
0.00150487	29.0621
0.00151356	29.1459
0.0015223	29.2299
0.00153109	29.3141
0.00153993	29.3986
0.00154882	29.4834
0.00155776	29.5683
0.00156675	29.6536
0.0015758	29.739
0.00158489	29.8248
0.00159404	29.9107
0.00160325	29.9969
0.0016125	30.0834
0.00162181	30.1701
0.00163117	30.2571
0.00164059	30.3443
0.00165006	30.4318
0.00165959	30.5195
0.00166917	30.6074
0.0016788	30.6957
0.0016885	30.7841
0.00169824	30.8729
0.00170805	30.9619
0.00171791	31.0511
0.00172783	31.1406
0.0017378	31.2304
0.00174783	31.3204
0.00175792	31.4107
0.00176807	31.5012
0.00177828	31.592
0.00178855	31.6831
0.00179887	31.7744
0.00180926	31.866
0.0018197	31.9578
0.00183021	32.0499
0.00184077	32.1423
0.0018514	32.235
0.00186209	32.3279
0.00187284	32.421
0.00188365	32.5145
0.00189452	32.6082
0.00190546	32.7022
0.00191646	32.7965
0.00192752	32.891
0.00193865	32.9858
0.00194984	33.0809
0.0019611	33.1762
0.00197242	33.2719
0.00198381	33.3678
0.00199526	33.4639
0.00200678	33.5604
0.00201837	33.6571
0.00203002	33.7541
0.00204174	33.8514
0.00205353	33.949
0.00206538	34.0469
0.0020773	34.145
0.0020893	34.2434
0.00210136	34.3421
0.00211349	34.4411
0.00212569	34.5404
0.00213796	34.6399
0.0021503	34.7398
0.00216272	34.8399
0.0021752	34.9403
0.00218776	35.041
0.00220039	35.142
0.00221309	35.2433
0.00222587	35.3449
0.00223872	35.4468
0.00225165	35.549
0.00226464	35.6514
0.00227772	35.7542
0.00229087	35.8573
0.00230409	35.9606
0.00231739	36.0643
0.00233077	36.1682
0.00234423	36.2725
0.00235776	36.377
0.00237137	36.4819
0.00238506	36.587
0.00239883	36.6925
0.00241268	36.7982
0.00242661	36.9043
0.00244062	37.0107
0.00245471	37.1174
0.00246888	37.2243
0.00248313	37.3316
0.00249747	37.4392
0.00251189	37.5472
0.00252639	37.6554
0.00254097	37.7639
0.00255564	37.8728
0.0025704	37.9819
0.00258523	38.0914
0.00260016	38.2012
0.00261517	38.3113
0.00263027	38.4217
0.00264545	38.5325
0.00266073	38.6435
0.00267609	38.7549
0.00269153	38.8666
0.00270707	38.9787
0.0027227	39.091
0.00273842	39.2037
0.00275423	39.3167
0.00277013	39.43
0.00278612	39.5437
0.00280221	39.6577
0.00281838	39.772
0.00283465	39.8866
0.00285102	40.0016
0.00286748	40.1169
0.00288403	40.2325
0.00290068	40.3485
0.00291743	40.4648
0.00293427	40.5814
0.00295121	40.6984
0.00296825	40.8157
0.00298538	40.9333
0.00300262	41.0513
0.00301995	41.1696
0.00303739	41.2883
0.00305492	41.4073
0.00307256	41.5267
0.0030903	41.6464
0.00310814	41.7664
0.00312608	41.8868
0.00314413	42.0075
0.00316228	42.1286
0.00318053	42.25
0.0031989	42.3718
0.00321736	42.4939
0.00323594	42.6164
0.00325462	42.7393
0.00327341	42.8625
0.0032923	42.986
0.00331131	43.1099
0.00333043	43.2342
0.00334965	43.3588
0.00336899	43.4838
0.00338844	43.6091
0.003408	43.7348
0.00342768	43.8608
0.00344747	43.9873
0.00346737	44.1141
0.00348739	44.2412
0.00350752	44.3687
0.00352777	44.4966
0.00354813	44.6249
0.00356862	44.7535
0.00358922	44.8825
0.00360994	45.0119
0.00363078	45.1416
0.00365174	45.2717
0.00367282	45.4022
0.00369403	45.5331
0.00371535	45.6643
0.0037368	45.7959
0.00375837	45.9279
0.00378007	46.0603
0.00380189	46.1931
0.00382384	46.3262
0.00384592	46.4598
0.00386812	46.5937
0.00389045	46.728
0.00391291	46.8627
0.0039355	46.9977
0.00395822	47.1332
0.00398107	47.2691
0.00400405	47.4053
0.00402717	47.542
0.00405042	47.679
0.0040738	47.8164
0.00409732	47.9542
0.00412098	48.0925
0.00414477	48.2311
0.00416869	48.3701
0.00419276	48.5095
0.00421697	48.6493
0.00424131	48.7896
0.0042658	48.9302
0.00429042	49.0712
0.00431519	49.2127
0.0043401	49.3545
0.00436516	49.4968
0.00439036	49.6395
0.0044157	49.7825
0.0044412	49.926
0.00446684	50.0699
0.00449262	50.2143
0.00451856	50.359
0.00454465	50.5041
0.00457088	50.6497
0.00459727	50.7957
0.00462381	50.9421
0.0046505	51.089
0.00467735	51.2362
0.00470435	51.3839
0.00473151	51.532
0.00475883	51.6805
0.0047863	51.8295
0.00481393	51.9789
0.00484172	52.1287
0.00486968	52.279
0.00489779	52.4297
0.00492606	52.5808
0.0049545	52.7323
0.0049831	52.8843
0.00501187	53.0368
0.00504081	53.1896
0.00506991	53.3429
0.00509918	53.4967
0.00512861	53.6509
0.00515822	53.8055
0.005188	53.9606
