Stopping power dEdx from Ionisation for kaon- Z = 0 in G4_TISSUE_SOFT_ICRP, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	3.7303
0.00100577	3.74105
0.00101158	3.75184
0.00101742	3.76265
0.00102329	3.7735
0.0010292	3.78437
0.00103514	3.79528
0.00104112	3.80622
0.00104713	3.81719
0.00105317	3.8282
0.00105925	3.83923
0.00106537	3.8503
0.00107152	3.86139
0.00107771	3.87252
0.00108393	3.88369
0.00109018	3.89488
0.00109648	3.90611
0.00110281	3.91737
0.00110917	3.92866
0.00111558	3.93998
0.00112202	3.95134
0.0011285	3.96273
0.00113501	3.97415
0.00114156	3.9856
0.00114815	3.99709
0.00115478	4.00861
0.00116145	4.02017
0.00116815	4.03175
0.0011749	4.04338
0.00118168	4.05503
0.0011885	4.06672
0.00119536	4.07844
0.00120226	4.0902
0.00120921	4.10198
0.00121619	4.11381
0.00122321	4.12567
0.00123027	4.13756
0.00123737	4.14948
0.00124451	4.16144
0.0012517	4.17344
0.00125893	4.18547
0.00126619	4.19753
0.0012735	4.20963
0.00128086	4.22177
0.00128825	4.23393
0.00129569	4.24614
0.00130317	4.25838
0.00131069	4.27065
0.00131826	4.28296
0.00132587	4.29531
0.00133352	4.30769
0.00134122	4.3201
0.00134896	4.33255
0.00135675	4.34504
0.00136458	4.35757
0.00137246	4.37013
0.00138038	4.38272
0.00138835	4.39536
0.00139637	4.40803
0.00140443	4.42073
0.00141254	4.43347
0.00142069	4.44625
0.00142889	4.45907
0.00143714	4.47192
0.00144544	4.48481
0.00145378	4.49774
0.00146218	4.5107
0.00147062	4.5237
0.00147911	4.53674
0.00148765	4.54982
0.00149624	4.56293
0.00150487	4.57608
0.00151356	4.58927
0.0015223	4.6025
0.00153109	4.61577
0.00153993	4.62907
0.00154882	4.64242
0.00155776	4.6558
0.00156675	4.66922
0.0015758	4.68268
0.00158489	4.69617
0.00159404	4.70971
0.00160325	4.72328
0.0016125	4.7369
0.00162181	4.75055
0.00163117	4.76424
0.00164059	4.77798
0.00165006	4.79175
0.00165959	4.80556
0.00166917	4.81941
0.0016788	4.8333
0.0016885	4.84723
0.00169824	4.86121
0.00170805	4.87522
0.00171791	4.88927
0.00172783	4.90336
0.0017378	4.9175
0.00174783	4.93167
0.00175792	4.94589
0.00176807	4.96014
0.00177828	4.97444
0.00178855	4.98878
0.00179887	5.00316
0.00180926	5.01758
0.0018197	5.03204
0.00183021	5.04654
0.00184077	5.06109
0.0018514	5.07568
0.00186209	5.09031
0.00187284	5.10498
0.00188365	5.11969
0.00189452	5.13445
0.00190546	5.14925
0.00191646	5.16409
0.00192752	5.17898
0.00193865	5.19391
0.00194984	5.20888
0.0019611	5.22389
0.00197242	5.23895
0.00198381	5.25405
0.00199526	5.26919
0.00200678	5.28438
0.00201837	5.29961
0.00203002	5.31489
0.00204174	5.33021
0.00205353	5.34557
0.00206538	5.36098
0.0020773	5.37643
0.0020893	5.39193
0.00210136	5.40747
0.00211349	5.42306
0.00212569	5.43869
0.00213796	5.45436
0.0021503	5.47008
0.00216272	5.48585
0.0021752	5.50166
0.00218776	5.51752
0.00220039	5.53343
0.00221309	5.54937
0.00222587	5.56537
0.00223872	5.58141
0.00225165	5.5975
0.00226464	5.61363
0.00227772	5.62981
0.00229087	5.64604
0.00230409	5.66232
0.00231739	5.67864
0.00233077	5.695
0.00234423	5.71142
0.00235776	5.72788
0.00237137	5.74439
0.00238506	5.76095
0.00239883	5.77755
0.00241268	5.79421
0.00242661	5.81091
0.00244062	5.82766
0.00245471	5.84446
0.00246888	5.8613
0.00248313	5.8782
0.00249747	5.89514
0.00251189	5.91213
0.00252639	5.92917
0.00254097	5.94626
0.00255564	5.9634
0.0025704	5.98059
0.00258523	5.99783
0.00260016	6.01512
0.00261517	6.03245
0.00263027	6.04984
0.00264545	6.10528
0.00266073	6.16303
0.00267609	6.22785
0.00269153	6.30722
0.00270707	6.38695
0.0027227	6.46704
0.00273842	6.54749
0.00275423	6.62828
0.00277013	6.70942
0.00278612	6.80377
0.00280221	6.94037
0.00281838	7.07638
0.00283465	7.20824
0.00285102	7.33123
0.00286748	7.45292
0.00288403	7.57424
0.00290068	7.6952
0.00291743	7.8158
0.00293427	7.93604
0.00295121	8.05507
0.00296825	8.17265
0.00298538	8.28991
0.00300262	8.40688
0.00301995	8.52357
0.00303739	8.63997
0.00305492	8.75703
0.00307256	8.88095
0.0030903	9.00437
0.00310814	9.12737
0.00312608	9.24993
0.00314413	9.37242
0.00316228	9.49493
0.00318053	9.61697
0.0031989	9.73855
0.00321736	9.85966
0.00323594	9.98032
0.00325462	10.0922
0.00327341	10.194
0.0032923	10.2956
0.00331131	10.3971
0.00333043	10.4985
0.00334965	10.5997
0.00336899	10.7012
0.00338844	10.8025
0.003408	10.9149
0.00342768	11.0348
0.00344747	11.1657
0.00346737	11.3019
0.00348739	11.4375
0.00350752	11.5726
0.00352777	11.7072
0.00354813	11.8413
0.00356862	11.9749
0.00358922	12.1081
0.00360994	12.2408
0.00363078	12.373
0.00365174	12.5048
0.00367282	12.6361
0.00369403	12.7687
0.00371535	12.9197
0.0037368	13.1218
0.00375837	13.3222
0.00378007	13.521
0.00380189	13.7181
0.00382384	13.9056
0.00384592	14.0772
0.00386812	14.2477
0.00389045	14.417
0.00391291	14.5852
0.0039355	14.7523
0.00395822	14.9183
0.00398107	15.0784
0.00400405	15.236
0.00402717	15.3927
0.00405042	15.5484
0.0040738	15.7032
0.00409732	15.8571
0.00412098	16.0101
0.00414477	16.1623
0.00416869	16.3137
0.00419276	16.4142
0.00421697	16.5018
0.00424131	16.5894
0.0042658	16.677
0.00429042	16.7646
0.00431519	16.8521
0.0043401	16.9396
0.00436516	17.0271
0.00439036	17.1146
0.0044157	17.2023
0.0044412	17.2887
0.00446684	17.375
0.00449262	17.4613
0.00451856	17.5477
0.00454465	17.6484
0.00457088	17.7582
0.00459727	17.8914
0.00462381	18.0349
0.0046505	18.2047
0.00467735	18.4011
0.00470435	18.5956
0.00473151	18.7885
0.00475883	18.9796
0.0047863	19.1691
0.00481393	19.357
0.00484172	19.5432
0.00486968	19.7278
0.00489779	19.9108
0.00492606	20.0923
0.0049545	20.2722
0.0049831	20.4507
0.00501187	20.6276
0.00504081	20.8034
0.00506991	20.9779
0.00509918	21.1467
0.00512861	21.2966
0.00515822	21.444
0.005188	21.5924
0.00521795	21.7399
0.00524807	21.8864
0.00527837	22.0319
0.00530884	22.1764
0.00533949	22.3199
0.00537032	22.4535
