Stopping power dEdx from Ionisation for mu+ Z = 0 in G4_Si, process name: muIoni
E [MeV]	dEdx [MeV/mm]
0.001	72.8989
0.00100577	73.1115
0.00101158	73.325
0.00101742	73.5393
0.00102329	73.7545
0.0010292	73.9704
0.00103514	74.1868
0.00104112	74.4039
0.00104713	74.6213
0.00105317	74.8391
0.00105925	75.057
0.00106537	75.2751
0.00107152	75.4932
0.00107771	75.7111
0.00108393	75.9288
0.00109018	76.1461
0.00109648	76.3629
0.00110281	76.579
0.00110917	76.7944
0.00111558	77.0088
0.00112202	77.2222
0.0011285	77.4344
0.00113501	77.6453
0.00114156	77.8549
0.00114815	78.0633
0.00115478	78.2704
0.00116145	78.4763
0.00116815	78.6811
0.0011749	78.8846
0.00118168	79.087
0.0011885	79.2884
0.00119536	79.4886
0.00120226	79.6879
0.00120921	79.8861
0.00121619	80.0835
0.00122321	80.2799
0.00123027	80.4754
0.00123737	80.6702
0.00124451	80.8642
0.0012517	81.0574
0.00125893	81.2501
0.00126619	81.4421
0.0012735	81.6335
0.00128086	81.8245
0.00128825	82.0151
0.00129569	82.2053
0.00130317	82.3953
0.00131069	82.585
0.00131826	82.7746
0.00132587	82.9641
0.00133352	83.1537
0.00134122	83.3433
0.00134896	83.5331
0.00135675	83.7232
0.00136458	83.9137
0.00137246	84.1047
0.00138038	84.2962
0.00138835	84.4884
0.00139637	84.6813
0.00140443	84.8751
0.00141254	85.0691
0.00142069	85.2636
0.00142889	85.459
0.00143714	85.6555
0.00144544	85.8529
0.00145378	86.0512
0.00146218	86.2505
0.00147062	86.4506
0.00147911	86.6516
0.00148765	86.8535
0.00149624	87.0561
0.00150487	87.2596
0.00151356	87.4638
0.0015223	87.6687
0.00153109	87.8743
0.00153993	88.0806
0.00154882	88.2874
0.00155776	88.4949
0.00156675	88.7029
0.0015758	88.9115
0.00158489	89.1205
0.00159404	89.3299
0.00160325	89.5398
0.0016125	89.75
0.00162181	89.9605
0.00163117	90.1712
0.00164059	90.3822
0.00165006	90.5933
0.00165959	90.8046
0.00166917	91.0159
0.0016788	91.2272
0.0016885	91.4384
0.00169824	91.6497
0.00170805	91.8608
0.00171791	92.0718
0.00172783	92.2828
0.0017378	92.4936
0.00174783	92.7044
0.00175792	92.915
0.00176807	93.1256
0.00177828	93.3361
0.00178855	93.5466
0.00179887	93.757
0.00180926	93.9674
0.0018197	94.1777
0.00183021	94.388
0.00184077	94.5982
0.0018514	94.8085
0.00186209	95.0187
0.00187284	95.229
0.00188365	95.4392
0.00189452	95.6495
0.00190546	95.8599
0.00191646	96.0703
0.00192752	96.2808
0.00193865	96.4913
0.00194984	96.702
0.0019611	96.9128
0.00197242	97.1237
0.00198381	97.3349
0.00199526	97.5461
0.00200678	97.7575
0.00201837	97.969
0.00203002	98.1806
0.00204174	98.3923
0.00205353	98.6042
0.00206538	98.8161
0.0020773	99.0281
0.0020893	99.2401
0.00210136	99.4523
0.00211349	99.6644
0.00212569	99.8766
0.00213796	100.089
0.0021503	100.301
0.00216272	100.513
0.0021752	100.726
0.00218776	100.938
0.00220039	101.15
0.00221309	101.362
0.00222587	101.574
0.00223872	101.786
0.00225165	101.998
0.00226464	102.21
0.00227772	102.422
0.00229087	102.634
0.00230409	102.846
0.00231739	103.057
0.00233077	103.269
0.00234423	103.48
0.00235776	103.691
0.00237137	103.902
0.00238506	104.113
0.00239883	104.324
0.00241268	104.534
0.00242661	104.745
0.00244062	104.955
0.00245471	105.165
0.00246888	105.375
0.00248313	105.585
0.00249747	105.794
0.00251189	106.004
0.00252639	106.213
0.00254097	106.422
0.00255564	106.63
0.0025704	106.839
0.00258523	107.047
0.00260016	107.255
0.00261517	107.463
0.00263027	107.671
0.00264545	107.878
0.00266073	108.085
0.00267609	108.291
0.00269153	108.497
0.00270707	108.703
0.0027227	108.908
0.00273842	109.113
0.00275423	109.318
0.00277013	109.522
0.00278612	109.726
0.00280221	109.929
0.00281838	110.132
0.00283465	110.334
0.00285102	110.536
0.00286748	110.737
0.00288403	110.938
0.00290068	111.138
0.00291743	111.338
0.00293427	111.537
0.00295121	111.736
0.00296825	111.934
0.00298538	112.131
0.00300262	112.329
0.00301995	112.525
0.00303739	112.721
0.00305492	112.917
0.00307256	113.112
0.0030903	113.307
0.00310814	113.501
0.00312608	113.695
0.00314413	113.889
0.00316228	114.081
0.00318053	114.273
0.0031989	114.465
0.00321736	114.656
0.00323594	114.846
0.00325462	115.036
0.00327341	115.224
0.0032923	115.412
0.00331131	115.599
0.00333043	115.786
0.00334965	115.971
0.00336899	116.156
0.00338844	116.339
0.003408	116.522
0.00342768	116.704
0.00344747	116.884
0.00346737	117.064
0.00348739	117.243
0.00350752	117.42
0.00352777	117.597
0.00354813	117.773
0.00356862	117.947
0.00358922	118.121
0.00360994	118.293
0.00363078	118.464
0.00365174	118.634
0.00367282	118.804
0.00369403	118.972
0.00371535	119.139
0.0037368	119.304
0.00375837	119.469
0.00378007	119.633
0.00380189	119.795
0.00382384	119.957
0.00384592	120.117
0.00386812	120.276
0.00389045	120.434
0.00391291	120.591
0.0039355	120.747
0.00395822	120.902
0.00398107	121.054
0.00400405	121.206
0.00402717	121.357
0.00405042	121.506
0.0040738	121.655
0.00409732	121.802
0.00412098	121.947
0.00414477	122.092
0.00416869	122.235
0.00419276	122.377
0.00421697	122.517
0.00424131	122.657
0.0042658	122.794
0.00429042	122.931
0.00431519	123.066
0.0043401	123.199
0.00436516	123.332
0.00439036	123.462
0.0044157	123.591
0.0044412	123.719
0.00446684	123.845
0.00449262	123.97
0.00451856	124.093
0.00454465	124.215
0.00457088	124.335
0.00459727	124.453
0.00462381	124.57
0.0046505	124.685
0.00467735	124.798
0.00470435	124.91
0.00473151	125.02
0.00475883	125.128
0.0047863	125.235
