Stopping power dEdx from Ionisation for mu+ Z = 0 in Water, process name: muIoni
E [MeV]	dEdx [MeV/mm]
0.001	51.209
0.00100577	51.3566
0.00101158	51.5047
0.00101742	51.6531
0.00102329	51.802
0.0010292	51.9513
0.00103514	52.1011
0.00104112	52.2512
0.00104713	52.4018
0.00105317	52.5529
0.00105925	52.7044
0.00106537	52.8563
0.00107152	53.0086
0.00107771	53.1614
0.00108393	53.3146
0.00109018	53.4683
0.00109648	53.6224
0.00110281	53.777
0.00110917	53.932
0.00111558	54.0875
0.00112202	54.2434
0.0011285	54.3997
0.00113501	54.5539
0.00114156	54.6876
0.00114815	54.8215
0.00115478	54.9557
0.00116145	55.0901
0.00116815	55.2248
0.0011749	55.3597
0.00118168	55.4949
0.0011885	55.6304
0.00119536	55.7661
0.00120226	55.902
0.00120921	56.0382
0.00121619	56.1747
0.00122321	56.3114
0.00123027	56.4483
0.00123737	56.5856
0.00124451	56.723
0.0012517	56.8607
0.00125893	56.9987
0.00126619	57.1369
0.0012735	57.2753
0.00128086	57.414
0.00128825	57.5529
0.00129569	57.6921
0.00130317	57.8316
0.00131069	57.9712
0.00131826	58.1111
0.00132587	58.2513
0.00133352	58.3917
0.00134122	58.5323
0.00134896	58.6732
0.00135675	58.8143
0.00136458	58.9557
0.00137246	59.0973
0.00138038	59.2391
0.00138835	59.3812
0.00139637	59.5235
0.00140443	59.666
0.00141254	59.8088
0.00142069	59.9518
0.00142889	60.095
0.00143714	60.2385
0.00144544	60.3822
0.00145378	60.5261
0.00146218	60.6702
0.00147062	60.8146
0.00147911	60.9592
0.00148765	61.104
0.00149624	61.2491
0.00150487	61.3943
0.00151356	61.5398
0.0015223	61.6855
0.00153109	61.8314
0.00153993	61.9776
0.00154882	62.1239
0.00155776	62.2705
0.00156675	62.4173
0.0015758	62.5643
0.00158489	62.7115
0.00159404	62.8589
0.00160325	63.0066
0.0016125	63.1544
0.00162181	63.3024
0.00163117	63.4507
0.00164059	63.5991
0.00165006	63.7478
0.00165959	63.8966
0.00166917	64.0457
0.0016788	64.1949
0.0016885	64.3443
0.00169824	64.494
0.00170805	64.6438
0.00171791	64.7938
0.00172783	64.944
0.0017378	65.0944
0.00174783	65.2449
0.00175792	65.3957
0.00176807	65.5466
0.00177828	65.6977
