Stopping power dEdx from Ionisation for mu- Z = 0 in Water, process name: muIoni
E [MeV]	dEdx [MeV/mm]
0.001	17.2559
0.00100577	17.4381
0.00101158	17.6187
0.00101742	17.7977
0.00102329	17.9753
0.0010292	18.1514
0.00103514	18.3261
0.00104112	18.4993
0.00104713	18.6712
0.00105317	18.8417
0.00105925	19.0108
0.00106537	19.1786
0.00107152	19.3451
0.00107771	19.5106
0.00108393	19.675
0.00109018	19.8382
0.00109648	20.0001
0.00110281	20.1608
0.00110917	20.3204
0.00111558	20.4788
0.00112202	20.636
0.0011285	20.7921
0.00113501	20.9471
0.00114156	21.101
0.00114815	21.2436
0.00115478	21.3813
0.00116145	21.5182
0.00116815	21.6544
0.0011749	21.7899
0.00118168	21.9247
0.0011885	22.0589
0.00119536	22.1996
0.00120226	22.3438
0.00120921	22.4874
0.00121619	22.6309
0.00122321	22.7737
0.00123027	22.9159
0.00123737	23.0574
0.00124451	23.1982
0.0012517	23.3384
0.00125893	23.478
0.00126619	23.6169
0.0012735	23.7552
0.00128086	23.8929
0.00128825	24.03
0.00129569	24.1666
0.00130317	24.3026
0.00131069	24.4683
0.00131826	24.6612
0.00132587	24.8526
0.00133352	25.0425
0.00134122	25.2309
0.00134896	25.4177
0.00135675	25.603
0.00136458	25.787
0.00137246	25.9696
0.00138038	26.1508
0.00138835	26.3308
0.00139637	26.5155
0.00140443	26.6999
0.00141254	26.883
0.00142069	27.0649
0.00142889	27.2454
0.00143714	27.4247
0.00144544	27.6028
0.00145378	27.7797
0.00146218	27.9554
0.00147062	28.1263
0.00147911	28.235
0.00148765	28.3434
0.00149624	28.4515
0.00150487	28.5593
0.00151356	28.6668
0.0015223	28.774
0.00153109	28.8809
0.00153993	28.9876
0.00154882	29.0941
0.00155776	29.2003
0.00156675	29.3063
0.0015758	29.412
0.00158489	29.5175
0.00159404	29.6255
0.00160325	29.7346
0.0016125	29.8434
0.00162181	29.9521
0.00163117	30.0606
0.00164059	30.2049
0.00165006	30.3604
0.00165959	30.5149
0.00166917	30.6684
0.0016788	30.8213
0.0016885	30.9761
0.00169824	31.1299
0.00170805	31.2829
0.00171791	31.435
0.00172783	31.5862
0.0017378	31.7367
0.00174783	31.8862
0.00175792	32.035
0.00176807	32.183
0.00177828	32.3302
0.00178855	32.477
0.00179887	32.6246
0.00180926	32.7714
0.0018197	32.9175
0.00183021	33.0628
0.00184077	33.2075
0.0018514	33.3514
0.00186209	33.4947
0.00187284	33.6372
0.00188365	33.7791
0.00189452	33.9204
0.00190546	34.061
0.00191646	34.201
0.00192752	34.3403
0.00193865	34.479
0.00194984	34.6172
0.0019611	34.7559
0.00197242	34.9082
0.00198381	35.0599
0.00199526	35.1842
0.00200678	35.3049
0.00201837	35.4254
0.00203002	35.5455
0.00204174	35.6654
0.00205353	35.785
0.00206538	35.9044
0.0020773	36.0235
0.0020893	36.1425
0.00210136	36.2612
0.00211349	36.3797
0.00212569	36.4981
0.00213796	36.6162
0.0021503	36.7341
0.00216272	36.8518
0.0021752	36.9694
0.00218776	37.0867
0.00220039	37.2039
0.00221309	37.3209
0.00222587	37.4378
0.00223872	37.5545
0.00225165	37.671
0.00226464	37.7874
0.00227772	37.9036
0.00229087	38.0225
0.00230409	38.148
0.00231739	38.2732
0.00233077	38.3983
0.00234423	38.5232
0.00235776	38.6497
0.00237137	38.7773
0.00238506	38.9046
0.00239883	39.0318
0.00241268	39.1587
0.00242661	39.2855
