Stopping power dEdx from Ionisation for pi+ Z = 0 in G4_Si, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	63.4341
0.00100577	63.6168
0.00101158	63.7999
0.00101742	63.9835
0.00102329	64.1676
0.0010292	64.3522
0.00103514	64.5373
0.00104112	64.7228
0.00104713	64.9088
0.00105317	65.0953
0.00105925	65.2823
0.00106537	65.4697
0.00107152	65.6576
0.00107771	65.8461
0.00108393	66.035
0.00109018	66.2245
0.00109648	66.4145
0.00110281	66.605
0.00110917	66.796
0.00111558	66.9876
0.00112202	67.1798
0.0011285	67.3725
0.00113501	67.5658
0.00114156	67.7596
0.00114815	67.9541
0.00115478	68.1491
0.00116145	68.3448
0.00116815	68.541
0.0011749	68.738
0.00118168	68.9355
0.0011885	69.1337
0.00119536	69.3326
0.00120226	69.5321
0.00120921	69.7324
0.00121619	69.9333
0.00122321	70.1349
0.00123027	70.3373
0.00123737	70.5403
0.00124451	70.7441
0.0012517	70.9486
0.00125893	71.1538
0.00126619	71.3598
0.0012735	71.5665
0.00128086	71.774
0.00128825	71.9823
0.00129569	72.1914
0.00130317	72.4013
0.00131069	72.612
0.00131826	72.8235
0.00132587	73.0358
0.00133352	73.249
0.00134122	73.4631
0.00134896	73.6779
0.00135675	73.8936
0.00136458	74.1098
0.00137246	74.3267
0.00138038	74.544
0.00138835	74.7616
0.00139637	74.9796
0.00140443	75.1976
0.00141254	75.4157
0.00142069	75.6337
0.00142889	75.8515
0.00143714	76.0689
0.00144544	76.2859
0.00145378	76.5023
0.00146218	76.7179
0.00147062	76.9327
0.00147911	77.1465
0.00148765	77.3591
0.00149624	77.5705
0.00150487	77.7806
0.00151356	77.9894
0.0015223	78.197
0.00153109	78.4033
0.00153993	78.6084
0.00154882	78.8124
0.00155776	79.0152
0.00156675	79.2169
0.0015758	79.4176
0.00158489	79.6172
0.00159404	79.8158
0.00160325	80.0134
0.0016125	80.2102
0.00162181	80.406
0.00163117	80.6011
0.00164059	80.7953
0.00165006	80.9888
0.00165959	81.1817
0.00166917	81.3739
0.0016788	81.5656
0.0016885	81.7567
0.00169824	81.9474
0.00170805	82.1378
0.00171791	82.3278
0.00172783	82.5176
0.0017378	82.7072
0.00174783	82.8968
0.00175792	83.0863
0.00176807	83.2759
0.00177828	83.4656
0.00178855	83.6556
0.00179887	83.846
0.00180926	84.0368
0.0018197	84.2281
0.00183021	84.42
0.00184077	84.6126
0.0018514	84.8062
0.00186209	85.0003
0.00187284	85.1944
0.00188365	85.3895
0.00189452	85.5856
0.00190546	85.7826
0.00191646	85.9806
0.00192752	86.1796
0.00193865	86.3794
0.00194984	86.5801
0.0019611	86.7817
0.00197242	86.984
0.00198381	87.1872
0.00199526	87.3911
0.00200678	87.5958
0.00201837	87.8011
0.00203002	88.0072
0.00204174	88.2138
0.00205353	88.4211
0.00206538	88.6289
0.0020773	88.8373
0.0020893	89.0461
0.00210136	89.2554
0.00211349	89.4652
0.00212569	89.6752
0.00213796	89.8856
0.0021503	90.0963
0.00216272	90.3072
0.0021752	90.5183
0.00218776	90.7295
0.00220039	90.9408
0.00221309	91.1521
0.00222587	91.3634
0.00223872	91.5746
0.00225165	91.7858
0.00226464	91.9968
0.00227772	92.2078
0.00229087	92.4187
0.00230409	92.6295
0.00231739	92.8402
0.00233077	93.0508
0.00234423	93.2613
0.00235776	93.4718
0.00237137	93.6822
0.00238506	93.8926
0.00239883	94.1029
0.00241268	94.3132
0.00242661	94.5235
0.00244062	94.7337
0.00245471	94.944
0.00246888	95.1542
0.00248313	95.3645
0.00249747	95.5748
0.00251189	95.7851
0.00252639	95.9955
0.00254097	96.206
0.00255564	96.4165
0.0025704	96.6271
0.00258523	96.8379
0.00260016	97.0488
0.00261517	97.2598
0.00263027	97.471
0.00264545	97.6823
0.00266073	97.8938
0.00267609	98.1054
0.00269153	98.3171
0.00270707	98.5289
0.0027227	98.7408
0.00273842	98.9527
0.00275423	99.1648
0.00277013	99.3769
0.00278612	99.589
0.00280221	99.8012
0.00281838	100.013
0.00283465	100.226
0.00285102	100.438
0.00286748	100.65
0.00288403	100.862
0.00290068	101.075
0.00291743	101.287
0.00293427	101.499
0.00295121	101.711
0.00296825	101.923
0.00298538	102.135
0.00300262	102.347
0.00301995	102.559
0.00303739	102.77
0.00305492	102.982
0.00307256	103.193
0.0030903	103.405
0.00310814	103.616
0.00312608	103.827
0.00314413	104.038
0.00316228	104.249
0.00318053	104.459
0.0031989	104.67
0.00321736	104.88
0.00323594	105.09
0.00325462	105.3
0.00327341	105.51
0.0032923	105.72
0.00331131	105.929
0.00333043	106.138
0.00334965	106.347
0.00336899	106.556
0.00338844	106.765
0.003408	106.973
0.00342768	107.181
0.00344747	107.389
0.00346737	107.597
0.00348739	107.804
0.00350752	108.011
0.00352777	108.218
0.00354813	108.424
0.00356862	108.63
0.00358922	108.835
0.00360994	109.041
0.00363078	109.245
0.00365174	109.45
0.00367282	109.653
0.00369403	109.857
0.00371535	110.06
0.0037368	110.262
0.00375837	110.464
0.00378007	110.666
0.00380189	110.866
0.00382384	111.067
0.00384592	111.267
0.00386812	111.466
0.00389045	111.665
0.00391291	111.863
0.0039355	112.061
0.00395822	112.259
0.00398107	112.455
0.00400405	112.652
0.00402717	112.848
0.00405042	113.043
0.0040738	113.238
0.00409732	113.432
0.00412098	113.626
0.00414477	113.82
0.00416869	114.013
0.00419276	114.205
0.00421697	114.397
0.00424131	114.588
0.0042658	114.779
0.00429042	114.968
0.00431519	115.157
0.0043401	115.346
0.00436516	115.533
0.00439036	115.72
0.0044157	115.905
0.0044412	116.09
0.00446684	116.274
0.00449262	116.457
0.00451856	116.639
0.00454465	116.82
0.00457088	117
0.00459727	117.179
0.00462381	117.357
0.0046505	117.534
0.00467735	117.71
0.00470435	117.885
0.00473151	118.059
0.00475883	118.232
0.0047863	118.403
0.00481393	118.574
0.00484172	118.744
0.00486968	118.912
0.00489779	119.079
0.00492606	119.246
0.0049545	119.411
0.0049831	119.575
0.00501187	119.738
0.00504081	119.9
0.00506991	120.06
0.00509918	120.22
0.00512861	120.378
0.00515822	120.536
0.005188	120.692
0.00521795	120.847
0.00524807	121
0.00527837	121.152
0.00530884	121.304
0.00533949	121.453
0.00537032	121.602
0.00540132	121.749
0.0054325	121.896
0.00546387	122.041
0.00549541	122.184
0.00552713	122.327
0.00555904	122.468
0.00559114	122.607
0.00562341	122.746
0.00565588	122.883
0.00568853	123.018
0.00572137	123.152
0.0057544	123.285
0.00578762	123.416
0.00582103	123.546
0.00585464	123.674
0.00588844	123.801
0.00592243	123.926
0.00595662	124.049
0.00599101	124.172
0.0060256	124.292
0.00606038	124.411
0.00609537	124.529
0.00613056	124.644
0.00616595	124.758
0.00620155	124.871
0.00623735	124.981
0.00627336	125.09
0.00630957	125.197
0.006346	125.303
0.00638263	125.406
0.00641948	125.508
0.00645654	125.608
0.00649382	125.706
0.00653131	125.803
0.00656901	125.897
0.00660693	125.99
0.00664508	126.08
0.00668344	126.169
0.00672202	126.256
0.00676083	126.341
0.00679986	126.424
0.00683912	126.505
0.0068786	126.584
0.00691831	126.661
0.00695825	126.736
0.00699842	126.809
0.00703882	126.88
0.00707946	126.949
0.00712033	127.016
0.00716143	127.08
0.00720278	127.143
0.00724436	127.203
0.00728618	127.261
0.00732825	127.317
0.00737055	127.371
0.0074131	127.422
0.0074559	127.472
0.00749894	127.519
0.00754223	127.564
0.00758578	127.606
0.00762957	127.647
0.00767361	127.685
0.00771792	127.721
0.00776247	127.755
0.00780728	127.786
0.00785236	127.816
0.00789769	127.843
0.00794328	127.868
0.00798914	127.891
0.00803526	127.912
0.00808165	127.931
0.00812831	127.947
0.00817523	127.962
0.00822243	127.974
0.0082699	127.985
0.00831764	127.993
0.00836566	127.999
0.00841395	128.003
0.00846253	128.005
0.00851138	128.005
0.00856052	128.003
0.00860994	127.998
0.00865964	127.991
0.00870964	127.982
0.00875992	127.97
0.00881049	127.957
0.00886135	127.94
0.00891251	127.922
0.00896396	127.901
0.00901571	127.878
0.00906776	127.852
0.00912011	127.824
0.00917276	127.794
0.00922571	127.761
0.00927897	127.726
0.00933254	127.688
0.00938642	127.648
0.00944061	127.606
0.00949511	127.561
0.00954993	127.514
0.00960506	127.464
0.00966051	127.412
0.00971628	127.358
0.00977237	127.301
0.00982879	127.242
0.00988553	127.181
0.0099426	127.117
0.01	127.051
0.0100577	126.982
0.0101158	126.911
0.0101742	126.838
0.0102329	126.762
0.010292	126.684
0.0103514	126.604
0.0104112	126.521
0.0104713	126.436
0.0105317	126.349
0.0105925	126.259
0.0106537	126.167
0.0107152	126.073
0.0107771	125.976
0.0108393	125.878
0.0109018	125.777
0.0109648	125.675
0.0110281	125.57
0.0110917	125.464
0.0111558	125.355
0.0112202	125.245
0.011285	125.133
0.0113501	125.019
0.0114156	124.902
0.0114815	124.784
0.0115478	124.664
0.0116145	124.542
0.0116815	124.418
0.011749	124.291
0.0118168	124.163
0.011885	124.032
0.0119536	123.899
0.0120226	123.763
0.0120921	123.625
0.0121619	123.486
0.0122321	123.344
0.0123027	123.199
0.0123737	123.053
0.0124451	122.905
0.012517	122.755
0.0125893	122.604
0.0126619	122.45
0.012735	122.295
0.0128086	122.138
0.0128825	121.979
0.0129569	121.819
0.0130317	121.657
0.0131069	121.494
0.0131826	121.329
0.0132587	121.163
0.0133352	120.996
0.0134122	120.827
0.0134896	120.656
0.0135675	120.485
0.0136458	120.312
0.0137246	120.137
0.0138038	119.961
0.0138835	119.783
0.0139637	119.604
0.0140443	119.423
0.0141254	119.24
0.0142069	119.055
0.0142889	118.869
0.0143714	118.681
0.0144544	118.491
0.0145378	118.3
0.0146218	118.108
0.0147062	117.914
0.0147911	117.719
0.0148765	117.522
0.0149624	117.325
0.0150487	117.127
0.0151356	116.927
0.015223	116.726
0.0153109	116.525
0.0153993	116.322
0.0154882	116.119
0.0155776	115.914
0.0156675	115.708
0.015758	115.501
0.0158489	115.294
0.0159404	115.085
0.0160325	114.876
0.016125	114.665
0.0162181	114.454
0.0163117	114.241
0.0164059	114.028
0.0165006	113.814
0.0165959	113.599
0.0166917	113.383
0.016788	113.166
0.016885	112.949
0.0169824	112.73
0.0170805	112.511
0.0171791	112.292
0.0172783	112.071
0.017378	111.85
0.0174783	111.628
0.0175792	111.405
0.0176807	111.182
0.0177828	110.958
0.0178855	110.734
0.0179887	110.509
0.0180926	110.284
0.018197	110.058
0.0183021	109.832
0.0184077	109.605
0.018514	109.378
0.0186209	109.15
0.0187284	108.923
0.0188365	108.695
0.0189452	108.466
0.0190546	108.238
0.0191646	108.009
0.0192752	107.78
0.0193865	107.55
0.0194984	107.321
0.019611	107.091
0.0197242	106.861
0.0198381	106.63
0.0199526	106.4
0.0200678	106.169
0.0201837	105.938
0.0203002	105.707
0.0204174	105.475
0.0205353	105.243
0.0206538	105.012
0.020773	104.78
0.020893	104.548
0.0210136	104.315
0.0211349	104.083
0.0212569	103.851
0.0213796	103.618
0.021503	103.386
0.0216272	103.153
0.021752	102.92
0.0218776	102.688
0.0220039	102.455
0.0221309	102.222
0.0222587	101.989
0.0223872	101.756
0.0225165	101.523
0.0226464	101.29
0.0227772	101.057
0.0229087	100.824
0.0230409	100.591
0.0231739	100.358
0.0233077	100.126
0.0234423	99.893
0.0235776	99.6605
0.0237137	99.4281
0.0238506	99.1959
0.0239883	98.9639
0.0241268	98.732
0.0242661	98.5003
0.0244062	98.2688
0.0245471	98.0375
0.0246888	97.8064
0.0248313	97.5756
0.0249747	97.345
0.0251189	97.1146
0.0252639	96.8846
0.0254097	96.6548
0.0255564	96.4253
0.025704	96.1962
0.0258523	95.9674
0.0260016	95.7389
0.0261517	95.5108
0.0263027	95.283
0.0264545	95.0556
0.0266073	94.8285
0.0267609	94.6019
0.0269153	94.3756
0.0270707	94.1496
0.027227	93.9241
0.0273842	93.6989
0.0275423	93.4741
0.0277013	93.2497
0.0278612	93.0256
0.0280221	92.8019
0.0281838	92.5786
0.0283465	92.3556
0.0285102	92.133
0.0286748	91.9108
0.0288403	91.6889
0.0290068	91.4674
0.0291743	91.2462
0.0293427	91.0253
0.0295121	90.8048
0.0296825	90.5846
0.0298538	90.3648
0.0300262	90.1452
0.0301995	89.926
0.0303739	89.7071
0.0305492	89.4885
0.0307256	89.2703
0.030903	89.0525
0.0310814	88.8349
0.0312608	88.6178
0.0314413	88.4009
0.0316228	88.1845
