Stopping power dEdx from Ionisation for pi+ Z = 0 in G4_TISSUE_SOFT_ICRP, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	44.7922
0.00100577	44.9213
0.00101158	45.0508
0.00101742	45.1806
0.00102329	45.3109
0.0010292	45.4415
0.00103514	45.5724
0.00104112	45.7038
0.00104713	45.8355
0.00105317	45.9676
0.00105925	46.1001
0.00106537	46.233
0.00107152	46.3663
0.00107771	46.4999
0.00108393	46.634
0.00109018	46.7684
0.00109648	46.9032
0.00110281	47.0384
0.00110917	47.1739
0.00111558	47.3099
0.00112202	47.4463
0.0011285	47.583
0.00113501	47.7202
0.00114156	47.8577
0.00114815	47.9957
0.00115478	48.134
0.00116145	48.2728
0.00116815	48.4119
0.0011749	48.5515
0.00118168	48.6914
0.0011885	48.8317
0.00119536	48.9725
0.00120226	49.1137
0.00120921	49.2552
0.00121619	49.3972
0.00122321	49.5396
0.00123027	49.6824
0.00123737	49.8256
0.00124451	49.9692
0.0012517	50.1132
0.00125893	50.2577
0.00126619	50.4025
0.0012735	50.5478
0.00128086	50.6935
0.00128825	50.8396
0.00129569	50.9862
0.00130317	51.1331
0.00131069	51.2805
0.00131826	51.4283
0.00132587	51.5765
0.00133352	51.7252
0.00134122	51.8743
0.00134896	52.0238
0.00135675	52.1738
0.00136458	52.3242
0.00137246	52.475
0.00138038	52.6262
0.00138835	52.7779
0.00139637	52.93
0.00140443	53.0826
0.00141254	53.2356
0.00142069	53.3891
0.00142889	53.5429
0.00143714	53.6973
0.00144544	53.852
0.00145378	54.0073
0.00146218	54.1629
0.00147062	54.3191
0.00147911	54.4756
0.00148765	54.6326
0.00149624	54.7901
0.00150487	54.9326
0.00151356	55.0703
0.0015223	55.2083
0.00153109	55.3465
0.00153993	55.4851
0.00154882	55.6239
0.00155776	55.763
0.00156675	55.9024
0.0015758	56.0421
0.00158489	56.1821
0.00159404	56.3223
0.00160325	56.4628
0.0016125	56.6036
0.00162181	56.7447
0.00163117	56.886
0.00164059	57.0276
0.00165006	57.1696
0.00165959	57.3117
0.00166917	57.4542
0.0016788	57.5969
0.0016885	57.7399
0.00169824	57.8832
0.00170805	58.0268
0.00171791	58.1706
0.00172783	58.3147
0.0017378	58.4591
0.00174783	58.6037
0.00175792	58.7487
0.00176807	58.8939
0.00177828	59.0393
0.00178855	59.1851
0.00179887	59.3311
0.00180926	59.4774
0.0018197	59.6239
0.00183021	59.7707
0.00184077	59.9178
0.0018514	60.0652
0.00186209	60.2128
0.00187284	60.3607
0.00188365	60.5088
0.00189452	60.6573
0.00190546	60.8059
0.00191646	60.9549
0.00192752	61.1041
0.00193865	61.2536
0.00194984	61.4033
0.0019611	61.5533
0.00197242	61.7035
0.00198381	61.854
0.00199526	62.0048
0.00200678	62.1558
0.00201837	62.3071
0.00203002	62.4586
0.00204174	62.6104
0.00205353	62.7625
0.00206538	62.9148
0.0020773	63.0673
0.0020893	63.2201
0.00210136	63.3732
0.00211349	63.5265
0.00212569	63.68
0.00213796	63.8338
