Stopping power dEdx from Ionisation for pi+ Z = 0 in Water, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	44.5556
0.00100577	44.684
0.00101158	44.8128
0.00101742	44.942
0.00102329	45.0715
0.0010292	45.2014
0.00103514	45.3317
0.00104112	45.4624
0.00104713	45.5934
0.00105317	45.7248
0.00105925	45.8566
0.00106537	45.9888
0.00107152	46.1214
0.00107771	46.2543
0.00108393	46.3876
0.00109018	46.5213
0.00109648	46.6554
0.00110281	46.7899
0.00110917	46.9248
0.00111558	47.06
0.00112202	47.1957
0.0011285	47.3317
0.00113501	47.4681
0.00114156	47.605
0.00114815	47.7422
0.00115478	47.8798
0.00116145	48.0178
0.00116815	48.1562
0.0011749	48.295
0.00118168	48.4342
0.0011885	48.5738
0.00119536	48.7138
0.00120226	48.8542
0.00120921	48.9951
0.00121619	49.1363
0.00122321	49.2779
0.00123027	49.4199
0.00123737	49.5624
0.00124451	49.7052
0.0012517	49.8485
0.00125893	49.9922
0.00126619	50.1363
0.0012735	50.2808
0.00128086	50.4257
0.00128825	50.5711
0.00129569	50.7168
0.00130317	50.863
0.00131069	51.0096
0.00131826	51.1567
0.00132587	51.3041
0.00133352	51.452
0.00134122	51.6003
0.00134896	51.749
0.00135675	51.8982
0.00136458	52.0478
0.00137246	52.1978
0.00138038	52.3483
0.00138835	52.4991
0.00139637	52.6505
0.00140443	52.8022
0.00141254	52.9544
0.00142069	53.1071
0.00142889	53.2601
0.00143714	53.4137
0.00144544	53.5676
0.00145378	53.722
0.00146218	53.8769
0.00147062	54.0322
0.00147911	54.1879
0.00148765	54.3441
0.00149624	54.5007
0.00150487	54.64
0.00151356	54.7739
0.0015223	54.908
0.00153109	55.0423
0.00153993	55.1769
0.00154882	55.3117
0.00155776	55.4468
0.00156675	55.5822
0.0015758	55.7178
0.00158489	55.8537
0.00159404	55.9898
0.00160325	56.1262
0.0016125	56.2628
0.00162181	56.3996
0.00163117	56.5368
0.00164059	56.6741
0.00165006	56.8117
0.00165959	56.9496
0.00166917	57.0877
0.0016788	57.2261
0.0016885	57.3647
0.00169824	57.5035
0.00170805	57.6426
0.00171791	57.782
0.00172783	57.9216
0.0017378	58.0614
0.00174783	58.2015
0.00175792	58.3418
0.00176807	58.4823
0.00177828	58.6231
0.00178855	58.7642
0.00179887	58.9054
0.00180926	59.0469
0.0018197	59.1887
0.00183021	59.3307
0.00184077	59.4729
0.0018514	59.6153
0.00186209	59.758
0.00187284	59.9009
0.00188365	60.0441
0.00189452	60.1875
0.00190546	60.3311
0.00191646	60.4749
0.00192752	60.619
0.00193865	60.7633
0.00194984	60.9078
0.0019611	61.0525
0.00197242	61.1975
0.00198381	61.3427
0.00199526	61.4881
0.00200678	61.6337
0.00201837	61.7796
0.00203002	61.9256
0.00204174	62.0719
0.00205353	62.2184
0.00206538	62.3651
0.0020773	62.512
0.0020893	62.6592
0.00210136	62.8065
0.00211349	62.9541
0.00212569	63.1018
0.00213796	63.2498
0.0021503	63.398
0.00216272	63.5463
0.0021752	63.6949
0.00218776	63.8437
0.00220039	63.9927
0.00221309	64.1418
0.00222587	64.2912
0.00223872	64.4408
0.00225165	64.5905
0.00226464	64.7404
0.00227772	64.8906
0.00229087	65.0409
0.00230409	65.1914
0.00231739	65.3421
0.00233077	65.4929
0.00234423	65.644
0.00235776	65.7952
0.00237137	65.9466
0.00238506	66.0982
0.00239883	66.25
0.00241268	66.4019
0.00242661	66.554
0.00244062	66.7062
0.00245471	66.8586
0.00246888	67.0112
0.00248313	67.164
0.00249747	67.3169
0.00251189	67.4699
0.00252639	67.6231
0.00254097	67.7765
0.00255564	67.93
0.0025704	68.0837
0.00258523	68.2375
0.00260016	68.3914
0.00261517	68.5455
0.00263027	68.6997
0.00264545	68.8541
0.00266073	69.0086
0.00267609	69.1632
0.00269153	69.3179
0.00270707	69.4728
0.0027227	69.6278
0.00273842	69.7829
0.00275423	69.9381
0.00277013	70.0935
0.00278612	70.249
0.00280221	70.4045
0.00281838	70.5602
0.00283465	70.716
0.00285102	70.8719
0.00286748	71.0278
0.00288403	71.1839
0.00290068	71.3401
0.00291743	71.4963
0.00293427	71.6527
0.00295121	71.8091
0.00296825	71.9656
0.00298538	72.1221
0.00300262	72.2788
0.00301995	72.4355
0.00303739	72.5923
0.00305492	72.7491
0.00307256	72.906
0.0030903	73.063
0.00310814	73.22
0.00312608	73.3771
0.00314413	73.5342
0.00316228	73.6913
0.00318053	73.8485
0.0031989	74.0057
0.00321736	74.163
0.00323594	74.3203
0.00325462	74.4776
0.00327341	74.6349
0.0032923	74.7922
0.00331131	74.9496
0.00333043	75.1069
0.00334965	75.2643
0.00336899	75.4217
0.00338844	75.579
0.003408	75.7364
0.00342768	75.8937
0.00344747	76.051
0.00346737	76.2083
0.00348739	76.3656
0.00350752	76.5228
0.00352777	76.68
0.00354813	76.8372
0.00356862	76.9943
0.00358922	77.1514
0.00360994	77.3084
0.00363078	77.4654
0.00365174	77.6223
0.00367282	77.7791
0.00369403	77.9359
0.00371535	78.0926
0.0037368	78.2492
0.00375837	78.4057
0.00378007	78.5621
0.00380189	78.7184
0.00382384	78.8747
0.00384592	79.0308
0.00386812	79.1868
0.00389045	79.3427
0.00391291	79.4985
0.0039355	79.6541
0.00395822	79.8096
0.00398107	79.965
0.00400405	80.1202
0.00402717	80.2753
0.00405042	80.4302
0.0040738	80.585
0.00409732	80.7396
0.00412098	80.894
0.00414477	81.0482
0.00416869	81.2023
0.00419276	81.3562
0.00421697	81.5098
0.00424131	81.6633
0.0042658	81.8166
0.00429042	81.9696
0.00431519	82.1224
0.0043401	82.275
0.00436516	82.4274
0.00439036	82.5795
0.0044157	82.7314
0.0044412	82.8831
0.00446684	83.0344
0.00449262	83.1856
0.00451856	83.3364
0.00454465	83.4869
0.00457088	83.6372
0.00459727	83.7872
0.00462381	83.9369
0.0046505	84.0863
0.00467735	84.2353
0.00470435	84.3841
0.00473151	84.5325
0.00475883	84.6806
0.0047863	84.8283
0.00481393	84.9758
0.00484172	85.1228
0.00486968	85.2695
0.00489779	85.4158
0.00492606	85.5617
0.0049545	85.7073
0.0049831	85.8525
0.00501187	85.9972
0.00504081	86.1416
0.00506991	86.2855
0.00509918	86.429
0.00512861	86.5721
0.00515822	86.7148
0.005188	86.857
0.00521795	86.9988
0.00524807	87.1401
0.00527837	87.2809
0.00530884	87.4212
0.00533949	87.5611
0.00537032	87.7005
0.00540132	87.8393
0.0054325	87.9777
0.00546387	88.1156
0.00549541	88.2529
0.00552713	88.3897
0.00555904	88.5259
0.00559114	88.6616
0.00562341	88.7967
0.00565588	88.9313
0.00568853	89.0653
0.00572137	89.1987
0.0057544	89.3315
0.00578762	89.4637
0.00582103	89.5953
0.00585464	89.7262
0.00588844	89.8566
0.00592243	89.9863
0.00595662	90.1153
0.00599101	90.2437
0.0060256	90.3715
0.00606038	90.4985
0.00609537	90.6249
0.00613056	90.7506
0.00616595	90.8756
0.00620155	90.9998
0.00623735	91.1234
0.00627336	91.2462
0.00630957	91.3683
0.006346	91.4896
0.00638263	91.6102
0.00641948	91.73
0.00645654	91.8491
0.00649382	91.9673
0.00653131	92.0848
0.00656901	92.2014
0.00660693	92.3173
0.00664508	92.4323
0.00668344	92.5465
0.00672202	92.6598
0.00676083	92.7723
0.00679986	92.884
0.00683912	92.9947
0.0068786	93.1046
0.00691831	93.2136
0.00695825	93.3217
0.00699842	93.4289
0.00703882	93.5351
0.00707946	93.6404
0.00712033	93.7448
0.00716143	93.8483
0.00720278	93.9508
0.00724436	94.0523
0.00728618	94.1528
0.00732825	94.2523
0.00737055	94.3509
0.0074131	94.4484
0.0074559	94.545
0.00749894	94.6404
0.00754223	94.7349
0.00758578	94.8283
0.00762957	94.9207
0.00767361	95.0119
0.00771792	95.1022
0.00776247	95.1913
0.00780728	95.2793
0.00785236	95.3662
0.00789769	95.452
0.00794328	95.5367
0.00798914	95.6202
0.00803526	95.7026
0.00808165	95.7839
0.00812831	95.8639
0.00817523	95.9428
0.00822243	96.0205
0.0082699	96.0971
0.00831764	96.1724
0.00836566	96.2465
0.00841395	96.3194
0.00846253	96.391
0.00851138	96.4614
0.00856052	96.5306
0.00860994	96.5984
0.00865964	96.6651
0.00870964	96.7304
0.00875992	96.7944
0.00881049	96.8572
0.00886135	96.9186
0.00891251	96.9788
0.00896396	97.0376
0.00901571	97.095
0.00906776	97.1511
0.00912011	97.2059
0.00917276	97.2593
0.00922571	97.3113
0.00927897	97.362
0.00933254	97.4112
0.00938642	97.4591
0.00944061	97.5055
0.00949511	97.5506
0.00954993	97.5942
0.00960506	97.6364
0.00966051	97.6771
0.00971628	97.7164
0.00977237	97.7542
0.00982879	97.7906
0.00988553	97.8255
0.0099426	97.8589
0.01	97.8908
0.0100577	97.9212
0.0101158	97.9501
0.0101742	97.9775
0.0102329	98.0034
0.010292	98.0277
0.0103514	98.0505
0.0104112	98.0718
0.0104713	98.0915
0.0105317	98.1097
0.0105925	98.1263
0.0106537	98.1413
0.0107152	98.1547
0.0107771	98.1666
0.0108393	98.1768
0.0109018	98.1855
0.0109648	98.1925
0.0110281	98.198
0.0110917	98.2018
0.0111558	98.204
0.0112202	98.2046
0.011285	98.2035
0.0113501	98.2008
0.0114156	98.1964
0.0114815	98.1904
0.0115478	98.1827
0.0116145	98.1734
0.0116815	98.1624
0.011749	98.1497
0.0118168	98.1354
0.011885	98.1193
0.0119536	98.1016
0.0120226	98.0822
0.0120921	98.0611
0.0121619	98.0383
0.0122321	98.0138
0.0123027	97.9875
0.0123737	97.9596
0.0124451	97.93
0.012517	97.8986
0.0125893	97.8655
0.0126619	97.8307
0.012735	97.7941
0.0128086	97.7559
0.0128825	97.7159
0.0129569	97.6741
0.0130317	97.6307
0.0131069	97.5854
0.0131826	97.5385
0.0132587	97.4898
0.0133352	97.4393
0.0134122	97.3872
0.0134896	97.3332
0.0135675	97.2775
0.0136458	97.2201
0.0137246	97.1609
0.0138038	97.1
0.0138835	97.0373
0.0139637	96.9729
0.0140443	96.9067
0.0141254	96.8388
0.0142069	96.7691
0.0142889	96.6977
0.0143714	96.6245
0.0144544	96.5496
0.0145378	96.4729
0.0146218	96.3945
0.0147062	96.3143
0.0147911	96.2324
0.0148765	96.1488
0.0149624	96.0634
0.0150487	95.9763
0.0151356	95.8875
0.015223	95.7969
0.0153109	95.7046
0.0153993	95.6106
0.0154882	95.5149
0.0155776	95.4174
0.0156675	95.3183
0.015758	95.2174
0.0158489	95.1148
0.0159404	95.0105
0.0160325	94.9045
0.016125	94.7969
0.0162181	94.6875
0.0163117	94.5765
0.0164059	94.4638
0.0165006	94.3494
0.0165959	94.2334
0.0166917	94.1157
0.016788	93.9963
0.016885	93.8753
0.0169824	93.7527
0.0170805	93.6284
0.0171791	93.5025
0.0172783	93.375
0.017378	93.2458
0.0174783	93.1151
0.0175792	92.9828
0.0176807	92.8488
0.0177828	92.7133
0.0178855	92.5763
0.0179887	92.4376
0.0180926	92.2974
0.018197	92.1557
0.0183021	92.0124
0.0184077	91.8676
0.018514	91.7212
0.0186209	91.5734
0.0187284	91.4241
0.0188365	91.2732
0.0189452	91.1209
0.0190546	90.9671
0.0191646	90.8119
0.0192752	90.6552
0.0193865	90.497
0.0194984	90.3375
0.019611	90.1765
0.0197242	90.0141
0.0198381	89.8503
0.0199526	89.6851
0.0200678	89.5186
0.0201837	89.3507
0.0203002	89.1815
0.0204174	89.0109
0.0205353	88.839
0.0206538	88.6658
0.020773	88.4913
0.020893	88.3155
0.0210136	88.1384
0.0211349	87.9601
0.0212569	87.7805
0.0213796	87.5997
0.021503	87.4177
0.0216272	87.2344
0.021752	87.05
0.0218776	86.8644
0.0220039	86.6777
0.0221309	86.4897
0.0222587	86.3007
0.0223872	86.1105
0.0225165	85.9192
0.0226464	85.7269
0.0227772	85.5334
0.0229087	85.3389
0.0230409	85.1433
0.0231739	84.9467
0.0233077	84.7491
0.0234423	84.5505
0.0235776	84.3509
0.0237137	84.1503
0.0238506	83.9488
0.0239883	83.7463
0.0241268	83.5429
0.0242661	83.3385
0.0244062	83.1333
0.0245471	82.9272
0.0246888	82.7202
0.0248313	82.5124
0.0249747	82.3038
0.0251189	82.0943
0.0252639	81.884
0.0254097	81.673
0.0255564	81.4612
0.025704	81.2486
0.0258523	81.0353
0.0260016	80.8212
0.0261517	80.6065
0.0263027	80.391
0.0264545	80.1749
0.0266073	79.9582
0.0267609	79.7408
0.0269153	79.5227
