Stopping power dEdx from Ionisation for pi- Z = 0 in Water, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	11.152
0.00100577	11.2783
0.00101158	11.4043
0.00101742	11.5299
0.00102329	11.6552
0.0010292	11.7801
0.00103514	11.9047
0.00104112	12.029
0.00104713	12.1529
0.00105317	12.3285
0.00105925	12.5232
0.00106537	12.7163
0.00107152	12.908
0.00107771	13.0983
0.00108393	13.261
0.00109018	13.4168
0.00109648	13.5715
0.00110281	13.7254
0.00110917	13.8783
0.00111558	14.0303
0.00112202	14.1814
0.0011285	14.3317
0.00113501	14.481
0.00114156	14.6296
0.00114815	14.7773
0.00115478	14.9242
0.00116145	15.0702
0.00116815	15.2155
0.0011749	15.36
0.00118168	15.487
0.0011885	15.565
0.00119536	15.6431
0.00120226	15.7212
0.00120921	15.7994
0.00121619	15.8777
0.00122321	15.956
0.00123027	16.0345
0.00123737	16.113
0.00124451	16.1917
0.0012517	16.2707
0.00125893	16.3498
0.00126619	16.429
0.0012735	16.5083
0.00128086	16.5876
0.00128825	16.6671
0.00129569	16.7534
0.00130317	16.8817
0.00131069	17.0094
0.00131826	17.1908
0.00132587	17.3735
0.00133352	17.5547
0.00134122	17.7343
0.00134896	17.9124
0.00135675	18.089
0.00136458	18.2642
0.00137246	18.4379
0.00138038	18.6103
0.00138835	18.7812
0.00139637	18.9508
0.00140443	19.1191
0.00141254	19.2861
0.00142069	19.4518
0.00142889	19.6167
0.00143714	19.7803
0.00144544	19.9427
0.00145378	20.1039
0.00146218	20.2638
0.00147062	20.4226
0.00147911	20.5802
0.00148765	20.7367
0.00149624	20.8921
0.00150487	21.0464
0.00151356	21.1944
0.0015223	21.3324
0.00153109	21.4696
0.00153993	21.6061
0.00154882	21.7419
0.00155776	21.8769
0.00156675	22.0113
0.0015758	22.1482
0.00158489	22.2926
0.00159404	22.4363
0.00160325	22.58
0.0016125	22.723
0.00162181	22.8654
0.00163117	23.0072
0.00164059	23.1482
0.00165006	23.2887
0.00165959	23.4284
0.00166917	23.5676
0.0016788	23.7061
0.0016885	23.844
0.00169824	23.9814
0.00170805	24.1181
0.00171791	24.2543
0.00172783	24.3994
0.0017378	24.5928
0.00174783	24.7848
0.00175792	24.9752
0.00176807	25.1641
0.00177828	25.3515
0.00178855	25.5373
0.00179887	25.7218
0.00180926	25.9048
0.0018197	26.0866
0.00183021	26.267
0.00184077	26.4496
0.0018514	26.6345
0.00186209	26.8181
0.00187284	27.0004
0.00188365	27.1814
0.00189452	27.3611
0.00190546	27.5397
0.00191646	27.717
0.00192752	27.8931
0.00193865	28.068
0.00194984	28.1964
0.0019611	28.3049
0.00197242	28.4131
0.00198381	28.521
0.00199526	28.6286
0.00200678	28.7359
0.00201837	28.843
0.00203002	28.9497
0.00204174	29.0563
0.00205353	29.1626
0.00206538	29.2686
0.0020773	29.3744
0.0020893	29.48
0.00210136	29.5866
0.00211349	29.6958
0.00212569	29.8048
0.00213796	29.9135
0.0021503	30.022
0.00216272	30.1494
0.0021752	30.3052
0.00218776	30.4601
0.00220039	30.614
0.00221309	30.7669
0.00222587	30.9212
0.00223872	31.0753
0.00225165	31.2286
0.00226464	31.381
0.00227772	31.5326
0.00229087	31.6833
0.00230409	31.8332
0.00231739	31.9822
0.00233077	32.1305
0.00234423	32.278
0.00235776	32.4247
0.00237137	32.5722
0.00238506	32.7193
0.00239883	32.8656
0.00241268	33.0113
0.00242661	33.1561
0.00244062	33.3003
0.00245471	33.4438
0.00246888	33.5866
0.00248313	33.7288
0.00249747	33.8703
0.00251189	34.0111
0.00252639	34.1513
0.00254097	34.2908
0.00255564	34.4298
0.0025704	34.5682
0.00258523	34.7059
0.00260016	34.8542
0.00261517	35.006
0.00263027	35.1412
0.00264545	35.262
0.00266073	35.3826
0.00267609	35.5028
0.00269153	35.6228
0.00270707	35.7425
0.0027227	35.862
0.00273842	35.9812
0.00275423	36.1002
0.00277013	36.219
0.00278612	36.3376
0.00280221	36.456
0.00281838	36.5742
0.00283465	36.6922
0.00285102	36.81
0.00286748	36.9276
0.00288403	37.045
0.00290068	37.1623
0.00291743	37.2794
0.00293427	37.3963
0.00295121	37.513
0.00296825	37.6296
0.00298538	37.746
0.00300262	37.8623
0.00301995	37.9784
0.00303739	38.1034
0.00305492	38.2287
0.00307256	38.3539
0.0030903	38.4788
0.00310814	38.6044
0.00312608	38.732
0.00314413	38.8594
0.00316228	38.9866
0.00318053	39.1136
0.0031989	39.2405
0.00321736	39.3671
0.00323594	39.4936
0.00325462	39.6199
0.00327341	39.746
0.0032923	39.8682
0.00331131	39.989
0.00333043	40.1097
0.00334965	40.2303
0.00336899	40.3507
0.00338844	40.4711
0.003408	40.5913
0.00342768	40.7113
0.00344747	40.8313
0.00346737	40.9551
0.00348739	41.0802
0.00350752	41.2051
0.00352777	41.3298
0.00354813	41.4545
0.00356862	41.5794
0.00358922	41.7043
0.00360994	41.8289
0.00363078	41.9535
0.00365174	42.0779
0.00367282	42.2022
0.00369403	42.3263
0.00371535	42.4503
0.0037368	42.5742
0.00375837	42.698
0.00378007	42.8217
0.00380189	42.9452
0.00382384	43.0686
0.00384592	43.1919
0.00386812	43.3151
0.00389045	43.4389
0.00391291	43.5644
0.0039355	43.6914
0.00395822	43.8333
0.00398107	43.9749
0.00400405	44.1176
0.00402717	44.2609
0.00405042	44.4038
0.0040738	44.5464
0.00409732	44.6886
0.00412098	44.8304
0.00414477	44.9719
0.00416869	45.113
0.00419276	45.2538
0.00421697	45.3943
0.00424131	45.5344
0.0042658	45.6742
0.00429042	45.8136
0.00431519	45.9527
0.0043401	46.0613
0.00436516	46.1693
0.00439036	46.2774
0.0044157	46.3855
0.0044412	46.4935
0.00446684	46.6016
0.00449262	46.7097
0.00451856	46.8178
0.00454465	46.926
0.00457088	47.0342
0.00459727	47.1395
0.00462381	47.2385
0.0046505	47.3376
0.00467735	47.4368
0.00470435	47.5361
0.00473151	47.6354
0.00475883	47.7349
0.0047863	47.8344
0.00481393	47.9341
0.00484172	48.0338
0.00486968	48.1336
0.00489779	48.2334
0.00492606	48.3334
0.0049545	48.4334
0.0049831	48.5335
0.00501187	48.6337
0.00504081	48.7339
0.00506991	48.8342
0.00509918	48.9346
0.00512861	49.0351
0.00515822	49.1356
0.005188	49.2362
0.00521795	49.3368
0.00524807	49.434
0.00527837	49.5063
0.00530884	49.5792
0.00533949	49.6543
0.00537032	49.7307
0.00540132	49.8063
0.0054325	49.8772
0.00546387	49.9486
0.00549541	50.0206
0.00552713	50.0931
0.00555904	50.166
0.00559114	50.2395
0.00562341	50.3135
0.00565588	50.388
0.00568853	50.463
0.00572137	50.5384
0.0057544	50.6143
0.00578762	50.6906
0.00582103	50.7674
0.00585464	50.8447
0.00588844	50.9224
0.00592243	50.9939
0.00595662	51.0624
0.00599101	51.1314
0.0060256	51.2008
0.00606038	51.2708
0.00609537	51.3411
0.00613056	51.4119
0.00616595	51.4832
0.00620155	51.5548
0.00623735	51.6274
0.00627336	51.7004
0.00630957	51.7739
0.006346	51.8477
0.00638263	51.922
0.00641948	51.9966
0.00645654	52.0717
0.00649382	52.1553
0.00653131	52.246
0.00656901	52.3362
0.00660693	52.4251
0.00664508	52.514
0.00668344	52.6031
0.00672202	52.6922
0.00676083	52.7813
0.00679986	52.8706
0.00683912	52.9598
0.0068786	53.0491
0.00691831	53.1385
0.00695825	53.2279
0.00699842	53.3173
0.00703882	53.4068
0.00707946	53.4963
0.00712033	53.5872
0.00716143	53.6788
0.00720278	53.7703
0.00724436	53.8619
0.00728618	53.9535
0.00732825	54.0451
0.00737055	54.1367
0.0074131	54.2283
0.0074559	54.3198
0.00749894	54.4114
0.00754223	54.5029
0.00758578	54.5849
0.00762957	54.664
0.00767361	54.743
0.00771792	54.8222
0.00776247	54.9014
0.00780728	54.9806
0.00785236	55.0598
0.00789769	55.1236
0.00794328	55.1803
0.00798914	55.2367
0.00803526	55.2914
0.00808165	55.3464
0.00812831	55.4016
0.00817523	55.4572
0.00822243	55.5129
0.0082699	55.569
0.00831764	55.6253
0.00836566	55.6819
0.00841395	55.7387
0.00846253	55.7957
0.00851138	55.853
0.00856052	55.9105
0.00860994	55.9683
0.00865964	56.0132
0.00870964	56.0485
0.00875992	56.0843
0.00881049	56.1208
0.00886135	56.1578
0.00891251	56.197
0.00896396	56.237
0.00901571	56.2776
0.00906776	56.3187
0.00912011	56.3603
0.00917276	56.4024
0.00922571	56.4538
0.00927897	56.5066
0.00933254	56.5597
0.00938642	56.613
0.00944061	56.6665
0.00949511	56.7204
0.00954993	56.7745
0.00960506	56.8288
0.00966051	56.8833
0.00971628	56.9368
0.00977237	56.9783
0.00982879	57.0202
0.00988553	57.0623
0.0099426	57.1048
0.01	57.1475
0.0100577	57.1904
0.0101158	57.2337
0.0101742	57.2772
0.0102329	57.3209
0.010292	57.3649
0.0103514	57.4092
0.0104112	57.4537
0.0104713	57.4984
0.0105317	57.5305
0.0105925	57.5575
0.0106537	57.5853
0.0107152	57.6148
0.0107771	57.6446
0.0108393	57.6697
0.0109018	57.6936
0.0109648	57.7179
0.0110281	57.7426
0.0110917	57.7676
0.0111558	57.7928
0.0112202	57.8184
0.011285	57.8443
0.0113501	57.8705
0.0114156	57.897
0.0114815	57.9238
0.0115478	57.9508
0.0116145	57.9782
0.0116815	58.0058
0.011749	58.0336
0.0118168	58.0622
0.011885	58.0922
0.0119536	58.1225
0.0120226	58.1529
0.0120921	58.1835
0.0121619	58.2142
0.0122321	58.245
0.0123027	58.276
0.0123737	58.3072
0.0124451	58.3389
0.012517	58.3712
0.0125893	58.4037
0.0126619	58.4364
0.012735	58.4691
0.0128086	58.502
0.0128825	58.5349
0.0129569	58.5649
0.0130317	58.5715
0.0131069	58.5785
0.0131826	58.5746
0.0132587	58.5705
0.0133352	58.5668
0.0134122	58.5636
0.0134896	58.5608
0.0135675	58.5583
0.0136458	58.5563
0.0137246	58.5546
0.0138038	58.5533
0.0138835	58.5524
0.0139637	58.5519
0.0140443	58.5517
0.0141254	58.5519
0.0142069	58.5526
0.0142889	58.554
0.0143714	58.5558
0.0144544	58.558
0.0145378	58.5604
0.0146218	58.5632
0.0147062	58.5663
0.0147911	58.5697
0.0148765	58.5734
0.0149624	58.5774
0.0150487	58.5817
0.0151356	58.5881
0.015223	58.5983
0.0153109	58.6087
0.0153993	58.6191
0.0154882	58.6296
0.0155776	58.6402
0.0156675	58.6508
0.015758	58.657
0.0158489	58.6496
0.0159404	58.6425
0.0160325	58.6357
0.016125	58.6291
0.0162181	58.6228
0.0163117	58.6166
0.0164059	58.6105
0.0165006	58.6047
0.0165959	58.5994
0.0166917	58.5943
0.016788	58.5893
0.016885	58.5844
0.0169824	58.5797
0.0170805	58.5751
0.0171791	58.5707
0.0172783	58.5637
0.017378	58.5389
0.0174783	58.5145
0.0175792	58.4904
0.0176807	58.4666
0.0177828	58.4424
0.0178855	58.4176
0.0179887	58.3932
0.0180926	58.3691
0.018197	58.3452
0.0183021	58.3217
0.0184077	58.2918
0.018514	58.2546
0.0186209	58.2178
0.0187284	58.1813
0.0188365	58.1452
0.0189452	58.1095
0.0190546	58.0741
0.0191646	58.0391
0.0192752	58.0044
0.0193865	57.9701
0.0194984	57.9347
0.019611	57.8988
0.0197242	57.8676
0.0198381	57.8413
0.0199526	57.8153
0.0200678	57.7895
0.0201837	57.7638
0.0203002	57.7383
0.0204174	57.7129
0.0205353	57.6877
0.0206538	57.6626
0.020773	57.6376
0.020893	57.6128
0.0210136	57.585
0.0211349	57.5491
0.0212569	57.5134
0.0213796	57.4779
0.021503	57.4426
0.0216272	57.4024
0.021752	57.3533
0.0218776	57.3045
0.0220039	57.2559
0.0221309	57.2077
0.0222587	57.1593
0.0223872	57.1109
0.0225165	57.0628
0.0226464	57.015
0.0227772	56.9675
0.0229087	56.9202
0.0230409	56.8732
0.0231739	56.8268
0.0233077	56.7808
0.0234423	56.735
0.0235776	56.6894
0.0237137	56.6368
0.0238506	56.5827
0.0239883	56.5289
0.0241268	56.4754
0.0242661	56.4222
0.0244062	56.3693
0.0245471	56.3167
0.0246888	56.2643
0.0248313	56.2123
0.0249747	56.1606
0.0251189	56.1091
0.0252639	56.0579
0.0254097	56.007
0.0255564	55.9563
0.025704	55.906
0.0258523	55.8559
0.0260016	55.7895
0.0261517	55.7156
0.0263027	55.6424
0.0264545	55.5699
0.0266073	55.4977
0.0267609	55.4259
0.0269153	55.3545
0.0270707	55.2832
0.027227	55.2122
0.0273842	55.1415
0.0275423	55.071
0.0277013	55.0007
0.0278612	54.9307
0.0280221	54.8609
0.0281838	54.7914
0.0283465	54.7221
0.0285102	54.6531
0.0286748	54.5843
0.0288403	54.5158
0.0290068	54.4475
0.0291743	54.3794
0.0293427	54.3116
0.0295121	54.244
0.0296825	54.1767
0.0298538	54.1099
0.0300262	54.0434
0.0301995	53.9771
0.0303739	53.8939
0.0305492	53.809
0.0307256	53.7244
0.030903	53.6401
0.0310814	53.556
0.0312608	53.4711
0.0314413	53.3867
0.0316228	53.3025
0.0318053	53.2187
0.031989	53.1353
0.0321736	53.0522
0.0323594	52.9694
0.0325462	52.8955
0.0327341	52.8228
0.032923	52.7418
0.0331131	52.6581
0.0333043	52.5747
0.0334965	52.4917
0.0336899	52.4089
0.0338844	52.3264
0.03408	52.2442
0.0342768	52.1623
0.0344747	52.0807
0.0346737	51.989
0.0348739	51.8928
0.0350752	51.797
0.0352777	51.7017
0.0354813	51.6066
0.0356862	51.511
0.0358922	51.4157
0.0360994	51.3209
0.0363078	51.2264
0.0365174	51.1323
0.0367282	51.0386
0.0369403	50.9453
0.0371535	50.8523
0.037368	50.7598
0.0375837	50.6676
0.0378007	50.5758
0.0380189	50.4843
0.0382384	50.3933
0.0384592	50.3026
0.0386812	50.2123
0.0389045	50.1196
0.0391291	50.0179
0.039355	49.9163
0.0395822	49.8078
0.0398107	49.7
0.0400405	49.592
0.0402717	49.4838
0.0405042	49.3761
0.040738	49.2688
0.0409732	49.1621
0.0412098	49.0558
0.0414477	48.95
0.0416869	48.8447
0.0419276	48.7398
0.0421697	48.6354
0.0424131	48.5315
0.042658	48.4281
0.0429042	48.3251
0.0431519	48.2225
0.043401	48.1152
0.0436516	48.0076
0.0439036	47.9005
0.044157	47.7937
0.044412	47.687
0.0446684	47.5796
0.0449262	47.4726
0.0451856	47.366
0.0454465	47.2598
0.0457088	47.1539
0.0459727	47.0471
0.0462381	46.9368
0.046505	46.8269
0.0467735	46.7176
0.0470435	46.6086
0.0473151	46.5
0.0475883	46.3918
0.047863	46.2841
0.0481393	46.1767
0.0484172	46.0698
0.0486968	45.9633
0.0489779	45.8571
0.0492606	45.7514
0.049545	45.6461
0.049831	45.5412
0.0501187	45.4367
0.0504081	45.3326
0.0506991	45.2289
0.0509918	45.1256
0.0512861	45.0228
0.0515822	44.9203
0.05188	44.8182
0.0521795	44.7165
0.0524807	44.6151
0.0527837	44.5104
0.0530884	44.4062
0.0533949	44.3011
0.0537032	44.1954
0.0540132	44.0881
0.054325	43.9676
0.0546387	43.8477
0.0549541	43.7282
0.0552713	43.6093
0.0555904	43.4908
0.0559114	43.3729
0.0562341	43.2555
0.0565588	43.1387
0.0568853	43.0223
0.0572137	42.9064
0.057544	42.7911
0.0578762	42.6762
0.0582103	42.5619
0.0585464	42.448
0.0588844	42.3347
0.0592243	42.2201
0.0595662	42.1048
0.0599101	41.99
0.060256	41.8757
0.0606038	41.7619
0.0609537	41.6486
0.0613056	41.5359
0.0616595	41.4236
0.0620155	41.3118
0.0623735	41.1999
0.0627336	41.0883
0.0630957	40.9771
0.06346	40.8665
0.0638263	40.7563
0.0641948	40.6466
0.0645654	40.5375
0.0649382	40.4243
0.0653131	40.3059
0.0656901	40.1871
0.0660693	40.0664
0.0664508	39.9465
0.0668344	39.8271
0.0672202	39.7082
0.0676083	39.5899
0.0679986	39.4722
0.0683912	39.355
0.068786	39.2383
0.0691831	39.1222
0.0695825	39.0067
0.0699842	38.8917
0.0703882	38.7772
0.0707946	38.6632
0.0712033	38.5488
0.0716143	38.4341
0.0720278	38.32
0.0724436	38.2064
0.0728618	38.0933
0.0732825	37.9807
0.0737055	37.8687
0.074131	37.7572
0.074559	37.6463
0.0749894	37.5358
0.0754223	37.4259
0.0758578	37.312
0.0762957	37.196
0.0767361	37.0805
0.0771792	36.9656
0.0776247	36.8512
0.0780728	36.7374
0.0785236	36.6242
0.0789769	36.5097
0.0794328	36.3945
0.0798914	36.2798
0.0803526	36.1648
0.0808165	36.0502
0.0812831	35.9363
0.0817523	35.8229
0.0822243	35.71
0.082699	35.5977
0.0831764	35.486
0.0836566	35.3748
0.0841395	35.2641
0.0846253	35.154
0.0851138	35.0444
0.0856052	34.9353
0.0860994	34.8268
0.0865964	34.7166
0.0870964	34.6039
0.0875992	34.4917
0.0881049	34.38
0.0886135	34.269
0.0891251	34.1573
0.0896396	34.0457
0.0901571	33.9346
0.0906776	33.8242
0.0912011	33.7142
0.0917276	33.6048
0.0922571	33.4943
0.0927897	33.3838
0.0933254	33.2738
0.0938642	33.1645
0.0944061	33.0556
0.0949511	32.9473
0.0954993	32.8396
0.0960506	32.7324
0.0966051	32.6257
0.0971628	32.5195
0.0977237	32.4102
0.0982879	32.3011
0.0988553	32.1925
0.099426	32.0845
0.1	31.977
0.100577	31.8701
0.101158	31.7637
0.101742	31.6579
0.102329	31.5525
0.10292	31.4478
0.103514	31.3435
0.104112	31.2398
0.104713	31.1365
0.105317	31.0329
0.105925	30.9291
0.106537	30.8257
0.107152	30.7204
0.107771	30.6157
0.108393	30.5087
0.109018	30.4006
0.109648	30.293
0.110281	30.1859
0.110917	30.0794
0.111558	29.9735
0.112202	29.8681
0.11285	29.7632
0.113501	29.6589
0.114156	29.5551
0.114815	29.4518
0.115478	29.3491
0.116145	29.2469
0.116815	29.1452
0.11749	29.0441
0.118168	28.9434
0.11885	28.8419
0.119536	28.741
0.120226	28.6406
0.120921	28.5407
0.121619	28.4414
0.122321	28.3425
0.123027	28.2442
0.123737	28.1463
0.124451	28.0486
0.12517	27.9498
0.125893	27.8515
0.126619	27.7537
