Stopping power dEdx from Ionisation for proton Z = 1 in G4_TISSUE_SOFT_ICRP, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	17.2756
0.00100577	17.3254
0.00101158	17.3754
0.00101742	17.4255
0.00102329	17.4757
0.0010292	17.526
0.00103514	17.5766
0.00104112	17.6272
0.00104713	17.678
0.00105317	17.729
0.00105925	17.7801
0.00106537	17.8313
0.00107152	17.8827
0.00107771	17.9343
0.00108393	17.986
0.00109018	18.0378
0.00109648	18.0898
0.00110281	18.142
0.00110917	18.1942
0.00111558	18.2467
0.00112202	18.2993
0.0011285	18.352
0.00113501	18.4049
0.00114156	18.458
0.00114815	18.5112
0.00115478	18.5645
0.00116145	18.618
0.00116815	18.6717
0.0011749	18.7255
0.00118168	18.7795
0.0011885	18.8336
0.00119536	18.8879
0.00120226	18.9424
0.00120921	18.997
0.00121619	19.0517
0.00122321	19.1066
0.00123027	19.1617
0.00123737	19.2169
0.00124451	19.2723
0.0012517	19.3279
0.00125893	19.3836
0.00126619	19.4395
0.0012735	19.4955
0.00128086	19.5517
0.00128825	19.608
0.00129569	19.6646
0.00130317	19.7212
0.00131069	19.7781
0.00131826	19.8351
0.00132587	19.8923
0.00133352	19.9496
0.00134122	20.0071
0.00134896	20.0648
0.00135675	20.1226
0.00136458	20.1806
0.00137246	20.2388
0.00138038	20.2971
0.00138835	20.3556
0.00139637	20.4143
0.00140443	20.4731
0.00141254	20.5321
0.00142069	20.5913
0.00142889	20.6507
0.00143714	20.7102
0.00144544	20.7699
0.00145378	20.8297
0.00146218	20.8898
0.00147062	20.95
0.00147911	21.0104
0.00148765	21.0709
0.00149624	21.1317
0.00150487	21.1926
0.00151356	21.2537
0.0015223	21.3149
0.00153109	21.3764
0.00153993	21.438
0.00154882	21.4998
0.00155776	21.5618
0.00156675	21.6239
0.0015758	21.6862
0.00158489	21.7487
0.00159404	21.8114
0.00160325	21.8743
0.0016125	21.9373
0.00162181	22.0006
0.00163117	22.064
0.00164059	22.1276
0.00165006	22.1914
0.00165959	22.2553
0.00166917	22.3195
0.0016788	22.3838
0.0016885	22.4483
0.00169824	22.513
0.00170805	22.5779
0.00171791	22.643
0.00172783	22.7083
0.0017378	22.7737
0.00174783	22.8394
0.00175792	22.9052
0.00176807	22.9712
0.00177828	23.0374
0.00178855	23.1038
0.00179887	23.1704
0.00180926	23.2372
0.0018197	23.3042
0.00183021	23.3714
0.00184077	23.4387
0.0018514	23.5063
0.00186209	23.574
0.00187284	23.642
0.00188365	23.7101
0.00189452	23.7785
0.00190546	23.847
0.00191646	23.9158
0.00192752	23.9847
0.00193865	24.0538
0.00194984	24.1232
0.0019611	24.1927
0.00197242	24.2624
0.00198381	24.3323
0.00199526	24.4025
0.00200678	24.4728
0.00201837	24.5434
0.00203002	24.6141
0.00204174	24.6851
0.00205353	24.7562
0.00206538	24.8276
0.0020773	24.8991
0.0020893	24.9709
0.00210136	25.0429
0.00211349	25.115
0.00212569	25.1874
0.00213796	25.26
0.0021503	25.3328
0.00216272	25.4059
0.0021752	25.4791
0.00218776	25.5525
0.00220039	25.6262
0.00221309	25.7001
0.00222587	25.7741
0.00223872	25.8484
0.00225165	25.9229
0.00226464	25.9976
0.00227772	26.0726
0.00229087	26.1477
0.00230409	26.2231
0.00231739	26.2987
0.00233077	26.3745
0.00234423	26.4505
0.00235776	26.5267
0.00237137	26.6032
0.00238506	26.6799
0.00239883	26.7568
0.00241268	26.8339
0.00242661	26.9113
0.00244062	26.9888
0.00245471	27.0666
0.00246888	27.1446
0.00248313	27.2229
0.00249747	27.3013
0.00251189	27.38
0.00252639	27.459
0.00254097	27.5381
0.00255564	27.6175
0.0025704	27.6971
0.00258523	27.7769
0.00260016	27.857
0.00261517	27.9373
0.00263027	28.0178
0.00264545	28.0986
0.00266073	28.1795
0.00267609	28.2608
0.00269153	28.3422
0.00270707	28.4239
0.0027227	28.5059
0.00273842	28.588
0.00275423	28.6704
0.00277013	28.7531
0.00278612	28.8359
0.00280221	28.9191
0.00281838	29.0024
0.00283465	29.086
0.00285102	29.1698
0.00286748	29.2539
0.00288403	29.3382
0.00290068	29.4228
0.00291743	29.5076
0.00293427	29.5927
0.00295121	29.678
0.00296825	29.7635
0.00298538	29.8493
0.00300262	29.9353
0.00301995	30.0216
0.00303739	30.1081
0.00305492	30.1949
0.00307256	30.282
0.0030903	30.3692
0.00310814	30.4568
0.00312608	30.5446
0.00314413	30.6326
0.00316228	30.7209
0.00318053	30.8095
0.0031989	30.8983
0.00321736	30.9873
0.00323594	31.0766
0.00325462	31.1662
0.00327341	31.256
0.0032923	31.3461
0.00331131	31.4365
0.00333043	31.5271
0.00334965	31.618
0.00336899	31.7091
0.00338844	31.8005
0.003408	31.8922
0.00342768	31.9841
0.00344747	32.0763
0.00346737	32.1687
0.00348739	32.2615
0.00350752	32.3545
0.00352777	32.4477
0.00354813	32.5412
0.00356862	32.635
0.00358922	32.7291
0.00360994	32.8234
0.00363078	32.918
0.00365174	33.0129
0.00367282	33.1081
0.00369403	33.2035
0.00371535	33.2992
0.0037368	33.3952
0.00375837	33.4915
0.00378007	33.588
0.00380189	33.6848
0.00382384	33.7819
0.00384592	33.8793
0.00386812	33.9769
0.00389045	34.0749
0.00391291	34.1731
0.0039355	34.2716
0.00395822	34.3704
0.00398107	34.4694
0.00400405	34.5688
0.00402717	34.6684
0.00405042	34.7683
0.0040738	34.8686
0.00409732	34.9691
0.00412098	35.0699
0.00414477	35.1709
0.00416869	35.2723
0.00419276	35.374
0.00421697	35.476
0.00424131	35.5782
0.0042658	35.6808
0.00429042	35.7836
0.00431519	35.8867
0.0043401	35.9902
0.00436516	36.0939
0.00439036	36.198
0.0044157	36.3023
0.0044412	36.4069
0.00446684	36.5119
0.00449262	36.6171
0.00451856	36.7227
0.00454465	36.8285
0.00457088	36.9347
0.00459727	37.0411
0.00462381	37.1479
0.0046505	37.255
0.00467735	37.3623
0.00470435	37.47
0.00473151	37.578
0.00475883	37.6863
0.0047863	37.795
0.00481393	37.9039
0.00484172	38.0132
0.00486968	38.1227
0.00489779	38.2326
0.00492606	38.3428
0.0049545	38.4533
0.0049831	38.5642
0.00501187	38.6753
0.00504081	38.7868
0.00506991	38.8986
0.00509918	39.0107
0.00512861	39.1232
0.00515822	39.2359
0.005188	39.349
0.00521795	39.4624
0.00524807	39.5762
0.00527837	39.6903
0.00530884	39.8047
0.00533949	39.9194
0.00537032	40.0345
0.00540132	40.1499
0.0054325	40.2656
0.00546387	40.3816
0.00549541	40.498
0.00552713	40.6148
0.00555904	40.7318
0.00559114	40.8492
0.00562341	40.967
0.00565588	41.0851
0.00568853	41.2035
0.00572137	41.3223
0.0057544	41.4414
0.00578762	41.5608
0.00582103	41.6806
0.00585464	41.8007
0.00588844	41.9212
0.00592243	42.0421
0.00595662	42.1632
0.00599101	42.2848
0.0060256	42.4067
0.00606038	42.5289
0.00609537	42.6515
0.00613056	42.7744
0.00616595	42.8977
0.00620155	43.0214
0.00623735	43.1454
0.00627336	43.2697
0.00630957	43.3944
0.006346	43.5195
0.00638263	43.645
0.00641948	43.7708
0.00645654	43.8969
0.00649382	44.0234
0.00653131	44.1503
0.00656901	44.2776
0.00660693	44.4052
0.00664508	44.5332
0.00668344	44.6616
0.00672202	44.7903
0.00676083	44.9194
0.00679986	45.0489
0.00683912	45.1787
0.0068786	45.309
0.00691831	45.4396
0.00695825	45.5705
0.00699842	45.7019
0.00703882	45.8336
0.00707946	45.9657
0.00712033	46.0982
0.00716143	46.2311
0.00720278	46.3643
0.00724436	46.498
0.00728618	46.632
0.00732825	46.7664
0.00737055	46.9012
0.0074131	47.0364
0.0074559	47.172
0.00749894	47.3079
0.00754223	47.4443
0.00758578	47.5811
0.00762957	47.7182
0.00767361	47.8557
0.00771792	47.9937
0.00776247	48.132
0.00780728	48.2707
0.00785236	48.4099
0.00789769	48.5494
0.00794328	48.6894
0.00798914	48.8297
0.00803526	48.9704
0.00808165	49.1116
0.00812831	49.2532
0.00817523	49.3951
0.00822243	49.5375
0.0082699	49.6803
0.00831764	49.8235
0.00836566	49.9671
0.00841395	50.1111
0.00846253	50.2556
0.00851138	50.4004
0.00856052	50.5457
0.00860994	50.6914
0.00865964	50.8375
0.00870964	50.984
0.00875992	51.131
0.00881049	51.2783
0.00886135	51.4262
0.00891251	51.5744
0.00896396	51.723
0.00901571	51.8721
0.00906776	52.0216
0.00912011	52.1716
0.00917276	52.322
0.00922571	52.4728
0.00927897	52.624
0.00933254	52.7757
0.00938642	52.9278
0.00944061	53.0804
0.00949511	53.2334
0.00954993	53.3868
0.00960506	53.5407
0.00966051	53.695
0.00971628	53.8498
0.00977237	54.005
0.00982879	54.1607
0.00988553	54.3168
0.0099426	54.4733
0.01	54.6304
0.0100577	54.7878
0.0101158	54.9305
0.0101742	55.0683
0.0102329	55.2062
0.010292	55.3445
0.0103514	55.4831
0.0104112	55.6219
0.0104713	55.761
0.0105317	55.9004
0.0105925	56.0401
0.0106537	56.18
0.0107152	56.3203
0.0107771	56.4608
0.0108393	56.6016
0.0109018	56.7426
0.0109648	56.884
0.0110281	57.0256
0.0110917	57.1675
0.0111558	57.3097
0.0112202	57.4521
0.011285	57.5948
0.0113501	57.7378
0.0114156	57.8811
0.0114815	58.0247
0.0115478	58.1685
0.0116145	58.3126
0.0116815	58.457
0.011749	58.6016
0.0118168	58.7466
0.011885	58.8918
0.0119536	59.0372
0.0120226	59.183
0.0120921	59.329
0.0121619	59.4752
0.0122321	59.6218
0.0123027	59.7686
0.0123737	59.9157
0.0124451	60.063
0.012517	60.2107
0.0125893	60.3585
0.0126619	60.5067
0.012735	60.6551
0.0128086	60.8038
0.0128825	60.9527
0.0129569	61.1019
0.0130317	61.2514
0.0131069	61.4011
0.0131826	61.5511
0.0132587	61.7013
0.0133352	61.8519
0.0134122	62.0026
0.0134896	62.1536
0.0135675	62.3049
0.0136458	62.4564
0.0137246	62.6082
0.0138038	62.7603
0.0138835	62.9126
0.0139637	63.0651
0.0140443	63.2179
0.0141254	63.3709
0.0142069	63.5242
0.0142889	63.6778
0.0143714	63.8315
0.0144544	63.9856
0.0145378	64.1398
0.0146218	64.2944
0.0147062	64.4491
0.0147911	64.6041
0.0148765	64.7594
0.0149624	64.9148
0.0150487	65.0705
0.0151356	65.2265
0.015223	65.3827
0.0153109	65.5391
0.0153993	65.6957
0.0154882	65.8526
0.0155776	66.0097
0.0156675	66.1671
0.015758	66.3246
0.0158489	66.4824
0.0159404	66.6404
0.0160325	66.7986
0.016125	66.9571
0.0162181	67.1157
0.0163117	67.2746
0.0164059	67.4337
0.0165006	67.593
0.0165959	67.7526
0.0166917	67.9123
0.016788	68.0722
0.016885	68.2324
0.0169824	68.3928
0.0170805	68.5533
0.0171791	68.7141
0.0172783	68.875
0.017378	69.0362
0.0174783	69.1975
0.0175792	69.3591
0.0176807	69.5208
0.0177828	69.6828
0.0178855	69.8449
0.0179887	70.0072
0.0180926	70.1697
0.018197	70.3324
0.0183021	70.4952
0.0184077	70.6582
0.018514	70.8214
0.0186209	70.9848
0.0187284	71.1484
0.0188365	71.3121
0.0189452	71.476
0.0190546	71.64
0.0191646	71.8042
0.0192752	71.9686
0.0193865	72.1331
0.0194984	72.2978
0.019611	72.4626
0.0197242	72.6276
0.0198381	72.7927
0.0199526	72.958
0.0200678	73.1234
0.0201837	73.289
0.0203002	73.4547
0.0204174	73.6205
0.0205353	73.7865
0.0206538	73.9525
0.020773	74.1188
0.020893	74.2851
0.0210136	74.4515
0.0211349	74.6181
0.0212569	74.7848
0.0213796	74.9516
0.021503	75.1185
0.0216272	75.2855
0.021752	75.4526
0.0218776	75.6198
0.0220039	75.7871
0.0221309	75.9545
0.0222587	76.122
0.0223872	76.2895
0.0225165	76.4572
0.0226464	76.6249
0.0227772	76.7927
0.0229087	76.9606
0.0230409	77.1285
0.0231739	77.2965
0.0233077	77.4646
0.0234423	77.6327
0.0235776	77.8009
0.0237137	77.9691
0.0238506	78.1374
0.0239883	78.3057
0.0241268	78.474
0.0242661	78.6424
0.0244062	78.8108
0.0245471	78.9793
0.0246888	79.1478
0.0248313	79.3163
0.0249747	79.4848
0.0251189	79.6533
0.0252639	79.8218
0.0254097	79.9903
0.0255564	80.1589
0.025704	80.3274
0.0258523	80.4959
0.0260016	80.6644
0.0261517	80.8329
0.0263027	81.0013
0.0264545	81.1697
0.0266073	81.3381
0.0267609	81.5065
0.0269153	81.6748
0.0270707	81.8431
0.027227	82.0113
0.0273842	82.1795
0.0275423	82.3476
0.0277013	82.5156
0.0278612	82.6836
0.0280221	82.8515
0.0281838	83.0193
0.0283465	83.187
0.0285102	83.3547
0.0286748	83.5222
0.0288403	83.6897
0.0290068	83.857
0.0291743	84.0243
0.0293427	84.1914
0.0295121	84.3584
0.0296825	84.5253
0.0298538	84.692
0.0300262	84.8586
0.0301995	85.0251
0.0303739	85.1914
0.0305492	85.3576
0.0307256	85.5236
0.030903	85.6894
0.0310814	85.8551
0.0312608	86.0206
0.0314413	86.1859
0.0316228	86.351
0.0318053	86.516
0.031989	86.6807
0.0321736	86.8452
0.0323594	87.0095
0.0325462	87.1736
0.0327341	87.3375
0.032923	87.5012
0.0331131	87.6646
0.0333043	87.8278
0.0334965	87.9907
0.0336899	88.1534
0.0338844	88.3158
0.03408	88.478
0.0342768	88.6398
0.0344747	88.8014
0.0346737	88.9628
0.0348739	89.1238
0.0350752	89.2845
0.0352777	89.4449
0.0354813	89.605
0.0356862	89.7648
0.0358922	89.9243
0.0360994	90.0834
0.0363078	90.2422
0.0365174	90.4007
0.0367282	90.5588
0.0369403	90.7165
0.0371535	90.8739
0.037368	91.0309
0.0375837	91.1875
0.0378007	91.3437
0.0380189	91.4996
0.0382384	91.655
0.0384592	91.81
0.0386812	91.9647
0.0389045	92.1189
0.0391291	92.2726
0.039355	92.426
0.0395822	92.5788
0.0398107	92.7313
0.0400405	92.8833
0.0402717	93.0348
0.0405042	93.1688
0.040738	93.3005
0.0409732	93.4316
0.0412098	93.562
0.0414477	93.6916
0.0416869	93.8205
0.0419276	93.9487
0.0421697	94.0761
0.0424131	94.2027
0.042658	94.3286
0.0429042	94.4537
0.0431519	94.578
0.043401	94.7015
0.0436516	94.8242
0.0439036	94.946
0.044157	95.0671
0.044412	95.1873
0.0446684	95.3066
0.0449262	95.4251
0.0451856	95.5427
0.0454465	95.6595
0.0457088	95.7753
0.0459727	95.8903
0.0462381	96.0043
0.046505	96.1174
0.0467735	96.2296
0.0470435	96.3408
0.0473151	96.4511
0.0475883	96.5605
0.047863	96.6688
0.0481393	96.7762
0.0484172	96.8826
0.0486968	96.9879
0.0489779	97.0923
0.0492606	97.1956
0.049545	97.2979
0.049831	97.3992
0.0501187	97.4994
0.0504081	97.5985
0.0506991	97.6966
0.0509918	97.7936
0.0512861	97.8894
0.0515822	97.9842
0.05188	98.0779
0.0521795	98.1704
0.0524807	98.2618
0.0527837	98.352
0.0530884	98.4411
0.0533949	98.529
0.0537032	98.6157
0.0540132	98.7013
0.054325	98.7856
0.0546387	98.8687
0.0549541	98.9506
0.0552713	99.0313
0.0555904	99.1107
0.0559114	99.1889
0.0562341	99.2658
0.0565588	99.3415
0.0568853	99.4159
0.0572137	99.4889
0.057544	99.5607
0.0578762	99.6312
0.0582103	99.7003
0.0585464	99.7681
0.0588844	99.8345
0.0592243	99.8997
0.0595662	99.9634
0.0599101	100.026
0.060256	100.087
0.0606038	100.146
0.0609537	100.205
0.0613056	100.261
0.0616595	100.317
0.0620155	100.371
0.0623735	100.423
0.0627336	100.474
0.0630957	100.524
0.06346	100.572
0.0638263	100.619
0.0641948	100.664
0.0645654	100.707
0.0649382	100.75
0.0653131	100.79
0.0656901	100.829
0.0660693	100.867
0.0664508	100.903
0.0668344	100.937
0.0672202	100.97
0.0676083	101.002
0.0679986	101.032
0.0683912	101.06
0.068786	101.087
0.0691831	101.112
0.0695825	101.135
0.0699842	101.157
0.0703882	101.177
0.0707946	101.196
0.0712033	101.213
0.0716143	101.228
0.0720278	101.242
0.0724436	101.254
0.0728618	101.264
0.0732825	101.273
0.0737055	101.279
0.074131	101.285
0.074559	101.288
0.0749894	101.29
0.0754223	101.29
0.0758578	101.289
0.0762957	101.286
0.0767361	101.281
0.0771792	101.274
0.0776247	101.266
0.0780728	101.256
0.0785236	101.244
0.0789769	101.23
0.0794328	101.215
0.0798914	101.197
0.0803526	101.178
0.0808165	101.158
0.0812831	101.135
0.0817523	101.111
0.0822243	101.085
0.082699	101.057
0.0831764	101.027
0.0836566	100.996
0.0841395	100.963
0.0846253	100.928
0.0851138	100.891
0.0856052	100.852
0.0860994	100.812
0.0865964	100.77
0.0870964	100.726
0.0875992	100.68
0.0881049	100.632
