Stopping power dEdx from Ionisation for proton Z = 1 in Water, process name: hIoni
E [MeV]	dEdx [MeV/mm]
0.001	17.1844
0.00100577	17.2339
0.00101158	17.2836
0.00101742	17.3334
0.00102329	17.3834
0.0010292	17.4335
0.00103514	17.4837
0.00104112	17.5341
0.00104713	17.5847
0.00105317	17.6353
0.00105925	17.6862
0.00106537	17.7372
0.00107152	17.7883
0.00107771	17.8396
0.00108393	17.891
0.00109018	17.9425
0.00109648	17.9943
0.00110281	18.0461
0.00110917	18.0981
0.00111558	18.1503
0.00112202	18.2026
0.0011285	18.2551
0.00113501	18.3077
0.00114156	18.3605
0.00114815	18.4134
0.00115478	18.4665
0.00116145	18.5197
0.00116815	18.5731
0.0011749	18.6266
0.00118168	18.6803
0.0011885	18.7342
0.00119536	18.7882
0.00120226	18.8423
0.00120921	18.8966
0.00121619	18.9511
0.00122321	19.0057
0.00123027	19.0605
0.00123737	19.1154
0.00124451	19.1705
0.0012517	19.2258
0.00125893	19.2812
0.00126619	19.3368
0.0012735	19.3925
0.00128086	19.4484
0.00128825	19.5045
0.00129569	19.5607
0.00130317	19.6171
0.00131069	19.6736
0.00131826	19.7303
0.00132587	19.7872
0.00133352	19.8442
0.00134122	19.9014
0.00134896	19.9588
0.00135675	20.0163
0.00136458	20.074
0.00137246	20.1319
0.00138038	20.1899
0.00138835	20.2481
0.00139637	20.3065
0.00140443	20.365
0.00141254	20.4237
0.00142069	20.4826
0.00142889	20.5416
0.00143714	20.6008
0.00144544	20.6602
0.00145378	20.7197
0.00146218	20.7795
0.00147062	20.8393
0.00147911	20.8994
0.00148765	20.9597
0.00149624	21.0201
0.00150487	21.0807
0.00151356	21.1414
0.0015223	21.2024
0.00153109	21.2635
0.00153993	21.3248
0.00154882	21.3862
0.00155776	21.4479
0.00156675	21.5097
0.0015758	21.5717
0.00158489	21.6339
0.00159404	21.6962
0.00160325	21.7588
0.0016125	21.8215
0.00162181	21.8844
0.00163117	21.9475
0.00164059	22.0107
0.00165006	22.0742
0.00165959	22.1378
0.00166917	22.2016
0.0016788	22.2656
0.0016885	22.3298
0.00169824	22.3941
0.00170805	22.4587
0.00171791	22.5234
0.00172783	22.5883
0.0017378	22.6534
0.00174783	22.7187
0.00175792	22.7842
0.00176807	22.8499
0.00177828	22.9157
0.00178855	22.9818
0.00179887	23.048
0.00180926	23.1145
0.0018197	23.1811
0.00183021	23.2479
0.00184077	23.3149
0.0018514	23.3821
0.00186209	23.4495
0.00187284	23.5171
0.00188365	23.5849
0.00189452	23.6529
0.00190546	23.7211
0.00191646	23.7894
0.00192752	23.858
0.00193865	23.9268
0.00194984	23.9957
0.0019611	24.0649
0.00197242	24.1343
0.00198381	24.2038
0.00199526	24.2736
0.00200678	24.3436
0.00201837	24.4137
0.00203002	24.4841
0.00204174	24.5547
0.00205353	24.6254
0.00206538	24.6964
0.0020773	24.7676
0.0020893	24.839
0.00210136	24.9106
0.00211349	24.9824
0.00212569	25.0544
0.00213796	25.1266
0.0021503	25.199
0.00216272	25.2717
0.0021752	25.3445
0.00218776	25.4176
0.00220039	25.4908
0.00221309	25.5643
0.00222587	25.638
0.00223872	25.7119
0.00225165	25.786
0.00226464	25.8603
0.00227772	25.9349
0.00229087	26.0096
0.00230409	26.0846
0.00231739	26.1598
0.00233077	26.2352
0.00234423	26.3108
0.00235776	26.3866
0.00237137	26.4627
0.00238506	26.539
0.00239883	26.6155
0.00241268	26.6922
0.00242661	26.7691
0.00244062	26.8463
0.00245471	26.9237
0.00246888	27.0013
0.00248313	27.0791
0.00249747	27.1571
0.00251189	27.2354
0.00252639	27.3139
0.00254097	27.3927
0.00255564	27.4716
0.0025704	27.5508
0.00258523	27.6302
0.00260016	27.7098
0.00261517	27.7897
0.00263027	27.8698
0.00264545	27.9501
0.00266073	28.0307
0.00267609	28.1115
0.00269153	28.1925
0.00270707	28.2738
0.0027227	28.3553
0.00273842	28.437
0.00275423	28.519
0.00277013	28.6012
0.00278612	28.6836
0.00280221	28.7663
0.00281838	28.8492
0.00283465	28.9324
0.00285102	29.0158
0.00286748	29.0994
0.00288403	29.1833
0.00290068	29.2674
0.00291743	29.3518
0.00293427	29.4364
0.00295121	29.5212
0.00296825	29.6063
0.00298538	29.6916
0.00300262	29.7772
0.00301995	29.863
0.00303739	29.9491
0.00305492	30.0354
0.00307256	30.122
0.0030903	30.2088
0.00310814	30.2959
0.00312608	30.3832
0.00314413	30.4708
0.00316228	30.5586
0.00318053	30.6467
0.0031989	30.7351
0.00321736	30.8237
0.00323594	30.9125
0.00325462	31.0016
0.00327341	31.091
0.0032923	31.1806
0.00331131	31.2704
0.00333043	31.3606
0.00334965	31.451
0.00336899	31.5416
0.00338844	31.6325
0.003408	31.7237
0.00342768	31.8152
0.00344747	31.9069
0.00346737	31.9988
0.00348739	32.0911
0.00350752	32.1836
0.00352777	32.2763
0.00354813	32.3694
0.00356862	32.4627
0.00358922	32.5562
0.00360994	32.6501
0.00363078	32.7442
0.00365174	32.8386
0.00367282	32.9332
0.00369403	33.0281
0.00371535	33.1233
0.0037368	33.2188
0.00375837	33.3146
0.00378007	33.4106
0.00380189	33.5069
0.00382384	33.6035
0.00384592	33.7003
0.00386812	33.7975
0.00389045	33.8949
0.00391291	33.9926
0.0039355	34.0906
0.00395822	34.1888
0.00398107	34.2874
0.00400405	34.3862
0.00402717	34.4853
0.00405042	34.5847
0.0040738	34.6844
0.00409732	34.7844
0.00412098	34.8846
0.00414477	34.9852
0.00416869	35.086
0.00419276	35.1871
0.00421697	35.2886
0.00424131	35.3903
0.0042658	35.4923
0.00429042	35.5946
0.00431519	35.6972
0.0043401	35.8001
0.00436516	35.9033
0.00439036	36.0068
0.0044157	36.1105
0.0044412	36.2146
0.00446684	36.319
0.00449262	36.4237
0.00451856	36.5287
0.00454465	36.634
0.00457088	36.7396
0.00459727	36.8455
0.00462381	36.9517
0.0046505	37.0582
0.00467735	37.165
0.00470435	37.2721
0.00473151	37.3796
0.00475883	37.4873
0.0047863	37.5953
0.00481393	37.7037
0.00484172	37.8124
0.00486968	37.9214
0.00489779	38.0307
0.00492606	38.1403
0.0049545	38.2502
0.0049831	38.3605
0.00501187	38.4711
0.00504081	38.5819
0.00506991	38.6931
0.00509918	38.8047
0.00512861	38.9165
0.00515822	39.0287
0.005188	39.1412
0.00521795	39.254
0.00524807	39.3672
0.00527837	39.4806
0.00530884	39.5944
0.00533949	39.7086
0.00537032	39.823
0.00540132	39.9378
0.0054325	40.0529
0.00546387	40.1684
0.00549541	40.2841
0.00552713	40.4003
0.00555904	40.5167
0.00559114	40.6335
0.00562341	40.7506
0.00565588	40.8681
0.00568853	40.9859
0.00572137	41.104
0.0057544	41.2225
0.00578762	41.3413
0.00582103	41.4605
0.00585464	41.58
0.00588844	41.6998
0.00592243	41.82
0.00595662	41.9405
0.00599101	42.0614
0.0060256	42.1827
0.00606038	42.3043
0.00609537	42.4262
0.00613056	42.5485
0.00616595	42.6711
0.00620155	42.7941
0.00623735	42.9175
0.00627336	43.0412
0.00630957	43.1652
0.006346	43.2897
0.00638263	43.4144
0.00641948	43.5396
0.00645654	43.6651
0.00649382	43.7909
0.00653131	43.9171
0.00656901	44.0437
0.00660693	44.1707
0.00664508	44.298
0.00668344	44.4257
0.00672202	44.5537
0.00676083	44.6822
0.00679986	44.8109
0.00683912	44.9401
0.0068786	45.0696
0.00691831	45.1995
0.00695825	45.3298
0.00699842	45.4605
0.00703882	45.5915
0.00707946	45.7229
0.00712033	45.8547
0.00716143	45.9869
0.00720278	46.1194
0.00724436	46.2524
0.00728618	46.3857
0.00732825	46.5194
0.00737055	46.6535
0.0074131	46.788
0.0074559	46.9228
0.00749894	47.0581
0.00754223	47.1937
0.00758578	47.3297
0.00762957	47.4662
0.00767361	47.603
0.00771792	47.7402
0.00776247	47.8778
0.00780728	48.0158
0.00785236	48.1542
0.00789769	48.293
0.00794328	48.4322
0.00798914	48.5718
0.00803526	48.7118
0.00808165	48.8522
0.00812831	48.993
0.00817523	49.1342
0.00822243	49.2758
0.0082699	49.4179
0.00831764	49.5603
0.00836566	49.7032
0.00841395	49.8464
0.00846253	49.9901
0.00851138	50.1342
0.00856052	50.2787
0.00860994	50.4236
0.00865964	50.569
0.00870964	50.7147
0.00875992	50.8609
0.00881049	51.0075
0.00886135	51.1545
0.00891251	51.302
0.00896396	51.4498
0.00901571	51.5981
0.00906776	51.7469
0.00912011	51.896
0.00917276	52.0456
0.00922571	52.1956
0.00927897	52.3461
0.00933254	52.497
0.00938642	52.6483
0.00944061	52.8
0.00949511	52.9522
0.00954993	53.1048
0.00960506	53.2579
0.00966051	53.4114
0.00971628	53.5654
0.00977237	53.7198
0.00982879	53.8746
0.00988553	54.0299
0.0099426	54.1856
0.01	54.3418
0.0100577	54.4984
0.0101158	54.6381
0.0101742	54.7719
0.0102329	54.906
0.010292	55.0403
0.0103514	55.1749
0.0104112	55.3098
0.0104713	55.4449
0.0105317	55.5802
0.0105925	55.7158
0.0106537	55.8517
0.0107152	55.9878
0.0107771	56.1242
0.0108393	56.2608
0.0109018	56.3977
0.0109648	56.5348
0.0110281	56.6721
0.0110917	56.8097
0.0111558	56.9476
0.0112202	57.0857
0.011285	57.2241
0.0113501	57.3627
0.0114156	57.5015
0.0114815	57.6406
0.0115478	57.7799
0.0116145	57.9195
0.0116815	58.0594
0.011749	58.1994
0.0118168	58.3397
0.011885	58.4803
0.0119536	58.6211
0.0120226	58.7621
0.0120921	58.9034
0.0121619	59.0449
0.0122321	59.1866
0.0123027	59.3286
0.0123737	59.4708
0.0124451	59.6133
0.012517	59.7559
0.0125893	59.8988
0.0126619	60.042
0.012735	60.1854
0.0128086	60.329
0.0128825	60.4728
0.0129569	60.6169
0.0130317	60.7612
0.0131069	60.9057
0.0131826	61.0504
0.0132587	61.1954
0.0133352	61.3406
0.0134122	61.486
0.0134896	61.6316
0.0135675	61.7774
0.0136458	61.9235
0.0137246	62.0698
0.0138038	62.2163
0.0138835	62.363
0.0139637	62.5099
0.0140443	62.657
0.0141254	62.8044
0.0142069	62.9519
0.0142889	63.0997
0.0143714	63.2476
0.0144544	63.3958
0.0145378	63.5442
0.0146218	63.6928
0.0147062	63.8415
0.0147911	63.9905
0.0148765	64.1397
0.0149624	64.289
0.0150487	64.4386
0.0151356	64.5883
0.015223	64.7383
0.0153109	64.8884
0.0153993	65.0387
0.0154882	65.1892
0.0155776	65.3399
0.0156675	65.4908
0.015758	65.6418
0.0158489	65.793
0.0159404	65.9444
0.0160325	66.096
0.016125	66.2477
0.0162181	66.3997
0.0163117	66.5517
0.0164059	66.704
0.0165006	66.8564
0.0165959	67.009
0.0166917	67.1617
0.016788	67.3146
0.016885	67.4677
0.0169824	67.6209
0.0170805	67.7742
0.0171791	67.9278
0.0172783	68.0814
0.017378	68.2352
0.0174783	68.3892
0.0175792	68.5432
0.0176807	68.6975
0.0177828	68.8518
0.0178855	69.0063
0.0179887	69.1609
0.0180926	69.3157
0.018197	69.4705
0.0183021	69.6255
0.0184077	69.7807
0.018514	69.9359
0.0186209	70.0912
0.0187284	70.2467
0.0188365	70.4023
0.0189452	70.5579
0.0190546	70.7137
0.0191646	70.8696
0.0192752	71.0256
0.0193865	71.1816
0.0194984	71.3378
0.019611	71.494
0.0197242	71.6504
0.0198381	71.8068
0.0199526	71.9633
0.0200678	72.1199
0.0201837	72.2765
0.0203002	72.4332
0.0204174	72.59
0.0205353	72.7469
0.0206538	72.9038
0.020773	73.0607
0.020893	73.2177
0.0210136	73.3748
0.0211349	73.5319
0.0212569	73.689
0.0213796	73.8462
0.021503	74.0035
