Stopping power dEdx from Ionisation for Al27[0.0] Z = 13 in G4_Si, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	32.3385
0.00100577	32.4324
0.00101158	32.5267
0.00101742	32.6212
0.00102329	32.716
0.0010292	32.8111
0.00103514	32.9064
0.00104112	33.002
0.00104713	33.0979
0.00105317	33.1941
0.00105925	33.2905
0.00106537	33.3872
0.00107152	33.4842
0.00107771	33.5815
0.00108393	33.6791
0.00109018	33.7769
0.00109648	33.875
0.00110281	33.9734
0.00110917	34.0721
0.00111558	34.1711
0.00112202	34.2704
0.0011285	34.3699
0.00113501	34.4698
0.00114156	34.5699
0.00114815	34.6703
0.00115478	34.771
0.00116145	34.872
0.00116815	34.9732
0.0011749	35.0748
0.00118168	35.1767
0.0011885	35.2788
0.00119536	35.3813
0.00120226	35.484
0.00120921	35.5871
0.00121619	35.6904
0.00122321	35.7941
0.00123027	35.898
0.00123737	36.0022
0.00124451	36.1068
0.0012517	36.2116
0.00125893	36.3168
0.00126619	36.4222
0.0012735	36.528
0.00128086	36.634
0.00128825	36.7404
0.00129569	36.847
0.00130317	36.954
0.00131069	37.0613
0.00131826	37.1689
0.00132587	37.2768
0.00133352	37.385
0.00134122	37.4935
0.00134896	37.6024
0.00135675	37.7115
0.00136458	37.821
0.00137246	37.9308
0.00138038	38.0408
0.00138835	38.1513
0.00139637	38.262
0.00140443	38.373
0.00141254	38.4844
0.00142069	38.5961
0.00142889	38.7081
0.00143714	38.8205
0.00144544	38.9331
0.00145378	39.0461
0.00146218	39.1594
0.00147062	39.2731
0.00147911	39.387
0.00148765	39.5013
0.00149624	39.6159
0.00150487	39.7309
0.00151356	39.8462
0.0015223	39.9618
0.00153109	40.0778
0.00153993	40.194
0.00154882	40.3107
0.00155776	40.4276
0.00156675	40.5449
0.0015758	40.6625
0.00158489	40.7805
0.00159404	40.8988
0.00160325	41.0175
0.0016125	41.1365
0.00162181	41.2558
0.00163117	41.3755
0.00164059	41.4955
0.00165006	41.6159
0.00165959	41.7366
0.00166917	41.8577
0.0016788	41.9791
0.0016885	42.1008
0.00169824	42.223
0.00170805	42.3454
0.00171791	42.4683
0.00172783	42.5914
0.0017378	42.715
0.00174783	42.8388
0.00175792	42.9631
0.00176807	43.0877
0.00177828	43.2127
0.00178855	43.338
0.00179887	43.4637
0.00180926	43.5897
0.0018197	43.7161
0.00183021	43.8429
0.00184077	43.97
0.0018514	44.0975
0.00186209	44.2254
0.00187284	44.3536
0.00188365	44.4822
0.00189452	44.6112
0.00190546	44.7406
0.00191646	44.8703
0.00192752	45.0004
0.00193865	45.1309
0.00194984	45.2617
0.0019611	45.393
0.00197242	45.5246
0.00198381	45.6565
0.00199526	45.7889
0.00200678	45.9217
0.00201837	46.0548
0.00203002	46.1883
0.00204174	46.3222
0.00205353	46.4565
0.00206538	46.5912
0.0020773	46.7262
