Stopping power dEdx from Ionisation for Al27[0.0] Z = 13 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.4269
0.00100577	22.492
0.00101158	22.5572
0.00101742	22.6225
0.00102329	22.6881
0.0010292	22.7539
0.00103514	22.8198
0.00104112	22.886
0.00104713	22.9523
0.00105317	23.0188
0.00105925	23.0855
0.00106537	23.1524
0.00107152	23.2195
0.00107771	23.2868
0.00108393	23.3543
0.00109018	23.422
0.00109648	23.4899
0.00110281	23.558
0.00110917	23.6262
0.00111558	23.6947
0.00112202	23.7634
0.0011285	23.8322
0.00113501	23.9013
0.00114156	23.9705
0.00114815	24.04
0.00115478	24.1097
0.00116145	24.1795
0.00116815	24.2496
0.0011749	24.3198
0.00118168	24.3903
0.0011885	24.461
0.00119536	24.5319
0.00120226	24.6029
0.00120921	24.6742
0.00121619	24.7457
0.00122321	24.8174
0.00123027	24.8893
0.00123737	24.9614
0.00124451	25.0337
0.0012517	25.1062
0.00125893	25.179
0.00126619	25.2519
0.0012735	25.3251
0.00128086	25.3984
0.00128825	25.472
0.00129569	25.5458
0.00130317	25.6198
0.00131069	25.694
0.00131826	25.7684
0.00132587	25.8431
0.00133352	25.9179
0.00134122	25.993
0.00134896	26.0683
0.00135675	26.1438
0.00136458	26.2195
0.00137246	26.2954
0.00138038	26.3716
0.00138835	26.448
0.00139637	26.5246
0.00140443	26.6014
0.00141254	26.6785
0.00142069	26.7557
0.00142889	26.8332
0.00143714	26.9109
0.00144544	26.9888
0.00145378	27.067
0.00146218	27.1454
0.00147062	27.224
0.00147911	27.3028
0.00148765	27.3819
0.00149624	27.4612
0.00150487	27.5407
0.00151356	27.6205
0.0015223	27.7004
0.00153109	27.7806
0.00153993	27.8611
0.00154882	27.9418
0.00155776	28.0227
0.00156675	28.1038
0.0015758	28.1852
0.00158489	28.2668
0.00159404	28.3486
0.00160325	28.4307
0.0016125	28.513
0.00162181	28.5956
0.00163117	28.6784
0.00164059	28.7614
0.00165006	28.8447
0.00165959	28.9282
0.00166917	29.0119
0.0016788	29.0959
0.0016885	29.1801
0.00169824	29.2646
0.00170805	29.3493
0.00171791	29.4343
0.00172783	29.5195
0.0017378	29.6049
0.00174783	29.6906
0.00175792	29.7766
0.00176807	29.8628
0.00177828	29.9492
0.00178855	30.0359
0.00179887	30.1229
0.00180926	30.2101
0.0018197	30.2975
0.00183021	30.3852
0.00184077	30.4731
0.0018514	30.5613
0.00186209	30.6498
0.00187284	30.7385
0.00188365	30.8275
0.00189452	30.9167
0.00190546	31.0062
0.00191646	31.0959
0.00192752	31.1859
0.00193865	31.2762
0.00194984	31.3667
0.0019611	31.4575
0.00197242	31.5485
0.00198381	31.6398
0.00199526	31.7314
0.00200678	31.8232
0.00201837	31.9153
0.00203002	32.0076
0.00204174	32.1003
0.00205353	32.1932
0.00206538	32.2863
0.0020773	32.3798
0.0020893	32.4735
0.00210136	32.5674
0.00211349	32.6617
0.00212569	32.7562
0.00213796	32.8509
0.0021503	32.946
0.00216272	33.0413
0.0021752	33.1369
0.00218776	33.2328
0.00220039	33.329
0.00221309	33.4254
0.00222587	33.5221
0.00223872	33.6191
0.00225165	33.7164
0.00226464	33.8139
0.00227772	33.9118
0.00229087	34.0099
0.00230409	34.1083
0.00231739	34.2069
0.00233077	34.3059
0.00234423	34.4052
0.00235776	34.5047
0.00237137	34.6045
0.00238506	34.7046
0.00239883	34.805
0.00241268	34.9057
0.00242661	35.0067
0.00244062	35.108
0.00245471	35.2095
0.00246888	35.3114
0.00248313	35.4135
0.00249747	35.516
0.00251189	35.6187
0.00252639	35.7217
0.00254097	35.8251
0.00255564	35.9287
0.0025704	36.0326
0.00258523	36.1368
0.00260016	36.2414
0.00261517	36.3462
0.00263027	36.4513
0.00264545	36.5568
0.00266073	36.6625
0.00267609	36.7685
0.00269153	36.8749
0.00270707	36.9815
0.0027227	37.0885
0.00273842	37.1958
0.00275423	37.3034
0.00277013	37.4112
0.00278612	37.5194
0.00280221	37.628
0.00281838	37.7368
0.00283465	37.8459
0.00285102	37.9554
0.00286748	38.0651
0.00288403	38.1752
0.00290068	38.2856
0.00291743	38.3963
0.00293427	38.5074
0.00295121	38.6187
0.00296825	38.7304
0.00298538	38.8424
0.00300262	38.9547
0.00301995	39.0674
0.00303739	39.1804
0.00305492	39.2937
0.00307256	39.4073
0.0030903	39.5212
0.00310814	39.6355
0.00312608	39.7501
0.00314413	39.8651
0.00316228	39.9804
0.00318053	40.096
0.0031989	40.2119
0.00321736	40.3282
0.00323594	40.4448
0.00325462	40.5617
0.00327341	40.679
0.0032923	40.7966
0.00331131	40.9146
0.00333043	41.0329
0.00334965	41.1515
0.00336899	41.2705
0.00338844	41.3898
0.003408	41.5095
0.00342768	41.6295
0.00344747	41.7499
0.00346737	41.8706
0.00348739	41.9916
0.00350752	42.113
0.00352777	42.2348
0.00354813	42.3569
0.00356862	42.4793
0.00358922	42.6021
0.00360994	42.7253
0.00363078	42.8488
0.00365174	42.9727
0.00367282	43.0969
0.00369403	43.2215
0.00371535	43.3465
0.0037368	43.4718
0.00375837	43.5974
0.00378007	43.7235
0.00380189	43.8499
