Stopping power dEdx from Ionisation for B11[0.0] Z = 5 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	34.8431
0.00100577	34.9436
0.00101158	35.0443
0.00101742	35.1453
0.00102329	35.2466
0.0010292	35.3482
0.00103514	35.4501
0.00104112	35.5522
0.00104713	35.6547
0.00105317	35.7575
0.00105925	35.8606
0.00106537	35.9639
0.00107152	36.0676
0.00107771	36.1715
0.00108393	36.2758
0.00109018	36.3804
0.00109648	36.4852
0.00110281	36.5904
0.00110917	36.6959
0.00111558	36.8016
0.00112202	36.9077
0.0011285	37.0141
0.00113501	37.1208
0.00114156	37.2278
0.00114815	37.3351
0.00115478	37.4427
0.00116145	37.5506
0.00116815	37.6589
0.0011749	37.7674
0.00118168	37.8763
0.0011885	37.9854
0.00119536	38.0949
0.00120226	38.2047
0.00120921	38.3148
0.00121619	38.4253
0.00122321	38.536
0.00123027	38.6471
0.00123737	38.7585
0.00124451	38.8702
0.0012517	38.9823
0.00125893	39.0946
0.00126619	39.2073
0.0012735	39.3203
0.00128086	39.4337
0.00128825	39.5473
0.00129569	39.6613
0.00130317	39.7756
0.00131069	39.8903
0.00131826	40.0053
0.00132587	40.1206
0.00133352	40.2362
0.00134122	40.3522
0.00134896	40.4685
0.00135675	40.5851
0.00136458	40.7021
0.00137246	40.8194
0.00138038	40.9371
0.00138835	41.0551
0.00139637	41.1734
0.00140443	41.2921
0.00141254	41.4111
0.00142069	41.5305
0.00142889	41.6502
0.00143714	41.7703
0.00144544	41.8906
0.00145378	42.0114
0.00146218	42.1325
0.00147062	42.2539
0.00147911	42.3757
0.00148765	42.4979
0.00149624	42.6204
0.00150487	42.7432
0.00151356	42.8664
0.0015223	42.99
0.00153109	43.1139
0.00153993	43.2381
0.00154882	43.3628
0.00155776	43.4878
0.00156675	43.6131
0.0015758	43.7388
0.00158489	43.8649
0.00159404	43.9913
0.00160325	44.1181
0.0016125	44.2453
0.00162181	44.3728
0.00163117	44.5007
0.00164059	44.629
0.00165006	44.7576
0.00165959	44.8866
0.00166917	45.016
0.0016788	45.1458
0.0016885	45.2759
0.00169824	45.4064
0.00170805	45.5373
