Stopping power dEdx from Ionisation for B11[0.0] Z = 5 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	22.9099
0.00100577	22.9763
0.00101158	23.0429
0.00101742	23.1097
0.00102329	23.1767
0.0010292	23.2439
0.00103514	23.3113
0.00104112	23.3788
0.00104713	23.4466
0.00105317	23.5146
0.00105925	23.5827
0.00106537	23.6511
0.00107152	23.7196
0.00107771	23.7884
0.00108393	23.8574
0.00109018	23.9265
0.00109648	23.9958
0.00110281	24.0654
0.00110917	24.1351
0.00111558	24.2051
0.00112202	24.2752
0.0011285	24.3456
0.00113501	24.4162
0.00114156	24.4869
0.00114815	24.5579
0.00115478	24.629
0.00116145	24.7004
0.00116815	24.772
0.0011749	24.8438
0.00118168	24.9158
0.0011885	24.988
0.00119536	25.0604
0.00120226	25.133
0.00120921	25.2058
0.00121619	25.2789
0.00122321	25.3521
0.00123027	25.4256
0.00123737	25.4992
0.00124451	25.5731
0.0012517	25.6472
0.00125893	25.7215
0.00126619	25.796
0.0012735	25.8708
0.00128086	25.9457
0.00128825	26.0209
0.00129569	26.0963
0.00130317	26.1719
0.00131069	26.2477
0.00131826	26.3237
0.00132587	26.4
0.00133352	26.4765
0.00134122	26.5532
0.00134896	26.6301
0.00135675	26.7072
0.00136458	26.7846
0.00137246	26.8622
0.00138038	26.94
0.00138835	27.018
0.00139637	27.0963
0.00140443	27.1748
0.00141254	27.2535
0.00142069	27.3324
0.00142889	27.4116
0.00143714	27.491
0.00144544	27.5706
0.00145378	27.6504
0.00146218	27.7305
0.00147062	27.8108
0.00147911	27.8914
0.00148765	27.9722
0.00149624	28.0532
0.00150487	28.1344
0.00151356	28.2159
0.0015223	28.2976
0.00153109	28.3795
0.00153993	28.4617
0.00154882	28.5441
0.00155776	28.6268
0.00156675	28.7097
0.0015758	28.7928
0.00158489	28.8762
0.00159404	28.9598
0.00160325	29.0437
0.0016125	29.1278
0.00162181	29.2121
0.00163117	29.2967
0.00164059	29.3815
