Stopping power dEdx from Ionisation for Be9[0.0] Z = 4 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	30.3826
0.00100577	30.4701
0.00101158	30.558
0.00101742	30.646
0.00102329	30.7344
0.0010292	30.823
0.00103514	30.9118
0.00104112	31.0009
0.00104713	31.0903
0.00105317	31.1799
0.00105925	31.2697
0.00106537	31.3599
0.00107152	31.4503
0.00107771	31.5409
0.00108393	31.6318
0.00109018	31.723
0.00109648	31.8144
0.00110281	31.9061
0.00110917	31.9981
0.00111558	32.0903
0.00112202	32.1828
0.0011285	32.2756
0.00113501	32.3686
0.00114156	32.4619
0.00114815	32.5555
0.00115478	32.6493
0.00116145	32.7434
0.00116815	32.8378
0.0011749	32.9325
0.00118168	33.0274
0.0011885	33.1226
0.00119536	33.2181
0.00120226	33.3138
0.00120921	33.4098
0.00121619	33.5061
0.00122321	33.6027
0.00123027	33.6996
0.00123737	33.7967
0.00124451	33.8941
0.0012517	33.9918
0.00125893	34.0898
0.00126619	34.188
0.0012735	34.2866
0.00128086	34.3854
0.00128825	34.4845
0.00129569	34.5839
0.00130317	34.6836
0.00131069	34.7836
0.00131826	34.8838
0.00132587	34.9844
0.00133352	35.0852
0.00134122	35.1864
0.00134896	35.2878
0.00135675	35.3895
0.00136458	35.4915
0.00137246	35.5938
0.00138038	35.6964
0.00138835	35.7993
0.00139637	35.9025
0.00140443	36.0059
0.00141254	36.1097
0.00142069	36.2138
0.00142889	36.3182
0.00143714	36.4229
0.00144544	36.5279
0.00145378	36.6331
0.00146218	36.7387
0.00147062	36.8446
0.00147911	36.9508
0.00148765	37.0573
0.00149624	37.1642
0.00150487	37.2713
0.00151356	37.3787
0.0015223	37.4864
0.00153109	37.5945
0.00153993	37.7029
0.00154882	37.8115
0.00155776	37.9205
0.00156675	38.0298
0.0015758	38.1394
0.00158489	38.2494
0.00159404	38.3596
0.00160325	38.4702
0.0016125	38.5811
0.00162181	38.6923
0.00163117	38.8038
0.00164059	38.9156
0.00165006	39.0278
0.00165959	39.1403
0.00166917	39.2531
0.0016788	39.3663
0.0016885	39.4797
0.00169824	39.5935
0.00170805	39.7077
0.00171791	39.8221
0.00172783	39.9369
0.0017378	40.052
0.00174783	40.1674
0.00175792	40.2832
0.00176807	40.3993
0.00177828	40.5158
0.00178855	40.6326
0.00179887	40.7497
0.00180926	40.8671
0.0018197	40.9849
0.00183021	41.1031
0.00184077	41.2215
0.0018514	41.3404
0.00186209	41.4595
0.00187284	41.579
0.00188365	41.6989
0.00189452	41.8191
0.00190546	41.9396
0.00191646	42.0605
0.00192752	42.1817
0.00193865	42.3033
0.00194984	42.4252
0.0019611	42.5475
0.00197242	42.6702
0.00198381	42.7931
0.00199526	42.9165
0.00200678	43.0402
0.00201837	43.1643
0.00203002	43.2887
0.00204174	43.4134
0.00205353	43.5386
0.00206538	43.6641
0.0020773	43.7899
0.0020893	43.9161
0.00210136	44.0427
0.00211349	44.1697
0.00212569	44.297
