Stopping power dEdx from Ionisation for C12[0.0] Z = 6 in G4_TISSUE_SOFT_ICRP, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	40.2919
0.00100577	40.408
0.00101158	40.5245
0.00101742	40.6413
0.00102329	40.7584
0.0010292	40.8759
0.00103514	40.9937
0.00104112	41.1119
0.00104713	41.2304
0.00105317	41.3492
0.00105925	41.4684
0.00106537	41.5879
0.00107152	41.7078
0.00107771	41.828
0.00108393	41.9486
0.00109018	42.0695
0.00109648	42.1908
0.00110281	42.3124
0.00110917	42.4343
0.00111558	42.5566
0.00112202	42.6793
0.0011285	42.8023
0.00113501	42.9257
0.00114156	43.0494
0.00114815	43.1735
0.00115478	43.298
0.00116145	43.4228
0.00116815	43.5479
0.0011749	43.6734
0.00118168	43.7993
0.0011885	43.9256
0.00119536	44.0522
0.00120226	44.1792
0.00120921	44.3065
0.00121619	44.4342
0.00122321	44.5623
0.00123027	44.6907
0.00123737	44.8195
0.00124451	44.9487
0.0012517	45.0783
0.00125893	45.2082
0.00126619	45.3385
0.0012735	45.4692
0.00128086	45.6003
0.00128825	45.7317
0.00129569	45.8635
0.00130317	45.9957
0.00131069	46.1283
0.00131826	46.2613
0.00132587	46.3946
0.00133352	46.5283
0.00134122	46.6624
0.00134896	46.7969
0.00135675	46.9318
0.00136458	47.0671
0.00137246	47.2028
0.00138038	47.3388
0.00138835	47.4753
0.00139637	47.6121
0.00140443	47.7493
0.00141254	47.887
0.00142069	48.025
0.00142889	48.1634
0.00143714	48.3023
0.00144544	48.4415
0.00145378	48.5811
0.00146218	48.7211
0.00147062	48.8616
0.00147911	49.0024
0.00148765	49.1437
0.00149624	49.2853
0.00150487	49.4274
0.00151356	49.5698
0.0015223	49.7127
0.00153109	49.856
0.00153993	49.9997
0.00154882	50.1438
0.00155776	50.2884
0.00156675	50.4333
0.0015758	50.5787
0.00158489	50.7245
0.00159404	50.8707
0.00160325	51.0173
0.0016125	51.1643
0.00162181	51.3118
0.00163117	51.4597
0.00164059	51.608
0.00165006	51.7568
0.00165959	51.906
0.00166917	52.0556
0.0016788	52.2056
0.0016885	52.3561
0.00169824	52.507
0.00170805	52.6584
0.00171791	52.8102
0.00172783	52.9624
0.0017378	53.115
0.00174783	53.2681
0.00175792	53.4217
0.00176807	53.5756
0.00177828	53.7301
0.00178855	53.8849
0.00179887	54.0403
0.00180926	54.196
0.0018197	54.3522
0.00183021	54.5089
0.00184077	54.666
0.0018514	54.8236
0.00186209	54.9816
0.00187284	55.1401
0.00188365	55.299
0.00189452	55.4584
0.00190546	55.6183
0.00191646	55.7786
0.00192752	55.9393
0.00193865	56.1006
0.00194984	56.2623
0.0019611	56.4245
0.00197242	56.5871
0.00198381	56.7502
0.00199526	56.9138
0.00200678	57.0778
0.00201837	57.2423
0.00203002	57.4073
0.00204174	57.5728
0.00205353	57.7388
0.00206538	57.9052
0.0020773	58.0721
0.0020893	58.2395
0.00210136	58.4073
0.00211349	58.5757
0.00212569	58.7445
0.00213796	58.9139
0.0021503	59.0837
0.00216272	59.254
0.0021752	59.4248
0.00218776	59.596
0.00220039	59.7678
0.00221309	59.9401
0.00222587	60.1129
0.00223872	60.2861
0.00225165	60.4599
0.00226464	60.6342
0.00227772	60.8089
0.00229087	60.9842
0.00230409	61.16
0.00231739	61.3363
0.00233077	61.5131
0.00234423	61.6904
0.00235776	61.8682
0.00237137	62.0465
0.00238506	62.2254
0.00239883	62.4047
0.00241268	62.5846
0.00242661	62.765
0.00244062	62.9459
0.00245471	63.1273
0.00246888	63.3093
0.00248313	63.4918
0.00249747	63.6748
0.00251189	63.8583
0.00252639	64.0424
0.00254097	64.227
0.00255564	64.4121
0.0025704	64.5978
0.00258523	64.7839
0.00260016	64.9707
0.00261517	65.158
0.00263027	65.3458
