Stopping power dEdx from Ionisation for C12[0.0] Z = 6 in Water, process name: ionIoni
E [MeV]	dEdx [MeV/mm]
0.001	24.1552
0.00100577	24.2252
0.00101158	24.2955
0.00101742	24.366
0.00102329	24.4366
0.0010292	24.5075
0.00103514	24.5785
0.00104112	24.6498
0.00104713	24.7213
0.00105317	24.793
0.00105925	24.8649
0.00106537	24.9369
0.00107152	25.0092
0.00107771	25.0818
0.00108393	25.1545
0.00109018	25.2274
0.00109648	25.3006
0.00110281	25.3739
0.00110917	25.4475
0.00111558	25.5212
0.00112202	25.5952
0.0011285	25.6694
0.00113501	25.7438
0.00114156	25.8185
0.00114815	25.8933
0.00115478	25.9684
0.00116145	26.0437
0.00116815	26.1191
0.0011749	26.1949
0.00118168	26.2708
0.0011885	26.3469
0.00119536	26.4233
0.00120226	26.4999
0.00120921	26.5767
0.00121619	26.6537
0.00122321	26.731
0.00123027	26.8085
0.00123737	26.8862
0.00124451	26.9641
0.0012517	27.0422
0.00125893	27.1206
0.00126619	27.1992
0.0012735	27.278
0.00128086	27.3571
0.00128825	27.4363
0.00129569	27.5159
0.00130317	27.5956
0.00131069	27.6756
0.00131826	27.7558
0.00132587	27.8362
0.00133352	27.9168
0.00134122	27.9977
0.00134896	28.0789
0.00135675	28.1602
0.00136458	28.2418
0.00137246	28.3236
0.00138038	28.4057
0.00138835	28.488
0.00139637	28.5705
0.00140443	28.6533
0.00141254	28.7363
0.00142069	28.8196
0.00142889	28.9031
0.00143714	28.9868
0.00144544	29.0708
0.00145378	29.155
0.00146218	29.2395
0.00147062	29.3242
0.00147911	29.4091
0.00148765	29.4943
0.00149624	29.5798
0.00150487	29.6655
0.00151356	29.7514
0.0015223	29.8376
0.00153109	29.924
0.00153993	30.0107
0.00154882	30.0976
0.00155776	30.1848
0.00156675	30.2722
0.0015758	30.3599
0.00158489	30.4478
0.00159404	30.536
0.00160325	30.6245
0.0016125	30.7131
0.00162181	30.8021
0.00163117	30.8913
0.00164059	30.9808
0.00165006	31.0705
0.00165959	31.1605
0.00166917	31.2507
0.0016788	31.3412
0.0016885	31.432
0.00169824	31.523
0.00170805	31.6143
0.00171791	31.7058
0.00172783	31.7977
0.0017378	31.8897
0.00174783	31.9821
0.00175792	32.0747
0.00176807	32.1676
0.00177828	32.2607
0.00178855	32.3541
0.00179887	32.4478
0.00180926	32.5418
0.0018197	32.636
0.00183021	32.7305
0.00184077	32.8253
0.0018514	32.9203
0.00186209	33.0156
0.00187284	33.1112
0.00188365	33.2071
