E [MeV]	dEdx [keV/microm]
0.001	32.2856
0.00100577	32.3794
0.00101158	32.4735
0.00101742	32.5678
0.00102329	32.6625
0.0010292	32.7574
0.00103514	32.8526
0.00104112	32.948
0.00104713	33.0438
0.00105317	33.1398
0.00105925	33.2361
0.00106537	33.3326
0.00107152	33.4295
0.00107771	33.5266
0.00108393	33.624
0.00109018	33.7216
0.00109648	33.8196
0.00110281	33.9179
0.00110917	34.0164
0.00111558	34.1152
0.00112202	34.2143
0.0011285	34.3137
0.00113501	34.4133
0.00114156	34.5133
0.00114815	34.6135
0.00115478	34.7141
0.00116145	34.8149
0.00116815	34.916
0.0011749	35.0174
0.00118168	35.1191
0.0011885	35.2211
0.00119536	35.3234
0.00120226	35.426
0.00120921	35.5288
0.00121619	35.632
0.00122321	35.7355
0.00123027	35.8392
0.00123737	35.9433
0.00124451	36.0477
0.0012517	36.1523
0.00125893	36.2573
0.00126619	36.3626
0.0012735	36.4682
0.00128086	36.5741
0.00128825	36.6802
0.00129569	36.7867
0.00130317	36.8935
0.00131069	37.0006
0.00131826	37.108
0.00132587	37.2158
0.00133352	37.3238
0.00134122	37.4321
0.00134896	37.5408
0.00135675	37.6498
0.00136458	37.759
0.00137246	37.8687
0.00138038	37.9786
0.00138835	38.0888
0.00139637	38.1993
0.00140443	38.3102
0.00141254	38.4214
0.00142069	38.5329
0.00142889	38.6448
0.00143714	38.7569
0.00144544	38.8694
0.00145378	38.9822
0.00146218	39.0953
0.00147062	39.2088
0.00147911	39.3225
0.00148765	39.4366
0.00149624	39.5511
0.00150487	39.6658
0.00151356	39.7809
0.0015223	39.8963
0.00153109	40.0121
0.00153993	40.1282
0.00154882	40.2446
0.00155776	40.3614
0.00156675	40.4785
0.0015758	40.5959
0.00158489	40.7137
0.00159404	40.8318
0.00160325	40.9503
0.0016125	41.0691
0.00162181	41.1882
0.00163117	41.3077
0.00164059	41.4275
0.00165006	41.5477
0.00165959	41.6682
0.00166917	41.7891
0.0016788	41.9103
0.0016885	42.0318
0.00169824	42.1538
0.00170805	42.276
0.00171791	42.3987
0.00172783	42.5217
0.0017378	42.645
0.00174783	42.7686
0.00175792	42.8927
0.00176807	43.0171
0.00177828	43.1419
0.00178855	43.267
0.00179887	43.3924
0.00180926	43.5183
0.0018197	43.6445
0.00183021	43.771
0.00184077	43.8979
0.0018514	44.0252
0.00186209	44.1529
0.00187284	44.2809
0.00188365	44.4093
0.00189452	44.5381
0.00190546	44.6672
0.00191646	44.7968
0.00192752	44.9266
0.00193865	45.0569
0.00194984	45.1875
0.0019611	45.3185
0.00197242	45.4499
0.00198381	45.5817
0.00199526	45.7139
0.00200678	45.8464
0.00201837	45.9793
0.00203002	46.1126
