E [MeV]	dEdx [keV/microm]
0.001	43.3896
0.00100577	43.5147
0.00101158	43.6401
0.00101742	43.7659
0.00102329	43.892
0.0010292	44.0186
0.00103514	44.1454
0.00104112	44.2727
0.00104713	44.4003
0.00105317	44.5283
0.00105925	44.6566
0.00106537	44.7853
0.00107152	44.9144
0.00107771	45.0439
0.00108393	45.1737
0.00109018	45.3039
0.00109648	45.4345
0.00110281	45.5655
0.00110917	45.6968
0.00111558	45.8285
0.00112202	45.9606
0.0011285	46.0931
0.00113501	46.226
0.00114156	46.3592
0.00114815	46.4928
0.00115478	46.6268
0.00116145	46.7612
0.00116815	46.896
0.0011749	47.0312
0.00118168	47.1668
0.0011885	47.3027
0.00119536	47.439
0.00120226	47.5758
0.00120921	47.7129
0.00121619	47.8504
0.00122321	47.9884
0.00123027	48.1267
0.00123737	48.2654
0.00124451	48.4045
0.0012517	48.544
0.00125893	48.6839
0.00126619	48.8243
0.0012735	48.965
0.00128086	49.1062
0.00128825	49.2477
0.00129569	49.3896
0.00130317	49.532
0.00131069	49.6748
0.00131826	49.818
0.00132587	49.9615
0.00133352	50.1056
0.00134122	50.25
0.00134896	50.3948
0.00135675	50.5401
0.00136458	50.6858
0.00137246	50.8319
0.00138038	50.9783
0.00138835	51.1253
0.00139637	51.2727
0.00140443	51.4205
0.00141254	51.5687
0.00142069	51.7173
0.00142889	51.8664
0.00143714	52.0159
0.00144544	52.1658
0.00145378	52.3162
0.00146218	52.4669
0.00147062	52.6182
0.00147911	52.7699
0.00148765	52.922
0.00149624	53.0745
0.00150487	53.2275
0.00151356	53.3809
0.0015223	53.5347
0.00153109	53.6891
0.00153993	53.8438
0.00154882	53.999
0.00155776	54.1547
0.00156675	54.3108
0.0015758	54.4673
0.00158489	54.6243
0.00159404	54.7817
0.00160325	54.9397
0.0016125	55.098
0.00162181	55.2568
0.00163117	55.4161
0.00164059	55.5758
0.00165006	55.736
0.00165959	55.8967
0.00166917	56.0578
0.0016788	56.2193
0.0016885	56.3814
0.00169824	56.5439
0.00170805	56.7069
0.00171791	56.8704
0.00172783	57.0343
0.0017378	57.1987
0.00174783	57.3635
0.00175792	57.5289
0.00176807	57.6947
0.00177828	57.861
0.00178855	58.0277
0.00179887	58.1951
0.00180926	58.3628
0.0018197	58.531
0.00183021	58.6997
0.00184077	58.8689
0.0018514	59.0386
0.00186209	59.2087
0.00187284	59.3794
0.00188365	59.5506
0.00189452	59.7222
0.00190546	59.8944
0.00191646	60.067
0.00192752	60.2401
0.00193865	60.4138
0.00194984	60.5879
0.0019611	60.7625
0.00197242	60.9377
0.00198381	61.1133
0.00199526	61.2895
0.00200678	61.4661
0.00201837	61.6433
0.00203002	61.821
0.00204174	61.9992
0.00205353	62.1779
0.00206538	62.3571
0.0020773	62.5368
0.0020893	62.7171
0.00210136	62.8979
0.00211349	63.0792
0.00212569	63.261
0.00213796	63.4433
0.0021503	63.6262
0.00216272	63.8096
0.0021752	63.9935
0.00218776	64.178
0.00220039	64.3629
0.00221309	64.5485
0.00222587	64.7345
0.00223872	64.9211
0.00225165	65.1082
0.00226464	65.2959
0.00227772	65.4841
0.00229087	65.6729
0.00230409	65.8621
0.00231739	66.052
0.00233077	66.2424
0.00234423	66.4333
0.00235776	66.6248
0.00237137	66.8168
0.00238506	67.0094
0.00239883	67.2026
0.00241268	67.3963
0.00242661	67.5905
0.00244062	67.7854
0.00245471	67.9807
0.00246888	68.1767
0.00248313	68.3732
0.00249747	68.5703
0.00251189	68.7679
0.00252639	68.9662
0.00254097	69.1649
0.00255564	69.3643
0.0025704	69.5642
0.00258523	69.7647
0.00260016	69.9658
0.00261517	70.1675
0.00263027	70.3697
0.00264545	70.5726
0.00266073	70.776
0.00267609	70.98
0.00269153	71.1846
0.00270707	71.3898
0.0027227	71.5955
0.00273842	71.8019
0.00275423	72.0089
0.00277013	72.2164
0.00278612	72.4246
0.00280221	72.6333
0.00281838	72.8427
0.00283465	73.0526
0.00285102	73.2632
0.00286748	73.4744
0.00288403	73.6862
0.00290068	73.8985
0.00291743	74.1115
0.00293427	74.3252
0.00295121	74.5394
0.00296825	74.7543
0.00298538	74.9697
0.00300262	75.1854
0.00301995	75.4005
0.00303739	75.6162
0.00305492	75.8325
0.00307256	76.0495
0.0030903	76.267
0.00310814	76.4852
0.00312608	76.7041
0.00314413	76.9235
0.00316228	77.1436
0.00318053	77.3644
0.0031989	77.5857
0.00321736	77.8077
0.00323594	78.0304
