E [MeV]	dEdx [keV/microm]
0.001	24.155
0.00100577	24.225
0.00101158	24.2953
0.00101742	24.3657
0.00102329	24.4364
0.0010292	24.5072
0.00103514	24.5783
0.00104112	24.6496
0.00104713	24.721
0.00105317	24.7927
0.00105925	24.8646
0.00106537	24.9367
0.00107152	25.009
0.00107771	25.0815
0.00108393	25.1542
0.00109018	25.2271
0.00109648	25.3003
0.00110281	25.3736
0.00110917	25.4472
0.00111558	25.521
0.00112202	25.595
0.0011285	25.6692
0.00113501	25.7436
0.00114156	25.8182
0.00114815	25.893
0.00115478	25.9681
0.00116145	26.0434
0.00116815	26.1189
0.0011749	26.1946
0.00118168	26.2705
0.0011885	26.3467
0.00119536	26.423
0.00120226	26.4996
0.00120921	26.5764
0.00121619	26.6534
0.00122321	26.7307
0.00123027	26.8082
0.00123737	26.8859
0.00124451	26.9638
0.0012517	27.0419
0.00125893	27.1203
0.00126619	27.1989
0.0012735	27.2777
0.00128086	27.3568
0.00128825	27.4361
0.00129569	27.5156
0.00130317	27.5953
0.00131069	27.6753
0.00131826	27.7555
0.00132587	27.8359
0.00133352	27.9165
0.00134122	27.9974
0.00134896	28.0786
0.00135675	28.1599
0.00136458	28.2415
0.00137246	28.3233
0.00138038	28.4054
0.00138835	28.4877
0.00139637	28.5702
0.00140443	28.653
0.00141254	28.736
0.00142069	28.8193
0.00142889	28.9028
0.00143714	28.9865
0.00144544	29.0705
0.00145378	29.1547
0.00146218	29.2392
0.00147062	29.3239
0.00147911	29.4088
0.00148765	29.494
0.00149624	29.5795
0.00150487	29.6652
0.00151356	29.7511
0.0015223	29.8373
0.00153109	29.9237
0.00153993	30.0104
0.00154882	30.0973
0.00155776	30.1845
0.00156675	30.2719
0.0015758	30.3596
0.00158489	30.4475
0.00159404	30.5357
0.00160325	30.6242
0.0016125	30.7128
0.00162181	30.8018
0.00163117	30.891
0.00164059	30.9805
0.00165006	31.0702
0.00165959	31.1602
0.00166917	31.2504
0.0016788	31.3409
0.0016885	31.4317
0.00169824	31.5227
0.00170805	31.614
0.00171791	31.7055
0.00172783	31.7974
0.0017378	31.8894
0.00174783	31.9818
0.00175792	32.0744
0.00176807	32.1673
0.00177828	32.2604
0.00178855	32.3538
0.00179887	32.4475
0.00180926	32.5414
0.0018197	32.6356
0.00183021	32.7302
0.00184077	32.8249
0.0018514	32.9199
0.00186209	33.0153
0.00187284	33.1109
0.00188365	33.2067
0.00189452	33.3029
0.00190546	33.3993
0.00191646	33.496
0.00192752	33.5929
0.00193865	33.6902
0.00194984	33.7877
0.0019611	33.8855
0.00197242	33.9837
0.00198381	34.082
0.00199526	34.1807
0.00200678	34.2796
0.00201837	34.3788
0.00203002	34.4784
0.00204174	34.5782
0.00205353	34.6782
0.00206538	34.7787
0.0020773	34.8793
0.0020893	34.9803
0.00210136	35.0816
0.00211349	35.1831
0.00212569	35.2849
0.00213796	35.387
0.0021503	35.4895
0.00216272	35.5922
0.0021752	35.6952
0.00218776	35.7985
0.00220039	35.9021
0.00221309	36.006
0.00222587	36.1102
0.00223872	36.2147
0.00225165	36.3196
0.00226464	36.4247
0.00227772	36.5301
0.00229087	36.6358
0.00230409	36.7418
0.00231739	36.8482
0.00233077	36.9548
0.00234423	37.0617
0.00235776	37.169
0.00237137	37.2766
0.00238506	37.3844
0.00239883	37.4926
0.00241268	37.6011
0.00242661	37.7099
0.00244062	37.819
0.00245471	37.9285
0.00246888	38.0382
0.00248313	38.1483
0.00249747	38.2587
0.00251189	38.3694
0.00252639	38.4804
0.00254097	38.5917
0.00255564	38.7034
0.0025704	38.8154
0.00258523	38.9277
0.00260016	39.0403
0.00261517	39.1533
0.00263027	39.2666
0.00264545	39.3802
0.00266073	39.4941
0.00267609	39.6083
0.00269153	39.723
0.00270707	39.8379
0.0027227	39.9531
0.00273842	40.0687
0.00275423	40.1846
0.00277013	40.3009
0.00278612	40.4175
0.00280221	40.5344
0.00281838	40.6517
0.00283465	40.7692
0.00285102	40.8872
0.00286748	41.0055
0.00288403	41.1241
0.00290068	41.2431
0.00291743	41.3623
0.00293427	41.482
0.00295121	41.602
0.00296825	41.7223
0.00298538	41.843
0.00300262	41.964
0.00301995	42.0854
0.00303739	42.2072
0.00305492	42.3292
0.00307256	42.4517
0.0030903	42.5745
0.00310814	42.6976
0.00312608	42.8211
0.00314413	42.945
0.00316228	43.0692
0.00318053	43.1937
0.0031989	43.3186
0.00321736	43.444
0.00323594	43.5696
0.00325462	43.6956
0.00327341	43.822
0.0032923	43.9487
0.00331131	44.0758
0.00333043	44.2033
0.00334965	44.3311
0.00336899	44.4593
0.00338844	44.5879
0.003408	44.7168
0.00342768	44.8461
0.00344747	44.9759
0.00346737	45.1059
0.00348739	45.2363
0.00350752	45.3671
0.00352777	45.4983
0.00354813	45.6299
0.00356862	45.7618
0.00358922	45.8942
0.00360994	46.0269
0.00363078	46.16
0.00365174	46.2935
0.00367282	46.4273
0.00369403	46.5616
0.00371535	46.6962
0.0037368	46.8312
0.00375837	46.9666
0.00378007	47.1024
0.00380189	47.2386
0.00382384	47.3752
0.00384592	47.5122
0.00386812	47.6496
0.00389045	47.7873
0.00391291	47.9255
0.0039355	48.0641
0.00395822	48.203
0.00398107	48.3424
0.00400405	48.4822
0.00402717	48.6223
0.00405042	48.7629
0.0040738	48.9039
0.00409732	49.0453
0.00412098	49.1871
0.00414477	49.3293
0.00416869	49.4719
0.00419276	49.6149
0.00421697	49.7584
0.00424131	49.9022
0.0042658	50.0465
0.00429042	50.1912
0.00431519	50.3362
0.0043401	50.4818
0.00436516	50.6277
0.00439036	50.774
0.0044157	50.9208
0.0044412	51.068
0.00446684	51.2156
0.00449262	51.3637
0.00451856	51.5122
0.00454465	51.6611
0.00457088	51.8104
0.00459727	51.9602
0.00462381	52.1104
0.0046505	52.261
0.00467735	52.412
0.00470435	52.5635
0.00473151	52.7154
0.00475883	52.8678
0.0047863	53.0206
0.00481393	53.1739
0.00484172	53.3276
0.00486968	53.4817
0.00489779	53.6363
0.00492606	53.7913
0.0049545	53.9468
0.0049831	54.1027
0.00501187	54.2591
0.00504081	54.4159
0.00506991	54.5732
0.00509918	54.7309
0.00512861	54.8891
0.00515822	55.0477
0.005188	55.2068
0.00521795	55.3663
0.00524807	55.5264
0.00527837	55.6869
0.00530884	55.8478
0.00533949	56.0092
0.00537032	56.171
0.00540132	56.3334
0.0054325	56.4962
0.00546387	56.6594
0.00549541	56.8232
0.00552713	56.9874
0.00555904	57.1521
0.00559114	57.3172
0.00562341	57.4829
0.00565588	57.649
0.00568853	57.8156
0.00572137	57.9827
0.0057544	58.1502
0.00578762	58.3183
0.00582103	58.4868
0.00585464	58.6558
0.00588844	58.8253
0.00592243	59.1429
0.00595662	59.3134
0.00599101	59.4843
0.0060256	59.6558
0.00606038	59.8278
0.00609537	60.0002
0.00613056	60.1732
0.00616595	60.3466
0.00620155	60.5205
0.00623735	60.695
0.00627336	60.8699
0.00630957	61.0454
0.006346	61.2213
0.00638263	61.3978
0.00641948	61.5748
0.00645654	61.7522
0.00649382	61.9303
0.00653131	62.1087
0.00656901	62.2878
0.00660693	62.4673
0.00664508	62.6474
0.00668344	62.8279
0.00672202	63.009
0.00676083	63.1906
0.00679986	63.3728
0.00683912	63.5554
0.0068786	63.7386
0.00691831	63.9223
0.00695825	64.1066
0.00699842	64.2914
0.00703882	64.4767
0.00707946	64.6625
0.00712033	64.8489
0.00716143	65.0358
0.00720278	65.2233
0.00724436	65.4113
0.00728618	65.5998
0.00732825	65.7889
0.00737055	65.9785
0.0074131	66.1687
0.0074559	66.3594
0.00749894	66.5507
0.00754223	66.7425
0.00758578	66.9349
0.00762957	67.1278
0.00767361	67.3213
0.00771792	67.5154
0.00776247	67.71
0.00780728	67.9052
0.00785236	68.1009
0.00789769	68.2972
0.00794328	68.494
0.00798914	68.6915
0.00803526	68.8895
0.00808165	69.088
0.00812831	69.2872
0.00817523	69.4869
0.00822243	69.6872
0.0082699	69.888
0.00831764	70.0895
0.00836566	70.2915
0.00841395	70.4941
0.00846253	70.6973
0.00851138	70.9011
0.00856052	71.1054
0.00860994	71.3104
0.00865964	71.5159
0.00870964	71.722
0.00875992	71.9288
0.00881049	72.1361
0.00886135	72.3441
0.00891251	72.5526
0.00896396	72.7617
0.00901571	72.9714
0.00906776	73.1817
0.00912011	73.3927
0.00917276	73.6042
0.00922571	73.8164
0.00927897	74.0291
0.00933254	74.2425
0.00938642	74.4565
0.00944061	74.6711
0.00949511	74.8863
0.00954993	75.1022
0.00960506	75.3187
0.00966051	75.5358
0.00971628	75.7535
0.00977237	75.9718
0.00982879	76.1908
0.00988553	76.4104
0.0099426	76.6307
0.01	76.8516
0.0100577	77.0731
0.0101158	77.2952
0.0101742	77.518
0.0102329	77.7415
0.010292	77.9655
0.0103514	78.1903
0.0104112	78.4156
0.0104713	78.6417
0.0105317	78.8684
0.0105925	79.0957
0.0106537	79.3237
0.0107152	79.5523
0.0107771	79.7816
0.0108393	80.0115
0.0109018	80.2422
0.0109648	80.4735
0.0110281	80.7054
0.0110917	80.9381
0.0111558	81.1713
0.0112202	81.4053
0.011285	81.6399
0.0113501	81.8753
0.0114156	82.1113
0.0114815	82.3479
0.0115478	82.5853
0.0116145	82.8233
0.0116815	83.0621
0.011749	83.3014
0.0118168	83.5416
0.011885	83.7824
0.0119536	84.0239
0.0120226	84.266
0.0120921	84.509
0.0121619	84.7525
0.0122321	84.9968
0.0123027	85.2418
0.0123737	85.4875
0.0124451	85.7339
0.012517	85.981
0.0125893	86.2289
0.0126619	86.4774
0.012735	86.7267
0.0128086	86.9767
0.0128825	87.2274
0.0129569	87.4788
0.0130317	87.7309
0.0131069	87.9838
0.0131826	88.2374
0.0132587	88.4918
0.0133352	88.7468
0.0134122	89.0026
0.0134896	89.2591
0.0135675	89.5165
0.0136458	89.7744
0.0137246	90.0332
0.0138038	90.2927
0.0138835	90.553
0.0139637	90.814
0.0140443	91.0757
0.0141254	91.3383
0.0142069	91.6015
0.0142889	91.8656
0.0143714	92.1303
0.0144544	92.3959
0.0145378	92.6622
0.0146218	92.9293
0.0147062	93.1971
0.0147911	93.4658
0.0148765	93.7352
0.0149624	94.0054
0.0150487	94.2763
0.0151356	94.5481
0.015223	94.8206
0.0153109	95.0939
0.0153993	95.368
0.0154882	95.6429
0.0155776	95.9186
0.0156675	96.1951
0.015758	96.4723
0.0158489	96.7504
0.0159404	97.0293
0.0160325	97.3089
0.016125	97.5894
0.0162181	97.8707
0.0163117	98.1528
0.0164059	98.4357
0.0165006	98.7194
